question,answer,split
כיצד נקבע מתחם הענישה למעשי העבירות שביצע הנאשם?,"תחילה, אקבע מתחם ענישה למעשי העבירות שביצע הנאשם, על בסיס שיקולים נורמטיביים ואובייקטיבים, בהתחשב בערכים החברתיים שנפגעו, מידת הפגיעה בהם, במדיניות הענישה ובנסיבות הקשורות בביצוע העבירות.",train
מהו השיקול שעל בית המשפט לשקול כאשר הוא בוחן חריגה ממסגרת הענישה ההולמת?,"בהינתן מתחם הענישה ההולם, על בית המשפט לתן דעתו האם ראוי לחרוג מגבולותיו לקולה בשל שיקולי שיקום (סעיף 40ד לחוק העונשין) או לחומרה בשל הצורך להגנה על שלום הציבור (סעיף 40ה לחוק העונשין).",train
מהו הנזק הפוטנציאלי הטמון בוויכוח מילולי המדרדר לתקיפה אלימה?,"וויכוח מילולי שכזה, המידרדר בנקל לתקיפה אלימה באמצעות סכין, עלול להסתיים בתוצאה חמורה של קיפוח חיי אדם, כך שהנזק הפוטנציאלי הטמון במעשה הנו עצום.",train
מהי דעת המחוקק על החומרה של עבירת ההתפרצות למקום מגורים כדי לבצע גניבה?,בדרך זו הביע המחוקק את דעתו על החומרה הטמונה בעבירת ההתפרצות למקום מגורים כדי לבצע גניבה כעבירת פשע הגוררת ענישה מחמירה.,train
מהי הסכנה הטמונה בהחזקת נשק ללא היתר?,"החזקת נשק ללא היתר, טומנת בחובה סכנה ממשית שכן כאשר נשק, שהינו חפץ מסוכן, מגיע לידיים לא אחראיות, הוא יכול לגרום נזק רציני לאדם ולרכוש עד כדי קיפוח חיי אדם וכן עלול להסלים אלימות ולהביא לפגיעה בציבור תמים.",train
מהו העיקרון המשפטי שהדגיש תיקון מס' 113 לחוק העונשין בנוגע לענישה?,"בדרך זו חידד תיקון מס' 113 לחוק העונשין את הצורך בהמשך נקיטת שיטת ענישה אינדיווידואלית, הבוחנת נסיבותיו של כל מקרה ואדם המובא לדין (ע\פ 433/89 אטיאס נ' מדינת ישראל, פ\""ד מג(4) 170; ע\""פ 5106/99 אבו ניג'מה נ' מדינת ישראל,פ\""ד נד(1) 350; רע\""פ 3173/09 פראגין נ' מדינת ישראל (ניתן ביום 5.5.2009)).""",train
מדוע העריך שירות המבחן כי קיים חשש מהתנהגות אימפולסיבית של הנאשם בעתות לחץ?,"שירות המבחן העריך כי קיים חשש שבעתות לחץ ומצוקה, הנאשם ישוב לפעול באימפולסיביות ויבחר בפתרונות אשר עלולים להוביל אותו לפעול בדרך פוגעת ובניגוד לחוק.",train
מהו מתחם העונש ההולם להפרות ההוראה החוקית בעניינו של הנאשם?,"מכל המקובץ, באתי למסקנה כי מתחם העונש ההולם לכל אחת מההפרות של ההוראה החוקית בעניינו של הנאשם, נע על פני ציר שבין מאסר מותנה לבין 10 חודשי מאסר בפועל, לצד ענישה מרתיעה וענישה כלכלית.",train
כיצד תורמים בתי המשפט למאבק בתופעת האלימות בחברה?,תרומתם הצנועה של בתי המשפט למאבק בתופעת האלימות הגוברת בחברתנו היא בהטלת עונשים ראויים.,train
מהי הפגיעה באוטונומיה של נפגע העבירה בעבירת הסחיטה באיומים?,"מעצם טיבה של עבירת הסחיטה באיומים, היא יוצרת פגיעה קשה באוטונומיה של נפגע העבירה, אשר מעשיו מוכפפים לרצונו של הסוחט.",train
