text,split
"שלא יעבור משך 3 שנים מיום שחרורו על כל עבירה לפי סימן ג' וסימן ד' לפרק יא' לחוק העונשין התשל\ז – 1977. מאסר למשך 6 חדשים אותו לא ירצה הנאשם, אלא אם יעבור בתוך 3 שנים מיום שחרורו, עבירה לפי סימן ה' לפרק יא' לחוק העונשין התשל\""ז – 1977 ו/או עבירה לפי ס' 7 לפקודת הסמים המסוכנים (נח) תשל\""ג – 1973 הפעלת המאסר המותנה בן 12 החדשים מת.פ. 40344/07 (מח' ת\""א) – 28.5.2008), מתוכם 8 חדשים יהיו לריצוי מצטבר לעונש המאסר בפועל שהוטל עליו בסעיף א' לעיל ו - 4 חדשים בחופף לו. למען הסר ספק מובהר כי הנאשם ירצה בסך הכל 48 חודשי מאסר בפועל, שימנו מיום מאסרו ( 3 .10.09). פיצוי כספי למתלונן בסך של 5,000 ₪, אשר ישול ם עד מועד שחרורו ממאסר. הואיל והמדובר בעבירה ש עניינה בין היתר כלכלי - קנס בסך של 2,500 ₪ או חדשיים מאסר תמורתו, אשר ישולם גם הוא עד המועד הקבוע בסעיף ה' לעיל. 54678313תשומת לב הנאשם להוראות סעיף 77(ג) לחוק העונשין תשל\""ז 1977 ולפיו לעניין גבייה, דין פיצויים לפי סעיף זה כדין קנס, וסכום ששולם או נגבה על חשבון הקנס יזקף תחילה על חשבון הפיצויים.""",train
"עובדה זו להחשב לזכותו, כנאשם שמודה באשמתו, מביע חרטה ומקבל על עצמו לתקן דרכיו, תוך שמונע את עגמת הנפש הנוספת מהמתלוננת, הנאלצת לבוא ולהעיד כנגדו ולחשוף עצמה מחדש למעשי האלימות שחוותה (בעניין זה יוער כי המתלוננת אף בכתה במהלך עדותה- ר' עמ' 4 לפרוטוקול מיום 5.7.05). יחד עם זאת אתחשב בטענה בדבר מצבו הרפואי של הנאשם (על אף שלא גובתה בכל מסמך) ובעובדה כי אכן מרצה הוא תקופת מעצר ממושכת של קרוב לשנה. לאור כל האמור, הנני דן את הנאשם כדלקמן:",train
"רכש ולוגיסטיקה, סיים 12 שנות לימוד וכן השלים לימודי תואר ראשון בארכיאולוגיה והיסטוריה לצד עבודה כמאבטח, גויס לצבא ושירת שירות צבאי מלא ושירת אח\כ משך שנים במילואים, לצד עבודה כפקח ברשות העתיקות. כמו כן המדובר היה בנאשם ללא כל הרשעות פליליות או מעורבות קודמת בפלילים. תסקירו היה חיובי, שירות המבחן התרשם כי מדובר באדם נורמטיבי משך כל שנות חייו, נגרר לביצוע העבירה שלא מרצונו, מבין הוא היטב את חומרת מעשיו, ביטא חרטה ונכונות לשאת בעונש ועל כן המליצו להסתפק בתקופת מעצרו, תוך העמדתו במבחן. תשומת לב רבה ניתנה בעניינו לשיתוף הפעולה שלו עם המשטרה באופן מלא, הן בחיזוק הראיות כנגד המבצע העיקרי והן באיסוף הראיות כנגד עצמו, עניין שזכה להקלה משמעותית בדינו. כל האמור אינו חל בענייננו כלל ועיקר. המדובר בנאשם בעל עבר פלילי מכביד, שבעברו 21 רישומים פליליים בעבירות מגוונות בעיקר בתחום הסמים והרכוש, במסגרתן ריצה אף תקופות מאסר בפועל שאינן מבוטלות. (אם כי לא נעלמה מעיני העובדה שהרשעתו האחרונה של הנאשם היא משנת 2005). גם בזמן שירותו הצבאי ריצה עונשי מאסר בפועל בגין עבירות סמים ורכוש. תסקירו של הנאשם אינו יכול להיות מוגדר כחיובי, והוא נעדר המלצה טיפולית. ביצוע העבירות על ידי הנאשם נעשה במודע, ובניגוד למסייע האחר, נמנע הנאשם דנן מכל שיתוף פעולה עם המשטרה. בנסיבות אלה ודאי לא ניתן להשוות עניינו של גיל, לעניינו של הנאשם דנן שמצבו ללא ספק חמור יותר. בד בבד עם כל האמור, לא ניתן להתעלם מהודייתו של הנאשם וחסכון ניכר הנובע מכך בזמן שיפוטי הן של בית המשפט, הן של התביעה והן של העדים הרבים שברשימת עדי התביעה. כמו כן לא אוכל להתעלם מחלוף הזמן בנוגע לעבירת""",train
"להשלמת ראיותיה. הבקשה עצמה נדחתה בהחלטה נפרדת, ואולם במסגרתה הצהירה המדינה שוב \ברחל בתך הקטנה\"", כי עמדתה הייתה ונותרה עקבית, שהחילוט המתבקש יהיה בעניינו של הנאשם מס' 1 ולא בעניינן של הנאשמות 2 ו – 3. בנסיבות אלה ונוכח העמדה האמורה, ולאור העובדה כי לא הוכחו היסודות הנדרשים לצורך חילוט כספים אלה, לא ניתן להיעתר לבקשת החילוט. אדגיש כי ער אני לתחושה הלא נוחה העולה מהתוצאה האמורה, לפיה הסכימה המדינה להימנע מעתירה להשתת קנס כספי על הנאשם 1, זאת בשל ההנחה, כך נראה, כי הכספים שתפסה יחולטו. כמו כן קשורה תחושה זו גם לתוצאה הנובעת מניצול לכאורה של הפתעת המדינה מטיעוני הסנגור, לפיהם הכספים האמורים אינם שייכים כלל לנאשם 1 ולא ניתן לחלטם. אי הנוחות נובעת אף מהעובדה כי בעבירות כלכליות \""טהורות\"" מסוג זה, לא מושת קנס כספי המתבקש בנסיבות העניין, ואכן שקלתי בשל כך, סטייה מהסדר הטיעון והשתת קנס כספי גם על הנאשם 1. למרות האמור ולא בלב קל, החלטתי בסופו של דבר שלא לסטות מהכללים הרגילים המחייבים כיבוד הסדרי טיעון, שכן בשקלול כולל של העניין, לא מצאתי שיש בהסדר הטיעון חריגה עד כדי כך, שיש בה כדי להצדיק סטייה כאמור. בהינתן כל המפורט לעיל ובשקלול האיזונים שבין חומרת העבירות מחד לנסיבות האישיות מאידך, ובהביאי בחשבון את הודיית הנאשמים, חלוף הזמן הנוגע לעבירת הסמים, השינוי אותו ערך הנאשם 1 בחייו הפרטיים והנסיבות הכרוכות במשפחתו, פעולותיו למען הקהילה והבעת חרטתו בפני, הנני דן את הנאשמים כדלקמן: 40 חדשי מאסר מתוכם יהיו 25 חדשים לריצוי בפועל ומנינם מיום מעצרו (25.7.10), והיתרה תהא על תנאי והתנאי הוא שלא יעבור עבירה מסוג פשע לפי פקודת הסמים המסוכנים התשל\""ג –""",train
"בתי המשפט הביעו לא אחת את דעתם בדבר חומרתן של עבירות החטיפה לשם סחיטה והסחיטה באיומים, המגיעות לפתחם של בתי המשפט חדשות לבקרים, והלובשות צורות שונות, חלקן קשות וחלקן ברמה נמוכה יותר. הצד השווה שבהן הוא הרצון להשיג רווחים קלים תוך הטלת אימה ופחד על הקרבנות. לא קשה לתאר את תחושות האימה, החדלות והביזוי שהיו מנת חלקו של המתלונן בענייננו – אדם מבוגר בן 78, אל מול הנאשמת ובן זוגה במוצאו את עצמו עירום, כלוא וחסר אונים אל מול הנאשמת ובן זוגה, אשר עשו בו כברצונם ואף סחטו את כספו. זאת ועוד, בענייננו, עובדות המקרה אכן מלמדות על מעשה המצוי במידרג לא נמוך בספקטרום עבירות הסחיטה, והחמור ממעשי הסחיטה \השגרתיים יותר\"" הבאים בד\""כ בפני בית המשפט, זאת נוכח העובדה, כי לא היה מדובר רק באיומי סחיטה, אלא אף במעבר למימוש והשלמת רצינות הסחיטה בפועל, דרך הפיתוי, הכליאה, הסחיטה והאיום, ועד לקיחת הכסף לכיסם של הנאשמת ובן זוגה, וכשהנאשמת בפנינו, לא זו בלבד שלא עוצרת את ביצועה, אלא משתפת פעולה באופן מלא עם בן זוגה, היא המפתה את הקרבן והיא זו שיוצאת בעצמה לבנק להוציא את הכספים מחשבונו ולשלשלם לכיסה. משנֶה תוקף יש לאמור, נוכח ניצול האמון שנתן בה המתלונן, אמון שאיפשר להגיע למצב המביך אליו הגיע, לכליאתו ולסחיטתו. יצויין עוד, כי חומרה יתרה לענייננו נוגעת לעובדה, שאין המדובר ב\""מעידה\"" אלא באירוע מתוכנן היטב, על כל פרטיו, החל מתכנון, דרך הפיתוי וכלה בביצוע הסופי, לאחר שנלכד המתלונן ברשתה של הנאשמת. אין צורך להזכיר כי תכלית הענישה בעבירות מסוג זה, הינה הגנה על המתלוננים אשר חולשתם מנוצלת על ידי העבריין, להשגת מטרתו, תוך איום על בטחונם, שלומם והטלת""",train
"ב\כ הנאשם התנגד לעדותו של בנו של מנהל המתלוננת, כנפגע עבירה, זאת בשל העובדה כי אביו הוא שחתום על ההצהרה. עפ\""י המסמכים שהוגשו עומד הנזק הישיר של השריפה בסך של כ – 67,000 ₪, אליו מצטרפים נזקים עקיפים (משכורות עובדים מושבתים, ימי בטלה של מכונת קידוח וסולר) בסך נוסף של כ- 131,000 ₪. הנ\""ל נחקר על ידי הסניגור חקירה נגדית והסביר את חישובי הנזק לו טוענת המתלוננת. אף אם אתעלם מתוכן העדות, אין ספק בדבר הנזק שנגרם למשאית המתלוננת ומשמעותו הכלכלית, וזאת אך מהתבוננות בצילומים שצולמו על ידי שירותי הכבאות אשר הגיעו למקום, ושהיו חלק מחומר הראיות המקורי. נדמה שאין אף צורך להכביר מילים בדבר פוטנציאל הסיכון והנזק שנגרם בגין מעשי הנאשם ובראשן עבירת ההצתה. בענייננו חומרה יתרה לעבירה הן בשל שווי ומהות הרכוש שהוצת – משאית עבודה השייכת למתלוננת, והן בשל נסיבות ההצתה שלא היו תוצאת אירוע ספוני אלא מפרי תכנון מוקדם הנובע מקשר שקשר הנאשם עם אחרים, ובמסגרתו הצטייד הנאשם מראש בחומר דליק ובכפפות, נכנס למתחם החניה כשהוא מכסה את ראשו למניעת זיהויו במצלמות האבטחה, והצית את המשאית בשעה שחנו במקום משאיות נוספות. פוטנציאל הסיכון והנזק, לרכוש ולנפש, בא לידי ביטוי גם באופן התפשטותן המהירה של הלהבות והפיצוץ שאירע עקב כך, ואשר גרם להדף בעטיו הושלך הנאשם לאחור. נסיבות ההצתה מלמדות אכן על כוונה לגרום נזק חמור, והעונש הקבוע לצידה של העבירה – 15 שנות מאסר, מבטא לכשעצמו את חומרתה היתרה. לעבירת ההצתה מתווספות כאמור עבירות נוספות, חמורות כל אחת לכשעצמה – עבירות נשק וסיוע להתפרצות כפולה. המסוכנות הציבורית הרבה שעניינה עבירות נשק אינה צריכה הסבר, בין אם עניינה בטחוני ובין אם פלילי. בענייננו,""",train
"חומרת העבירות אינה צריכה הסבר ואין צורך לחזור ולהזכיר, את ריבוי תאונות הדרכים ותאונות העבודה הקטלניות והצורך להלחם בתופעה לצורך צמצומה ומיגורה, תוך הרתעה, הן של הנאשמים עצמם והן של אחרים, בפועל ובכח. אין לי ספק בדבר אישיותו הנורמטיבית החיובית של הנאשם ואני אף מעריך את האחריות שנטל על עצמו, בהודייתו המיידית ובעיקר נוכח האחריות שלקח על חיי משפחת אחיו המנוח ודאגה לכל צרכיה. יחד עם זאת, אישיותו הנורמטיבית החיובית של הנאשם, אינה מהווה משקל מכריע בשיקולי, שכן \מרבית המורשעים בעבירות הללו הם אנשים מן היישוב, מה שקרוי נורמטיביים\"" (ר' למשל רע\""פ 548/05 מאירה לוין נ' מדינת ישראל). כידוע, בעבירות מסוג זה של רשלנות, הנעדרות מחשבה פלילית קלאסית, המשקל המוענק לנורמטיביות של הנאשם בגדר מכלול שיקולי הענישה, הינו מופחת יחסית. בד בבד עם האמור, אינני משוכנע גם לחלוטין, בדבר התועלת החד משמעית שבהחמרה בענישה בסוג זה של עבירות, ביחוד על רקע נסיבות ענייננו, וככלל, יש כידוע בנושא זה דעות לכאן ולכאן (ר' פירוט לעניין זה בע\""פ (מח' ת\""א) 071933/06 קלגסבלד נ' מדינת ישראל (מיום 8.2.07 - טרם פורסם). התוצאה של האירוע קשה וטראגית ללא כל ספק: שני בני אדם קיפחו את חייהם, בצורה שאינה מחוייבת המציאות כלל ועיקר. גם עניין זה - התוצאה הקשה, הוכרה כידוע בפסיקה כנסיבה מחמירה. (ר' ע\""פ 8382/03 איאד חילף נ' מדינת ישראל, פ\""ד נח(2) 139). גזירת דינו של נאשם שהורשע בגרימת מוות ברשלנות נעשית תוך בחינה של שלושה מרכיבים: מידת הרשלנות, התוצאה שנגרמה והנסיבות האישיות. למען הסר ספק אציין, כי בהתייחסותי לעבירת גרם המוות ברשלנות, איני בא להקל ראש ביתר העבירות בהן הורשעו הנאשמים, אלא שאני רואה בהן חלק אינטגרלי נלווה""",train
"יחד, בקשר, תכנון וכוונה משותפים, כשהנאשם ואחיו אוספים את המעורב השלישי – בן דודם מביתו, לצורך נסיעה לבית המתלוננת, פניהם של שלושתם היו מכוסים, ושלושתם תקפו אותה יחד, כשהם מזויינים בנשק קר, מי במוטות ברזל ומי בדוקרן, ובלא חלוקת \סידור עבודה\"" ביניהם. כפי שהסכים בהגינותו אף ב\""כ הנאשם, הרי שמבחינת דיני השותפות, אין כל הבדל ביניהם והנאשם אחראי כמבצע בצוותא, הן לעבירות והן לנזק הכולל שנגרם. כפי שציינה בצדק ב\""כ המאשימה, חזרו בתי המשפט והדגישו את הצורך בענישה מחמירה בעבירות האלימות, המדגישה את אלמנט ההרתעה ואת אינטרס הציבור להגנה על גופו ורכושו מעבריינים אלימים ומתופעת הבריונות, תוך זהירות מהעברת מסר סלחני שלילי לעבריינים בפועל ובכח. ר' למשל ע\""פ 3863/09 מדינת ישראל נ' נאסר חסן (10.11.09, לא פורסם): וכן, ר' ע\""פ 327/05 נביל ג'אבר נ' מדינת ישראל (1.12.05, לא פורסם): וכן ר' גם ע\""פ 7734/05 היטם עאטף נ' מדינת ישראל (15.5.06, לא פורסם). עיינתי גם בשני גזרי הדין אשר הוצגו על ידי הנאשם (פ' 8047/03 ופ' 8182/05 שניהם מביהמ\""ש המחוזי בב\""ש). לא מצאתי בהם תרומה של ממש לענייננו. בשניהם נסיבות אישיות מיוחדות מאד לקולא, המצטרפות לחלוף זמן ניכר מאז ביצוע העבירות, במהלכו עברו הנאשמים בתיקים אלה תהליכי שינוי ושיקום משמעותיים ולקיחת אחריות, כשהאירועים עצמם, על אף חומרתם, היו ספונטאניים וללא תכנון מוקדם. כל האמור אינו חל בענייננו. כנגד שיקולי החומרה שפורטו לעיל, לא ניתן להתעלם מנסיבותיו האישיות של הנאשם, שירותו המלא כלוחם בצה\""ל (על אף שעניין זה אינו מובן מאליו בסביבה בה הוא מתגורר), ענייניו הרפואיים והאילוצים הנובעים מהם כפי שהוצגו בפני, ואף ויתורו על חקירת עדים תעמוד לזכותו לקולא. עם זאת, לא ניתן לומר כי הנאשם""",train
"לפסיקה שהוצגה לעיוני על ידי ב\כ הנאשמים, שברובה נגזר דינם של הנאשמים לעבודות שירות: בע\""פ 1964/91 בן דוד נ' מדינת ישראל, מו (3) 70, המדובר היה בערעור על ההרשעה בלבד שהתבססה על החזקה קונסטרוקטיבית בלבד וזו היתה ליבת פסק הדין. בענייננו נשאו הנאשמים את כלי הנשק טעונים על גופם. בפ' (ב\""ש) 8090/02 מדינת ישראל נ' עמוס ארז (12.4.05 – לא פורסם), המדובר היה במציאת 10 מוקשי נעל ישנים במכונית. הנאשם שם נקלע לעניין באקראי, כששותפו אכן נדון ל – 5 שנות מאסר. עוד הוברר שהנאשם שולב בהליך גמילה מוצלח ביתר ותסקירו היה חיובי ביותר. למותר לציין כי עובדות אלה אינן דומות לענייננו. בפ' (ב\""ש) 8158/02 מדינת ישראל נ' איליאייב אנטולי (1.6.04 – לא פורסם), המדובר היה בפעולת הגנה עצמית מובהקת, עת חטף דווקא הנאשם מידי המתלונן אקדח, עימו בא לאיים עליו, ולאחר מכן חזר המתלונן ביחד עם עוד 4 חמושים אשר ירו על הנאשם, שנפצע קשה ונותר נכה. באותו עניין אכן הורשעו המתלוננים. בענייננו כאמור, לא הובאה כל אסמכתא דומה לכך. בפ' (חי) 31970-02-10 מדינת ישראל נ' שי כלידיאן (16.6.10 – לא פורסם), המדובר היה בזיקוקים ונפצים שהיו ברכב ואקדח שלא נמצא על הנאשם אלא נמצא בבית. כאמור, הנאשמים נשוא ענייננו נתפסו כשהם נושאים אקדחים טעונים על גופם. בפ' (ב\""ש) 8192/04 מדינת ישראל נ' יוסי בוחבוט (26.12.07 – לא פורסם), המדובר היה בנשק שאין ביכולתו להרוג (רימון הלם). בפ' (ב\""ש) 8226/02 מדינת ישראל נ' מתעב אבולקעין (6.1.05 – לא פורסם), היה מדובר בנסיבות מיוחדות, בהן קיבל הנאשם שהיה אדם בעל תפקוד נורמטיבי ללא רבב את האקדח תוך כדי מריבה שהתלהטה, נערכה סולחה, תסקיר שירות המבחן היה""",train
"ואח' נ' הועדה לבניה ומגורים במחוז מרכז ואח', פ\ד מ\""ח (1) 535 בעמ' 542 חזר ביהמ\""ש על עמדה זו כדלקמן: במקורם נועדו דיני התכנון והבניה לאפשר ניצול מירבי של הקרקע, תוך פגיעה מינימלית בזכות הקניין, למטרות של מניעת מטרדים ומתן אפשרות לשימוש שקט על-ידי כל בעלי הקרקע. ואולם, עם השנים התפתחה המודעות לצרכים נוספים לשימוש בקרקע - לאיזורי נופש, \""ריאות ירוקות\"", אתרי תיירות וכיוצא באלה. הובן כי בתכנון ארוך טווח אין להתחשב רק בצרכים המיידיים ולהועיד את הקרקע אך לשימוש שיניב החזר כספי מירבי, אלא מן הראוי להקציב קרקע גם לצרכים הנוספים, כדי להפיק ממנה את מירב התועלת החברתית. דיני התכנון המודרניים - למען שמירת אינטרסים ארוכי טווח של החברה - מציבים סייג לניצול מיידי של הקרקע. עמד על כך פרופ' MCAUSLAN: (ר' גם בג\""צ 2920/94 אדם טבע ודין – אגודה ישראלית להגנת הסביבה ע\""ר ואח' נ' המועצה הארצית לתכנון ולבניה ואח', פ\""ד נ (3), 441, בס' 21 לפסה\""ד). מהאמור לעיל, ברורה איפוא השאלה העומדת על הפרק והיא הפגיעה באינטרס החברתי המוגן – האיזון החברתי הכולל שנפגע כתוצאה מפעילות הנאשמת, ולאו דווקא הפגיעה המיידית בערכי הטבע במפרץ לכשעצמה. בהערת אגב אעיר, כי אין בידי לקבל את טענות ב\""כ הנאשמת הנוגעות להמתנה שהמתינה היא למתן ההחלטות וכי לא יכולה היתה להפסיק פעילותה, על מנת לחזור אליה. ראשית, אינני מוצא בנסיבות שפירט ב\""כ הנאשמת משום הכשר לעבור על החוק. הנאשמת לא היתה רשאית לבצע את פעילויותיה ללא היתר כדין, וכל עוד לא קיבלה היא היתר כאמור, לא היתה רשאית להמשיך בפעילותה נשוא כתב האישום, תהא הסיבה לכך אשר תהא. אינני רואה בענין זה אף כל \""כורח\"" כנרמז על""",train
