question,answer,split
מהו הנזק הצפוי מהזמינות של נשק חם והשפעתו על ביטחון הציבור?,"הנזק שהיה צפוי להיגרם הינו רב, עת פורטו הסכנות הנשקפות מזמינותו של נשק חם אשר יש עמו פוטנציאל להסלמה באלימות העבריינית והאידיאולוגית כאחד ופוגע בביטחון הציבור.",train
מהי הסיבה לכך שהתביעה ביקשה להטיל על הנאשם עונש של מאסר בפועל?,"לאור נסיבות ביצוע העבירות וחומרתן, עתירתה של התביעה להטיל על הנאשם עונש של מאסר בפועל נראת סבירה בעיניי.",train
כיצד יש לאזן את האינטרס הציבורי עם נסיבותיו האישיות של הנאשם?,"יחד עם זאת, יש לאזן תמיד את האינטרס הכללי עם נסיבותיו האישיות של כל נאשם באשר הוא.",train
כיצד משפיע עברו הפלילי של מועמד להתמחות על ההחלטה אם להימנע מהרשעתו?,"בית המשפט סבר באותו מקרה, כי על אף היות המשיב אדם חיובי ורב פעלים, הפן השיקומי אינו השיקול הבלעדי, עברו פלילי של מועמד להתמחות בעריכת דין אינו חוסם אוטומטית רישום בלשכת עורכי הדין ועל כן הימנעות מהרשעתו של המשיב תחטיא את המטרה.",train
"מהו השיקול המרכזי שמוביל לקביעת העונש בעבירות כלכליות, על פי הפסיקה?","כמו כן לא אחת נקבע, כי בעבירות כלכליות, גובר השיקול ההרתעתי על משקלן של נסיבותיו האישיות של הנאשם בקביעת העונש.",train
מדוע האקדח שהוחזק על ידי הנאשם לא נחשב תקין ולא ניתן להשתמש בו לירי?,"האקדח שהוחזק על ידי הנאשם לא נחשב תקין ולא ניתן להשתמש בו לירי ללא תוספת חלקים פנימיים, ולכן יש להוריד מפרשנותה של טענות הנאשם להגנה באמצעות הנשק.",train
כיצד משפיעה העובדה שנעשה שימוש בגרזנים על מנת לאיים על שוטרים על החמרת הענישה?,"במקרה דנן, אמנם לא נעשה שימוש קטלני בגרזנים, אולם רואה אני בחומרה יתרה את העובדה שנעשה שימוש בגרזנים על מנת לאיים על חיי אדם ולא זו בלבד אלא במטרה לאיים על שוטרים אשר ביצעו תפקידם כחוק.",train
כיצד משפיעה האינדיבידואליות של מלאכת הענישה על הנאשם 1?,"מלאכת הענישה הינה לעולם אינדיבידואלית, על כן אתחשב בנסיבותיו האישיות של הנאשם 1, בעובדה כי ניהול ההליך הפלילי כנגדו והרשעתו בדין מהווה חלק מרכזי מהעונש, וכן אתחשב בחלקו היחסי בפרשה.",train
מהן הנסיבות המובילות לכך שחריגה לקולא מטעמי שיקום צריכה להתמצות בקיצור תקופת המאסר?,"בנסיבות אלה, נוכח חומרת המעשים ומידת המסוכנות הנשקפת מן הנאשם, גם בשלב זה של הטיפול, ובהתחשב בגורמי הסיכון כמפורט בחוות הדעת של הערכת המסוכנות, חריגה לקולא מטעמי שיקום צריכה להתמצות בקיצור תקופת המאסר בפועל.",train
"מהי החשיבות של הודאת הנאשם והנסיבות האישיות בהליך הענישה, בהתחשב בחומרת העבירה?","אתחשב בהודאתו של הנאשם ובנסיבותיו האישיות המיוחדות, כולל תרומתו לבטחון המדינה, אך זאת מבלי להתעלם מחומרת העבירה ומהעובדה כי המדובר בנאשם רצידיביסט.",train
כיצד השפיעה הודאת הנאשם על שיקול הדעת בענישה במקרה זה?,אתחשב בהודאתו של הנאשם אך לא אוכל להתעלם מחומרת העבירה ומהעובדה כי לא עשה דבר או חצי דבר כדי להסיר את המחדל ולו חלקית.,train
"מהי המדיניות שהציב בית המשפט העליון בענישה בעבירות מע\מ?""",בית המשפט העליון בפסיקה עקבית ומתמשכת לאורך השנים התווה מדיניות ענישה מחמירה שתרתיע בעלי עסקים מלעבור עבירות אלו.,train
מהי הסיבה לכך שאין הצדקה לחרוג לקולא ממתחם העונש ההולם?,אין בענייננו הצדקה או אפשרות לחרוג לקולא ממתחם העונש ההולם למטרת שיקום.,train
מהי עמדת בית המשפט העליון לגבי חריגה ממתחם הענישה ההולם במקרה זה?,בית המשפט העליון הודיע כי במקרה דנן אין הצדקה לחרוג מקביעת מתחם הענישה ההולם למטרת שיקום או לחומרה נוספת מעבר לו.,train
מהו השיקול המרכזי שהצדיק הענשה מרתיעה במקרה של תקיפת קטינים?,"אין צורך להכביר מילים בדבר חומרת העבירות בהן הורשע הנאשם ובדבר רף הענישה אשר נקבע בפסיקה לעבירות מסוג זה בהן האינטרס הציבורי והרצון להגן על קורבנות האלימות, במקרה זה ילדיו הקטינים של הנאשם, מחייב להעניש את העבריינים בצורה מרתיעה במיוחד כדי למנוע הישנותם של המעשים אשר הפכו נפוצים ומסוכנים.",train
מדוע גישה סלחנית ללא הליך טיפולי נחשבת למסוכנת בענישה?,גישה סלחנית ללא הליך טיפולי רק תחטיא את מטרות הענישה ותהווה אות עידוד לנאשם לחזור לסורו.,train
כיצד יש לאזן בין האינטרס הכללי לנסיבות האישיות של הנאשם בעת הענישה?,"יחד עם זאת ועל אף האמור לעיל, הענישה ככלל הינה מלאכה אינדיבידואלית ויש לאזן את האינטרס הכללי עם נסיבות המקרה ונסיבותיו האישיות של כל נאשם באשר הוא.",train
