question,answer,split
"מהי הגישה הנדרשת בעבירות אלימות כלפי גוף, לפי פסיקות קודמות?","בתי המשפט מצווים לענישה מחמירה בעבירות אלימות כלפי גוף ויפים הדברים שנקבעו בהקשר זה בע\פ 5641/09 מ\""י נ' ברזנסקי - לא פורסם - ניתן ביום 22.3.10, בזו הלשון:  \""תופעה נוראה זו אשר פשתה בארצנו כאש בשדה קוצים מחייבת את כל הגורמים לתת ידם למלחמת חורמה באלימות המכרסמת ביסודות חברתנו הדמוקרטית.""",train
כיצד משפיעים תיקון כתב האישום והודאת הנאשם על אורך המאסר בפועל?,"יש בתיקון שהוכנס בכתב האישום, בהודיית הנאשם המשקפת קבלת אחריות והפנמת פסול מעשיו, במצבו הבריאותי ובהשבת הרכוש שגנב, כדי להשליך על קביעת אורך המאסר בפועל בתוך מתחם הענישה.",train
מהן התחושות שהובילו את הנאשם לבצע את מעשי העבירות כלפי המתלוננת?,"הסיבות שהביאו את הנאשם לבצע את מעשי העבירות, נחזות כקשורות בתחושות חשדנות וקנאה מטעמו ולא ברור כיצד ההין לעלות מדרגה כה משמעותית מנורמטיביות לשמה ולפרוט תחושות אלו לכדי אלימות כלפי גופה ושלוות נפשה של רעייתו.",train
כיצד משפיעה מדיניות הענישה על העונש שניתן לנאשם בעבירות אלו?,"מדיניות הענישה בעבירות בהן הורשע הנאשם, מתחשבת בצורך במאבק בתופעת כניסת שוהים בלתי חוקיים לשטחי המדינה גם באמצעות ביצוע עבירות נלוות.",train
כיצד משפיעה הרשעת הנאשם על יכולתו למצוא תעסוקה בתחום ההנדסה?,"בנוסף, לא שוכנעתי כי הרשעה בדין תביא לגדיעת מטה לחמו של הנאשם, שהכשרתו נעוצה בהנדסת מכונות, מסגרת כוללת בה יכול ותימצא בעבורו תעסוקה גם בהינתן הרשעתו.",train
מהו תפקידו של הנאשם בביצוע העבירה וכיצד זה משפיע על מידת הפגיעה?,"עם זאת, מעמדו ותפקידו של הנאשם בביצוע העבירה היה מרכזי, הוא לא נגרר לביצועה על ידי אחרים ומידת הפגיעה של העבירה במתלוננת ובציבור- גבוהה.",train
מהו השיקול המקל שנלקח בחשבון בעקבות חלוף הזמן ללא הסתבכות פלילית נוספת?,"גם חלוף הזמן, מבלי שהוסיף להסתבך בפלילים, עומד לזכותו.",train
כיצד ישפיע שיקום הנאשמים על החברה שנפגעה ממעשיהם?,"החברה שנפגעה ממעשי הנאשמים תצא נשכרת משיקומם וגם רכיב העונש הגמולי שיושת עליהם, יהא לשם רווחתה.",train
מהי המדיניות בענישה בעבירות התפרצות לבתי מגורים?,"מדיניות הענישה הנהוגה בעבירות בהן הורשע הנאשם, מתחשבת בצורך במאבק בנגע ההתפרצויות לבתי מגורים.",train
מהו המכלול שצריך לשקף את מתחם העונש הכולל?,"מתחם העונש הכולל מתייחס למכלול הנתונים וצריך לשקף את חומרת העבירות, היקפן, והתחשבות בנסיבות האישיות של הנאשמת.",train
כיצד משפיעה הקלות בביצוע עבירות על תופעת העבריינות?,"אין זאת אלא, שהקלות הרבה שבה ניתן לבצע עבירות מן הסוג הזה והקושי לאתר את המעורבים ולהביאם לדין- מעודד עבריינים לשלוח ידם בעבריינות הזאת לעמן תאוות בצע.",train
אילו גורמים יש לקחת בחשבון בנוגע לתיקון שהוכנס בכתב האישום?,"יש להתחשב אף בתיקון שהוכנס בכתב האישום, בנורמטיביות המאפיינת את מישורי חייו השונים של הנאשם, בחלוף הזמן, ובמאמציו לתיקון תוצאות העבירות.",train
