text,split
"מע\מ גוש דן נ' א.ב. תבשילים של פעם (25.9.2017) (והפסיקה המוזכרת שם), ת\""פ (ת\""א) 32646-03-16 מע\""מ ת\""א 1,2 נ' מסעדת סלעים בע\""מ (30.4.2018), ת\""פ (פ\""ת) 36736-10-13 מע\""מ פתח תקווה נ' פלח (22.10.2014), ת\""פ (ת\""א) 64173-06-16 מע\""מ ת\""א נ' סופר שוק אבי יפו בע\""מ (24.12.2018)). בנוסף, קיימים מיוחדים ומתאימים בהם נגזר עונש צופה פני עתיד וקנס, ולעיתים של\""צ, גם מקום בו לא הוסרו מחדלי כתב האישום במלואם, כל מקרה ונסיבותיו (ראו: ת\""פ (שלום ת\""א) 33185-06-17 מדינת ישראל נ' י.ד.כ סלון המרכז (8.4.2019), ת\""פ (שלום ת\""א) 54943-01-17 מדינת ישראל נ' פאלומה תעשיות נעליים (3.12.2018), ת\""פ (שלום ת\""א) 50808-10-18 מדינת ישראל נ' אזולאי (28.5.2019), ת\""פ (שלום ת\""א) 64422-02-18 מדינת ישראל נ' וינר (3.6.2019)). ראו גם את הפסיקה אליה הפנה הסנגור: ת\""פ (שלום רח') 67587-03-17 מע\""מ רחובות נ' דויד ומיה אחזקות בע\""מ ואח' (19.5.2020), ת\""פ (שלום רמ') מדינת ישראל נ' כהן ואח' (2.7.2020), ת\""פ (שלום פ\""ת) 25716-05-20 מע\""מ פתח תקווה נ' יוסף (9.3.2021), ת\""פ (שלום פ\""ת) 25583-05-20 מע\""מ פתח תקווה נ' גראנד טק – מערכות בטיחות ומתח נמוך בע\""מ ואח' (9.3.2021). עיון בגזרי הדין שפורטו לעיל המפרטים את המקרים בהם נגזר עונש מאסר על תנאי בלבד ללא הסרת מחדלים מלאה או כזה לצד של\""צ מלמד כי בחלקם דובר בנסיבות מיוחדות אשר הצדיקו זאת, בסכומים נמוכים יותר, ומספר דוחות מועט יותר מאלה בענייננו, ו/או בהסרת מחדל חלקית משמעותית יחסית. כידוע, מתחם הענישה אינו עניין אריתמטי פשוט אלא מגלם הכרעה ערכית המבוססת על שיקולים שונים שמדיניות הענישה היא רק אחד מהם, כשעצם העובדה שלעולם יוכל כל צד למצוא פסקי דין התומכים בעמדתו מלמדת כי אין המדובר במדד מדויק (ע\""פ 3877/13 ג'אבלי נ'""",train
"והנאשמים אינם מהוגי ויוזמי השיטה. אמנם, כפי שהפנתה המאשימה, החקירה כנגד הנאשמים במקרה דנן החלה בעקבות החשדות מושא האישום השני שעניינו מכירת יהלומים ללא תיעוד חשבונאי בסכום של מעל מיליון דולר, כך שאין המדובר בנאשמים שחקירתם החלה על בסיס רישומי הקלסר האדום, והעבירות הנוגעות לאישום הראשון (הקשורות לקלסר האדום ולעסקם של מגן ואלעד) התגלו בהמשך לכך. יחד עם זאת, לא ניתן להתעלם מכך שגם חקירת האישום השני החלה בעקבות חקירת מעורב אחר בקשר לחשדות העולים מהקלסר האדום ומהקשרם של הדברים. כמו כן, יש לתת את הדעת לכך שכפי שעולה מקביעותי בהכרעת הדין (סעיף 31 לפרק ג' להכרעה), ועל פי קביעותי בגזרי הדין אשר ניתנו בפרשה הכוללת אליהם אף הפנו הצדדים, מגזר היהלומנים עליו נמנו הנאשמים הוא מגזר ייחודי שזכה לאורך שנים ארוכות ליחס שונה בתחום המס. משך שנים חלו על ענף היהלומנים הסדרים נורמטיביים שחלקם מקלים וחלקם נקבע לשם הבטחת גביית מס, ויש בהם כדי להטיב עם הרשות. ההסדרים הייחודים לענף היהלומנים נגעו לאופן ניהול ספרי הנהלת החשבונות, לאופן הערכת המלאי, ולאפשרות לדווח ולשלם מס בשיטת התחשיב המפורטת לעיל. בנוסף לא נערכו ביקורות על ידי רשות המסים בבורסה ליהלומים. ההקלות לענף נבעו בעיקרן מהקושי שבהערכת המלאי בהעדר מומחיות להעריכו, הקושי בביצוע ביקורות בבורסה ליהלומים בשל המאפיינים הייחודים לענף, ובהיותה מתחם סגור, כמו גם הרצון להביא לגביית מס מרבית באמצעות שיטת התחשיב. זאת לצד הרצון לתמרץ ולהקל על הענף, אשר משך שנים רבות היה ענף יצוא חשוב לכלכלת המדינה (בהקשר זה אף יצוין שעל פי הוראות ניהול ספרים לא נדרש נישום העוסק בסחר ביהלומים לרשום את שם הצד השני לעסקה ככל שהמדובר בתושב חוץ). בנוסף, העדר כוח",train
"עמדת בתי המשפט באשר לחומרת העבירות בהן הורשעו הנאשמים ידועה. וכך גם ידועה הפגיעה בערכים המוגנים הנפגעים מביצוען. נקבע לא אחת כי מביצוע עבירות אלה נגרם נזק לקופה הציבורית ובכך לכלכלת המדינה ולכל אחד מאזרחיה. ערך נוסף שנפגע נוגע להפרת שיוויון נשיאת נטל המס וכך גם הפרת האמון הניתן בנישום שידווח דיווחי אמת וישלם מיסיו כחוק. המדובר בעבירות שבבסיסן מרמה והן קשות לגילוי, משכך אף רב הפיתוי לבצען. לא אחת נקבע כי בעבירות מסוג זה על הענישה להיות משמעותית ומרתיעה וכי נסיבות אישיות נדחות מפני האינטרס הציבורי בסוג זה של עבירות. הצדדים הגיעו כאמור להסדר טיעון הכולל עונש מאסר בפועל בן 15 חודשים לצד קנס בסך 65,000 ₪ לנאשם וקנס בסך 100 ₪ לנאשמת ועותרים כי אכבדו. בע\פ 2021/17 בעניין מצגר חזר בית המשפט העליון והדגיש את המדיניות העקרונית התומכת באימוץ הסדרי טיעון, תוך שעמד על כך שבתי המשפט הדגישו לא אחת את יתרונותיהם של הסדרי הטיעון והאינטרס הציבורי שבבסיסם, לצד תפקידם הראוי במערכת אכיפת החוק הפלילית. כך הובהר שוב כי הכלל הוא שבית המשפט ייטה לכבד הסדר טיעון בין הצדדים ויתערב בו רק בהתקיים טעמים המצדיקים זאת ולאחר בחינתו במסגרת מבחן האיזון אשר אומץ בע\""פ 1958/98 בעניין פלוני. בעניין מצגר הוסיף בית המשפט כי בין יתר השיקולים אשר נשקלים במסגרת מבחן האיזון יבחן בית המשפט גם את העונש הראוי לפי תיקון 113 לחוק העונשין וגם זאת בראי חשיבות מוסד הסדרי הטיעון ומדיניות אימוץ הסדרי הטיעון. לאור המפורט אפנה לבחון האם הסדר הטיעון במקרה דנן מאוזן וראוי ויש מקום לאמצו. לשם בחינה כמפורט יש לבחון את נסיבות ביצוען של העבירות, היקפן ומידת הפגיעה בערכים המוגנים, לצד""",train
"הנאשמת וההתמודדות עם ההליך הפלילי, הרי שהנאשם אינו מטופל בילדים קטינים כי אם בבנות בגירות (הגם שאחת מהן סובלת מנכות מסוימת), רעייתו עובדת ומשתכרת והוא אף נמצא כשיר לבצע עבודות שירות מבחינת מצבו הבריאותי. יש לזכור, כפי שצוין לעיל, כי שיקולי ההרתעה, ובכלל זאת הרתעת הנאשם אך גם הרתעת הרבים תופסים בכורה על נסיבותיו האישיות של הנאשם בסוג זה של עבירות. ר' רע\פ 3857/13 ‏יצחקיאן נ' מדינת ישראל (30.07.2013), רע\""פ 3998/15 פלוני נ' מדינת ישראל (28.6.2015) ועניין אודיז. לאחר כל זאת אני גוזרת על הנאשמים את העונשים הבאים: לנאשם: מאסר בפועל לתקופה של 4 חודשים, שירוצה בדרך של עבודות שירות, בהתאם לחוות-דעת הממונה על עבודות השירות, במרכז יום לקשיש אביבים, רח' חיים לבנון 75, תל אביב. הנאשם יתייצב במפקדת מחוז מרכז ביום 11/3/18 שעה 08:00 לתחילת ריצוי עונשו. הובהרה לנאשם המשמעות של אי עמידה בתנאי עבודות השירות. לנאשם: מאסר על תנאי למשך 6 חודשים, לתקופה של 3 שנים והתנאי שהנאשם לא יעבור עבירת מס מסוג עוון. לנאשם: קנס בסך 7,000 ₪ או 20 ימי מאסר תמורתו. הקנס ישולם ב- 20 תשלומים חודשיים, שווים ורציפים, כשהראשון בהם ביום 10/4/18 ובכל 10 לחודש שלאחריו. לא ישולם תשלום – תעמוד יתרת הקנס לפירעון.""",train
"נ' מדינת ישראל (8.11.2016). בעניין ילדרים קבע בית המשפט המחוזי כי המדובר בשיהוי ממשי שהביא להגשת כתב-אישום כ-6-7 שנים ממועד ביצוע העבירות, מבלי שניתן הסבר מניח את הדעת לכך על ידי המאשימה. בין היתר משכך, מצא בית המשפט המחוזי להקל בעונש המאסר שנגזר על הנאשם אשר ביצע עבירות מס על פי סעיף 220 לפקודה וסעיף 117(ב) לחוק מע\מ, באופן ממשי, ולהעמידו על מאסר בן 9 חודשים אשר ירוצה בעבודות שירות, חלף 16 חודשי מאסר בפועל. ראו גם: עפ\""ג (ת\""א) 6117-09-16 פרי נ' פרקליטות מחוז תל אביב מיסוי וכלכלה (14.12.2016). כן ראו: הצעת חוק העונשין (תיקון מס' 128 הבניית שיקול הדעת המשפטי בענישה), התשע\""ו-2016 מיום 27.6.2016 בה מוצע, בין היתר, להוסיף כנסיבה נוספת שאינה קשורה לביצוע העבירה, המצדיקה אף חריגה ממתחם העונש ההולם במקרים מתאימים, חלוף פרק זמן ארוך במיוחד מעת ביצוע העבירה, וכן את התנהגות רשויות אכיפת החוק מקום בו עמדה בסתירה מהותית לעקרונות צדק והגינות משפטית. יש לתת משקל ממשי לקושי שחווה הנאשם לחיות תחת עננת החשדות הפליליים משך שנים ארוכות, במקרה זה קושי זה אף קיבל אותותיו במצבו הנפשי כמפורט בתסקיר ובמסמכים הרפואיים שהגיש. בנוסף, כפי שנקבע בפסיקה, גם האפקטיביות שבהרתעה נפגעת מקום בו נגזר עונש על נאשם שנים כה ארוכות מאז ביצוע העבירות והחקירה. סוף דבר – במקרה דנן, בפרט נוכח השיהוי וחלוף הזמן המשמעותי, לצד סוג העבירות שבביצוען הורשע הנאשם, נסיבות ביצוען על ידו, מתחם הענישה אשר נקבע, ועונש המאסר שנגזר על מעורבים נוספים בפרשה הרחבה לריצוי בעבודות שירות, על ההבחנה בין עניינם לעניינו של הנאשם (עניין אריק כהן ועניין גיא פלץ), בראי הודיית הנאשם, חיסכון הזמן השיפוטי על ידו והעדרו של""",train
"ניהול פנקסי חשבונות ו/או אי הגשת דוחות במועד, העמיד בית המשפט את הרף התחתון של מתחם הענישה על עונש של מאסר בן מספר חודשים אותו ניתן לרצות בעבודות שירות ואת הרף העליון על עונש מאסר של ממש מאחורי סורג ובריח. גם באשר לענישה שהושתה קיים מנעד עונשים רחב. בחלק מהמקרים נגזרו עונשי מאסר לריצוי בעבודות שירות, גם כאשר הוסרו מחדלי כתב האישום, בדרך כלל מקום בו בוצעו עבירות של אי ניהול פנקסי חשבונות ואי הגשת דוחות במועד לצד עבירה של אי הודעה על התחלת התעסקות. במקרים אחרים, כאשר הוסרו המחדלים, נגזרו עונשי מאסר על תנאי. מקרים בהם לא הוסרו המחדלים ונעברו לצד העבירה עבירות נוספות נגזרו עונשי מאסר מאחורי סורג ובריח. ת\פ (שלום-נצרת) 33792-11-09 מדינת ישראל נ' ח'אלדי (27.3.2014) – הנאשם הורשע בעבירה של אי הודעה על התחלת התעסקות ועבירה של אי ניהול חשבונות. בית המשפט קבע כי מתחם העונש ההולם נע בין מאסר על תנאי לתקופה של חודשיים לבין מאסר על תנאי לתקופה של 6 חודשים וקנס כספי. לבסוף, גזר על הנאשם עונש של 5 חודשי מאסר על תנאי וקנס בסך 5,000 ₪. ת\""פ (שלום-נצרת) 20961-10-11 מדינת ישראל נ' סבאח (30.1.2014) – הנאשם הורשע בעבירה של אי הודעה על התחלת התעסקות ובעבירה של אי ניהול פנקסי חשבונות. בית המשפט קבע כי מתחם העונש ההולם נע בין מאסר על תנאי לתקופה של חודשיים לבין מאסר על תנאי לתקופה של 6 חודשים וקנס כספי. לבסוף, השית על הנאשם עונש של 3 חודשי מאסר על תנאי, קנס בסך 1,500 ₪ והתחייבות. ת\""פ (שלום-י-ם) 46710-05-11 מס הכנסה חקירות ירושלים נ' פירו (28.5.2014) - בית משפט השלום הרשיע את הנאשם,""",train
"לא נטען כי נגרם נזק ממשי מביצוע העבירה לשלמות גופו של המנעולן. לצד זאת, לא ניתן להתעלם מהנזק אשר נגרם לתחושת הביטחון של המנעולן. בנוסף, משלא ניתן לנתק בין תקיפת המנעולן לבין הסגת הגבול, יש מימד של חומרה בתקיפת המנעולן, ובניסיונו של הנאשם להוציאו מדירת המתלוננת, לאחר שפרץ אותה על פי בקשתו. זאת כאשר הנאשם יודע כי הוא מסיג גבול לדירת המתלוננת, תוך ניסיון למנוע מהמנעולן לסכל את תוכניתו להיכנס ולהישאר בה שלא כדין כשברקע כאמור בעיתיות הקשר שבין המתלוננת והנאשם ותחושותיה הקשות של המתלוננת כלפיו. בנסיבות אלה, מידת הפגיעה בערכים המוגנים מביצוע עבירת התקיפה איננה מינורית או זניחה. בשים לב למפורט לעיל, לאור הנסיבות המלמדות על קשר בין עבירת הסגת הגבול לעבירת התקיפה, ובהתאם למבחן הקשר ההדוק אשר נקבע בע\פ 4910/13 ג'אבר נ' מדינת ישראל (29.10.2014) (להלן: \""עניין ג'אבר\"") יקבע במקרה זה אירוע אחד הכולל את שתי העבירות בהן הורשע הנאשם (ראו עוד בקשר לקביעת אירועים, התכלית הפונקציונלית והמהותית : ע\""פ 1261/15 דלאל נ' מדינת ישראל (13.9.15) וע\""פ 6888/17 שירזי נ' מדינת ישראל (10.12.2018)). באשר לענישה הנוהגת, עיון בפסיקה, ובכללה הפסיקה אליה הפנו הצדדים מלמד כי בחלק גדול מהמקרים, תחתית מתחם הענישה ביחס לעבירה של הסגת גבול מתחיל בעונש של מאסר על תנאי ועד מספר חודשי מאסר בפועל, גם כאשר המדובר במי שהורשע בהסגת גבול לשם גניבה. ביחס לעבירה של תקיפה סתם, ללא תכנון מוקדם או נסיבות מיוחדות, בדרך כלל, נקבע מתחם שתחתיתו מאסר על תנאי ותקרתו עונש מאסר בן מספר חודשים, לעיתים, תחתית המתחם נקבעת כמאסר על תנאי גם מקום בו דובר בתקיפה חבלנית. ת\""פ (שלום ת\""א) 28021-05-16 מדינת ישראל נ' דכה (17.9.2018): שם""",train
"הרצפה. כתוצאה מכך נגרמו למתלונן כאבים בראשו ובצווארו, סחרחורות וסימנים אדומים על פניו והוא פונה לקבלת טיפול רפואי. בית משפט השלום קבע מתחם ענישה שבין מאסר מותנה לצד של\צ ובין מספר חודשי מאסר וגזר על המבקש חודש מאסר בעבודות שירות לצד ענישה נלווית. ערעור שהוגש לבית המשפט המחוזי נדחה וכן בקשת רשות ערעור לבית המשפט העליון. עפ\""ג (מח' י-ם) 51003-10-14 מדינת ישראל נ' אדלרסברג (24.12.2014) שם מצא בית המשפט המחוזי להרשיע את המשיב, שהרשעתו בוטלה בבית משפט השלום, ואשר ביצע עבירת תקיפה הגורמת לחבלה של ממש, בכך שעל רקע ויכוח דחף את המתלונן במורד 5 מדרגות ונגרמו לו חבלות בדמות אדמומיות סביב העין, פצע מעל הגבה, שפשוף ושטפי דם שהצריכו טיפול רפואי. עונשו של המשיב ל- 250 שעות של\""צ נותר על כנו. ת\""פ (י-ם) 51074-10-18 מדינת ישראל נ' גולדשטיין (4.7.2021) שם הורשע הנאשם על יסוד הודאתו בעבירה של תקיפה חבלנית. כשהמתלונן סירב לציית לדרישתו של הנאשם היכהו הנאשם פעמיים באגרופים למצחו ולאפו, גרם לחתך באזור הרקה השמאלית ולהמטומה באפו. בית המשפט קבע מתחם ענישה שבין מאסר מותנה לצד צו של\""צ ועד 6 חודשי מאסר שיכול וירוצו בעבודות שירות וגזר על הנאשם 300 שעות של\""צ, מאסר על תנאי וענישה נלווית. רע\""פ 1402/15 טלי נ' מדינת ישראל (2.2.2015) שם הורשע המבקש בעבירה של תקיפה חבלנית. על רקע סכסוך בדרך, תקף המבקש את המתלוננת וחתנה כשזו ניסתה למנוע עזיבתו את המקום. נקבע שהעונש אשר הושת על המבקש, הכולל מאסר מותנה למשך 7 חודשים לצד קנס כספי ופיצוי, שניהם בסך 1,500 ₪, הוא עונש הולם בנסיבות המקרה. ת\""פ (שלום ת\""א) 24239-08-18 מדינת ישראל נ' גואדיה (13.7.2020) שם הרשעתי את הנאשם""",train
"ביצוע העבירה עברו חייו של הנאשם תמורה ממשית, לכך שנישא וכיום הוא אב לשני קטינים ומצפה לילד נוסף, מגלה תפקוד תקין בתחומי חייו השונים ללא מעורבות בעבירות נוספות ובעל שאיפות נורמטיביות לעתיד. כלל הנסיבות והדרך הטובה והמשמעותית שעשה הנאשם מאז ביצוע העבירות ישקלו לקולא בעת קביעת עונשו של הנאשם, לצד עיקרון אחידות הענישה, ערך השוויון והצורך בשמירה על יחס של שקילות בין עונשם של נאשמים שונים בגדר אותה פרשה (ע\פ 8345/15 אוחנה נ' מדינת ישראל (19.9.2017)). לאחר שקילת כל זאת, ותוך שקילת שיקולי הלימה, הרתעה ואינטרס ציבורי, מצאתי לגזור על הנאשם עונש מאסר לריצוי בעבודות שירות לתקופה של 7 חודשים, שאיננה התקופה המקסימלית, לצד ענישה נלווית בדמות מאסר על תנאי וקנס מתון בנסיבותיו. נתתי דעתי לעתירת הסנגור להימנע מהטלת קנס בנסיבות ונוכח השיהוי שבהגשת כתב האישום, אך אינני מוצאת להיעתר לבקשתו. כידוע, בסוג זה של עבירות קיימת חשיבות להטלת קנס בשל אופיין. התחשבות בכל הנטען על ידי הסנגור ובמצבו הכלכלי של הנאשם (ענ/1) תבוא בעת קביעת שיעור הקנס. בהקשר לשיקולי אחידות הענישה יש לציין אמנם בעניין אריק כהן, שמעשיו חמורים באופן ממשי ממעשי הנאשם, נגזר עונש קרוב לעונש שייגזר על הנאשם, 7 חודשי מאסר בעבודות שירות, אך יש לזכור כי הנסיבות שהביאו לגזירת עונשו של אריק כהן ברף כה נמוך אינן מתקיימות בעניינו של הנאשם ונוגעות בעיקרן לכך שהעבירות בהן הורשע לא צורפו, ככל הנראה בשגגה, לתיק קודם שהתנהל בעניינו (להרחבה: ראו והשוו עניין אריק כהן והפירוט בעניין אריק כהן לעיל). בקשר לקביעת עונש המאסר שייגזר על הנאשם לריצוי בעבודות שירות, אבהיר כי הגם שכאמור דרך המלך בסוג זה של עבירות היא לגזירת עונש של מאסר""",train
"המוגנים ובכלל זאת באמון המוגבר שניתן בעוסקים בענף היהלומים. יש לזכור כי המדובר בעבירות שבבסיסן מרמה, גילוין קשה וקיים פיתוי גדול לבצען, לכן, חזרו בתי המשפט ושנו כי בסוג זה של עבירות יש מקום לענישה ממשית ומרתיעה, הכוללת בדרך כלל מאסר מאחורי סורג ובריח, כשנסיבותיו האישיות של העבריין נדחות מפני האינטרס הציבורי. לצד האמור, וכנסיבות ממתנות יש לתת את הדעת לטענה לפיה החשבוניות הכוזבות אשר הוצאו הן בשיעור של 5% ממחזורה של הנאשמת. בפרט, ודומה שעל כך אין מחלוקת, יש לתת את הדעת לכך שאין המדובר במי שעיסוקו מתמצה בהוצאת חשבוניות כוזבות (כפי שקורה פעמים רבות במקרים דומים בעבירות של הוצאת חשבוניות כוזבות) אלא במי שעסק בסחר ביהלומים ולצד ביצוע העבירות ניהל עסק לגיטימי. עוד יש לזכור כי הנאשם פעל לדיווח על הכנסותיו כחוק (ובכללן אף הכנסותיו ממכירת היהלומים המפורטים בחשבוניות הכוזבות – הגם שנמכרו ליהלומנים אחרים מאלה הרשומים בחשבוניות הכוזבות), באמור יש כדי למתן במידת מה את הנסיבות וללמד כי אין המדובר במי שהפגין זלזול מוחלט כלפיי חובותיו החוקיות. חשוב לציין, ביחס למוציאי חשבוניות כוזבות \טיפוסיים\"", כי פעמים רבות אלה אינם כוללים אותן בספרי הנהלת החשבונות או מדווחים עליהן, וככל שעושים כן, כוללים בדיווחיהם גם הוצאות כוזבות, כדי להביא לתוצאת מס רצויה מבחינתם. זוהי כאמור איננה התנהלות הנאשמים בענייננו ויש בכך כדי להפחית ממידת הפגיעה ממעשיהם בערכים המוגנים. במקרה דנן הוציאו הנאשמים חשבוניות כוזבות כך ששם הגורם לו מכרו את היהלומים נרשם בכזב בעוד שהעסקאות המפורטות בחשבוניות הן עסקאות אמת. דיווח על עסקאות שביצעו מחויב על פי הפקודה ואין המדובר במי שמדווח על הכנסה גבוהה מזו שהייתה לו בפועל. יחד עם זאת אין להתעלם מכך""",train
