text,split
"קצין הפיקוח. בית משפט השלום בירושלים קבע מתחם ענישה הנע בין מאסר על תנאי וקנס ועד 5 חודשי מאסר אשר יכול שירוצו בעבודות שירות. על המערער הוטלו 4 חודשי מאסר על תנאי וקנס בסך 900 ₪. ערעורו על הכרעת הדין וגזר הדין נדחו בבית המשפט המחוזי, ובקשת רשות הערעור לבית המשפט העליון נדחתה אף היא. ת\פ 19593-10-18 מדינת ישראל נ' משאהרה (פורסם במאגרים) – הנאשם הורשע, במסגרת הסדר טיעון, בעבירה של הפרת צו פיקוח. במסגרת צו הפיקוח נקבע, כי על הנאשם להתקין חסם גלישה במכשיר הסלולרי שלו. הנאשם הציג בפני קצין הפיקוח מכשיר סלולרי בו מותקן חסם גלישה, בעוד שהיה ברשותו מכשיר סלולרי נוסף, אותו הסתיר מקצין הפיקוח, ללא חסמי גלישה, ועשה בו שימוש, בין היתר, לגלישה באתרים פורנוגרפיים ובעלי אופי פורנוגרפי. בית המשפט קבע מתחם ענישה הנע בין מספר חודשי מאסר לריצוי בדרך של עבודות שירות, ועד 12 חודשי מאסר, והטיל על הנאשם 3 חודשי מאסר בפועל לריצוי בדרך של עבודות שירות ומאסר מותנה. ת\""פ 46586-02-18 מדינת ישראל נ' פלוני (פורסם במאגרים) – הנאשם הורשע בריבוי הפרות של צו הפיקוח, ביניהן, עזב את בית הוריו ללא הודעה לקצין הפיקוח; קיבץ נדבות; עבד בעבודה ללא אישור קצין הפיקוח; ולבסוף, ניתק עם קצין הפיקוח כל קשר. בית המשפט קבע מתחם ענישה הנע בין חודש ועד 6 חודשי מאסר והטיל על הנאשם חודשיים מאסר בפועל; הפעלת מאסר מותנה בן שלושה חודשים; מאסר מותנה. לאור תיקון 113 לחוק העונשין, בהתאם להוראות סעיף 40ט(6) - (7), כאשר המדובר בנאשם, בעל נתונים אישיים מיוחדים, הסובל ממצב נפשי או קוגנטיבי מיוחד, שהיה בו כדי להשפיע על יכולתו להבין הפסול שבמעשיו או להימנע""",train
"2,500 ₪. בגין אישום זה, ייקבע מתחם ענישה הנע בין שלושה חדשים ועד 12 חודשי מאסר בפועל. האישומים החמישי עד השביעי – בכל אחד מאישומים אלו, קיבל הנאשם במרמה סכומי כסף גבוהים. בנוסף, באישום החמישי, ניסה הנאשם לקבל סכומים נוספים במרמה, אך כשל בכך. בגין כל אחד מאישומים אלו (שלושה אישומים), ייקבע מתחם ענישה הנע בין 12 ועד 24 חודשי מאסר בפועל. אמנם, לחובת הנאשם הרשעה אחת קודמת בעבירות מס. בנוסף, לחובתו הרשעות רבות בהליכים משמעתיים, עוד מימי התמחותו, בגינן הוצא מלשכת עורכי הדין, לתקופות שונות. פסקי הדין, מבתי דין שונים, הן מחוזיים והן מבית הדין הארצי, המכילים את הרשעותיו המשמעתיות של הנאשם – הוגשו בהסכמת הצדדים, ומדברים בעד עצמם. בהצטרף לאירועים נושא כתב האישום דנן - יש בהם כדי ללמד על השיטתיות; התחכום; חוסר האמפתיה; והיעדר גבולות. העונשים שהוטלו על הנאשם במסגרת ההליכים המשמעתיים – לא הרתיעו אותו מלעבור העבירות והוא שב לסורו פעם אחר פעם, כאשר הוא מותיר אחריו אדמה חרוכה, הרס ופגיעה במתלוננים, בקניינם, במצבם המשפטי, בשלוות חייהם. בין הצדדים הוסכם, כי הנאשם ישלם סך של 100,000 ₪ לפיצוי קרבנותיו הנוכחיים, אך הנאשם לא עמד בהסכמה דיונית זו. מבדיקה בתיק עולה, כי הנאשם הפקיד, עד כה, סך בן כ-32,750 ₪ בלבד (סך בן 4,000 ₪ מתוכם – הופקד במסגרת צו הבאה, אך ההגנה הסכימה להעברתם על חשבון פיצוי נפגעי העבירה), וזאת לאחר שניתנו ארכות רבות לשלם תשלומי הפיצוי, אך אלו לא שולמו. הנאשם נטל אחריות והודה במעשיו, ואף הביע חרטה פורמלית כאשר מסר את דברו האחרון. עם זאת, לא פעל הנאשם די להשיב המצב לקדמותו ולפצות את קרבנותיו התמימים. על בית המשפט להטיל",train
"עבירות רכוש בכלל ועבירות כלפי רכבים בפרט, פוגעות בתחושת הביטחון האישי של האזרח. עבירות אלה מחייבות ענישה משמעותית, בעולם המעשה, על מנת להרתיע את עובריהן ולהפוך אותן ללא כדאיות. מעבר לנזקים הממוניים הנגרמים לנפגעי העבירה מעבירות אלו, ישנם תמיד נזקים נלווים, כמו התרוצצות למציאת רכב חדש או לתיקון הנזקים אם נמצא הרכב הגנוב; שהות בלא רכב לתקופה מסוימת; שינוי בתכניות; התמודדות עם גופים ביורוקרטיים לצורך הגשת תלונה, ביטול רישיון הרכב; תביעת פוליסת הביטוח; חידוש תיעוד שאבד; התקנת מיגון ברכב חדש שנרכש – אם לא אותרה הגניבה; אבדן מיטלטלין שונים שהיו ברכב, פעמים רבות בשווי ניכר; ועוד. בנוסף, קיימת עליה מתמדת בעלות פרמיות הביטוח בגין כלי רכב, המגולגלת על הצבור כולו, בשל העליה בשכיחות העבירות, אשר הפכה מזמן למכת מדינה. בשנה האחרונה, היתה קפיצה של יותר מפי 1.5 בעלות פרמיות הביטוח בכלל החברות המבטחות. עליה זו נומקה בגידול בהיקף גניבות הרכב, והיא מהווה, הלכה למעשה, כעין מס נוסף המוטל על כלל הציבור. על התייחסות בית המשפט העליון לעבירות אלה ראו פסק הדין רע\פ 7890/10 מליטאת נ' מדינת ישראל (פורסם במאגרים): אין צורך להכביר מלים על מפח הנפש של אדם היוצא מביתו ומגלה כי רכבו, רכוש יקר ובעל חשיבות רבה מכל בחינה, אינו עוד. לכך מצטרף הנזק הכלכלי במעגל רחב יותר, במונחי המשק. הרוצה ליהנות בזדון מעמל הזולת ולשלוח יד ברכוש שלא הוא צבר, ראוי לענישה מחמירה... ככלל, ייסוג האינטרס האישי השיקומי של העבריין מפני האינטרס הציבורי, ככל שמדובר בעבירות אלה. בנוגע למשקל שיש ליחס לנסיבות אישיות או לאינטרס השיקום בעבירות אלה, ראו פסק הדין רע\""פ 10116/06 כהן נ' מדינת ישראל (פורסם במאגרים): האינטרס השיקומי הינו חלק ממכלול""",train
"מחלקה וטרינרית, רחוב המכונאי 7, באר שבע, 5 ימים בשבוע, שעות העבודה – בהתאם לממונים עליו במקום. על הנאשם להתייצב, ביום 30.04.23, שעה 08:00, במשרד הממונה על עבודות השירות במחוז דרום בשב\ס, ומשם ימשיך לריצוי העבודות בהתאם להנחיות שיקבל. הנאשם מוזהר, כי אי התייצבות לריצוי עבודות השירות; אי שמיעה להוראות הממונים עליו במשרד הממונה על עבודות השירות או במקום ריצוי עבודות השירות; אי שיתוף פעולה עם משרד הממונה על עבודות השירות בכל ענין שהוא, לרבות מסירת בדיקות - עלול להביא להפקעה מנהלית של צו ריצוי המאסר בדרך של עבודות שירות, על כל המשתמע מכך; 10 חודשים מאסר על תנאי למשך שלוש שנים מיום שחרורו של הנאשם ממאסר, והתנאי – שהנאשם לא יעבור עבירה מסוג פשע בניגוד לפקודת הסמים המסוכנים [נוסח חדש], תשל\""ג – 1973, או עבירה מסוג פשע בניגוד לחוק המאבק בתופעת השימוש בחומרים מסכנים, תשע\""ג – 2013; 5 חודשים מאסר על תנאי למשך שנתיים מיום שחרורו של הנאשם ממאסר, והתנאי – שהנאשם לא יעבור עבירה מסוג עוון בניגוד לפקודת הסמים המסוכנים [נוסח חדש], תשל\""ג – 1973, או עבירה מסוג עוון בניגוד לחוק המאבק בתופעת השימוש בחומרים מסכנים, תשע\""ג – 2013; או עבירה כלשהי בניגוד לחוק העונשין, תשל\""ז – 1977, פרק ט', סימנים א' – ב'; קנס בסך 5,000 ₪ או 45 ימי מאסר תמורתו. הקנס ישולם ב- 5 שיעורים שווים ורצופים החל מיום 01.05.23 ובכל 01 לחודש שלאחר מכן. לא יועבר אחד התשלומים במועד – תעמוד היתרה לפירעון מידי; פסילה בפועל מקבל או מהחזיק רשיון נהיגה לרכב מנועי למשך 3 חודשים. על הנאשם להפקיד רשיונו, או תצהיר מתאים, עוד היום במזכירות בית המשפט. מובהר לנאשם,""",train
"חיפוש בביתו, שם נמצא סם מסוכן מסוג קנביס במשקל 28.27 גרם שלא לצריכתו העצמית; ביום 09.04.21, מכר סם מסוכן מסוג קנביס במשקל 10 גרם, תמורת סך של 600 ₪; ביום 14.04.21 מכר הנאשם סם מסוכן מסוג קנאביס במשקל 2 גרם, תמורת סך של 100 ₪. בית משפט השלום דן את המשיב(הנאשם) ל-300 שעות של\צ; צו מבחן לשנה; התחייבות להימנע מעבירה; פסילה על תנאי של רישיון הנהיגה; והורה על ביטול הרשעתו. המדינה ערערה על קולת העונש ועל הימנעות מהרשעת הנאשם. בית המשפט המחוזי, בשבתו כערכאת ערעור, קיבל את ערעור המדינה כך שהרשיע את הנאשם, והחזיר את העניין לבית משפט השלום באילת לצורך קביעת הענישה בענינו. בית המשפט המחוזי (כב' השופטת גילת שלו) ציין: אשר לסוג העבירות ונסיבות ביצוען, הרי שהמשיב הודה בביצוע עבירות של סחר בסמים והחזקת סם שלא לצריכה עצמית, מן החמורות שבעבירות המנויות בפקודת הסמים ובספר החוקים בכלל. לא אחת נכתב בנוגע לעבירות אלו כי האינטרס הציבורי מחייב תגובה עונשית קשה ובלתי מתפשרת בגינן, כחלק מהתרומה שעל בתי המשפט לשאת למלחמה בנגע הסמים; ובעיקר באלו המצויים במעגל הראשון של הפצת ומכירת הסם לצרכנים. ... לא ברור כיצד מצא בית המשפט קמא כי נסיבות ביצוע העבירות מאפשרות אי הרשעה... מעבר לאמור, לא עלה בידי ההגנה להצביע על נזק קונקרטי שייגרם לנאשם מהותרת הרשעתו על כנה. לדברי ההגנה, הותרת ההרשעה על כנה, עשויה לפגוע בניסיונו של הנאשם לעבוד בעתיד בתפקיד מורה לחינוך גופני, אולם, הנאשם אינו עובד במקצוע זה כעת, ואף לא ניסה לעבוד במקצוע זה החל משנת 2019, אז סיים את לימודיו בתחום, ובית המשפט אינו מתרשם מפגיעה ממשית בנאשם. מכל המקובץ – אין בית המשפט""",train
"ראשית, לעניין טענת ההגנה כי כתב האישום המתוקן אינו כולל החזקת כדורים וכי המדובר בתפיסת מחסנית ריקה – מפנה בית המשפט את הצדדים לדברי הנאשם בדיון, עת הודה הנאשם בכתב האישום המתוקן. ראו פרוטוקול הדיון מיום 25.11.2018 (עמ' 2 ש' 23 – 27) לפני חברי, כב' סגן הנשיאה, השופט א' ברסלר-גונן: אני מודה בעובדות כתב האישום המתוקן, לרבות שהחזקתי בבית שלי אקדח מסוג FN עם מחסנית וכדורים וגם רימון הלם. זה נכון שביום 27.9.18 כשהגיעו שוטרים לבית שלי לחפש אני לקחתי את הנשק וזרקתי אותו מחוץ לחלון המרפסת ואת רימון ההלם זרקתי בסמוך לשטח בית הספר שנמצא ליד הבית שלי וזה כדי שלא ימצאו את הנשק וישתמשו בו כראיה. דברי הנאשם אינם משתמעים לשני פנים. לאחר קריאת כתב האישום המתוקן, טענות הצדדים, דברי הנאשם לעיל, מוצא בית המשפט לדחות נסיון ההגנה לפרש האמור בכתב האישום המתוקן, לפיו האקדח נתפס ללא תחמושת. שהרי, מעבר לדברי הנאשם המפורשים, הודה הנאשם גם בעבירה לפי הסיפא לסעיף 144(א) לחוק, שעניינה החזקת תחמושת. עד כאן בנוגע לפרשנות הקטע שבמחלוקת. אשר לעבירות בהן הורשע הנאשם: אין צורך להכביר מילים על פוטנציאל הסיכון הנובע מהחזקת נשק חם קטלני, שלא כדין. כלי הנשק עלול למצוא דרכו לפעילות שלילית, אם פלילית ואם נגד בטחון המדינה. החזקת נשק ותחמושת על ידי מי שלא נבדק, לא נמצא מתאים ולא הוכשר לכך, בתנאים שאינם מבטיחים בידודו של הנשק מהסביבה (כיום מי שמחזיק נשק ברשיון נדרש לאפסנו בכספת מאובטחת, מאחורי שני מנעולים), עלולה להביא לסיכון שלום הציבור, גם אם אין ראיות, שהוחזק לצורך פעילות שלילית, כמפורט לעיל. בנוסף, החזקת נשק כאמור עלולה להביא לפגיעה בשלטון החוק ובנושאי שלטון החוק,",train
"נפיצות העבירות (ודי בעיון בפסיקה שהובאה לעיל, כדי לראות את ריבוי גזרי הדין בעבירות דומות, על פני תקופה קצרה יחסית), והתגברות התחכום מצדם של העבריינים - היה מקום, במקרה דנן, אף לקבוע מתחם ענישה גבוה יותר, אך בית המשפט לא יחמיר מעבר לעתירת התביעה. מעשיו של הנאשם חמורים ומעידים על מעורבות של ממש בעולם העברייני ועל כשל ערכי. התנהלותו של הנאשם במהלך העבירות מלמדת על מעורבות עומק בעולם העברייני בכלל ועל מקצוענות בתחום גניבות הרכב בפרט. בענינו של הנאשם הוגש תסקיר, ממנו עולה, כי הנאשם נוטל אחריות חלקית בלבד למעשיו. נטילת האחריות שלו הינה חיצונית ומושפעת מההליך המתנהל נגדו. לזכות הנאשם, יילקחו הודאתו באשמה; נטילת האחריות והחיסכון בזמן שיפוטי. עוד לזכותו, העדר הרשעות קודמות והעובדה, כי המדובר במאסרו הראשון. ההגנה ביקשה לקחת בחשבון את נסיבותיו האישיות של הנאשם, ואת שיתוף הפעולה שלו עם תכנית \חומש\"", אולם, במאטריה הנדונה, לצד העובדה, כי מדובר בפעילות עבריינית מאורגנת ומתוכננת – נסוגות אחור הנסיבות האישיות של הנאשם מפני האינטרס הציבורי, להטיל הכורת על עבירות אלה. במכלול השיקולים, מוצא בית המשפט לגזור את עונשו בתחתית מתחם הענישה. כמובן, יושתו על הנאשם מאסרים מותנים, לבל יחבור שוב לאחרים במטרה לעבור על החוק או לשלוח ידו ברכוש הזולת. ההכבדה על כלל הציבור כתוצאה מעבירות אלה, כפי שפורטה לעיל, מצדיקה השתת עיצום כספי מסוג קנס. עוד מוצא בית המשפט לחייב את הנאשם בפיצוי לבעלי כלי הרכב שנגנבו (בהם מונית), שיביא בחשבון גם רכיבים נלווים או לא ממונים, שאינם חוסים בפוליסות ביטוח וכן יהיה בו בבחינת הכרה בפגיעה שנגרמה להם. כך למשל – נהג מונית, שזו פרנסתו ומשלח ידו, קם בבוקר ומגלה שחרב עליו עולמו""",train
"בגין עבירות תעבורה, כפי שיפורט לעיל), האחרון שביניהם בגין הסתבכות בעבירות שנעברו בשלהי שנת 2015. כאמור, הספיק הנאשם לצבור גם מספר גדול יחסית של הרשעות תעבורתיות, לרבות בעבירות חמורות כגון סטיה מנתיב הנסיעה, ואף בעבירות הנושקות לתחום הפלילי ומצביעות על יחסו להוראות החוק ולמערכת השיפוטית, כגון נהיגה בזמן פסילה. בגין עבירה זו אף נדון, גם זאת לאחרונה, לעונש מאסר בפועל, רביעי במספר. נאשם זה אף לא השתלב במערכת תעסוקתית יציבה. לנוכח הפרת האמון שניתן בו, כאשר הסתבך בעבירה נוספת במהלך הקשר עם שירות המבחן – נמנע שירות המבחן מלבוא בהמלצה טיפולית בענינו ואף מצא להדגיש, כי לנאשם זה מסוכנות גבוהה לשוב לפעילות עברינית. כל הנתונים הללו מצביעים לכיוון החמרה ממשית במסגרת מתחם הענישה. גם בנוגע לנאשם זה, אין מקום ליתן משקל משמעותי לנושא חלוף הזמן, כאשר הוכח, כי בתקופה בה המתין לבירור דינו בתיק זה, שב ומסתבך במספר עבירות, הן בתחום הפלילי והן בתחום התעבורה, לרבות עבירות דומות שענינן שליחת יד ברכוש הזולת. עם זאת, ינתן משקל מסוים, הן לשהותו במעצר והן לתקופה בה שוחרר בתנאים מגבילים, בהעדר עדות על הפרתם. עוד יש ליקח בחשבון, לזכותו של הנאשם, הודאתו באשמה. מכלול השיקולים בנוגע לנאשם 3, וביחוד – ההתרשמות בדבר ערכים אנטי-סוציאליים; המשך הסתבכויות בעבירות לאחר שנתפס בעבירות דנן; הפרוגנוזה השלילית מטעם שירות המבחן – מטים הכף לכיוון ענישה על הצד הבינוני – גבוה של מתחם הענישה בענינו. העבירות, אותן עברו הנאשמים בצוותא, נעברו כולן תוך שימוש בכלי רכב תומך, עמו הגיעו שלושת הנאשמים למקום (ובו המתין הנאשם 3, כשומר וכנהג). כן נעברו תוך נהיגה בפועל בחלק מכלי הרכב, אשר נגנבו או נערך נסיון לגנבם. זאת, בהיות",train
"העבירות שעברו הנאשמים חמורות. העבירות בהן הורשעו הנאשמים פוגעות בערך הקניין הפרטי אך מעבר לכך – פוגעות גם בתחושת הביטחון של האזרח. משני חומרה לכך, כאשר המדובר בכניסה למי שהיו מוכרים לנאשמת 4 – שכניה ממש – אנשים מבוגרים (בני זוג מבוגרים, שעמם התגוררה גם סבתא קשישה). הצהרת נפגעת העבירה ת/4 ממחישה היטב את הפגיעה המדוברת: כאמור, מסרה נפגעת העבירה, כי כשנודע לה על הפריצה בבית – קיבלה התקף בכי חזק; פחדה לשוב הביתה ומאז – מתעוררת מכל תזוזה, בודקת את הנעילה של הבית שוב ושוב ומפחדת לצאת מהבית. רכושו של אדם הוא עמלו ופעמים רבות – כמו גם במקרה דנן – לפריטי הרכוש משמעות סנטימנטלית. לא ניתן לעבור בסך על עבירות אלה ומי שמעז לעבור אותן – מן הדין שיישא באחריות. בפסק-הדין רע\פ 1708/08 לוי נ' מדינת ישראל (פורסם במאגרים) עמד בית המשפט העליון, בין השאר, על הצורך בהחמרת מדיניות הענישה בעבירות רכוש, וציין כי הפכו: למכת מדינה, למקור דאגה וטרוניה לאזרחים רבים ולפגיעה בתחושת ביטחונם. ... בהחלטה בש\""פ 3453/05 אברג'יל נ' מדינת ישראל (פורסם במאגרים) נאמר: נקל לשוות בנפשנו את תחושתו הקשה, את אבדן הביטחון ואת הייאוש הקודר של קרבן עבירה, אם משגילה בשובו לביתו כי פרצו אליו ורכושו נגנב, ואם כשיוצא הוא את הבית כדי לגלות כי רכבו שהחנה אמש נעלם ואיננו. על המשפט לתת יד למאבק באלה ... עוד ראו בש\""פ 45/10 מסראוה נ' מדינת ישראל (פורסם במאגרים): חוזר אדם לביתו בסוף עמל יומו ומוצא כי מאן דהוא חדר לפרטיותו ונטל את רכושו ואת חפציו שאותם צבר בזיעת אפו ומיטב כספו. מי ימוד את עגמת הנפש, הרוגז וחסרון הכיס שנגרמו למי שנפגע""",train
"היא יוצאת דופן בחומרתה, ומשתרעת הן תדמית המלון, או רשת המלונות, שהרי, נקל לשער, מהי ההשפעה על הכנסותיו העתידיות של מלון כאשר נודע, שקצין הבטחון המועסק בו הסיג גבול למספר חדרים, פרץ וגנב מחדרו של אורח במקום; הן כלפי הממונים על הנאשם בעבודה; והן כלפי האורחים במלון ובני משפחותיהם – אשר סומכים על אנשי האבטחה במקום, כי ישגיחו על רכושם. היות הנאשם קצין בטחון במלון אף מקל, במידה רבה, על האפשרות לעבור עבירות מסוג זה, שכן איש לא יחשוד בקצין הבטחון, כי הגיע כדי לגנוב, וזאת גם אם יצפה בו מסתובב באזור החדרים. כפי שפורט לעיל, לקצין הבטחון גם הכלים והמידע הנדרש על מנת להכנס לחדרים ואף לפתוח הכספת בחדרים. כל זאת, באופן קל ומבלי לעורר תשומת לב. כפי שמסר הנאשם לשירות המבחן, עבר העבירות, בין היתר, כנקמה על מה שתפש כפגיעה בזכויותיו מצדה של הנהלת המלון. אף בכך יש לראות חומרה רבה, שכן הדבר מצביע על פעולה מודעת, מתוכננת בשום שכל, תוך אדישות למצוקה שמעשיו עלולים להסב לאזרחים תמימים – אורחי המלון. כעולה מהערכת שירות המבחן, אין הנאשם מגלה תובנה כלשהי למצבו, אינו נוטל אחריות מלאה ואינו מפנים השלכות מעשיו. כל אלה – מצביעים לכיוון החמרה במסגרת מתחם הענישה. מנגד, המדובר בנאשם שהוא נעדר עבר פלילי; הודה באשמה – בכך היה משום נטילת אחריות מסוימת; הכספים שנגנבו – הושבו לאורח המלון כאשר נתפס הנאשם - כפי המפורט בחלק העובדתי שלכתב האישום. נסיבות אלה מצביעות לכיוון הקלה מסוימת במסגרת מתחם הענישה. אשר לאי שיתוף הפעולה מצדו של הנאשם עם שירות המבחן – צודקת ההגנה, כי נסיבה זו כשלעצמה לא תבוא לחובתו. שהרי, אין כלל חובה בדין",train
