text,split
"שכל תחומיו מחייבים מאסר מאחורי סורג ובריח, 10 עד 30 חודשי מאסר בפועל, ועל הנאשם, צעיר בן 21, נעדר עבר פלילי, הוטלו, מטעמי שיקום, 6 חודשי מאסר בעבודות שירות. ב\כ נאשם 2 הפנה מצדו לשני פסקי דין מחוזיים בהם הוטלו עונשי מאסר בעבודות שירות על נאשמים שהורשעו בעבירת סיוע לנשיאת נשק. בת\""פ (מרכז) 8290-04-15 מ\""י נ' אבו קשק (9.6.16), נדון, בין היתר, עניינו של נאשם 3, שהורשע בסיוע לנשיאת נשק, בכך שנסע ברכב שבו ישב נאשם נוסף, אשר נשא אקדח טעון, ובשלב מסוים אף ירה באמצעותו 6 כדורים. הוסכם על הצדדים כי לנאשם 3 נודע לראשונה על דבר קיומו של האקדח רק לאחר הירי, ולו עצמו לא היה כל חלק בירי. הסיוע שהעניק בא לידי ביטוי בהימלטות המשותפת מהמקום. נקבע בעניינו מתחם הנע בין 5 ל-10 חודשי מאסר, והוטלו 6 חודשים שירוצו בעבודות שירות. בת\""פ (חיפה) 37083-11-14 מ\""י נ' עיסאוי ואח' (13.12.15), סייע נאשם 1 לנאשם 2 לשאת נשק מאולתר מסוג \""קרל גוסטב\"", בכך שנהג ברכב בעוד הנאשם 2 יושב לצידו ונושא את הנשק. נקבע מתחם של 7 עד 30 חודשי מאסר בפועל, ועל נאשם 1 הוטלו 6 חודשי מאסר בעבודות שירות. בשים לב לכל האמור לעיל, נוכח נסיבות ביצוע העבירה, מדיניות הענישה הנוהגת וטיבה ועצמתה של הפגיעה בערכים החברתיים, אני סבור כי לצד מעשיו של נאשם 1 יש לקבוע מתחם עונש הולם הנע בין 14 ל-36 חודשי מאסר בפועל, ולצד מעשיו של נאשם 2, כמסייע, יש לקבוע מתחם עונש הולם הנע בין 7 ל-18 חודשי מאסר בפועל, לצד מאסר על תנאי וקנס. משנקבע מתחם העונש ההולם יש לאתר את העונש המתאים לכל אחד מהנאשמים בגדר""",train
"פרק זמן משמעותי של כארבע שנים תמימות, והביא לכך שכתב אישום שעניינו עבירות משנת 2010 הוגש רק בשלהי שנת 2015. שיהוי כה ממושך ונטול הסבר משכנע מצדיק כשלעצמו הקלה של ממש עם הנאשם, ובמיוחד כך הם פני הדברים לאור האמור בתסקיר, על פיו שינה הנאשם במהלך השנים הללו את תחום עיסוקו והסיכון במצבו פחת, כפי שניתן ללמוד גם מהעובדה כי מאז לא שב והסתבך בעבירות כלשהן. עוד ראוי להזכיר לקולא כי כתב האישום תוקן באופן משמעותי והנאשם הודה, נטל אחריות, הביע חרטה כנה וחסך זמן ציבורי רב. כמו כן מקובלת עלי עמדת ההגנה לפיה יש לראות גם בו כמי שהסיר את המחדל. ההסכם עם רשויות המס נחתם ומומש אמנם על ידי הנאשם 2, הבעלים הרשום של העסק ומי שחב בתשלום המס כעוסק, אך חוב המס הוא אחד ויחיד ומשהוסר המחדל יש לזקוף זאת לזכות שני הנאשמים, וזוהי גם התמונה הברורה המצטיירת מהסדר הטיעון החתום ומהאופן בו יושם על ידי הצדדים בטיעוניהם. התוצאה היא כי יש לגזור על הנאשם 1 עונש מאסר שירוצה מאחורי סורג ובריח, אך לתקופה מתונה מזו המבוקשת על ידי המאשימה. כידוע, בעבירות כלכליות מעין אלה, המשקל שמעניק בית המשפט לנסיבות האישיות של הנאשם נמוך באופן יחסי, אך בשים לב לשיהוי הרב ולשינויים שחלו בתקופה זו בחיי הנאשם, מצאתי לנכון לתת משקל מסוים לקולא גם לנסיבות האישיות והמשפחתיות שתוארו, לרבות מחלתה של הבת, שכן אין ספק כי שליחתו המתחייבת של הנאשם 1 לריצוי מאסר מאחורי סורג ובריח תפגע באופן משמעותי לא רק בו, אלא גם בילדיו ובמשפחתו. עוד יש להזכיר כי מדובר בתקופת מאסר משמעותית ראשונה אותה יאלץ הנאשם לרצות, ובמקרים מעין אלה נוהג",train
"חייו וחייהם של בני משפחתו הקרובים, גם נתונים בעייתיים המעידים על תחושה קורבנית ועל קושי בקבלת אחריות מלאה בכל הנוגע לעבירת ההפקרה. בנסיבות מעין אלה, בצדק ציינה המאשימה בטיעוניה כי את עונשו של הנאשם לא היה מקום לקבוע ברף התחתון של מתחם הענישה, אלא במיקום גבוה יותר בחלקו התחתון של המתחם, וממילא העונש שהתבקש על ידה, 30 חודשי מאסר בפועל, אינו מחמיר בנסיבות כלל ועיקר ובנסיבות אחרות, ללא הסדר הטיעון ייתכן כי היה מקום להשית על הנאשם עונש חמור מעט יותר. עם זאת, אין מקום להתעלם מההודאה, שהביאה לחיסכון בזמן ציבורי יקר, ומיתר הנסיבות האישיות והמשפחתיות המפורטות בתסקיר, ואשר מצדיקות התחשבות, אשר בשקלול הכולל מאפשרות אימוץ ההסדר המתון, ברף העליון שלו, אך לא מעבר לכך. לצד עונש המאסר מתחייבת גם פסילה ממושכת ברוח הפסיקה שהוצגה לעיל, הן בשל הרף הגבוה של הרשלנות שהפגין הנאשם, הן לנוכח עברו התעבורתי והן לנוכח התרשמות שירות המבחן מגורמי הסיכון בנהיגתו. כמו כן, יש לחייבו בתשלום פיצוי הולם לבני משפחת המנוחה. ובאשר לנאשם 2, הרי כפי שהובהר לעיל, עבר הנאשם עבירה של שיבוש מהלכי משפט ברף חומרה גבוה, ובעבירה של מסירת הודעה כוזבת, תוך הצגת מצגי שווא בוטים, במודע ומתוך כוונה, לפני גופי החקירה, לרבות 10 ימים תמימים לאחר התאונה. מעשים מעין אלה, פגיעתם הפוטנציאלית באכיפת החוק ובהליכי משפט הוגנים וצודקים רבה, ולפיכך מחייבים הם, גם אם ניקח בחשבון את רצונו הטבעי של אב לגונן על בנו ולסייע לו, ענישה מרתיעה הכוללת מרכיב ממשי של מאסר בפועל, גם אם בדרך של עבודות שירות. במקרה דומה, בו דנתי בעבר בבית משפט השלום בת\פ (נת') 6828-04-13 מ\""י נ' גליקסמן (12.11.14), קבעתי מתחם ענישה""",train
"לצד עבירת ההצתה קבע המחוקק עונש של 15 שנות מאסר, עונש חמור המשקף את הפגיעה הקשה העשויה להיות כרוכה במעשי הצתה לרכוש, לגוף ולנפש. בית המשפט העליון עמד אף הוא בפסיקתו על חומרתה של עבירת ההצתה, על הסכנה הגלומה בה ועל הערכים החברתיים עליהם נועדה להגן. יפים לעניין זה דברי בית המשפט העליון בע\פ 1414/15 מ\""י נ' פדר (15.4.15), המבהירים את מרכיבי הסיכון והחומרה הכרוכים בעבירת ההצתה, ואת מדיניות הענישה המתחייבת, הכוללת ככלל הטלת מרכיב ממשי של מאסר מאחורי סורג ובריח, וזאת לנוכח הפגיעה בערכים חברתיים משמעותיים ובהם הצורך בהגנה על שלום היחיד והציבור, על הקניין ועל תחושת הביטחון האישי והציבורי: מבלי לגרוע מעמדה עקרונית זו, מובן כי את מתחם העונש ההולם יש להתאים לנסיבות הקונקרטיות של המעשה הנדון, שהרי עבירת ההצתה כוללת טווח רחב של התנהגויות ונסיבות. על מנעד הענישה הרחב עמד למשל כב' השופט גרוסקופף בע\""פ 2939/19 חלפון נ' מ\""י (2.2.2020)‏‏, בפסקה 6: בשים לב לנתונים המיוחדים של האירוע שלפני אני סבור כי ראוי למקם את מעשה ההצתה הנוכחי ברף הבינוני-נמוך של מדרג החומרה של עבירות מעין אלה. בהיבט של התכנון המוקדם, בצדק הפנה ב\""כ המאשימה להצטיידות המוקדמת בחומרים דליקים, אך עדיין דומה כי ניתן להגדיר את המעשים, נוכח האמור בעובדות כתב האישום, כתגובה ספונטנית לידיעה המרה בדבר מות אחיו של הנאשם, תגובה אשר לא הייתה מלווה בתכנון ארוך טווח או בתכנית פעולה מוקפדת. גם מיקום ההצתה, והתמקדותם של המציתים בצמחייה שלצד החומה, מובילה למסקנה דומה. בשונה ממקרים אחרים המוכרים מהפסיקה הענפה של בתי המשפט בעבירות הצתה, לא הוצתו במקרה זה מבני מגורים, רכבים או נכסים אחרים בעלי ערך. ההצתה התמקדה באותה צמחייה הסמוכה""",train
"העונש – נדחה. יוער, בהשוואה לענייננו, כי המערער שם לא הורשע בעבירת הירי, אך סוג הנשק, היקף הירי ונסיבותיו, היו חמורים יותר מהמקרה הנוכחי. ב\כ הנאשם 4 מיקד את טיעוניו בנוגע למתחם בשני פסקי דין, האחד של בית המשפט העליון והשני של בית המשפט המחוזי בחיפה. תחילה התייחס לעניין אגבאריה שם דובר על שניים שקשרו קשר לירות בסמוך לבית המתלונן, מנהל מכללה שנזף באחד מהם, ולהשליך ראש כבש לחצר ביתו. לשם כך החליפו את לוחית הרישוי של רכב בו נסעו, הצטיידו ברובה, מחסנית וכדורים וירו בסמוך לביתו של המתלונן 37 קליעים, ובמרחק מה עוד 11 קליעים. לאחר מכן נמלטו בנסיעה פרועה ופגעו בניידת משטרה. נקבע בעניינם מתחם ענישה של 24 עד 48 חודשי מאסר והוטל על כל אחד מהם 24 חודשי מאסר בפועל. ערעור המדינה על קולת העונש התקבל, ומבלי למצות את הדין עם הנאשמים, שעברם הפלילי היה נקי, הועמד העונש על 36 חודשי מאסר בפועל. לטענת הסנגור המלומד מדובר באירוע חמור בהרבה מזה המתואר בכתב האישום הנוכחי, ועל כן גם התוצאה העונשית צריכה להיות קלה יותר. מקרה דומה יותר, כך לטעמו של ב\""כ הנאשם 4, ניתן למצוא בת\""פ (מחוזי חי') 1641-04-19 מ\""י נ' זידאן (6.10.2019), שם הורשע הנאשם, על פי הודאתו, בעבירות של נשיאת נשק ותחמושת וירי באזור מגורים. הנאשם נשא תת מקלע במתחם מגוריו, הכולל מספר בתים מאוכלסים, וירה ארבע יריות באוויר. בית המשפט המחוזי קבע מתחם ענישה הנע בין 15 ל-36 חודשי מאסר בפועל, וגזר על הנאשם, צעיר ללא עבר פלילי, 18 חודשי מאסר. בטרם ייקבע מתחם העונש ההולם למעשיו של הנאשם 4 ראוי יהיה להזכיר, והדברים יובאו ביתר פירוט בהמשך, במהלך הדיון""",train
"את הגישה המרחיבה כדוגמת ההכרעה בעניין איאסו, לא היה מקום לקבוע כי כל עבירת נשק מפעילה מאסר מותנה בגין עבירות \אלימות\"". כך למשל, פוטנציאל הסיכון לשלום הציבור הכרוך בכך שאדם מחזיק בביתו קופסת כדורי 9 מ\""מ או מחסנית ריקה, בוודאי אינו כזה המצדיק, גם לפי הגישה המרחיבה שבפסיקה, קביעה כי מדובר במעשי אלימות. מסקנה דומה מתחייבת גם בעניינו של אדם אשר מציע למכור לאחר נשק או תחמושת, ואפילו היה משלים את המכירה, וזאת מבלי להקל ראש בחומרת המעשים ובתרומתם לסל הסיכון הציבורי. לפיכך, אינני סבור כי ניתן לקבוע כי עבירות הנשק כולן הנן בגדר עבירות אלימות, או שאינן כאלה כלל, ועל בית המשפט יהיה לבחון בכל מקרה ומקרה, על פי נסיבותיו המיוחדות, האם מדובר בעבירת אלימות, אם לאו (לגישה אחרת בנוגע למרבית הסוגיות שפורטו לעיל, יופנה הקורא המתעניין לפסק דינו המפורט של כב' השופט ליבדרו בת\""פ (מחוזי ב\""ש) 54607-07-19 מ\""י נ' ג'בור (12.1.20)). אם אפנה כעת ליישום ההלכות הללו על מעשיו של הנאשם 3 בהליך שלפני, הרי שאני סבור כי אין מקום במקרה מיוחד זה להורות על הפעלת התנאי. ככל שמדובר היה בנאשם 4, אשר נשא את כלי הנשק וירה בהם, לא היה מתעורר כל ספק בנוגע להפעלת התנאי בשל הסיכון הרב הכרוך בכך, בכוח ובפועל, לתושבי הסביבה. אלא שעניינו של הנאשם 3 שונה. על פי העובדות בהן הודה והורשע, שהה הנאשם 3 במקום וסייע לנאשם 4 ולצ'אנה להסליק את האקדחים לאחר הירי. בכך עשה הנאשם 3 מעשה שאפשר לנאשם 4 לבצע עבירת אלימות ופעל על מנת למנוע את תפיסתו של הנאשם 4 לאחר מעשה, אך הוא עצמו לא ביצע מעשה \""אלים\"" כלשהו, גם לא לפי""",train
"דין נוספים שניתנו בפרשה זו ממש, דומה כי המתחם שהוצע על ידי המאשימה סביר, ככל שמדובר באישומים בהם הורשע הנאשם בעבירת סחר מושלמת, וזאת להבדיל מעבירת הסיוע לגביה ינוע המתחם בין מספר חודשי מאסר ל-12 חודשי מאסר בפועל. כפי שציינתי גם בעבר, ניתן היה לשקול להקל מעט ולהציב את הרף התחתון של המתחם על 6 או 7 חודשים לכל אחד מהאישומים בסחר, אך אין לסוגיה זו חשיבות מיוחדת בהקשר הנוכחי בשים לב לכך שמדובר בשלושה אישומים שונים ולכך שעיקר המחלוקת נוגעת לשאלת הסטייה לקולא מהמתחם. עיון בעובדות כתב האישום מגלה כי מדובר בשלושה אירועים נפרדים, אשר נפרשו על פני פרק זמן של כארבעה חודשים תמימים, ומכאן השימוש במתחמים שנקבעו כמפורט לעיל. ב\כ הצדדים לא טענו בהרחבה לגבי \""מבחן הקשר ההדוק\"" שנקבע במסגרת ע\""פ 4910/13 ג'אבר נ' מ\""י (29.10.14), אך למען הזהירות אציין כי אילו היה מקום לקבוע מתחם עונש הולם כולל בגין שלושת האישומים גם יחד, היה מקום להעמידו על 12 עד 36 חודשי מאסר בפועל. מכל מקום ברי כי במקרה מעין זה, בו מדובר בעבירות דומות שבוצעו בפרקי זמן סמוכים ועל רקע דומה, ראוי יהיה לעשות שימוש בסמכות המוקנית לי בסעיף 40יג' לחוק העונשין לקביעת עונש כולל מתוך התחשבות במספר העבירות, בתדירותן ובזיקה ביניהן. כפי ששבתי וציינתי, השאלה המרכזית המתעוררת במקרה זה אינה נוגעת לגבולותיו המדויקים של המתחם אלא למשקל שיש להעניק לשיקולי השיקום המשמעותיים המעוגנים בתסקיר שירות המבחן, ולמידה בה בכוחם של שיקולים אלה להביא במקרה זה לסטייה לקולא ממתחמי הענישה ומרף הענישה המקובל. זה השלב להזכיר את מכלול הנסיבות אשר אינן קשורות בביצוע העבירה, ובכלל זה נתוני העושה ונסיבותיו האישיות. הנאשם הנו בחור""",train
"של כשנה, ונתפסו בה לא פחות מ-400 שתילים במשקל כולל של כ-70 ק\ג נטו. כמו כן, נטל הנאשם חשמל בשווי של כ-120 אלף שקלים, והשתמש לצורך זה בחיבור לא חוקי ומסוכן. בהמשך, גם סיפק הנאשם אמצעים להקמת מעבדה נוספת, כמפורט באישום הרביעי לכתב האישום. התוצאה היא כי לצד מעשיו של הנאשם 6 יש לקבוע מתחם עונש הולם הנע בין 25 ל-50 חודשי מאסר בפועל, לצד מאסר על תנאי, וקנס כספי משמעותי. באשר לנאשם 8, שהקים מעבדה רחבת היקף לייצור סמים בביתו, וגידל כ-350 שתילים במשקל של כ-66 ק\""ג נטו, יש לקבוע מתחם עונש הולם הנע בין 22 ל-44 חודשי מאסר בפועל, לצד מאסר על תנאי, וקנס כספי הולם. משנקבע מתחם העונש ההולם למעשים יש לאתר את העונש המתאים לעניינו של כל אחד מהנאשמים בהתאם למכלול הנסיבות שאינן קשורות לביצוע העבירה, אלא נוגעות יותר לנאשם עצמו, לעברו ולדפוסיו. עוד יש לבחון, במקרים המתאימים, את האפשרות לסטות מהמתחם לקולה מטעמי שיקום, כפי שמבקשת ההגנה במקרה שלפנינו. באשר לנתוניו של נאשם 2, הרי שמדובר בצעיר כבן 26, נשוי ואב לשתי בנות קטנות. הנאשם הודה, לקח אחריות על מעשיו וחסך זמן ציבורי. לחובתו עבר פלילי מינורי ביותר שאינו מצדיק החמרה. התסקיר שהוגש בעניינו כולל גם כן נתונים המצדיקים התחשבות וגישה עונשית מתונה. הנאשם גדל במשפחה קשת יום, סבל מאלימות וכבר מגיל צעיר היה נעדר כל גורמי תמיכה. על רקע זה נדרש לצאת לשוק העבודה עוד בהיותו נער ולפרקים אף נאלץ להתגורר ברחוב. על אף תנאי פתיחה קשים אלה, התגייס לצבא כלוחם והשלים שירות צבאי מלא, כמו גם תקופה קצרה של שירות בקבע. לצד ההישגים הללו, צבר הנאשם לאורך השנים חובות""",train
"לצורך קביעת המתחם הנוגע לו, אינו מרף חומרה עליון. כל אחד מהאישומים בקבוצת האישומים הראשונה למשל כוללת עבירת מרמה בודדת, אשר בוצעה בדרך של מצג שווא מילולי גרידא ובהיקף כספי מצומצם של כמה אלפי ₪. לפיכך, מתוך היכרות עם הפסיקה הנוהגת בבתי המשפט במקרים מעין אלה, אשר למרבה הצער אינם נדירים, ומבלי להקל ראש בחומרת המעשים, מתחם העונש ההולם לכל אחד מאישומים אלה נע בין מאסר מותנה, לצד קנס ופיצוי לבין 10 חודשי מאסר בפועל. האישומים בקבוצה השנייה חמורים יותר וכוללים לצד עבירת המרמה גם ניסיון להסוותה באמצעות זיוף השיק וקריעת השיק המזויף לנגד עיני המתלוננים, על מנת להסתיר את העובדה כי השיק המקורי נמסר לגיורא לניכיון. מעשים אלה מעידים על תכנון מוקדם ועל יתר תחכום, ומחייבים על כן מענה עונשי מכביד יותר מהקבוצה הראשונה. לצד דברים אלה יש להזכיר כי גם כאן, בכל אישום כשלעצמו, מדובר בהיקף כספי מצומצם באופן יחסי. אשר על כן, לצד כל אחד מאישומים אלה יש לקבוע מתחם הנע בין מאסר בעבודות שירות, לצד מאסר על תנאי, קנס ופיצוי לבין 12 חודשי מאסר בפועל. האירועים המפורטים במסגרת קבוצת האישומים השלישית חמורים עוד יותר. במקרים אלה הצטרפו לעבירות המרמה והזיוף גם עבירות גניבה. הנאשם גנב שיקים מלקוחות, קרובים ומכרים, זייף אותם ומסר אותם לניכיון או להבטחת הלוואות שנטל. גם כאן מדובר במעשים מתוכננים, אשר בוצעו תוך פגיעה קשה באמון שנתנו הקורבנות בנאשם. בחלק מהמקרים מדובר אף בהיקפים כספיים גבוהים יותר מאלה המתוארים בקבוצות הקודמות, ואשר מגיעים לכדי 20 ואף 30 אלפי ₪. לפיכך, לצד כל אחד מאישומים אלה יש לקבוע מתחם עונש הולם שבין 6 חודשי מאסר בעבודות שירות, לצד מרכיבי ענישה",train
"עברייני נשק צעירים ולהסתפק בהטלת מאסר בעבודות שירות, אך עיון בהן מעלה בבירור כי מדובר במענה עונשי המתאים במקרים חריגים בלבד, בהן קיימת הצטברות של נסיבות המצדיקה חריגה מהכלל. כך למשל בע\פ 2826/19 מרעאנה נ' מ\""י (11.7.19), הורשע המערער בעבירה של החזקת נשק, עקב כך שהחביא בביתו אקדח חצי אוטומטי טעון במחסנית ריקה וזאת לבקשת גיסו אשר חשש שהמשטרה תאתר את האקדח בביתו. בית המשפט המחוזי קבע מתחם ענישה שנע בין 9-24 חודשי מאסר והטיל על המערער 10 חודשי מאסר, לצד עונשים נלווים. בית המשפט העליון ציין כי גזר דינו של בית משפט המחוזי מתון ומאוזן, ובמצב הדברים הרגיל לא היה מקום להתערבות ערכאת ערעור. אף על פי כן, הוחלט לקבל את הערעור ולהשית 9 חודשי מאסר בעבודות שירות, וזאת נוכח הנסיבות המיוחדת של התיק, המחיר האישי ששולם בגין שיתוף הפעולה עם רשויות אכיפת החוק ועקרון אחידות הענישה. בע\""פ 887/20 מתאני נ' מ\""י (29.7.20), הורשע המערער בכך שהחזיק על גופו אקדח טעון ב-15 כדורים. המערער צעיר ונעדר עבר פלילי. בית המשפט המחוזי קבע מתחם ענישה הנע בין 9-24 חודשי מאסר והטיל על הנאשם 10 חודשי מאסר בפועל. בית המשפט העליון ציין כי מדובר בעונש מתון ובכל זאת הקל בעונש וגזר 9 חודשי מאסר בדרך של עבודות שירות, וזאת לאור העבר הנקי, הגיל הצעיר, הנסיבות האישיות והתסקיר שהוגש, אשר הוגדר \""חיובי ביותר\"". דוגמה נוספת ניתן למצוא בע\""פ 3924/20 פלאח נ' מ\""י (10.12.20), שם הומר עונש מאסר בן 15 חודשים שהטיל בית המשפט המחוזי בגין עבירה של נשיאת נשק, ב-9 חודשי מאסר בעבודות שירות, וזאת בהינתן הנסיבות המיוחדות של המקרה, התסקיר שהוגש, הגיל הצעיר, היעדר העבר והעונש שהושת""",train
