question,answer,split
מהי עמדת בית המשפט העליון לגבי הענישה כלפי מבצעי עבירות שוד?,"בית המשפט העליון הביע דעתו, פעם אחר פעם כי, ככלל, יש לנקוט בענישה מחמירה כלפי מבצעי עבירות שוד ולהטיל עליהם עונשי מאסר משמעותיים.",train
כיצד השפיעה הודאת הנאשם בשלב מוקדם על תהליך הענישה?,"כמו כן הבאתי בחשבון את הודאתו בשלב מוקדם של הליך, המבטאת נטילת אחריות מצדו על מעשיו והביאה גם לחסכון בזמן שיפוטי יקר.",train
"מדוע אין מקום להשלים עם התנהלות בריונית ופורעת חוק, לפי בית המשפט?","אין כל מקום להשלים עם התנהלות בריונית ופורעת חוק מעין זו, יהיו אשר יהיו הנסיבות.",train
מהו השיקול המרכזי שהוביל את בית המשפט להדגיש את חומרת החדירה לרשות הזולת בשוד?,"בית המשפט העליון ציין כי אף שהאלימות שהופעלה אינה ברף חומרה גבוה, הרי שהאלימות הפיזית אינה העיקר, ויש ליתן משקל רב לעצם החדירה אל רשות הזולת לשם ביצוע שוד, כאשר מדובר בחבורה המטילה אימה ופחד על דיירי הבית.",train
כיצד השפיעה הודאת הנאשם על תהליך גזירת העונש?,"בנוסף, הבאתי בחשבון את הודאתו של הנאשם במיוחס לו עוד בטרם החלה שמיעת הראיות בתיק.",train
מדוע יש להביא בחשבון גם את עבירות האיומים לצד עבירות האלימות בהן הורשע הנאשם?,"לצד עבירות האלימות בהן הורשע הנאשם באירוע הראשון יש להביא בחשבון גם את עבירות האיומים, שאין להקל בהן ראש.",train
מהי הסיבה לכך שאין מקום לגלות סלחנות כלפי עבירות הנשק?,"אין כל מקום לגלות סלחנות או הבלגה לתופעה זו הפוגעת בביטחונם ובחייהם של מגזרים נרחבים באוכלוסייה, המבקשים לחיות את חייהם בבטחה ובשלום.",train
מהו הפוטנציאל לפגיעה הנפשית שניתן לשער במקרה של שוד ללא אלימות פיזית?,"זאת ועוד, אף אם לא ננקטה במהלך ביצוע השוד אלימות פיזית, הרי שניתן על נקל לשער את הפגיעה הנפשית, הטומנת בחובה אף פוטנציאל גבוה לפגיעה פיזית.",train
אילו נסיבות אישיות של הנאשם נלקחו בחשבון בעת קביעת העונש?,"עוד נשקלו נסיבותיו האישיות של הנאשם, היותו מכור לסמים, עברו הפלילי שאינו משמעותי, והחרטה שהביע על מעשיו.",train
מהו המימד הנוסף של חומרה במעשה השלכת האבן על המתלונן?,"מימד נוסף של חומרה יש לראות בעובדה שהנאשם בחר להשליך אבן על המתלונן בראשו, איבר חיוני בגוף, מעשה שיכול היה להוביל לקיפוח חייו.",train
כיצד השפיע עברם הפלילי של הנאשמים על גזירת העונש בעניינם?,שים לב לעברם הפלילי של הנאשמים 1 ו- 2 ראיתי לגזור את עונשם בשליש התחתון של המתחמים שנקבעו לגביהם.,train
כיצד השפיעה הודאת הנאשם על גזירת העונש שלו?,"בבואי לגזור את עונשו של הנאשם, ראיתי להביא בחשבון לקולא את הודייתו במיוחס לו בכתב האישום, כבר בשלב מוקדם מבלי שיהא צורך בשמיעת ראיות ותוך חיסכון בזמן שיפוטי יקר.",train
מהו העיקרון המשפטי המנחה את הפסיקה לגבי ביטול הרשעה של נאשם?,"החוק עצמו אינו מונה את הנסיבות המצדיקות ביטול הרשעתו של נאשם ואולם בפסיקה נקבע כי הימנעות מהרשעה תיעשה באופן חריג ויוצא דופן, מקום שאין יחס סביר בין הנזק הצפוי להיגרם לנאשם מן ההרשעה לבין חומרתה של העבירה.",train
מהן השיקולים שעל בית המשפט להתחשב בהם בעת קביעת העונש?,"לשם כך על בית המשפט להתחשב בערכים החברתיים שנפגעו מביצוע העבירה, במידת הפגיעה בהם, במדיניות הענישה הנהוגה ובנסיבות הקשורות בביצוע העבירה, תוך מתן הדעת לרשימה המפורטת בסעיף 40ט(א) לחוק העונשין.",train
איזה גורם מרכזי נלקח בחשבון בעת גזירת העונש של הנאשם?,"בבואי לגזור את עונשו של הנאשם בתוך המתחם, ראיתי להביא בחשבון בראש ובראשונה את התסקירים החיוביים שהוגשו בעניינו, ואשר הצביעו על פוטנציאל שיקומי גבוה.",train
מהו העונש שנקבע בצידה של עבירת השוד בנסיבות מחמירות?,לא בכדי נקבע בצידה של עבירת השוד בנסיבות מחמירות עונש כבד של 20 שנות מאסר.,train
אילו נסיבות אישיות של הנאשמת נלקחו בחשבון בעת קביעת העונש?,"כן התחשבתי בנסיבותיה האישיות של הנאשמת, כפי שבאו לידי ביטוי בטיעוני סנגורה, ובכלל זאת היותה לבדה בארץ זרה הרחק ממשפחתה ומבנה, והמצוקה הכלכלית ממנה סבלו היא ומשפחתה בארץ מוצאה, בגינה הגיעה ארצה לצרכי פרנסה ותמיכה במשפחתה.",train
