question,answer,split
מהן הנסיבות שיש להתחשב בהן בעת גזירת העונש לפי סעיף 40יא לחוק העונשין?,"לצורך גזירת העונש בגדרי המתחם שקבעתי, יש להתחשב בנסיבות שאינן קשורות בביצוע העבירה כאמוּר בסעיף 40יא לחוק העונשין: לחובת הנאשם שקלתי את חומרת המעשים ואת הצורך להרתיע את היחיד ואת הרבים מפני הישנותם.",train
מהו העונש ההולם שנמצא מתאים לנסיבות המקרה?," בהתחשב בכל אלה, אני סבורה כי העונש ההולם את נסיבות המקרה הוא מאסר בפועל.",train
מהי החזקה העובדתית שהציגה המאשימה בנוגע להחזקת סם שלא לצריכה עצמית?,"טענת המאשימה לעניין קיומה של חזקה עובדתית המעוגנת בניסיון החיים ובשכל הישר, ולפיה אם אדם החזיק בסם שלא לצריכה עצמית, קמה לחובתו חזקה ניתנת לסתירה שהוא עשה כן תמורת רווח שהוא הפיק או שהוא היה אמור להפיק לצורך הכרזה עליו כסוחר סמים, כאשר הנטל עליו להוכיח אחרת.",train
מהי ההגדרה הרחבה של עבירת אלימות ומה הקשר בין ביטוי לביצוע מעשה?,"עבירת אלימות כוללת בחוּבה לא רק אלימות פיזית אלא גם אלימות מילולית, בין היתר מאחר שהזיקה בין ביטוי לבין ביצוע מעשה יכולה להיות הדוקה.",train
מהן הסיבות להאמין כי הנאשם עלה על דרך חיובית מאז ביצוע העבירות?,"עם זאת, ההתמדה, המחויבות והמאמצים שהנאשם משקיע במסגרת הטיפול המוצלח בו הוא משוּלב בשירות המבחן, וכן העדרם של תיקים פתוחים נוספים מאז ועד היום (ראו: פרוטוקול דיון מיום 28.6.2015, עמ' 56, ש' 18) - כל אלה מקימים בסיס להאמין ולקוות כי הנאשם עלה על דרך חיובית.",train
אילו ערכים חברתיים נפגעים כתוצאה מהעבירה שביצע הנאשם?,הערכים החברתיים הנפגעים בגין העבירה אשר בביצועה הורשע הנאשם עניינם שמירה על קניינו ורכושו של הפרט וכן הגנה על הפרטיות ועל תחושת הביטחון האישי.,train
מדוע חלה הוראת סעיף 144(ז) לחוק העונשין בעניינו של הנאשם 2?,"לפיכך, הוראת סעיף 144(ז) לחוק העונשין שקובעת עונש מזערי, חלה בעניינו של הנאשם 2.",train
מהי ההמלצה של שירות המבחן לגבי העונש המוצע לנאשם?,"על רקע כל אלה, שקלתי את המלצת שירות המבחן בעניינו של הנאשם להטלת עונש מאסר בעבודות שירות בשילוב עם צו מבחן על-מנת ששירות המבחן יוכל להוסיף וללוות את הנאשם בשינוי בו החל.",train
מהו הפוטנציאל המשפטי הנובע מקשירת קשר לביצוע עבירה?,"עם זאת, קשירת הקשר כשלעצמה מקימה פוטנציאל לפגיעה משמעותית בשלום הציבור ובביטחונו.",train
מהו הצורך המובהק בהרתעה הנובע מהעבירות שביצע הנאשם?,"על רקע כל אלה מתחדד הצורך בהרתעת היחיד, כמו גם בהרתעת הרבים, מפני הישנות המעשים.",train
