text,split
"לקביעה שהמאסר אשר יוטל עליו בתיק זה, יינשא בחופף לעונש המאסר המותנה בר ההפעלה ואף זאת, לפנים משורת הדין. משכך, בהתחשב בחומרת המעשים, בנסיבותיהם, במידת אשמו של הנאשם, בערך החברתי שנפגע, במידת הפגיעה בו ובמדיניות הענישה הנוהגת, הגעתי לכלל מסקנה כי יש להטיל על הנאשם את העונשים הבאים: מאסר בפועל למשך 10 חודשים בניכוי תקופת מעצרו החל מיום 25/12/17 ועד 11/1/18. אני מורה על הפעלת עונש מאסר מותנה של 6 חודשים למשך 3 שנים כפי שהוטל על הנאשם, בית משפט שלום כפר סבא, ת\פ 59680-12-15 גזר דין מיום 23.4.17. עונש המאסר המותנה יינשא בחופף לתקופת המאסר האמורה בסעיף 1 לעיל. מאסר על תנאי של 8 חודשים והתנאי הוא שהנאשם לא יעבור במשך 3 שנים ממועד שחרורו על עבירה של נהיגה בזמן פסילה ו/או נהיגה ללא רישיון נהיגה תקף מעל שנתיים. פסילה בפועל לתקופה של 4 שנים אשר תחושב במצטבר לכל פסילה אחרת אשר הוטלה על הנאשם. הפסילה תחושב מיום 28/12/17 ללא צורך בהפקדה (מניין תקופת המאסר לא תבוא בניכוי תקופת הפסילה). באחריות הנאשם לפנות למשרד הרישוי ולהגיש בקשה מתאימה לחישוב הפסילה. אני מורה על הפעלת עונש פסילה על תנאי של 24 חודשים למשך 3 שנים אשר הוטל על הנאשם בת\""פ 59680-12-15 גזר דין מיום 23.4.17 אשר יחושב בחופף לתקופת הפסילה האמורה בסעיף 4 לעיל. בנסיבות העניין, איני מטיל קנס כספי על הנאשם.""",train
"12 חודשים מהיום. מובהר לנאשם כי אם לא יעמוד בצו המבחן, יוחזר עניינו לדיון בבית המשפט ודינו ייגזר מחדש.",train
"צעיר כבן 23 אשר מצוי במעצר מאחורי סורג ובריח למעלה מ-7 חודשים ואשר מרצה עונש מאסר בפועל לתקופה של 9 חודשים לאחר שעבודות השירות אליהן נשפט הופקעו בגין תיק זה. מובן כי עובדות אלה הן תוצאות התנהלותו הקלוקלת של הנאשם, ששב וביצע עבירות ולא נרתע אף כאשר מאסר על תנאי ריחף מעל ראשו ואולם, בית המשפט לוקח בחשבון גם את השפעותיהם של תקופות מאסר ארוכות על עתידם של אנשים צעירים והרצון לאפשר להם להשתקם בהמשך. בעת קביעת העונש המתאים, בתוך מתחם הענישה, בהתאם לתיקון 113 לחוק העונשין אשר ביקש להבנות את שיקול הדעת השיפוטי, יש לקחת בחשבון ולבדוק האם במקרה הקונקרטי הטלת מאסר בפועל מאחורי סורג ובריח, יהיה בה כדי לקבוע שהנזק עולה על התועלת. על אף שבענייננו, מאסר בפועל איננו זר לנאשם אשר כבר נושא בעונש מאסר, שוכנעתי ששליחתו למאסר מאחורי סורג ובריח לתקופה ארוכה, תוך הפעלת התנאי כולו במצטבר, תיטול את התקווה ואת המוטיבציה של הנאשם לשנות דרכיו ולחזור אל המוטב עם שחרורו. כמו כן, שמעתי את אביו של הנאשם והשתכנעתי מכנות דבריו ואולם, בכך אין די כדי לפטור את הנאשם מעונש ולקבוע כי עונשו יתמצה בפסילה קצרה ובענישה צופה פני עתיד. לעומת זאת, יש בשיקול זה כדי להוות טעם לקביעה כי עונש המאסר המותנה יופעל חלקו במצטבר וחלקו בחופף. באשר לעתירת ב\כ הנאשם להטיל על הנאשם פסילה קצרה בפועל, לא מצאתי טעמים כלשהם לחרוג מהוראות סעיף 40א לפקודת התעבורה. בעניין זה נפסק אך לאחרונה ברע\""פ 6934/19 ג'יהאד סאלם נ' מדינת ישראל (פורסם בנבו, 03.11.2019) שם נטען כי בתי המשפט לתעבורה נוטים להימנע מהפעלת הסעיף משהעונש הקבוע בצדו חמור יתר על המידה כי: \""באשר""",train
"קלות מאלה שהיו במקרה זה, למשל בהחזקת אקדח ולא רובה סער, וגם אז ההוראה בדבר העונש המזערי חלה. העולה מהאמור הוא שמתחם שתחתיתו היא 24 חודשי מאסר, על עבירות החזקת רובה סער והחזקת מחסניות ותחמושת, איננו בלתי סביר. בשנים האחרונות רואים יותר ויותר מקרים של אנשים המקיימים אורח חיים נורמטיבי המחזיקים נשק ללא רישיון. מטבע הדברים מדובר בכלי נשק שעצם השגתם או ייצורם כרוך בעבירה. בהתחשב בעובדות ונסיבות חמורות אלה, במגמת ההחמרה ההדרגתית של בית המשפט העליון בעבירות נשק ובתיקון 140 לחוק העונשין שחל בענייננו מצאתי כי מתחם העונש ההולם בעניינו של הנאשם נע בין 15 ל- 36 חודשי מאסר בפועל, לצד מאסר מותנה וקנס. אין כל חולק כי עונש מאסר בפועל יפגע בנאשמים, בוודאי עונש המאסר יפגע במשפחתם ובפרנסתם. נאשם 1 נעדר הרשעות קודמות ולכן זהו מאסרו הראשון ואולם, לאור חומרת העבירות ובשים לב לתיקון החוק המחייב עונש מינימום ובהיעדר נימוקים המצדיקים חריגה, הרי שלא ניתן להימנע משליחת נאשם 1 לעונש מאסר מאחורי סורג ובריח. עם זאת, הנאשם הודה בכתב האישום המתוקן בהזדמנות הראשונה, חסך זמן שיפוטי יקר והביע חרטה. הנאשם עצור מאחורי סורג ובריח מזה 7 חודשים כאשר תנאי המעצר קשים הם מתנאי מאסר. בנסיבות אלה, ובהתאם לעתירת המאשימה, יש למקמו ברף הנמוך של מתחם העונש ההולם. אשר לנאשם 2, מאסר בפועל מאחורי סורג ובריח איננו זר לנאשם 2 ולא יהיה זה מאסרו הראשון. למרות עובדה זו, לא השכיל נאשם 2 לחדול מביצוע עבירות חמורות והוכיח שלא הציב לעצמו גבול ולא נרתע. אמנם הרשעתו הקודמת איננה בעבירות נשק אך היא כן בשל עבירות אלימות והחזקת סכין/אגרופן שלא כדין כאשר לא רק שנאשם 2 חדל",train
"יכול שישוב לשאת בעונשי מאסר מאחורי סורג ובריח. הנאשם לקח אחריות, הודה בהזדמנות הראשונה וחסך מזמנם של בית המשפט והעדים. עוד בעת קביעת העונש המתאים, בתוך מתחם הענישה יש לקחת בחשבון ולבדוק האם במקרה הקונקרטי הטלת מאסר בפועל מאחורי סורג ובריח, גם אם מדובר בתקופה קצרה, יהיה בה כדי לקבוע שהנזק עולה על התועלת, בייחוד כאשר עסקינן בנאשמים נעדרי דפוס עברייני מובהק. דו\ח הוועדה הציבורית לבחינת מדיניות הענישה והטיפול בעבריינים (\""ועדת דורנר\""), התייחס לעניין זה ומסקנתו מצדיקה בחינה מחודשת של שיקולי הענישה. בעניינו, הנאשם נשא בעבר מאסר בפועל מאחורי סורג ובריח ואולם, מאז, משך למעלה מעשור לא הורשע בעבירה במסגרתה נדון למאסר בפועל ואינני סבור שזהו אינטרס הציבור חשיפת הנאשם מחדש לתרבות עבריינית. משנאמר כל זאת, ולאחר שנשקלו כל השיקולים הרלוונטיים אשר צוינו לעיל, תוך עריכת איזון בין רכיבי הענישה השונים, אני מטיל על הנאשם את העונשים הבאים: מאסר על תנאי 3 חודשים למשך 3 שנים והתנאי הוא שהנאשם לא יעבור בפרק זמן זה על עבירות של נהיגה בזמן פסילה ו/או נהיגה בידי מי שאינו מורשה לנהיגה, עבירות לפי סעיפים 67 ו/או 10(א) לפקודת התעבורה. אני פוסל את הנאשם מלנהוג ו/או מלקבל ו/או מלהחזיק רישיון נהיגה לתקופה של 6 חודשים. אני קובע כי הפסילה תחושב באופן שמחצית התקופה תרוצה בחופף לכל פסילה אחרת אותה מרצה הנאשם ומחצית התקופה תרוצה במצטבר לכל פסילה אחרת אותה מרצה הנאשם. המזכירות תנפיק לנאשם אישור הפקדה נכון להיום ובאחריות ב\""כ הנאשם להגיש עבור מרשו בקשה מתאימה למשרד הרישוי לצורך ביצוע חישוב הפסילות.""",train
"למאסר בפועל בן 6 חודשים, מתוכו 4 חודשים במצטבר לעונש מאסר אחר שריצה. בית המשפט עמד על קביעת בית המשפט המחוזי לפיה גם בהתחשב בעונש שנגזר על הקטין, המבקשים זכו לתוצאה מקלה. - רע\פ 1123/18 אשרף דבארי נ' מדינת ישראל (14.3.18): נדחתה בקשת רשות ערעור על עונש של 13 חודשי מאסר בפועל שנגזר על המבקש בגין ניסיון לגניבת רכב ואיומים בסכין, זאת לאחר שנקבע מתחם ענישה בין 24-12 חודשי מאסר. בית המשפט העליון אימץ את קביעת הערכאות דלמטה, קבע כי אלו לא סטו ממדיניות הענישה הנהוגה וכי יש לסווג את העבירות בחומרה יתרה, הן בשל הסכנה הגלומה בהן לשלום הציבור, והן מכיוון שמדובר ב\""מכת מדינה\"". - רע\""פ 2054/18 היתם רבאיעה נ' מדינת ישראל (12.03.2018): המבקש הורשע על פי הודאתו, בביצוע עבירות גניבת רכב, הפרעה לשוטר בשעת מילוי תפקידו, נהיגה פוחזת ברכב ונהיגה ללא רישיון נהיגה בתוקף. המערער חבר לאחרים במטרה לגנוב קטנועים, חלקו היה מרכזי, שכן הוא שנהג בקטנוע הגנוב בנסיעה פראית ומסוכנת, בעודו מרכיב אחר מאחוריו (המעורבים האחרים היו קטינים). נקבע מתחם ענישה בין 25-10 חודשי מאסר. חרף קיומו של תסקיר מבחן חיובי שהמליץ להסתפק במאסר בדרך של עבודות שירות, נגזר עונשו של המבקש ל- 10 חודשי מאסר. ערעורו לבית המשפט המחוזי נדחה וכך גם בקשת הרשות לערער. - רע\""פ 1108/15 מחמוד שעאבנה נ' מדינת ישראל (24.2.15): נדחתה בקשת רשות ערעור על עונש של 14 חודשי מאסר שנגזר על המבקש בגין גניבת רכב באישום אחד והחזקת כלי פריצה באישום שני, זאת תוך שנלקח בחשבון חלקו הנמוך יחסית של המבקש באירוע הגניבה. - ע\""פ 2519/14 ענאד אבו קיעאן נ' מדינת ישראל (29.12.2014): המערער הורשע בגניבת רכב,""",train
"כי אשתו מסיעה אותו ואת אחיו אל הטיפולים אותם אחיו מקבל. לפיכך, מתחם העונש ההולם לעבירה של נהיגה בזמן פסילה, בנסיבות התואמות לענייננו, כפי שנקבע בפסיקה נע בין מאסר של 6 חודשים ועד 20 חודשי מאסר בפועל. באשר לתקופת הפסילה נקבע בפסיקה כי מתחם העונש ההולם נע בין 12 חודשים ל- 60 חודשים, בצירוף עונשי פסילה מותנים וקנס. בענייננו, הנאשם הורשע בעבירות נהיגה בזמן פסילה בפעם השניה וזאת, כך שעונש מאסר על תנאי כחרב מעל צווארו. עם זאת, העבירה בגינה הורשע הנאשם בתיק פל\א 2866-02-13 בוצעה בשנת 2013 ומאז ועד לעבירות בגינן הורשע בתיק זה, לא ביצע הנאשם עבירות אחרות ואף לאלה לא נלוו עבירות אחרות דוגמת נהיגה בשכרות, גרימת חבלה וכדומה. מכאן, שלא ניתן להסיק ממקרים אחרים חמורים יותר למקרה זה ואני קובע כי מתחם הענישה נע בין 6 חודשי מאסר בפועל אשר יכול ויבוצעו בעבודות שירות ועד 16 חודשי מאסר בפועל, לצד פסילה לתקופה שבין 12 חודשים לבין 48 חודשים. עתירת בא כוח הנאשם להארכת התנאי – סעיף 56 לחוק העונשין: על פי הוראות סעיף 55(א) לחוק העונשין, נאשם אשר נדון למאסר על תנאי והורשע בגין עבירה נוספת, יצווה בית המשפט על הפעלת המאסר על תנאי. מטרתו של עונש המאסר המותנה, להוות מעין חרב אשר תלויה מעל ראשו של הנאשם, באופן שהמאסר המותנה יכול להפוך למאסר בפועל של ממש. באופן זה, יחויב הנאשם אשר נדון לעונש מאסר מותנה, לנהוג בזהירות יתרה בתקופת התנאי וככל שאכן לא יפר את תקופת התנאי, כך ההנחה היא שיקפיד ביתר שאת בהמשך דרכו גם לאחר תום תקופת העונש המותנה. סעיף 56(א) לחוק העונשין, מאפשר את הארכת המאסר המותנה וקובע:""",train
"אלקבץ (03.1.18) – הנאשם הורשע בעבירות של איומים והיזק לרכוש, אשר בוצעו כלפי אמו. נקבע מתחם עונש שנע בין מאסר מותנה לבין 9 חודשי מאסר, בהתחשב באיום שאינו ברף חומרה גבוה כלפי האם ושבירת דלת החדר. חרף גילו הצעיר לנאשם היה עבר פלילי מכביד. הוא נדון ל-8 חודשי מאסר בפועל אשר כללו הפעלת תנאי בן 7 חודשים התלוי ועומד נגדו, ו-4 חודשי מאסר בפועל בתיק זה. בת\פ (כ\""ס) 2158-03-14 מדינת ישראל נ' פלוני (02.11.16) – הנאשם הורשע בשתי עבירות איומים לאחר שאיים על אשתו ועל בנו, באמצעות הטלפון, שעה שהיה אסיר בכלא. נקבע מתחם עונש שנע בין מספר חודשי מאסר לריצוי בעבודות שירות ועד ל-12 חודשי מאסר בפועל. הוטלו 7 חודשי מאסר בפועל, ומאסר על-תנאי. בת\""פ (חד') 13372-02-18 מדינת ישראל נ' קבדה (12.09.18) – הנאשם הורשע בתקיפה של אחותו, חבל בה ואיים עליה, בין השאר על רקע של התמכרות לאלכוהול, ונדון לעונש של 12 חודשי מאסר בפועל עם המלצה לשילובו בהליך גמילה בכלא. בת\""פ (חי') 5922-06-12 מדינת ישראל נ' פלוני (11.07.12) – הנאשם הורשע בעבירת איומים שהשמיע כלפי בת זוגו, לאחר שאמר לה כי יהרוג אותה וילדיה יישארו יתומים. נקבע מתחם עונש שנע בין חודש לשבעה חודשי מאסר בפועל. הוטלו חמישה חודשי מאסר בפועל, ומאסרים על-תנאי. בת\""פ 11562-08-13 מדינת ישראל נ' י.ר. – הנאשם הורשע בעבירות של איומים ותקיפה אותן ביצע באמו הקשישה, ונדון לעונש של 5 חודשי מאסר בעבודות שירות ומאסר על תנאי. מתחם העונש ההולם את נסיבותיו של אותו מקרה נקבע ככזה הנע בין 3 חודשי מאסר שיכול ורוצו בעבודות שירות לבין 20 חודשי מאסר בפועל. על כן, נסיבותיו של מקרה זה ומידת הפגיעה""",train
"פסילה על תנאי וקנס (עפ\ת (חי') 72826-06-20 ח'ליל נ' מדינת ישראל [פורסם בנבו] [ניתן ביום 21.07.20 פורסם בנבו]). על שיקולי ענישה, עמד בהרחבה כב' בית המשפט העליון בע\""פ 11699/05 סרפו נ' מ\""י [פורסם בנבו] (23/6/08): \""ביסוד הענישה אינו עומד שיקול אחד ויחיד, אלא מכלול של שיקולים. במלאכת הענישה בכל מקרה ומקרה חייב השופט למצוא את המשקל הראוי שיש להעניק לכל אחד מהשיקולים הנזכרים, תוך שהוא מודע לכך כי לעיתים קרובות שיקול אחד בא על חשבונו של שיקול אחר. מכאן, שהעונש אשר מוטל בסופו של דבר על הנאשם, אינו אלא תוצאה \""משוקללת\"" – אם תרצה פשרה – של השיקולים השונים שיש להביאם בחשבון. מלאכת \""שקלול\"" זו אינה מלאכה מדעית, אך היא אף אינה מלאכה שרירותית. היא ענין שבשיקול דעת, הנעשה על הרקע הכללי והאינדיבידואלי, במסגרת המדיניות העונשית הכללית כפי שהיא מתבצעת על-ידי בתי-המשפט\"" (ע\""פ 212/79 פלוני נ' מדינת ישראל, פ\""ד לד(2) 421, 434 (1979))....\"". בענייננו, הנאשם שלפניי כבר הורשע בעבר בביצוע עבירות דומות, ונגזרו עליו בהיעדרו עונשי פסילה בפועל, פסילה על תנאי וקנס. לאור זאת, הענישה הראויה לעבירה חוזרת של נהיגה ללא רישיון נהיגה, כוללת בחובה גם מאסר בפועל (רע\""פ 9455/17 מיכאל אזולאי נ' מדינת ישראל [פורסם בנבו] (18.12.2017). כאמור, כל אלו לא הרתיעו את הנאשם. עם זאת, על הנאשם לא הוטל מאסר בפועל או מאסר על תנאי ונדמה כי שליחתו בעת הזו, לנשיאת מאסר בפועל, אפילו לביצוע בעבודות שירות, וודאי לתקופה של שנה, כעתירת המאשימה, הינה ענישה דרקונית כאשר ידוע כי על הענישה להיות מידתית ומדורגת. בנוסף, במקרים בהם הוטלו עונשי מאסר בפועל, קדמו להם עונשי מאסר מותנים אשר הופעלו ואולם לא כך בענייננו. בעת ביצוע""",train
"עבירות גניבה והתפרצות, המערערות את ביטחונם של האזרחים, ופוגעת בפרטיותם של נפגעי העבירה\. מדיניות ההחמרה נתקבלה גם על ידי בית המשפט המחוזי בחיפה בעפ\""ג 13582-02-22 מדינת ישראל נ' מוגרבי וכן הפסיקה שאוזכרה שם. בשים לב לנסיבות הקשורות בביצוע העבירות, כפי שפורטו, ובייחוד לנוכח כמותן של העבירות וטיבו של הרכוש הנגזל, אני סבור שמידת הפגיעה איננה נמוכה כלל. הנאשם גנב כסף מזומן וטלפון מאישה שהלכה לתומה ברחוב. אמנם שווי הטלפון איננו גבוה יחסית, אך בכל מקרה ראוי לזכור את המעמד המיוחד שקנו הטלפונים הניידים בחיינו, וראו בעניין זה דבריו של בית המשפט העליון בע\""פ 8627/14 נתן דבראש דביר נ' מדינת ישראל, [פורסם בנבו] (14.07.2015), שאמנם נאמרו בהתייחס לעבירת השוד, אולם ברי כי כוחם יפה גם לענייננו: הנאשם לא הסתפק בגניבת הטלפון והכסף המזומן ושבוע לאחר מכן פרץ לשלוש דירות שונות תוך מספר שעות, גרם נזק בניסיון הפריצה וגנב כסף מזומן וכלי עבודה אשר נתפסו והושבו לאחת המתלוננות. בנסיבות אלה, אני קובע שמתחם העונש ההולם יעמוד על מאסר שבין 15-30 חודשים לצד ענישה הצופה פני עתיד, ופיצוי למתלוננות. קביעת העונש בתוך המתחם - נסיבות שאינן קשורות בביצוע העבירה: עסקינן בנאשם יליד שנת 1986 לחובתו 10 הרשעות קודמות האחרונה מחודש ינואר 2022 במסגרתה הורשע בעבירת הפרעה לשוטר במילוי תפקידו והוטל עליו עונש מאסר בפועל, לצד עונש מאסר מותנה בר הפעלה של חודש. כך, בחודש ינואר 2020 הורשע הנאשם בעבירות רכוש ומלבד עונש המאסר בפועל שהוטל עליו, נגזר עליו גם עונש מאסר מותנה של 8 חודשים. ביצוע העבירות בתיק זה מלמד שעונשי המאסר המותנים לא הרתיעו את הנאשם וכראיה לכך חזר לסורו. הנאשם לא פנה להליך טיפולי שיקומי כלשהו לאחר""",train
