text,split
"משמש חוליה בשרשרת העבריינית של עבירת ההתפרצות. יחד עם זאת, חלקו היחסי של אדם זה נמוך באופן ניכר מחלקו של המבצע העיקרי. על הערכים החברתיים המוגנים הנפגעים כתוצאה ממעשי התפרצות לדירת מגורים עמדנו לעיל. לאור האמור ובהתחשב במדיניות הענישה הנהוגה (ראו: ת.פ. (עכו) 50926-05-13 מדינת ישראל נ' בדארנה 23/11/2015, ת.פ. (שלום ת\א) 26279-07-11 מדינת ישראל נ' יחאייס 1/1/2014, ת.פ. (אשד') 57160-01-11 מדינת ישראל נ' קריספי 25/6/2012) סבורני כי מתחם העונש ההולם לשני מעשי העבירה של החזקת נכסים שהושגו בפשע והחזקת סם לצריכה עצמית באותו מועד נע בין ענישה מוחשית, שאינה כוללת מאסר בפועל, לבין 18 חודשי מאסר בפועל. לצורך קביעת העונש המתאים לנאשם בתוך מתחמי הענישה הנ\""ל יובאו בחשבון, לטובתו של הנאשם, גילו הצעיר, הפגיעה שנגרמה ושתגרם לו ולארוסתו, מטבע הדברים, כתוצאה מהרשעתו והעונש שיוטל עלי, והודאתו, אשר חסכה מזמנם של העדים הרבים המפורטים בכתבי האישום, ובמיוחד בכתב האישום שהוגש בתיק זה, וכן חסכה מזמנם של הצדדים ומשאבי המערכת. ברם אין להתעלם מכך שהודאת הנאשם לא ניתנה אלא בפתח ישיבת ההוכחות הראשונה שנקבעה. עוד יש להתחשב בנסיבותיו הקשות של הנאשם, כמפורט בתסקיר שירות המבחן, במצבו הרפואי שנגרם בעקבות הפגיעה הקשה ממנה סבל בשל תאונת הדרכים בה היה מעורב, בתקופת מעצרו הממושכת ובעובדה כי זהו מאסרו הממושך הראשון. לחובתו של הנאשם עומד עברו הפלילי העשיר. הנאשם, בגילו הצעיר, הספיק לצבור 5 הרשעות קודמות ובנוסף אי הרשעה מבית המשפט לנוער, בעבירות סמים, אלימות, רכוש ועוד. הנאשם נידון לתקופת מאסר קצרה בת מספר ימים ומאסרים מותנים, אך לא היה בכך כדי להרתיעו. הוא עבר את מרבית העבירות הנוכחיות בעת שמאסר על תנאי אחד תלוי ועומד נגדו, ושניים ממעשי העבירה""",train
"בעניין זה בטיעוניה לעונש, לאחר שנסיבותיו האישיות פורטו על יד באת כוחו והובאו בחשבון, ולאור התוצאה לפיה העונש קרוב לרף התחתון של מתחם הענישה, לא מצאתי להפנות את הנאשם לשירות המבחן. מאסר בפועל למשך 4 חודשים אשר יימנו מיום מעצרו 12/8/2012. מאסר למשך 5 חודשים וזאת על תנאי למשך 3 שנים, אם יעבור עבירה בקשר לרכב לפי פרק י\א סימן ה1 לחוק העונשין. מאסר למשך חודשיים וזאת על תנאי למשך שנתיים, אם יעבור כל עבירה לפי חוק הכניסה לישראל. זכות ערעור לבית המשפט המחוזי בירושלים תוך 45 יום מהיום.""",train
בפיקוח וכי כל הפרה בעבודות השירות תביא להפסקה מנהלית של העבודות וריצוי העונש במאסר ממש.,train
"טעות או חוסר תשומת לב. הנאשם פעל במודעות מלאה, בעקביות, לאחר תכנון מראש, כאשר הוא משמש הרוח החיה העומדת אחרי הפעילות העבריינית. כך, הנאשם החזיק במשרדו חשבוניות מס ריקות אך חתומות של פרח הגולן בע\מ, מילא בהן פרטים ומסרן באמצעות אשמר לגורמים שונים. הנזק שנגרם לקופה הציבורית כתוצאה מביצוע העבירות נגזר מסכום המס הגלום בחשבוניות הפיקטיביות, ומהסכומים שהנאשם כלל בדו\""חות הכוזבים, כנ\""ל. בהתאם להוראת סעיף 40ח לחוק העונשין תשל\""ז – 1977, יש להביא בחשבון את מצבו הכלכלי של הנאשם לצורך קביעת מתחם עונש הקנס ההולם. הנאשם לא הציג מסמכים של ממש התומכים בטענותיו בדבר הידרדרות מצבו הכלכלי וחובות כבדים העולים על מיליון ₪ בהם הוא נתון. יתרה מכך, מר עדאל שרבאתי, שהעיד מטעמו של הנאשם, העיד כי הנאשם סוחר בבגדים (עמ' 146 לפרו' ש' 10 – 11). בחקירה החוזרת סייג מר שרבאתי את גרסתו ומסר כי ידוע לו שהוריו של הנאשם סוחרים (עמ' 146 לפרו' ש' 21 – 22), אך דבריו אלו נאמרו לאחר שנשאל באופן ישיר על ידי הסנגור האם משפחת הנאשם עוסקת במסחר, ולמרות שבחקירתו הנגדית מסר בבירור שהוא יודע מהו עיסוקו הנוכחי של הנאשם (עמ' 146 לפרו' ש' 18 – 19). בנוסף לכך הנאשם, לפי דבריו בבית המשפט, ממשיך לטפל בחלק מלקוחות משרדו (עמ' 161 לפרו' ש' 30 – 31). כמו כן, ה\""ה פהד אדעיס ומוחמד זלום שהעידו מטעמו של הנאשם מסרו כי הנאשם עוסק בראיית חשבון (עמ' 147 לפרו' ש' 10 – 11, עמ' 148 לפרו' ש' 1 – 2). מר זלום אף הוסיף כי הנאשם הפסיק לתרום לבית התמחוי בו הוא עובד רק \""בימים האחרונים\"" (עמ' 148 לפרו' ש' 2). אם""",train
"מטבע הדברים, במסגרת הליך פלילי נענש הנאשם המובא לדין לפני בית המשפט, ולא נענשים אחרים. שעה שמבוקש כי בית המשפט יעשה שימוש בסמכותו ויאסור שימוש ברכב שאינו בבעלות הנאשם, על המאשימה לפרוס לפני בית המשפט יריעה רחבה דיה, בה תובהר אחריותו של בעל הרכב לביצוע העבירה, והנימוקים לענישתו במסגרת ההליך המשפטי המתנהל כנגד הנהג. כמו כן, בהתאם להוראת סעיף 57ג(ב) לפקודת התעבורה, יש ליתן לבעל הרכב הזדמנות להשמיע את טענותיו לעניין השבתת הרכב, בטרם יינתן הצו. משלא נעשה כך בהליך שלפני, לא ניתן להיעתר לבקשת המאשימה בעניין. בהתחשב במכלול השיקולים הנ\ל אני מחליט להטיל על הנאשם את עונשים הבאים: אני מצווה על מאסרו של הנאשם למשך 4 חודשים. אני מורה על הפעלת עונש מאסר למשך 21 יום כפי שנפסק על תנאי על ידי בית המשפט לתעבורה בירושלים ביום 11/10/2007 בתיק תד 2546/06, לריצוי באופן מצטבר. סה\""כ ירצה הנאשם מאסר בן 4 חודשים ו- 21 יום. מתוך התקופה האמורה ירצה הנאשם 21 ימי מאסר בפועל, והיתרה בעבודות שירות. הנאשם יתייצב לריצוי מאסרו בתחנת המשטרה במגרש הרוסים ביום 1/3/2010 עד לשעה 10:30. הנאשם יתייצב לפני המפקח על עבודות שירות לצורך קליטה והצבה ביום 6/4/2010 בשעה 10:00, במפקדת מחוז הדרום, יחידת עבודות שירות, ליד כלא באר שבע. על הנאשם לעדכן את משרד הממונה על עבודות שירות בכל שינוי בכתובת מגוריו. מובהר לנאשם כי עליו לעמוד בתנאי הפיקוח, כי תערכנה ביקורות פתע לבדיקת עמידתו בפיקוח וכי כל הפרה בעבודות השירות תביא להפסקה מנהלית של העבודות וריצוי העונש במאסר ממש. אני מצווה על מאסרו של הנאשם למשך 6 חודשים וזאת על תנאי למשך 3 שנים, אם יעבור על הוראות סעיף 10""",train
"47 חודשי מאסר בפועל לבין 70 חודשי מאסר בפועל (ת\פ (מחוזי ת\""א) 29707-03-22 מדינת ישראל נ' פדל, 15/2/2023). בפרשה בה נאשם מכר לסוכן משטרתי סם מסוכן מסוג קוקאין במשקל כולל של כ-300 גרם, בארבע עסקאות, הוטל עונש מאסר בפועל למשך חמש שנים (ע\""פ 100/14 מדינת ישראל נ' מחטייב, 10/12/2014). במקרה בו נאשם מכר לסוכן, בארבע עסקאות, קוקאין במשקל כולל של כ-343 גרם ונמצא בביתו קוקאין במשקל של 22.3 גרם נקבע מתחם ענישה הנע בין חמש לשבע שנות מאסר (ע\""פ 4522/18 אסאבן נ' מדינת ישראל, 11/11/2018). בהתחשב באמור לעיל אשר לערכים החברתיים שנפגעו מביצוע העבירות, במידת הפגיעה בהם, במדיניות הענישה הנהוגה ובנסיבות הקשורות בביצוע העבירות, נראה לי כי מתחם העונש למעשי עבירות הסם שמוחמד עבר נע בין 48 חודשי מאסר בפועל לבין 72 חודשי מאסר בפועל. הפסיקה עמדה על כך שעבירות הנשק פוגעות בערכים חברתיים רמי מעלה, ובהם: שלום הציבור וביטחונו, והשמירה על סדרי חיים תקינים ושלווים שאינם מופרעים על ידי אדם האוחז נשק בידיו. מדובר בעבירות שהפכו זה מכבר למכת מדינה, ואשר על החברה להילחם בהן כחלק ממלחמתה הבלתי מתפשרת בנגע של זילות חיי אדם והקלות הבלתי נסבלת של הלחיצה על ההדק. החזקת נשק שלא כדין משמשת תשתית למגוון רחב של עבירות אלימות, וזמינותו מעודדת את השימוש בו לצורכי עבירה. יש בסיס להנחה כי מי שמחזיק ונושא כלי בו גלום פוטנציאל קטלני, ללא פיקוח מטעם רשויות המדינה ומבלי שנבחנו מיומנותו לעשות בו שימוש וכשירותו להחזיק בו, עושה זאת למטרות לא כשרות (ע\""פ 147/21 מדינת ישראל נ' ביטון, 14/2/2021; ע\""פ 4406/19 מדינת ישראל נ' סובח, 5/11/2019; ע\""פ 761/07 מדינת ישראל נ' אדרי, 22/2/2007). בית המשפט העליון חזר""",train
"לכל אחת מעבירות הנשק נע בין שלוש לשש שנות מאסר בפועל, והטיל על המערער 1 עונש מאסר בפועל למשך שבע שנים וארבעה חודשים, ועל המערער 2 מאסר למשך שלוש שנים. בית המשפט העליון דחה את הערעור בכל הנוגע לעונשי המאסר בפועל, תוך שציין כי הוא נמנע מלהביע עמדה לגבי מתחם הענישה שנקבע לעבירות של ייצור נשק. ת\פ (מחוזי ב\""ש) 31842-04-21 מדינת ישראל נ' חדד, 7/3/2022: נגזר דינו של נאשם שהורשע בעבירה של נשיאה והובלת נשק, לאחר שברכבו נמצאה לבנת חבלה מספר 10 במשקל של 530 גרם, מתוצרת רפא\""ל ובשימוש כוחות הביטחון, המכילה חומר נפץ מרסק מסוג ציקלוניט (RDX) ובכוחה להמית. בית המשפט המחוזי קבע כי מתחם העונש ההולם נע בין שלוש שנות מאסר בפועל לבין חמש שנות מאסר בפועל, והטיל על הנאשם עונש מאסר בפועל למשך ארבע שנים. ערעור שהנאשם הגיש (ע\""פ 2633/22 חדד נ' מדינת ישראל, 15/1/2023) התקבל, ועונש המאסר הועמד על 42 חודשים. נקבע, כי העונש שהוטל על המערער ראוי. אולם הוא מבטא החמרה בענישה, ויש להחמיר בענישה באופן הדרגתי. בהתחשב באמור לעיל אשר לערכים החברתיים שנפגעו מביצוע העבירות, במידת הפגיעה בהם, בנסיבות הקשורות בביצוע העבירות ובמדיניות הענישה הנהוגה, נראה לי כי מתחם העונש ההולם למעשי העבירה שעבר נאשם 1 נע בין 30 חודשי מאסר בפועל לבין 42 חודשי מאסר בפועל, וכי מתחם העונש ההולם למעשיו של נאשם 2 נע בין 24 חודשי מאסר בפועל לבין 36 חודשי מאסר בפועל. לצורך קביעת העונשים המתאימים לנאשמים בתוך מתחמי הענישה שנקבעו יש להביא בחשבון, לטובתם של הנאשמים, את הודאתם שניתנה בשלב מוקדם מאוד של ההליכים, עוד במסגרת הדיון המקדמי. יש בכך כדי לאשש את טענת הנאשמים""",train
"עבירה של פריצה לרכב הינה עבירה חמורה בגינה נדרשת ענישה מחמירה. הפסיקה הבהירה כי עבירה זו מסבה נזק ליחיד ולחברה כולה, פוגעת ברכושו של הקורבן ובתחושת הביטחון שלו, ומטילה על כלל בעלי הרכב לשאת בעלויות פרמיות ביטוח גבוהות יותר. הפסיקה הדגישה את הצורך להילחם בעבירה נפוצה זו, שמימדיה מדאיגים (ראו: רע\פ 2730/93 לזימי נ' מדינת ישראל 23/6/1993, ע\""פ 197/91, אבו חיילק נ' מדינת ישראל 2/12/1991, ע\""פ 8831/08 מדינת ישראל נ' אלשחרה 30/6/2010). עוד יש להביא בחשבון את הקלות הרבה בה בוצעה העבירה, תוך ניפוץ שמשת הרכב, ואת העומס על רשויות אכיפת החוק בהתמודדות עם תופעה זו ובמיגורה. נאשם 1 הורשע, בנוסף, בעבירה של החזקת סכין. ההלכה הפסוקה הדגישה את הצורך למגר את העבירה של החזקת סכין למטרה שאינה כשרה, בשל פגיעתה הקשה בציבור, והנובעת מתת תרבות הסכין המתפתחת (רע\""פ 2932/08 מרגן נ' מדינת ישראל 12/6/2008, ע\""פ 5928/93 ביאדגלין נ' מדינת ישראל 13/7/1994). לאור החומרה הרבה שבמעשי הנאשמים, ולאור הצורך להיאבק בעבירות שביצעו, אין בידי לקבל את המלצת שירות המבחן להימנע מהרשעתם ואף לא להסתפק בעונש של צו של\""צ בלבד. יש לזכור כי הכלל הוא הרשעתו של מי שביצע עבירה. אי הרשעת נאשם אשר נקבע כי ביצע את שיוחס לו הינה חריג לכלל, והיא אינה מתאפשרת כאשר העדר ההרשעה יביא לפגיעה מהותית בשיקולי הענישה (ראו: ע\""פ 2083/96 כתב נ' מדינת ישראל פ\""ד נב(3) 337, 342). המלצת שירות המבחן בעניינם של הנאשמים מעניקה משקל יתר לאינטרסים של הנאשמים, ואינה מעניקה משקל הולם לשיקולי הגמול, ההלימה וההרתעה. לפיכך, לא ניתן לאמץ את ההמלצה האמורה. עם זאת, יש להביא בחשבון את השיקולים לקולא העומדים לימינם של הנאשמים. שיקולים אלו כוללים""",train
"במעשה של הצתה גלום סיכון של ממש לנפש ולרכוש. בנוסף, הצתה כוללת בחובה מסר עברייני אלים, שיש בו להטיל מורא על נפגע העבירה ועל הציבור בכללותו. בית המשפט העליון חזר ועמד על חומרת המעשה, וקבע: (ע\פ 4311/12 סורי נ' מדינת ישראל, פסקה 3, 8/11/2012) (ע\""פ 3116/13 קבלאן נ' מדינת ישראל, פסקה 9, 15/10/2013) יוער כי בשל טבעה של אש להתפשט ולהזיק ללא יכולת שליטה, נקבע במשפט העברי כי המבעיר אש אחראי לנזקים שנגרמו כתוצאה מבעירתה באחריות ישירה, כאילו גרם להם בידיו הוא, ולא במידת האחריות המוטלת על מי שגרם לנזק תוצאתי (\""אשו משום חציו\""; תלמוד בבלי מסכת בבא קמא, דף כב, עמוד א). מתחם הענישה למעשה של עבירת הצתה אינו אחיד, אלא נקבע בהתחשב, בין היתר, בתוצאות ההצתה, פוטנציאל הסיכון הגלום בה ומידת התכנון המוקדם (ע\""פ 2939/19 חלפון נ' מדינת ישראל, פסקה 6, 2/2/2020). קשה להפריז בתיאור פוטנציאל הסיכון לגוף ולרכוש הגלום במעשים בגינם הנאשם הורשע. הנאשם הצית את דלת הכניסה לדירה לפנות בוקר, בהיותו מודע לכך שאנשים נמצאים בדירה ובנסיבות בהן לא עמדה להם כל דרך להימלט ולנוס על נפשם בשל כך שפתחי הדירה חסומים בסורגים או באש. לא נדרש מאמץ רב על מנת לתאר את תחושות המצוקה וחוסר האונים שאמו של שמש חשה אותה עת, כאשר נאלצה להזעיק עזרה. האש שהנאשם הצית גרמה לנזקים ניכרים ומשמעותיים, כמפורט לעיל. אמנם, הנזקים שנגרמו בפועל רחוקים מרחק רב מהנזקים הפוטנציאליים: בכתב האישום לא נטען כי נגרמו נזקי גוף; ונזקי הרכוש שפורטו בו כוללים נזקי פיח ועשן. אולם, פוטנציאל הסיכון והנזק לא התממש כיוון שהדיירים כיבו את האש, ולא כתוצאה ממאמציו של הנאשם, שהיה אדיש לתוצאות מעשיו ונמלט""",train
"לקולא, יש להביא בחשבון את הודאתו של הנאשם בפתח ההליכים נגדו, את פרק הזמן הארוך שחלף מאז נגזר עליו עונש המאסר, את הליך השיקום מסמים שעבר לאחר צו מבחן שניתן בגזר דין מיום 28/6/2007, את מצבו הרפואי אשר נגרם כתוצאה מתאונת דרכים בה היה מעורב ואת העובדה שהנאשם שיקם עצמו, ולאחר שבעבר נמצא כלא מתאים לנהיגה עקב אי התאמה אישיותית, שיקם עצמו וקיבל לידיו רישיון נהיגה קבוע. בהתחשב במכלול השיקולים הנ\ל נראה לי שאין מנוס מלמקד את הענישה בעונש של מאסר בפועל. לאור עברו של הנאשם, אין מקום לאפשר לו לרצות את המאסר בדרך של עבודות שירות. עם זאת, אין להטיל על הנאשם קנס או פסילה בפועל. אני מצווה על מאסרו של הנאשם בפועל למשך חודש. הנאשם יתייצב לריצוי מאסרו בתחנת המשטרה במגרש הרוסים ביום 3/4/2011 עד לשעה 08:30. אני מצווה על מאסרו של הנאשם למשך 7 חודשים וזאת על תנאי למשך 3 שנים, אם יעבור על הוראות סעיף 10 א' ו/או 67 לפקודת התעבורה תשכ\""א–1961, שעניינם נהיגה בפסילת רישיון או נהיגה ללא רישיון נהיגה בתוקף. זכות ערעור לבית המשפט המחוזי בירושלים תוך 45 יום מהיום. ניתנה והודעה היום ז' אדר ב תשע\""א, 13/03/2011 במעמד הנוכחים. מעכב ביצוע גזר הדין למשך 45 יום מהיום.""",train
