text,split
"שיוביל למיסוי עודף והתעשרות הקופה הציבורית מעבר לנדרש על גבו של הפרט. ברי, כי יכולות להיות סכנות נוספות דוגמת חילוט כספים של בעלי זכויות נוספים בכסף וכו'. מצבים אלה יכולים להוביל לפגיעה לא חוקתית בזכות הקניין. אכן, קיים ספק עד כמה תורת ה\סיכון הכפול\"" חלה בשיטתנו, מקום בו מדובר ב\""קנס אזרחי\"" (שתכליתו אמצעי לאכיפת החוק) ובעיצומים כלכליים שמקורם בהליך הפלילי (שתכליתם, ככלל, ענישתיים), ואולם בסופו של יום השאלה היא שאלה של מידתיות. היינו, כמה סנקציות (ובאילו היקפים) תטיל המדינה על אזרח שלא שילם מס כחוק (וביצע עבירות מס שונות הקשורות בכך) יהא המסלול המשפטי אשר יהא, במסגרתו פועלת המדינה כנגד האזרח. בהקשר זה ראו ספרו של ג' עמיר: \""עבירות מס ועבירות הלבנת הון\"", הוצאת סדן, מהדורה שישית בעמ' 282, ופסקה 4 להחלטת בית המשפט העליון בפס\""ד \""בוטח\"" הנ\""ל, שם הפנה לפסק דין אמריקאי UNITED STATES V HALPER, 490 U.S.435(1989) בו נקבע כי לצורך תורת הסיכון הכפול, מקום בו סנקציה אזרחית משרתת מטרה בולטת של ענישה או של הרתעה, יש לראותה כענישה. יובהר, כי הסכנות עליהן הצבעתי לעיל והמקיימות חשש לפגיעה בלתי חוקתית בזכות הקניין, קיימות בצורה מובהקת יותר שעה שאנו רואים בחילוט משום \""הוצאת בלעו של גזלן מפיו\"". ואולם קיימת גם תפיסה הרואה בחילוט כרכיב עונשי טהור (ראו למשל ע\""פ 1982/93 בנק לאומי לישראל בע\""מ נ' מדינת ישראל, פ\""ד מח (3) בפסקה 6). תפיסה כזו של החילוט, מאפשרת פגיעה כלכלית בנאשם החורגת מהפגיעה הכלכלית אותה הוא יצר, וודאי כשהתכלית היא הרתעתית. כן אציין כי אין כל מניעה לחלט נכס שהוטל עליו עיקול. בעניין זה ראו פסקה 15 לע\""פ 4735/03 צברי נ' מדינת ישראל, פורסם בנבו. מכל""",train
"בקשת רשות ערעור של נאשם שהורשע לאחר ניהול הוכחות בעבירה של הפקרה ברשלנות, נהיגה בקלות ראש ועבירות נלוות נוספות והותיר על כנו עונש של 15 חודשי מאסר ופסילת רישיון נהיגה למשך 7 שנים שהטיל עליו בית המשפט המחוזי לאחר שקיבל באופן חלקי את ערעורו והמיר את העבירה בה הורשע מעבירה של הפקרה במודעות לעבירה של הפקרה ברשלנות וכנגזר מכך התאים את מתחם העונש ההולם ואת העונש לעבירה זו. במקרה זה פגע הנאשם ברכבה של המתלוננת בעודו נוסע במהירות מופרזת וזו נלכדה ברכבה עד להגעת כוחות ההצלה ונזקקה לטיפול רפואי. הנאשם נמלט ממקום התאונה, לא החיש עזרה למתלוננת ולא הזעיק את כוחות ההצלה. בשונה מענייננו מדובר מצד אחד בהרשעה בחלופה הקלה של עבירת ההפקרה ואולם מצד שני הנאשם הורשע בעבירות נוספות, נמצא אחראי לתאונה ואף נתפס והורשע לאחר האירוע בעבירה של נהיגה בשכרות. בע\פ 5667/19 סרגיי חראצ'קו נ' מדינת ישראל (פורסם בנבו, 7.10.2019) דחה בית המשפט העליון את ערעורו של נאשם שהורשע בעבירה של הפקרה במודעות ונהיגה בקלות ראש והותיר על כנו עונש של 24 חודשי מאסר ופסילת רישיון נהיגה לתקופה של 3 שנים. במקרה זה נסע הנאשם כנגד כוון התנועה ופגע במתלונן שרכב על אופניים חשמליים ושנזרק למרחק של כ-18 מטר. הנאשם עזב את המקום מבלי לעמוד על תוצאות התאונה ומבלי להחיש עזרה או להזעיק את כוחות ההצלה. בשונה מענייננו מדובר בנאשם שהורשע בעבירות נוספות ונמצא אחראי לתאונה. כמו כן הנזק והחבלות שנגרמו למתלונן באותו מקרה היו חמורים יותר מאשר בענייננו. בע\""פ 5516/15 פארס נעיראת נ' מדינת ישראל (פורסם בנבו, 21.12.2015) דחה בית המשפט העליון את ערעורו של נאשם שהורשע בעבירות של הפקרה במודעות ונהיגה ללא""",train
"שהוטל על הנאשם 2 כנקודת מוצא לגובה הקנס שיוטל על הנאשם. לאור כל האמור לעיל, אני גוזר על הנאשם את העונשים הבאים: א. 32חודשי מאסר בפועל בניכוי ימי המעצר. ב. 12 חודשי מאסר על תנאי, לתקופה של 3 שנים מיום שחרורו מן המאסר, שהנאשם לא יעבור עבירת נשק לפי סעיף 144 לחוק העונשין על חלופותיו השונות.",train
"להיגרם כתוצאה מביצוע העבירות כמפורט בכתב האישום המתוקן בהתאם לסעיף 40 ט' לחוק העונשין\ (עמוד 21 שורות 10 עד 16 לפרוטוקול מיום 27.3.2014). יש עוד לתת את הדעת לדברי ב\""כ המאשימה, בתשובה לשאלת בית המשפט, טרם הגעת הצדדים להבנה הדיונית הנ\""ל, לפיהם: \""כאן לא מאשימים את הנאשם בהשמטת הכנסות, אלא בניהול ספרים כוזב על בסיס של השמטת רכישות. יכול להיות שאם הנאשם היה מנהל את הספרים שלו באופן תקין ומדווח על הכל, יכול להיות שהחוב שלו למס הכנסה היה אפס. החוב הזה יכול להיות שהוא מתבסס על סכומים גדולים יותר\"" (עמוד 19 שורות 27-30 לפרוטוקול מיום 22.1.2014). יחד עם האמור לעיל, יש לתת את הדעת להיקף הדיווח השגוי לרשויות המס, לעניין הרכישות, הן במישור הזמן (על פני שנים) והן במישור שווי הרכישות שלא דווחו (מיליוני שקלים). באשר לנסיבות הקשורות בביצוע העבירות, יש לתת את הדעת לנזק שהיה צפוי להיגרם מביצוע העבירות, השתמטות מתשלום מס בהיקפים גבוהים מאד; לנזק שנגרם בפועל לעיקרון אמינות הדיווח לרשויות המדינה ולסדר הציבורי, ובמידה ומסוימת לתכנון שקדם לביצוע העבירות. מדיניות הענישה בעבירות מיסים בעת האחרונה היא מחמירה. כך גם לעניין עבירה לפי סעיף 217 לפקודה. בעניין זה ראו בין היתר: ע\""פ (מחוזי ת\""א) 710003/01 מדינת ישראל נ' יעקוב שגיב (פורסם בנבו): דינו של הנאשם הוחמר באותו מקרה לעונש מאסר של 10 חודשים ואולם יש לתת את הדעת כי גם במקרה זה הדו\""ח השגוי התייחס להשמטת הכנסות. יחד עם זאת מטיעוני הצדדים לעונש ומהפסיקה שהוגשה לעיוני ומן ניסיונות איתור של בית המשפט, ניתן ללמוד שלא קיימת פסיקה נוהגת באשר לעבירות אותן ביצע הנאשם, על נסיבותיהן המיוחדות. כזכור, בענייננו הורשע הנאשם בביצוע עבירה לפי""",train
"האלימות, בשאלה האם נעשה שימוש בנשק קר או חם, בשאלה האם העבירה בוצעה בצוותא עם אחרים, באופי החבלות ובנזק הגופני שנגרם, ברקע ובמניע לאלימות, בשאלה האם מדובר באירוע מתוכנן או בפרץ אלימות ספונטני וכיוצ\ב נתונים שמייחדים את האירוע. להלן תוצג פסיקה במקרים דומים של גרימת חבלה באמצעות חפץ. בע\""פ 379/15 אגינצ'ה לוי נ' מדינת ישראל (פורסם בנבו, 9.7.2015) דחה בית המשפט העליון את ערעורו של נאשם שהורשע בגרימת חבלה חמורה בנסיבות מחמירות לאחר שהטיח בקבוק בירה בחוזקה בפניו של המתלונן וכתוצאה מכך נשבר הבקבוק והמתלונן נפצע בפניו ודימם. בית המשפט העליון הותיר על כנו עונש של 30 חודשי מאסר שהטיל עליו בית המשפט המחוזי. בע\""פ 1262/12 מוחמד עלי נ' מדינת ישראל (פורסם בנבו, 13.9.2012) בית המשפט העליון דחה את ערעורו של הנאשם שהורשע בעבירות של חבלה חמורה בנסיבות מחמירות, חבלה במזיד והיזק בזדון והותיר על כנו של 28 חודשי מאסר. במקרה זה הנאשם יחד עם אחרים שברו את מצלמות האבטחה בביתו של המתלונן וכשזה יצא מביתו הכה אותו הנאשם באמצעות אלה בראשו וגרם לו לשבר כפול בלסתו ולחבלות נוספות. בע\""פ 3381/16 חליל אלקרינאוי נ' מדינת ישראל (פורסם בנבו, 10.7.16) קיבל בית המשפט העליון את ערעורו של נאשם שהורשע בעבירה של חבלה בכוונה מחמירה והפחית את עונשו ל-12 חודשי מאסר חלף 20 חודשי מאסר שגזר עליו בית המשפט המחוזי. בית המשפט העליון קבע כי סיכויי השיקום בעניינו של המערער מצדיקים סטייה משמעותית יותר מזו שנקבעה על ידי בית המשפט המחוזי. במקרה זה הגיע הנאשם יחד עם בנו למקום בו עבדו המתלונן ואחד מבניו והכה את המתלונן בראשו ואת בנו באמצעות אלה זאת על רקע סכסוך שהתרחש מוקדם""",train
"סבורני כי מתחם העונש ההולם צריך לנוע בין 10 חודשי מאסר ל-24 חודשי מאסר. בקביעת המתחם התחשבתי בערכים המוגנים שנפגעו, במידת הפגיעה בהם, בנסיבות הקשורות בביצוע העבירה ובמדיניות הענישה הנוהגת. הנאשם פגע בערכים המוגנים של הגנה על קניינו, שלומו, בריאותו ובטחונו של אדם כמו גם על הסדר והביטחון הציבורי. מידת הפגיעה בערכים המוגנים בענייננו אינה מבוטלת. בתי המשפט חזרו ושנו על אודות הצורך להילחם בתופעה של פגיעה בקניין ובביטחון הציבורי, ועל אודות הצורך להגן על העובדים בעסקים שנותנים שירותים לציבור. בענייננו בחר הנאשם להגיע למכולת ולדרוש באיומים את תכולת הקופה וזאת תוך שהשתמש בקופת צדקה לצורך איום על המתלונן שעבד במכולת. כזכור, המתלונן המבוהל פתח את הקופה והנאשם נטל אלפי שקלים ממנה ונמלט מהמקום. יחד עם האמור ומבלי להקל ראש במעשיו של הנאשם, אין מדובר במעשים שנמצאים ברף החומרה הגבוה בגזרת עבירה זו. ראשית, לא קדם לאירוע תכנון או הכנה ממשית פרט לחבישת הכובע ועטיית המסכה הכירורגית (מסיכת קורונה). שנית, הנאשם לא הצטייד בכלי נשק מבעוד מועד אלא עשה שימוש בקופת הצדקה שהייתה במכולת. שלישית, הנאשם לא עשה שימוש פיזי בקופה לצורך ביצוע העבירה, היינו, לא הכה באמצעותה את המתלונן, ואף לא הניפה אל עבר המתלונן כי אם אחז בה. רביעית, האיום של הנאשם לא היה מילולי ומפורש כי אם מרומז מעצם אחיזתו בקופת הצדקה תוך שהוא מקלל את המתלונן ומורה לו לפתוח את הקופה. מידת הפגיעה בערכים המוגנים היא לא גבוהה גם בשים לב להיקף הפגיעה בקניין שאינה חריגה, העומדת על מספר אלפי שקלים, הגם שלא מדובר בסכום שהוא זניח. באשר לנסיבות ביצוע העבירה נתתי משקל לפגיעה במתלונן ובסדר הציבורי, לנזק שעלול היה להיגרם לו",train
"היה מחולל העבירה, לא ניתן להקל ראש במעשיו, זאת אף אם נתייחס אליו כמעין שליח (\בלדר\"") בלבד. באשר לחלקם של הבלדרים או השליחים בשרשרת הפצת הסם ראו ע\""פ 3820/09 מדינת ישראל נ' אוחיון (פורסם בנבו, 6.9.2009), פסקה 16: כן ראו ע\""פ 8915/18 מועזיז נ' מדינת ישראל (פורסם בנבו, 24.9.2019) (להלן: \""ענין מועזיז\""), פסקה 12: ביחס לענישה הנוהגת הרי שזו מגוונת ותלויה בנסיבות העושה, לרבות גילו, עברו הפלילי ושאלת השתלבותו בהליך שיקומי ובעיקר בנסיבות ה\""מעשה\"" לרבות סוג הסם, משקלו, התכנון והתחכום בביצוע העבירה, שיתוף פעולה עם אחרים וכיוצ\""ב נסיבות המשפיעות על הענישה. מסקירת הפסיקה הנוהגת בנושא עולה, כי אף שקיים גיוון רב בענישה, רמת הענישה המקובלת במקרים העוסקים בהחזקת סם מסוכן מסוג הרואין או קוקאין שלא לצריכה עצמית, בכמות של עשרות גרמים ומעלה היא של שנות מאסר. בעניין זה ראו למשל, ע\""פ 8820/14 שחר נ' מדינת ישראל (פורסם בנבו, 17.5.2015), פסקה 12 (להלן: \""עניין שחר\""). להלן תוצג פסיקה במקרים דומים של החזקת הירואין וקוקאין שלא לצריכה עצמית בכמויות גדולות. בע\""פ 1945/13 אחמד נ' מדינת ישראל (פורסם בנבו, 5.10.2014) דחה בית המשפט העליון את ערעורו של נאשם בעל עבר פלילי שהורשע בעבירות של החזקת סם מסוכן מסוג הרואין במשקל של 3.5 ק\""ג שלא לצריכה עצמית אותם אסף סמוך לגדר הגבול עם לבנון ועבירות נלוות והותיר על כנו עונש של 6 שנות מאסר וקנס על סך 10,000 ₪. במקרה זה דובר בכמות גדולה יותר של סמים שהוחזקה, בעבירות נוספות בהן הורשע, בנסיבות מחמירות יותר של עבירה (איסוף ליד גדר הגבול) ובנאשם בעל עבר פלילי מכביד, לרבות בעבירות סם; בע\""פ 2646/15 מדינת ישראל נ' אבו בכר (פורסם בנבו,16.7.2015) דחה בית""",train
"העבריין יינתן משקל מופחת יחסית ראו לעניין זה ע\פ 5881/14 עמנואל ביארי נ' מדינת ישראל (פורסם בנבו, 26.7.2015). ע\""פ 7672/06 מדינת ישראל נ' באסם אבו עמרה (פורסם בנבו, 6.3.2007) קיבל בית המשפט העליון את ערעור המאשימה והעמיד את עונשו של נאשם שהורשע בעבירות של שוד בנסיבות מחמירות, סיכון חיי אדם בנתיב תחבורה, נהיגה ללא רישיון ובתקופת פסילה עונש של 6 שנות מאסר חלף 5 שנות מאסר שגזר עליו בית המשפט המחוזי. בית המשפט העליון ציין כי: \""...זהו מקרה שבו הגמול העונשי ההולם ליחיד והצורך להרתיע את הרבים, מחייבים החמרה בעונש, נקדים ונאמר כי איננו ממצים את הדין עם המשיב כפי שהיינו עושים לו ישבנו כערכאה ראשונה...\"". במקרה זה חטף הנאשם את מפתחות הרכב של המתלוננת שעצרה את רכבה וצעדה לכוון הכספומט, נכנס לרכב והחל בנסיעה. המתלוננת שרדפה אחריו זינקה עם פלג גופה העליון לתוך הרכב וניסתה להוציא את המפתח מהמתנע אולם הנאשם חבט בה באגרופיו תוך כדי נסיעה עד שזו נפלה על הכביש ונחבלה. הנאשם המשיך בנהיגה פרועה לאחר ששוטרים שהבחינו בו דלקו אחריו תוך נסיעה מהירה, חציית צמתים באור אדום וניסיון לנגח את ניידת המשטרה. בית המשפט הוסיף לרכיבי הענישה גם רכיב של פיצוי. אכן, באותו מקרה הורשע הנאשם בעבירות נוספות ואחרות מאלו שהורשע הנאשם בענייננו, ואולם מאידך, קרבן ביצוע העבירות אינו נמנה על אוכלוסייה מוחלשת כבענייננו. בע\""פ 1414/05 אליהו לוי נ' מדינת ישראל (פורסם בנבו, 22.12.05) קיבל בית המשפט העליון את ערעורו של נאשם שהורשע לאחר שמיעת הליך הוכחות בעבירות של שוד, הפרעה לשוטר ונהיגה בפזיזות בכך שנכנס לרכב שעצר בצד המדרכה ובעודו נוסע דחף אל מחוץ לרכב את הנוסעת שישבה לצידו, שהייתה בהריון""",train
"בענייננו הציגו הצדדים הסדר מסוג \הסדר טווח\"" במסגרתו המאשימה הגבילה את טיעוניה לעונש ראוי של עשר שנות מאסר ואילו ב\""כ הנאשם טען באופן חופשי, ועתר לעונש של 3 שנות מאסר. בפסיקת בית המשפט העליון קיימות גישות שונות ביחס לשאלה האם במסגרת הסדר \""טווח\"" פטור בית המשפט מחובתו לקבוע מתחם עונש הולם. מחד, קיימת גישה לפיה קביעת מתחם עונש הולם על-ידי בית המשפט היא אמירה נורמטיבית של בית המשפט אשר צריכה להיאמר ללא קשר להסדר שבין הצדדים. מאידך, קיימת גישה לפיה בנסיבות דומות, של הסדר \""טווח\"", אין מקום לקביעת מתחם עונש הולם. לעניין הגישות השונות ראו למשל ע\""פ 8109/15 אביטן נ' מדינת ישראל (פורסם בנבו, 09.06.2016), פסקה 8. לצד אלה, קיימת גם גישת ביניים לפיה במקרים שכאלה אין צורך בהרחבה ובפירוט של מתחם העונש ההולם. צורך שכזה יכול לקום בעיקר עת מוצא בית המשפט להטיל עונש שסוטה מהעונש המוסכם או שנמצא הוא מחוץ לטווח המוסכם. בעניין זה ראו למשל ע\""פ 6943/16 גלקין נ' מדינת ישראל (פורסם בנבו, 28.01.2018), פסקה 3. סבורני כי נוכח אופיו של ההסדר והעובדה שהעונש שאותו מצאתי להטיל על הנאשם אינו חורג מטווח הענישה המוסכם, אין הכרח לשרטט במדויק את גבולות מתחם העונש ההולם בענייננו, הגם שמוצא אני להעיר כי העונש שלו עתר ב\""כ הנאשם (3 שנות מאסר) לא נמצא בגדרו של מתחם העונש ההולם את מקרה זה, אף לא בקרבה לשוליו התחתונים. אחר כל זאת, פטור בלא כלום אי אפשר, וכדי להבין את מסקנתי בדבר העונש הראוי לנאשם, מצאתי לעמוד גם על השיקולים שמגבשים על דרך כלל את מתחם העונש ההולם. בעבירות הנשק שעבר הנאשם פגע הוא בערכים המוגנים של שמירה על שלום""",train
"הנאשם הפנה בין היתר לע\פ 2988/14 מדינת ישראל נ' פלוני (פורסם בנבו, 26.1.2015) בו קיבל בית המשפט העליון את ערעורו של המדינה בעניינו של נאשם שהורשע בעבירה של חבלה בכוונה מחמירה והמיר את עונשו ל-6 שנות מאסר חלף 4 שנות מאסר שהטיל עליו בית המשפט המחוזי. במקרה זה, אגב קטטה בין שתי משפחות, דקר הנאשם את המתלונן בבטנו באמצעות סכין גדולה, באופן שגרם לפגיעות קשות באיברים פנימיים ודימום מסיבי בחלל הבטן. המתלונן הובהל לבית החולים שם בוצעו בו פתיחת חזה, עיסוי לב פתוח ופתיחת בטן לצורך ניתוח וטיפול בדימום ובחבלות. בנוסף למתלונן נותרו פגיעות קבועות שונות אשר מצריכות עזרה צמודה. מן הצד השני בית המשפט נתן משקל, בין היתר, להמלצה הטיפולית של שירות המבחן ולהסכם הסולחה שנערך, נתונים שלא מתקיימים בענייננו. בית המשפט העליון מצא כאמור להחמיר בעונשו של הנאשם, והגם שכך הוסיף והבהיר כי לא החמיר עוד יותר בעונש אך בשל הכלל הנקוט ולפיו ערכאת הערעור אינה ממצה את הדין. לע\""פ 2056/15 רוז'ניקוב נ' מדינת ישראל (פורסם בנבו, 28.11.2016) בו דחה בית המשפט העליון את ערעורו של נאשם שהורשע בעבירה של חבלה בכוונה מחמירה והותיר על כנו עונש של 54 חודשי מאסר. במקרה זה דקר הנאשם את המתלונן בחזהו מאחור לאחר ויכוח קולני שהתגלע ביניהם. כתוצאה מכך המתלונן איבד את הכרתו ופונה לבית החולים כשהוא במצב קריטי, הובהל לניתוח לאחר שנמצא כי הוא סובל מקרע בסרעפת ובכבד, אושפז לצורך השגחה וכתוצאה מהניתוח נותרה צלקת ארוכה על בטנו. לצד זאת ולהבדיל מענייננו, צוין בעובדות כתב האישום המתוקן כי בשלב מסוים המערער ניסה לסייע כדי לעצור את הדימום של אותו מתלונן. בענייננו כזכור הנאשם נמלט מן המקום""",train
