question,answer,split
מהו המסר המשפטי שחשוב להעביר כדי להגן על קטינים מפני פגיעות מיניות?,"בפסיקה נקבע לא אחת כי על בית המשפט מוטלת החובה לשמש מגינם של הקטינים באמצעות העברת מסר חד משמעי לפיו כל מי שיהין לפגוע בגופו של קטין לצורך סיפוק גחמותיו המיניות, צפוי לעונש חמור .",train
כיצד יש לאזן בין השיקולים השונים בשלב גזירת העונש?,"יחד עם זאת, בשלב גזירת העונש עלינו להביא בחשבון את מגוון השיקולים ולאזן ביניהם בצורה הראויה בהתאם לנסיבות המקרה.",train
מהו העיקרון המנחה לגבי שוויון הנאשמים בפני החוק והחמרת הענישה במצבים דומים?,"עקרון זה נגזר מעקרון שוויון הנאשמים בפני החוק, ומורה כי על מצבים דומים מבחינת אופי העבירות והנסיבות האישיות ראוי להחיל במידת האפשר שיקולי ענישה דומים.",train
מהי החומרה המיוחדת שיש להתחשב בה בעת גזירת הדין בעבירות החזקה ונשיאה של נשק?,בבוא בית המשפט לגזור את הדין בעבירה של החזקה ונשיאה של נשק עליו להתחשב בנסיבות שבהן באה לידי ביטוי החומרה המיוחדת שבעבירה.,train
"מהו הקשר בין ריבוי העבירות לבין העונש המוצע על ידי ב\כ המאשימה?""","הגם שתקופת המאסר שעתרה לה ב\כ המאשימה במסגרת טיעוניה לעונש – ניתן למצוא לה אחיזה הן מעצם המעשים, ריבויים, אופיים, תדירותם והן בפסיקה במקרים דומים.""",train
מדוע יש להחמיר בעונש במקרה שבו הסם סופק באולם הדיונים?,"משנה חומרה יש בכך שהנאשם סיפק את הסם בתוך אולם הדיונים, במהלך הדיון ובמעמד השופט, תוך הכשלת היחידה המופקדת על ליווי אסירים.",train
אילו שיקולים לקולא קיימים בעניינו של הנאשם?,"מנגד, קיימים אף שיקולים לא מעטים לקולא- עברו הנקי של הנאשם, הודאתו שחסכה זמן שיפוטי יקר, הרשעתו במעשה בודד כאשר מיום ביצועו (12.08.08) לא נפתחו נגדו תיקים נוספים.",train
מהי הגישה של הפסיקה לגבי גזירת עונש על נאשמים בעבירות הסתננות?,הפסיקה פירשה את תחולת החוק לעניין העונש באופן מצמצם וקבעה כי יש לגזור על הנאשמים עונשים מידתיים התואמים את חומרת העבירות שביצעו ולבחון כל מקרה לגופו.,train
מדוע עקרון אחידות הענישה אינו חזות הכול?,עקרון אחידות הענישה אינו חזות הכול והנו אך אחד משיקולי הענישה.,train
מהו השיקול שהשפיע על ההערכה לגבי העבירות שביצע הנאשם?,"עוד אתחשב כי בחלק מהעבירות, מדובר בעבירות רכוש מהמדרג הנמוך יחסית, וזאת מבלי להקל ראש בעצם המעשים והשלכותיהם על ביטחון הציבור ורכושו.",train
אילו שיקולים לקולא יש לקחת בחשבון במקרה של הנאשם?,"לקולא אזקוף לזכות הנאשם את גילו הצעיר, עברו הנקי, הודאתו שחסכה זמן שיפוטי יקר, נסיבותיו האישיות והמשפחתיות כעולה מהתסקיר, החרטה שהביע על התנהגותו הן בפני שירות המבחן, הן בפני המתלונן במסגרת הליך \הצדק המאחה\"" והן בפני בית המשפט.""",train
מהו העיקרון המנחה בענישה המובא בחוק העונשין בנוגע ליחס בין חומרת העבירה לאשמת הנאשם?,"על פי עקרונות הבניית שיקול הדעת השיפוטי בענישה, כפי שהותוו בפרק ו', סימן א'1 לחוק העונשין, התשל\ז-1977, יש לקבוע \""יחס הולם בין חומרת מעשה העבירה בנסיבותיו ומידת אשמו של הנאשם ובין סוג ומידת העונש המוטל עליו (בסימן זה \t6 העיקרון המנחה)\"" (סעיף 40ב לחוק).""",train
מהו השקלול הנכון בין שיקולי הענישה השונים במקרה זה?, בנסיבות מיוחדות של המקרה שבפני אני מוצא כי השקלול הנכון בין שיקולי הענישה השונים נוטה לקולא בכיוון להפעלת עונש שיקומי שיאפשר לנאשם להשלים את ההליך הטיפולי.,train
מהי הסיבה לחומרה במקרה זה בהקשר למעמד בית המשפט?,"החומרה במקרה זה, נובעת מהפגיעה במעמדו של בית המשפט, הן כסמל והן ברמה המעשית של העיסוק בעשיית משפט.",train
מדוע יש צורך בפעולה חינוכית משולבת בנוסף לענישה כדי להתמודד עם הבעיה?,"יחד עם זאת, ברור כי אין בכוחה של ענישה בלבד לפתור את הבעיה, ודרושה פעולה חינוכית משולבת, רחבה ויסודית.",train
מהו העיקרון המשפטי שהפסיקה קובעת לגבי הענישה בעבירות חמורות?,"הפסיקה הדגישה כי יש לשאוף, בנסיבות המתאימות, אל העונש המקסימלי שנקבע בחוק.",train
אילו שיקולים הובילו לקביעת העונש במסגרת מתחם הענישה ההולם?,השיקולים הרלוונטיים כפי שהוצגו הובילו לקביעת העונש בגדרי מתחם הענישה ההולם.,train
מהי הדרך הנדרשת כדי לפתור את בעיית האלימות מעבר לענישה בלבד?,"ברור כי אין בכוחה של ענישה בלבד לפתור את הבעיה, ודרושה פעולה חינוכית משולבת, רחבה ויסודית.",train
מדוע יש מקום לסטות ממדיניות הענישה המקובלת בעבירות שביצע הנאשם?,"סבור אני כי במקרה זה יש מקום לסטות ממדיניות הענישה המקובלת בעבירות מן הסוג שעבר הנאשם, זאת לאור נסיבותיו האישיות וכן יתר הטעמים שמניתי לעיל, ומתוך תקווה כי יצליח להשתלב במסלול שיקומי.",train
מדוע יש חשיבות למיגור תופעת ההסתננות והשפעתה על ביטחון תושבי המדינה?,אין להקל ראש במעשיו של הנאשם אשר נכנס לגבולותיה של המדינה בהסתר וללא היתר ויש למגר תופעה זאת אשר יש ותפגע בביטחונם האישי של תושבי המדינה.,train
מדוע עקרון אחידות הענישה אינו נחשב לשיקול בלעדי בענישה?,עקרון אחידות הענישה אינו חזות הכול והנו אך אחד משיקולי הענישה.,train
כיצד ישפיעו השיקולים האישיים של הנאשם על גזר הדין במקרה של הרשעה?,"בבואם של שופטים לגזור את דינו של הנאשם שהורשע, גם כאשר מדובר באינטרס מובהק של גמול והרתעה, אין להתעלם מנסיבותיו הקונקרטיות של המקרה שבפניהם ומהשיקולים האינדיבידואליים הקיימים בעניינו של כל נאשם ונאשם (ע\פ 845/02 מדינת ישראל נ' תנובה מרכז שיתופי לשיווק תוצרת חקלאית לישראל בע\""מ, פס' 6 (לא פורסם, 8.1.2008).""",train
מהו השיקול המרכזי המוביל להעדפת ההרתעה והגנה על הציבור על פני שיקום הנאשמים?,"במקרה שבפניי, שיקולי הענישה, ההרתעה והצורך להגן על הציבור מפני מעשי בריונות דוגמת אלה שבוצעו על ידי הנאשמים, גוברים כאמור על אלמנט השיקום.",train
כיצד משפיע האיזון בין האינטרס הציבורי לנסיבות האישיות של הנאשמת על ההחלטה בעניינה?,"כאשר אני מאזן בין האינטרס הציבורי בעבירות נשוא כתב האישום, לבין נסיבותיה האישיות של הנאשמת, גובר האינטרס הציבורי בעבירות נשוא הרשעת הנאשמת, ובעיקר על רקע אי הסרת המחדלים עד כה.",train
מהו תפקיד העין הציבורית בענישה של מעשי סמים חמורים?,"העין הציבורית צופה לענישה המבטאת את סלידת הציבור ממעשים כאלה, הוקעתם והרתעה מביצועם.",train
מדוע המלצת שירות המבחן לא מתיישבת עם האינטרס הציבורי במקרה זה?,"המלצת שירות המבחן אינה מתיישבת עם האינטרס הציבורי בכלל ובמקרה שבפניי, בפרט, בשים לב לחומרת המעשה כמתואר לעיל.",train
