text,split
"עבור המכירה. נתתי דעתי לנזק שיכול היה להיגרם לבריאותם של הקונים השונים כתוצאה משימוש בתרופות, בפרט לארז (אישום 2) אשר התלונן על צריבות בעיניים ובחזה וכאבים בחזה כתוצאה מהשימוש בתרופות. נתתי דעתי לפגיעה המתמשכת בקניינם של בעלי זכויות הקניין שהופרו ולפגיעה באוצר המדינה. בחינת מדיניות הענישה הנוהגת מעלה כי במקרים דומים הוטלו על נאשמים עונשים החל מאסרים קצרים ועד למאסרים לתקופות משמעותיות. כל מקרה ונסיבותיו. העונשים משתנים בהתאם להיקף המרמה וההונאה, לכמות העסקאות, לסכומי העסקאות, משך העסקאות, נסיבות אישיות ועוד. ראו למשל: רע\פ 9102/15 רועי פאר נ' מדינת ישראל (26.1.16). המבקש הורשע בעבירות של טיפול רשלני בתרופות, עיסוק במכירה ובהפצה של טובין שסומנו בלא רשות בעל הסימן, החזקת טובין מפרים לשם מסחר, אי קיום חובת מרשם, מכירה קמעונאית של תכשיר מרשם שלא בידי רוקח מורשה, שיווק תכשיר שלא באמצעות בית מרקחת, מכירת תכשירים שלא באריזתם המקורית, שימוש במסמך מזוייף, קבלת דבר במרמה ועוד. המבקש מכר בהזדמנויות שונות כדורים מפרים של ויאגרה וסיאליס, הנאשם רכש מאות כדורים באלפי שקלים, בחיפוש שנערך בביתו נמצא כי החזיק 2181 כדורים מפרים, עלונים, מדבקות, אריזות ריקות של כדורים מפרים ועוד. הנאשם העסיק שליחים מטעמו שעסקו בהפצה, ובאמתחתם נתפסו למעלה מ- 6400 כדורים מפרים. בית משפט קמא קבע כי מתחם העונש ההולם נע בין 6-18 חודשי מאסר וגזר על המבקש 6 חודשי מאסר לריצוי בעבודות שירות, מאסר מותנה, צו מבחן וקנס בסך 150,000 ₪. בית המשפט המחוזי דחה את ערעור המבקש על גובה הקנס וקיבל את ערעור המשיבה על חומרת העונש תוך העמדת עונש המאסר על 10 חודשי מאסר בפועל. בקשת רשות ערעור נדחתה. נאשמים אחרים באותה פרשה, אשר חלקם היה קטן""",train
"לעבר ראשו של המתלונן במוט הברזל והמתלונן רודף אחריו ומנסה לדקור אותו בעזרת המברג. במקביל מתלונן אחר החל להכות באגרופים את נאשם 2 כדי למנוע ממנו להמשיך ולהכות עם הפטיש. נאשם 2 נפל, הפטיש נפל מידו, אחד המתלוננים הרים את הפטיש והיכה באמצעותו את נאשם 2 בצוותא עם שאר המתלוננים מספר פעמים. נאשם 1 ראה שנאשם 2 הותקף, חזר למקום והחל לנופף במוט הברזל במטרה לפגוע במתלוננים וכתוצאה מכך חדלו המתלוננים להכות את נאשם 2 והחלו לרדוף אחר נאשם 1 אשר עזב את המקום. כתוצאה ממעשי הנאשמים נגרמה למתלונן המטומה גדולה בחלקו העליון של הראש וכן שפשוף בכתף. למתלונן נוסף נגרמו שני חתכים באזור המצח שנדרשו לתפרים, גם הנאשמים עצמם נחבלו. בית המשפט קבע כי מתחם העונש ההולם נע ממאסר קצר שיכול וירוצה בעבודות שירות ועד 18 חודשי מאסר בפועל, על נאשם 1 הוטלו 49 ימי מאסר בניכוי 49 ימי מעצרו ועל נאשם 2 הוטלו 5 חודשי מאסר בניכוי ימי מעצרו אותם הוא ירצה בדרך של עבודות שירות כל זאת לצד ענישה נלווית עפ\ג (חיפה) 13466-08-13 מדינת ישראל נ' מחאג'נה (21.11.13) המשיב הורשע לאחר שמיעת ראיות בביצוע עבירה של פציעה כשעבריין מזוין לפי סעיף 334 + 335(א)(1) לחוק העונשין התשל\""ז – 1977. על פי עובדות כתב האישום בהן הורשע, המשיב תקף את המתלונן באמצעות מוט ברזל בראשו וגרם לפציעתו באופן שנגרמו למתלונן שישה חתכים בראש בגינם נזקק לטיפול רפואי. בין המשיב למתלונן נעשה הסכם סולחה. אין למשיב הרשעות קודמות. בית המשפט קמא גזר על המשיב 6 חודשי מאסר לריצוי בעבודות שירות לצד ענישה נלווית. ערכאת הערעור, לא בלי היסוס, לא התערבה בעונש המאסר שהוטל אך הגדילה""",train
"בקשת רשות ערעור בעליון נדחתה. עפ\ג (ת\""א) 8098-05-15 גולדשטיין נ' מדינת ישראל(09.09.2015). פציעה כשהעבריין מזוין. הנאשמת דקרה את המתלוננת באמצעות בקבוק שבור, זאת על רקע ויכוח. על הנאשמת נגזרו 6 חוד' מאסר בעבודות שירות, מע\""ת, התחייבות ופיצוי בסך 20,000 ₪. בית המשפט המחוזי התערב רק ברכיב הפיצוי והעמידו על 15,000 ₪. עפ\""ג (חיפה) 22202-12-14 אחמד נ' מדינת ישראל (05.02.2015). פציעה כשהעבריין מזוין. המערער היכה באלה ודקר בחפץ חד את המתלונן בראשו וזה האחרון נזקק לטיפול רפואי. המחוזי הפחית את תקופת המאסר מ- 10 ל- 6 חוד' והורה כי המאסר ירוצה בדרך של עבודות שירות. ע\""פ (ב\""ש) 2111-12-13 מימוני נ' מדינת ישראל (19.02.2014). פציעה כשהעבריין מזויין. על רקע חוב כספי, הגיע הנאשם לחנות צמיגים ובלהט ויכוח הוציא מרכבו כלי חד שבאמצעותו פצע את במתלונן בבית השחי. על הנאשם נגזרו 4 חוד' מאסר בעבודות שירות, מע\""ת ופיצוי למתלונן. ערעורו נדחה. עפ\""ג (ת\""א) 28534-10-12 סרוסי נ' מדינת ישראל. פציעה כשהעבריין מזוין והחזקת סכין שלא למטרה כשרה. הנאשם שלף סכין במהלך מריבה עם אחר ודקר את המתלונן שהגיע בכדי להפריד. כתוצאה מכך נגרם למתלונן חתך בחזהו באורך 3 ס\""מ והוא נזקק לטיפול כירורגי. הנאשם נדון ל-16 חודשי מאסר בפועל. ערעור במחוזי נדחה. עפ\""ג (ב\""ש) 14924-12-12 גטנט נ' מדינת ישראל. פציעה כשהעבריין מזוין והחזקת סכין. הנאשם דקר את המתלונן בסכין מטבח, שתי דקירות בישבנו על רקע ויכוח ועלבונות הדדיים ותחת השפעת אלכוהול. המתלונן בניסיונו להתגונן אחז בסכין וכתוצאה מכך נחתך גם בידו. הנאשם נדון ל-15 חוד' מאסר בפועל, מע\""ת וענישה נלווית. ערעור במחוזי נדחה. לאור כל האמור אני קובעת כי מתחם העונש ההולם לעבירה בנסיבותיה נע ממאסר שיכול וירוצה בעבודות שירות""",train
"שנות פסילה וענישה נלווית. ערעורה של המבקשת בבית המשפט המחוזי, ובקשת רשות ערעור נדחו. רע\פ 1652/20 ראמי סעיד נ' מדינת ישראל (15.3.20): המבקש הורשע לאחר שמיעת ראיות בעבירה של נהיגה רשלנית שגרמה למותה של הולכת רגל אשר חצתה את הכביש במעבר חציה. בית משפט קמא קבע כי רשלנות המבקש היתה ברף הגבוה, קבע כי מתחם העונש ההולם נע בין 8-14 חודשים וענישה נלווית וגזר על המבקש 10 חודשי מאסר, 15 שנות פסילה ופיצוי למשפחת המנוחה. בית המשפט המחוזי בדעת רוב קיבל בחלקו את הערעור, קבע כי הרשלנות משמעותית, אישר את המתחם שנקבע והעמיד את הענישה בתחתית המתחם כך שירצה 8 חודשי מאסר בפועל ו- 10 שנות פסילה (דעת המיעוט היתה כי יש להפחית את המאסר ל- 9 חודשים שירוצו בעבודות שירות). בקשת רשות ערעור נדחתה. רע\""פ 9909/17 דרויש נ' מדינת ישראל (1.1.18): המבקש הורשע לאחר שמיעת ראיות בעבירה של גרימת מות ברשלנות. המערער נהג באוטובוס, פנה ימינה במהירות איטית ופגע במנוחה שחצתה הכביש במעבר חציה. בית משפט קמא קבע כי רשלנותו של המערער היא \""בין בינונית לגבוהה\"", כי מתחם העונש ההולם נע בין 10-24 חודשי מאסר ו- 6-15 שנות פסילה, וגזר על המבקש 14 חודשי מאסר ו- 10 שנות פסילה. בית המשפט המחוזי קיבל את הערעור בחלקו, קבע כי מתחם העונש ההולם נע בין 9-24 חודשי מאסר וגזר על המבקש 9 חודשי מאסר לריצוי מאחורי סורג ובריח. בקשת רשות ערעור נדחתה. רע\""פ 5112/16 כהן נ' מדינת ישראל (4.7.16)‏‏, המבקש הורשע לאחר שמיעת ראיות בעבירה של נהיגה רשלנית שגרמת למותו של הולך רגל אשר חצה את הכביש במעבר חציה. בית משפט קמא קבע כי רשלנות המבקש היא""",train
"(פורסם בנבו, 31.01.16), הנאשם הורשע בעבירות של שבל\ר, שימוש בכוח כדי למנוע מעצר והפרת הוראה חוקית. הנאשם השתמש במכונית שנגנבה מבעליה בסמוך לפני כן, תוך שמפר תנאי מעצר הבית שנקבעו לו, והתנגד למעצרו בכך שהזיז את ידיו כשהשוטרים ביקשו לאוזקו. הנאשם נידון ל5.5 חודשי מאסר מיום מעצרו וענישה נלווית. ת\""פ (רמ') 35358-07-14 משטרת ישראל תביעות-שלוחת רמלה נ' אבו עאמר (פורסם בנבו, 3.3.15) ו- ת\""פ (רמ') 35358-07-14 משטרת ישראל תביעות-שלוחת רמלה נ' אבו עאמר (פורסם בנבו, 3.3.15) הנאשם הורשע בעבירות של נהיגה פוחזת של רכב, הפרעה לשוטר במילוי תפקידו, נהיגה ללא רישיון נהיגה, ללא ביטוח ושימוש ברכב ללא רשות בעליו. כמו כן צירף תיק של הפרת הוראה חוקית. הנאשם מעולם לא הוציא רישיון נהיגה, לקח את רכבה של אימו ללא רשותה, לא נענעה לקריאות השוטרים לעצור, החל בנסיעה מהירה ברחובות העיר, עקף רכבים תוך עליה על שוליים וחציית רמזור אדום בצומת, פרץ מחסום משטרתי בנסיעה מהירה, המשיך בהימלטות, ונמלט רגלית מרכבו. צירף תיק בו הפרת תנאי מעצר בית. נידון לחודשיים מאסר בעבודות שירות וענישה נלווית. ת\""פ (רח') 47341-12-12 מדינת ישראל נ' עמר (פורסם בנבו, 29.1.14), הנאשם הורשע בעבירות של נהיגה ללא רישיון נהיגה, ללא ביטוח, שבל\""ר, הפרעה לשוטר והתנגדות למעצר. הנאשם, בן 20, בעל רקע משפחתי ונפשי קשה, לקח את רכבה של אימו ללא רשות, ונהג ללא רישיון נהיגה תקף וללא ביטוח, משהורו לו שוטרים לעצור, המשיך הנאשם בנסיעתו, משעוכב סרב להיכנס לניידת והתנגד למעצר. לנאשם עבירות קודמות, שירות המבחן נמנע מהמלצה טיפולית. ביהמ\""ש קבע כי מתחם הענישה הינו בין 6 חודשי עבודות שירות ל - 12 חודשי מאסר בפועל. נידון ל- 6 חודשי מאסר בפועל וכן""",train
"נוספת, ויכול ובשל התיקים הנוספים אף העונש המצטבר אליו תעתור המאשימה יעלה על 6 חודשי מאסר ולפיכך לא ניתן יהיה לשקול ריצויו של העונש המצטבר אליו תעתור, בדרך של עבודות שירות. עם זאת, כשמלכתחילה המאשימה הציגה בתיק 11720-02-17 הסדר בו הרף העליון אליו תעתור בתיק זה לא יעלה על 6 חודשים (הוא הרף העליון שניתן לרצות בעבודות שירות), לא מצאתי הצדקה לעתירה בתיק זה לרף העליון של המתחם אשר לשיטתה עומד על 6-18 חודשים, קרי ל- 18 חודשי מאסר. זאת ועוד, התסקיר בעניינו של הנאשם מלמד על הירתמות משמעותית להליך טיפולי, ויש להניח כי בנסיבות אלו יכול והיה מקום שהמאשימה תשקול לעתור בתיק זה לענישה מתחת לרף העליון שהציגה בהסדר. תמהה אני הכיצד רצונו של הנאשם לצרף 4 תיקים נוספים, תיקים שכולם היו ידועים למאשימה בעת גיבוש ההסדר והצגתו לבית המשפט, יכול להצדיק שינוי כה קיצוני בעמדתה העונשית של המאשימה ביחס לתיק 11720-02-17, מבלי שחל כל שינוי בנתוני תיק זה וזאת תוך זניחת ההתחייבות אותה הציגה בהסדר. לא מצאתי לכך כל הצדקה. אף לא ברורה התנהלותה של המאשימה, באופן שלאחר שהסתיימו טיעוני הצדדים לעונש, הגישה לבית המשפט תגובה בכתב על טיעוני ההגנה, וזאת שלא בהתאם לסדרי הדין ומבלי שנתבקשה לכך רשותו של בית המשפט. לפיכך, מצאתי לנכון ולמידתי להטיל על הנאשם את העונשים הבאים: 2 חודשי מאסר על העבירות בתיק 26083-06-17. 3 חודשי מאסר על העבירות בתיק 11720-02-17. המאסרים שהוטלו ירוצו בחופף כך שסך הכל ירצה הנאשם 3 חודשי מאסר בדרך של עבודות שירות במועצה דתית קרית מלאכי ברחוב הגליל 6 קרית מלאכי. מתקופת המאסר לא ינוכו ימי המעצר שריצה הנאשם. הנאשם הביע את הסכמתו לרצות",train
"מתחם בין אלפי שקלים ועד 18,000 ₪. נדון ל-4 חודשי מאסר לריצוי בעבודות שירות, קנס בסך 6000 ₪ וענישה נלווית. ת\פ (שלום ת\""א) 64422-02-18 מדינת ישראל נ' וינר (3.6.2019). 9 דוחות שלא הוגשו במועד. המחדל הוסר חלקית ובעת גזר הדין סכום המחדל עמד על סך של 40,493 ש\""ח. נקבע מתחם מאסר מותנה ועד 7 ח' מאסר וקנס שנע בין 2,000-4,000 ש\""ח. נדון למאסר מותנה של 6 חודשים למשך 3 שנים וקנס בסך 3,000 ₪ והתחייבות בסך 8,000 ש\""ח. ת\""פ (ב\""ש) 13280-02-17 מדינת ישראל נ' חננשוילי (1.5.19): 19 דוחות שלא הוגשו במועד. סכום המחדל 123,181 ₪. המחדל הוסר באופן חלקי ובמועד גזר הדין עמד על 93,151 ש\""ח. נקבע מתחם ממאסר מותנה ועד 7 חודשי מאסר בפועל, קנס בין 4,600 ₪ ועד 9,300 ₪ והתחייבות. הנאשם נדון ל-3 חודשי מאסר בעבודות שירות, מאסר על תנאי וקנס בסך 6,000 ₪. ת\""פ (באר שבע) 39451-11-15 מדינת ישראל נ' מימון אור (2.5.18). 11 דוחות שלא הוגשו במועד סכום המחדל כ- 102,000 ₪. המחדל לא הוסר. נקבע מתחם הכולל 2-6 חודשי מאסר וענישה נלווית. נדון למאסר בן 3 חודשים לריצוי בעבודות שירות, מאסר מותנה של 3 חודשים למשך 3 שנים, קנס בסך 5,000 ₪ והתחייבות. ת\""פ (באר שבע) 1682-12-16 מדינת ישראל נ' א.ג. מילאנו סטייל בע\""מ ואח' (11.11.20). 4 דוחות שלא הוגשו במועד סכום המחדל כ- 115,000 ₪. המחדל לא הוסר. נקבע מתחם הנע ממאסר מותנה ועד 7 חודשי מאסר וענישה נלווית. נדון למאסר בן 3 חודשים לריצוי בעבודות שירות, מאסר מותנה של 3 חודשים למשך 3 שנים, קנס בסך 5,000 ₪ והתחייבות. באשר לגובה הקנס. עסקינן בעבירות אשר נעברו ממניע כלכלי""",train
"התחייבות, קנס ופיצוי). עפ\ת 7554-06-13 אורנשטיין נ' מ\""י, הש' ט. חיימוביץ', 17.7.13. (נסיעה לאחור במגרש חנייה, פגיעה בהולכת רגל שעמדה רכונה על גבי תא המטען של מכוניתה, חבלות, שברים בעצמות הירכיים, ניתוח ושיקום. גזר הדין- 12 חודשי פסילה, פע\""ת וקנס). עפ\""ת 46532-03-13 משה אדזיאשוילי נ' מ\""י, הש' כ. סעב, 1.6.13. (נהג אוטובוס, פניית פרסה מבלי לשים לב למתרחש בדרך, הנהג המעורב שבר בסטרנום. גזר הדין- 4 חודשי פסילה בניכוי חודשיים מנהלית, פע\""ת וקנס). עפ\""ת 42785-04-13 שמואל מוסיוב נ' מ\""י, הש' ר. בן יוסף, 9.5.13. (נהג מונית, המשיך בנסיעה טרם ירידת הנוסעת, הנוסעת נפלה ונחבלה ונגרם לה שבר בכף הרגל. גזר הדין- חודשיים פסילה, פע\""ת וקנס). עפ\""ת 30822-01-13 אבידן נ' מ\""י, הש' א. כהן, 6.3.13. (מהירות שאינה מתאימה לתנאי הדרך. התנגשות ברכב מאחור. 2 נוסעות נחבלו חבלות של ממש, האחת סבלה משבר בכף היד והשנייה שבר ברדיוס הדיסטלי ונזקקה לניתוח וקיבוע השבר באמצעות פלטה וברגים. גזר הדין- 8 חודשי פסילה, פע\""ת, קנס והתחייבות). עפ\""ת 44705-11-11 ויקטור צלח נ' מ\""י, הש' ר. בן-יוסף, 22.12.11 (נסיעה לאחור באי זהירות, קשישה נחבלה חבלות של ממש בדמות שבר, המטומה ופריקת מפרק נזקקה לאשפוז. ביה\""מ המחוזי התערב בעונש פסילה שהושת על המבקש למשך שנה משיקולים של תוצאות התאונה (הנפגעת הבריאה), עבר מקל, גיל המערער, היזקקותו לרישיון, נכותו, רשלנות תורמת והימשכות ההליכים. גזר הדין- 7 חודשי פסילה, פע\""ת וקנס). עפ\""ת (נצרת)20418-06-11 חוסני מוראד נ. מ\""י. פסק דין מיום 3.8.11. הנאשם הורשע בסטיה מנתיב, נהיגה רשלנית וגרימת תאונה שתוצאותיה חבלות לארבעה בני אדם כשאחת מנוסעות הרכב המעורב נחבלה חבלה של ממש בדמות שבר בצלע. שם בית המשפט קמא הטיל על הנאשם 28 חודשי פסילה""",train
"הנאשמת את העונשים הבאים: הנני מטילה על הנאשמת צו מבחן וזאת למשך שנה. הנאשמת תימצא בפיקוח שירות המבחן למשך שנה מהיום. במסגרת המבחן תשולב הנאשמת בכל הליך טיפולי ששירות המבחן ימצא לנכון מעת לעת. הנאשמת מוזהרת כי אם לא ימולאו תנאי הצו במלואם, ניתן יהיה לבטלו ולהטיל עליה עונש נוסף, בגין העבירות בהן הורשעה, במקום צו המבחן. הנני מטילה על הנאשמת צו לביצוע 180 שעות שירות לתועלת הציבור וזאת במשך שנה. השל\צ יבוצע ב\""בית הדר\"", בית חולים שיקומי סיעודי באשדוד בתחום של מזכירות כללית, בהתאם לתכנית שגובשה על ידי שירות המבחן ובפיקוח שרות המבחן. אם יתעורר צורך בשינוי מקום ההשמה, שרות המבחן יעשה כן וידווח לבית המשפט. הנאשמת מוזהרת כי אם לא ימולאו תנאי הצו במלואם, ניתן יהיה לבטלו ולהטיל עליה עונש נוסף, בגין העבירות בהן הורשעה, במקום צו השל\""צ. מאסר מותנה בן 5 חודשים למשך 3 שנים, שהנאשמת לא תעבור כל עבירת רכוש. פיצוי בסך 5,000 ש\""ח למתלונן יעקב כהן, עד תביעה 1. הפיצוי ישולם ב- 15 תשלומים רצופים ושווים החל מיום 1.3.18. קנס בסך 500 ₪ או 5 ימי מאסר תמורתו. הקנס ישולם לא יאוחר מיום 1.6.19. כל תשלום יזקף ראשית לכל על חשבון הפיצוי.""",train
"להירתם להליך טיפולי במסגרת שירות המבחן, ישכיל לנצל את ההזדמנות שניתנה לו, וימנע מלשוב לבצע עבירות. לאור כל המפורט לעיל אני דנה את הנאשם לעונשים הבאים: אני מורה על חידוש המאסר המותנה בן 5 חודשים כפי שהוטל על הנאשם בת\פ 13467-01-13 בבית משפט השלום באשקלון ביום 30.11.14 וזאת למשך שנתיים מהיום. אני פוסלת את הנאשם מלקבל או מלהחזיק רישיון נהיגה לתקופה של 9 חודשים. הפסילה תחל היום. בשל היות הנאשם בלתי מורשה לנהיגה המזכירות תנפיק אישור הפקדה מהיום ללא צורך בהפקדת רישיון. הפסילה תסווג באופן שבמהלך הפסילה יותר לנאשם ללמוד נהיגה, לעבור מבחן נהיגה עיוני ומבחן נהיגה מעשי. מוסבר לנאשם כי גם אם יעבור בהצלחה את כל המבחנים נאסרת עליו הנהיגה ונאסר עליו להוציא רישיון נהיגה עד לסיום הפסילה שהוטלה עליו בתיק זה. פסילה מלהחזיק ומלקבל רישיון נהיגה לתקופה של 6 חודשים וזאת על תנאי למשך 3 שנים שהנאשם לא יעבור עבירה בניגוד לפקודת הסמים המסוכנים. מורה על הפעלת ההתחייבות בסך 5000 ₪ עליה חתם הנאשם בת\""פ 13467-01-13 בבית משפט השלום באשקלון ביום 30.11.14. ההתחייבות תשלום ב – 20 תשלומים חודשיים רצופים ושווים, תשלום ראשון לא יאוחר מיום 15.3.19. הנאשם יחתום על התחייבות כספית בסך 3000 ₪ להימנע מביצוע עבירה על פקודת הסמים המסוכנים. ההתחייבות תיחתם במזכירות בית משפט עוד היום. לא יחתום הנאשם כאמור, יאסר למשך 15 יום.""",train
