case_id,sentence_text,label_a,label_a_norm,label_b,label_b_norm
"ת""פ 59578-12-21 ","ראשית אציין כי על אף שהדברים לא נאמרו במפורש על ידי ב""כ המאשימה, מטיעוניה עולה כי היא סבורה שיש לסטות במידה מה ממתחם העונש ההולם ועל כן עתרה להשית על הנאשם מאסר שירוצה בעבודות שירות וזאת בניגוד לתיקים אחרים בהם היא עותרת לריצוי המאסר בפועל.",תביעה,תביעה,שופט,שופט
"ת""פ 13401-03-12",הנאשם לא פעל ממניע כלכלי או בכוונה לבצע עבירות באמצעות הנשק.,שירות המבחן,שירות המבחן,ההגנה,הגנה
"ת""פ 16014-01-22 ","לשם כך יתחשב בית המשפט בערך החברתי שנפגע מביצוע העבירה, במידת הפגיעה בו, במדיניות הענישה הנהוגה ובנסיבות הקשורות בביצוע העבירה המפורטות בסעיף 40ט' לחוק העונשין.",שופט,שופט,שופט,שופט
CASE_17677-04-17,"מקיים זוגיות, יש לו ילד בן שנתיים, הוא עוסק בציור.",ההגנה,הגנה,ההגנה,הגנה
"ת""פ 17917-08-10","הסניגור ביקש להתחשב במצבו של הנאשם, שאלה העבירות הראשונות שמיוחסות לו.",ההגנה,הגנה,ההגנה,הגנה
תפ 9983-05-16,המדינה הזכירה שהנאשם היה עצור בין המועדים 24.4.16 עד 22.6.16 ואז שוחרר בתנאים.,שופט,שופט,תביעה,תביעה
"ת""פ 21724-08-22 ",לגבי הההרשעה הוסיף שהנאשם עובד כמורה מחליף… והרשעה עלולה לפגוע בו.,הגנה,הגנה,הגנה,הגנה
CASE_17677-04-17,"התגייס ושירת במשמר הגבול, עבד כמאבטח בבית חולים כ- 5 שנים, וכאחראי משמרת, שמר על יציבות.",הגנה,הגנה,ההגנה,הגנה
"ת""פ 5680-02-18","אשר על כן, הותרת הרשעתו תמנע ממנו עבודה עבור משרד החינוך ואף תמנע העסקתו באופן כולל.",הגנה,הגנה,ההגנה,הגנה
"ת""פ 5680-02-18","בשל כל אלה ובהתאם לפסיקה הנוהגת, סבורה המאשימה כי מתחם העונש ההולם בנסיבות תיק זה נע בין שנתיים לשש שנים כשבהתאם להסדר המאשימה תעתור למקם את עונשו בחלקו התחתון לצד הענישה הנלווית.",תביעה,תביעה,התביעה,תביעה
"ת""פ 9804-01-24 ","ב""כ הנאשם טען כי המאשימה שגתה כאשר עתרה למתחמי ענישה נפרדים בעוד שמדובר על כתבי אישום שיש ביניהם קשר הדוק.",הגנה,הגנה,הגנה,הגנה
"ת""פ 59578-12-21 ","לדעת המאשימה, המלצת שירות המבחן אינה הולמת את מתחמי הענישה ואף אין מקום לסטות בעניינו של הנאשם מטעמי שיקום.",תביעה,תביעה,תביעה,תביעה
"ת""פ 5680-02-18",לא ברור האם הדבר נעשה במסגרת עצמאית (כפי המופיע בתסקיר) או כשכיר (כפי שנטען במהלך הטיעונים לעונש).,שופט,שופט,שופט,שופט
תפ 9983-05-16,נטען שלנאשם עבר פלילי אך לא עבר פלילי משמעותי.,הגנה,הגנה,הגנה,הגנה
"ת""פ 47780-11-21",הוסיפה כי הנזק שהיה צפוי להיגרם מביצוע העבירה הוא גדול לאור סוג הסם וכמותו.,תביעה,תביעה,תביעה,תביעה
"ת""פ 28360-02-13","צוות משטרה שקיבל דיווח על הירי, איתר את הרכב בו נסעו הנאשם והלאל וסימן להם לעצור באמצעות הסירנה והכריזה.",שופט,שופט,שופט,שופט
"ת""פ 5680-02-18","בעצם ההרשעה מביעה החברה סלידה מהמעשה ומקווה להשיג הרתעה (ראו בעניין זה ע""פ 9262/03 פלוני נ' מדינת ישראל) ׁפורסם בנבו, 20.4.04)).",שופט,שופט,שופט,שופט
"ת""פ 28565-05-24","הנאשם החזיק כמות לא מבוטלת של סמים מסוכנים מסוגים שונים, בין היתר גם סמים מסוכנים המוגדרים קשים, שפגיעתם רעה והשפעותיהם הרסניות.",שופט,שופט,שופט,שופט
CASE_11608-07-16,"הנאשם הסביר לכרמל כי חלות עליו מגבלות בשל הסתבכותו, והוא אינו יכול לעבוד בכל סוג של עבודה.",הגנה,הגנה,הגנה,הגנה
"ת""פ 17917-08-10",בחיפוש בבית הנאשם נתפס הסם.,שופט,שופט,שופט,שופט
"ת""פ 46424-05-24",העבירה בוצעה בגלל בצע סם והשימוש שלי בסמים.,שופט,שופט,נאשם,נאשם
"ת""פ 9804-01-24 ","לבסוף, הסנגור הפנה לכך שהנאשם עצור מאז 19.12.23 תוך שהוא מציין כי תנאי העצור שונים מתנאי אסיר ומסר, כי סכום הכסף באשר לתיק השני כבר הופקד בבית המשפט.",הגנה,הגנה,הגנה,הגנה
"ת""פ 15148-03-12","לטענת בא כוח המאשימה, מתחם העונש ההולם בנסיבות העניין הוא בין 2 שנות מאסר לריצוי בפועל ועד 5 שנים לריצוי בפועל.",תביעה,תביעה,מאשימה,תביעה
CASE_11608-07-16,"הנאשם שוחרר ממעצר ושהה במעצר בית מלא במשך פרק זמן לא מבוטל, כאשר גם לכך יש חשיבות.",הגנה,הגנה,ההגנה,הגנה
