question,answer,split
מהו החריג לחלוקה הדיכוטומית שנמצא בסעיף 40ח לחוק העונשין?,"חריג לחלוקה דיכוטומית זו ניתן למצוא בסעיף 40ח לחוק העונשין (תיקון 113), שם נקבע כי במתחם עונש מסוג קנס, יתחשב בית המשפט בקביעת גדרי המתחם, נוסף על השיקולים הקשורים בעבירה, במצבו הכלכלי של הנאשם.",train
מה יש לקחת בחשבון בעת קביעת מתחם הקנס בעבירות מס?,"אשר למתחם הקנס, יש להתחשב בחומרת העבירה, סכום המס, אך גם ביכולתו הכלכלית של הנאשם, כפי שיפורט בהמשך.",train
מהו מתחם העונש המומלץ בעבירת הפרת הוראה חוקית והפרעה לשוטר במילוי תפקידו?,"אשר לאישום בעניין הפרת ההוראה החוקית והפרעה לשוטר במילוי תפקידו, לשיטתי מדובר במתחם שמתחיל במאסר מותנה ועד ל-12 חודשי מאסר, וזאת בפרט ובשים לב לאיומים שהופנו למתלונן בנוכחות השוטר.",train
כיצד השפיעה מיהות הקורבנות על קביעת מתחם העונש בעניינו של הנאשם?,"תוך שהדגיש את מיהות הקורבנות (חסויים שבית המשפט מינה את הנאשם לשמש אפוטרופוס עליהם), נקבע מתחם שבין 3-5 ונגזר דינה ל- 3.5 שנות מאסר).",train
כיצד יש ליתן משקל לאלמנט השיהוי במתחם העונש?,"נכון ליתן לאלמנט השיהוי משקל משמעותי מאוד, אך זאת בתוך מתחם העונש ולא כצידוק לסטייה ממנו.",train
"מהו תפקיד אלמנט המרמה בעבירות לפי סעיף 117(ב) לחוק מע\מ?""","סעיף סל זה, מלמד על מרכזיות אלמנט המרמה בעבירות לפי סעיף 117(ב) לחוק מע״מ ותומך בגישתי לפיה יש לקרוא לתוך תתי הסעיף אלמנט זה כאלמנט משותף לכלל תתי הסעיף.",train
מהי המסקנה לגבי העונש המינימלי שיש לגזור על הנאשם לאור החומרה היחסית של האישומים?,"החומרה היחסית של האישום בתיק הראשון לצד החומרה מעצם ריבוי המקרים באישום השני, מובילים למסקנה שיש לגזור על הנאשם עונש מאסר שאינו יכול לפחות משנת מאסר.",train
מה המליץ שירות המבחן בנוגע למאסר בפועל?,"שירות המבחן סיכם את תסקירו בהמלצה להימנע ממאסר בפועל ממש, לנוכח התרשמות השירות מאופיו, לאור גילו ומצבו האישי, וכן חלוף הזמן ללא ביצוע עבירות.",train
מהו העיקרון שעליו יש להתבסס לקביעת העונש ההולם לעבירה לפי תיקון 113 לחוק העונשין?,"בהתאם לתיקון 113 לחוק העונשין, יש לקבוע, בטרם קביעת העונש המתאים מתחם עונש הולם למעשה העבירה בהתאם לעקרון ההלימה ותוך התחשבות במידת הפגיעה בערך החברתי, במדיניות הענישה הנהוגה ובנסיבות הקשורות בביצוע העבירה.",train
מהי הסיבה לכך שלא ניתן למקם את עונשו של הנאשם ברף התחתון בטווח הענישה?,"לאור כל האמור, בפרט ובעיקר אי הסרת המחדל חרף חלוף הזמן, וכן מתוך התחשבות בעבר הפלילי ובתסקיר השלילי על האמור בו לא ניתן למקם את עונשו של ברף התחתון בטווח הענישה ולא ניתן להימנע ממאסר בפועל מאחורי סורג ובריח.",train
