text,split
"6 חודשים והתנאי הוא שלא יעבור בתוך 3 שנים מיום שחרורו ממאסרו עבירת נשק מסוג עוון ויורשע בגינה. אני גוזר על הנאשם קנס בסך 10,000 ₪ או 100 ימי מאסר. הקנס שהוטל על הנאשם ישולם עד ליום 10/06/2024 . תשומת לב הנאשם שיש לשלם את הקנס לחשבון המרכז לגביית קנסות, אגרות והוצאות ברשות האכיפה והגבייה, החל מחלוף 3 ימים מיום מתן גזר הדין וזאת באחת מהדרכים הבאות:",train
"נועדו להבטיח את שלום הציבור וניתנים במשורה ביחס לאזרחים מן השורה. החוק והפסיקה ייחסו לעבירות בנשק חומרה מיוחדת, נוכח ההשלכות הרות האסון, ופוטנציאל הסיכון הרב הגלום בהן. נפסק, כי זמינותו של נשק חם בעל פוטנציאל להסלמה בעבירות אלימות מסוגים שונים, מחייבת ביטוי עונשי הולם והחמרה ברמת הענישה. בית המשפט העליון התייחס רבות לחומרתן של עבירות נשק, לכך שהפכו ל\מכת מדינה\"" ולצורך להחמיר עד מאוד בענישה בעניינן. גם המחוקק התייחס לחומרת עבירות הנשק וקבע עונשי מינימום לעבירות נשק, חוק העונשין (תיקון מס' 140 – הוראת שעה), התשפ\""ב-2021, אשר נכנס לתוקף בדצמבר 2021. בע\""פ 4406/19 מדינת ישראל נ' סובח שם נאמר: \""התופעה של החזקת נשק שלא כדין על ידי אזרחים מהווה איום על שלום הציבור ועל הסדר הציבורי. היא התשתית ו\""הגורם בלעדו איין\"" (causa sine qua non) למגוון רחב של עבירות, החל בעבירות איומים ושוד מזוין, המשך בעבירות גרימת חבלה חמורה וכלה בעבירות המתה. לעתים קרובות הנשק הבלתי חוקי נרכש מלכתחילה למטרות עבירה, ואף אם הנשק נרכש למטרות \""הגנה עצמית\"", הזמינות של הנשק מעודדת את השימוש בו לביצוע עבירות שונות ולחרפת תוצאותיהן. על כן, המאבק בתופעות האלימות החמורות בחברה הישראלית בהן נעשה שימוש בנשק מחייב, מעבר למאמץ \""לשים יד\"" על כלי הנשק הבלתי חוקיים הרבים שבידי הציבור, גם ענישה מחמירה ומרתיעה בעבירות נשק, לרבות על עצם החזקה או רכישה שלא כדין של נשק......ביעור תופעת החזקת כלי נשק בלתי חוקיים הוא אפוא אינטרס ציבורי מהמעלה הראשונה ותנאי הכרחי למאבק בתופעות הפשיעה האלימה לסוגיה הרווחות במקומותינו, בבחינת \""ייבוש הביצה\"" המשמשת ערס לגידולן של תופעות אלה. מהלך כזה מחייב הירתמות גם של בתי המשפט, על ידי ענישה מחמירה ומרתיעה לעבירות נשק""",train
"של 24 חודשים. אני מפעיל את המאסר המותנה שהוטל על הנאשם 1 בבית המשפט המחוזי בנצרת בתיק 4559-08-21 בתאריך 06.03.22 למשך 12 חודשים במצטבר למאסר שהוטל בתיק זה. סה\כ ירצה הנאשם 36 חודשי מאסר בפועל בניכוי ימי מעצרו מיום 23.01.23 ועד היום. אני גוזר על הנאשם 1 עונש מאסר על תנאי לתקופה של 12 חודשים והתנאי הוא שלא יעבור בתוך 3 שנים מיום שחרורו ממאסר עבירת אלימות מסוג פשע או עבירה של סחיטה באיומים או סחיטה בכוח או עבירת רכוש מסוג פשע ויורשע בגינה. אני גוזר על הנאשם 1 עונש מאסר על תנאי לתקופה של 6 חודשים והתנאי הוא שלא יעבור בתוך 3 שנים מיום שחרורו ממאסרו עבירת אלימות מסוג עוון או עבירת רכוש מסוג עוון או עבירה של כליאת שווא, או עבירה של הדחה בחקירה או עבירת איומים ויורשע בגינה. אני גוזר על הנאשם 1 קנס בסך 10,000 ₪ או 50 ימי מאסר תמורתו. אני גוזר על הנאשם 2 מאסר בפועל לתקופה של 50 חודשים בניכוי ימי מעצרו מיום 23.01.23 ועד היום. אני גוזר על הנאשם 2 עונש מאסר על תנאי לתקופה של 12 חודשים והתנאי הוא שלא יעבור בתוך 3 שנים מיום שחרורו ממאסרו עבירת אלימות מסוג פשע או עבירה של חטיפה או עבירה של סחיטה באיומים או סחיטה בכוח או עבירת רכוש מסוג פשע ויורשע בגינה. אני גוזר על הנאשם 2 עונש מאסר על תנאי לתקופה של 6 חודשים והתנאי הוא שלא יעבור בתוך 3 שנים מיום שחרורו ממאסרו עבירת אלימות מסוג עוון או עבירת רכוש מסוג עוון או עבירה של כליאת שווא, או עבירה של הדחה בחקירה או עבירת איומים או עבירה""",train
"בבית המשפט המחוזי בחיפה למשך 6 חודשים, במצטבר למאסר בתיק זה. סה\כ ירצה הנאשם 22 חודשי מאסר בפועל בניכוי ימי מעצרו מתאריך 13.10.22 ועד היום. אני גוזר על הנאשם עונש מאסר על תנאי לתקופה של 12 חודשים והתנאי הוא שהנאשם לא יעבור בתוך 3 שנים מיום שחרורו ממאסרו, עבירה של הצתה ויורשע בגינה. הנאשם ישלם למתלונן מר אושר עמוס פיצוי כספי בסך 2,000 ₪. הנאשם ישלם לעיריית חיפה פיצוי כספי בסך 4,000 ₪. יש לשלם את הפיצוי לחשבון המרכז לגביית קנסות, אגרות והוצאות ברשות האכיפה והגבייה, החל מחלוף 3 ימים מיום מתן גזר הדין וזאת באחת מהדרכים הבאות: בכרטיס אשראי – באתר המקוון של רשות האכיפה והגבייה,www.eca.gov.il או חפש בגוגל \""תשלום גביית קנסות\"". מוקד שירות טלפוני בשרות עצמי (מרכז גבייה) – בטלפון 35592* או בטלפון 073-2055000 (ניתן לפנות לנציגים לקבלת מידע במספרים הללו). במזומן בכל סניף של בנק הדואר – בהצגת תעודת זהות בלבד (אין צורך בשוברי תשלום).""",train
"פרק ו' סימן א' 1 לחוק העונשין דן בהבניית שיפוט הדעת השיפוטי בענישה (סעיפים 40א-טו) וקובע בין היתר, כי העיקרון המנחה בגזירת הדין הינו עקרון ההלימה, קרי קיומו של יחס הולם בין חומרת מעשה העבירה בנסיבותיו ומידת האשמה של הנאשם ובין סוג ומידת העונש המוטלים עליו (ס'40.א). ראשון השיקולים הוא הלימה ואחריו שיקום, הגנה על שלום הציבור, הרתעה אישית והרתעת הרבים. בשלב ראשון יש לקבוע את מתחם העונש ההולם אשר נגזר מחומרת העבירה ונסיבות ביצועהּ, הערך החברתי עליו יש להגן, מידת הפגיעה בערך זה, ומדיניות הענישה הנהוגה ביחס לאותה עבירה. הערכים המוגנים שנפגעו כתוצאה מביצוע העבירות נשוא כתב האישום המתוקן הינם הצורך בשמירה על חיי אדם ושלמות הגוף, שלום הציבור ותחושת בטחונו מפני פגיעות בגוף ובנפש והצורך בשמירה על הסדר הציבורי. על ערכים אלה ניתן להגן בעיקר באמצעות פיקוח הדוק של הרשות להנפקת רישיונות להחזקת נשק. נשיאת נשק שלא כדין מחבלת ביכולתהּ של הרשות לבצע פיקוח ואכיפה כנדרש. בנוסף מי שמחזיק נשק ללא רישיון מסכן את הציבור, מאחר שלא עבר הכשרה מתאימה, ויש להניח כי אינו יודע להשתמש בו בדרך נכונה ובטוחה. למותר לציין, כי לא כל אדם רשאי להחזיק בנשק, ושיקולי הרשות במתן היתר לנשיאת נשק נועדו להבטיח את שלום הציבור וניתנים במשורה ביחס לאזרחים מן השורה. החוק והפסיקה ייחסו לעבירות בנשק חומרה מיוחדת, נוכח ההשלכות הרות האסון, ופוטנציאל הסיכון הרב הגלום בהן. נפסק כי זמינותו של נשק חם בעל פוטנציאל להסלמה בעבירות אלימות מסוגים שונים, מחייבת מתן ביטוי עונשי הולם והחמרה ברמת הענישה. בית המשפט העליון התייחס רבות לחומרתן של עבירות נשק, לכך שהפכו ל\מכת מדינה\"" ולצורך להחמיר עד מאוד בענישה בעניינן. גם המחוקק""",train
"הענישה על עבריינים אלו\. חדשות לבקרים עדים אנו לפרצי אלימות קיצוניים שננקטים ללא פרופורציה, על רקע סכסוכים, או תחושות של פגיעה בכבוד. אלימות המסתיימת בתוצאות קשות, בפגיעות גוף ממשיות. ראו גם ע\""פ 4173/07 פלוני נגד מדינת ישראל [פורסם בנבו]: \""רבות נאמר בבתי המשפט על תופעת האלימות הפושה בחברה הישראלית ועל הצורך של איחוד כוחות של כל הרשויות לצורך מלחמה בתופעה זו. תפקידו של בית המשפט במאבק הוא הטלת עונשים מרתיעים ומשמעותיים על הנוקטים באלימות לפתרון סכסוכים, על מנת להעביר מסר, הן לעבריין האינדיווידואלי, והן לעבריינים הפוטנציאלים ולחברה כולה, כי אין החברה טולרנטית להתנהגויות מעין אלה.\"" לא אחת הודגשה החומרה הרבה הנעוצה בעבירות אלימות בכלל , כן הודגש הצורך בהרתעה מפני עבירות אלו באמצעות החמרה בענישה, אשר תעביר מסר ברור בדבר סלידה מאלימות. כך בין השאר נאמר \""בית משפט זה עמד לא אחת על כך שחברה מתוקנת אינה יכולה להשלים עם אלימות החותרת תחת זכותו של אדם לשלמות גופו (...) וכן על הצורך להרתיע את הפונים לפתרון סכסוכים בכוח הזרוע באמצעות השתת עונשים הולמים ומשמעותיים. זאת במטרה להעביר את המסר כי החברה אינה סובלנית להתנהגויות מסוג זה\"" (ע\""פ 759/16 ג'ברין נ' מדינת ישראל [פורסם בנבו], ע\""פ 3799/14 אבו שנב נ' מדינת ישראל) [פורסם בנבו]. הערכים החברתיים המוגנים בעבירת חבלה במזיד ברכב הינם שמירה על: שלום הציבור, תחושת הביטחון, הסדר הציבורי, הגנה על רכוש הציבור , קניינו, ביטחונו ופרטיותו של כל אדם, והציבור בכללותו. ברע\""פ 6800/13 אסף קסטיאל נ' מדינת ישראל [פורסם בנבו] נאמר בהקשר זה : \""מדברי ההסבר לתיקון 28 לחוק העונשין, עולה כי התפיסה העקרונית, להבדיל מהיישום הקונקרטי, אשר עמדה לנגד עיני המחוקק הייתה, בראש ובראשונה,""",train
"התאונה קשורות גם בעובדה שמדובר במשאית כבדה שפגיעתה קשה ביותר, ומכאן גם נובעת חובת הזהירות המוגברת של מי שנוהג בה. במכלול הנסיבות אני סבור, שרשלנותו של הנאשם הייתה משמעותית, ויש למקמה ברף חומרה בינוני ומעלה. הערך המוגן בעבירות תעבורה ותאונות דרכים בפרט, הינו זכותם של המשתמשים בדרך לעשות בה שימוש באופן בטוח. הערך המוגן בעבירה של גרימת מוות ברשלנות הינו \קדושת החיים\"" - מושג שאינו זקוק לפרשנות והרחבה. במקרה זה המנוחים, חמישה במספר, איבדו את חייהם לשווא. אין לתאר את התהום שנפערה בחיי משפחות המנוחים נוכח, האבדן הכבד והשלכותיו הרות הגורל. מעגלי האבל רבים. החל מבני משפחה מקרבה ראשונה, וכלה בבני משפחה נוספים וחברים. ביחס לפגיעות שנגרמו לנוסעים הנוספים, הערך המוגן הינו שמירה על שלמות גופם ונפשם. מובן שקיים גם הערך המוגן הקשור בנזקים הכלכליים הכבדים שנגרמו לכל המעורבים וכן ההכבדה הכספית הנגרמת למדינה ולציבור כתוצאה מתאונות הדרכים. בהתחשב בנסיבות התרחשות התאונה ותוצאותיה, אני סבור כי את הפגיעה בערכים המוגנים יש למקם במקרה זה ברף גבוה. מספר כללים מנחים הותוו בפסיקה באשר לענישה הראויה בעבירה של גרימת מוות ברשלנות בתאונת דרכים: האחד, העונש הראוי הוא מאסר בפועל ופסילה לתקופה משמעותית מלנהוג, זאת בעיקר לאור עקרון קדושת החיים והחובה להגן על ציבור המשתמשים בדרך. השני, נסיבותיו האישיות של הנאשם הספציפי. בהקשר זה הפסיקה מנחה לתת משקל נמוך יותר למרכיב זה, בשל העובדה, שתאונות דרכים נגרמות בדרך כלל על ידי אנשים נורמטיביים ,והיסוד הנפשי נעדר כל כוונה פלילית. השלישי, מידת רשלנותו של הנאשם במקרה הנדון. הגם שאין מדדים בדוקים למידת ההרתעה שבענישה מחמירה, ככל שהדבר נוגע לאנשים נורמטיביים, שבצעו עבירה, שיסודהּ הנפשי הוא רשלנות, נקבעה הלכה ברורה, לפיה""",train
"המהוות אירוע אחד או מספר אירועים נפרדים, ובהתאם לקבוע מתחם ענישה הולם לכל אירוע בנפרד או לכלל האירועים יחדיו, וזאת בהתאם לסעיף 40יג לחוק העונשין. בית המשפט העליון, בע\פ 4910/13 ג'אבר נגד מדינת ישראל דן בשאלת סיווגה של מסכת התרחשויות כ\""אירוע אחד\"", כמשמעותו בסעיף 40יג לחוק העונשין. נקבעו מספר מבחני עזר לצורך הכרעה בשאלת \""הקשר ההדוק\"" בין העבירות. כך לדוגמא: האם ביצוען מאופיין בתכנון ובשיטתיות, האם בוצעו בסמיכות של זמן או מקום, האם ביצועה של עבירה אחת נועד לאפשר ביצועה של עבירה אחרת, או המלטות לאחר ביצועה, האם מדובר בקורבנות שונים, כתובות שונות וכד'. מובן שלא מדובר ברשימה סגורה. לאחר ששקלתי את הוראת החוק, הפסיקה בעניין וטיעוני הצדדים, אני סבור שנכון לקבוע מתחם עונש הולם נפרד ביחס לכל אחד מהאישומים. כמפורט לעיל, האישום הראשון שונה בתכלית משני האישומים הנוספים, הן מבחינת מהות האירועים והן מבחינת חלקו של הנאשם 2. שני האישומים הנוספים אמנם דומים עד מאוד בעובדותיהם, אך מדובר בשני אירועים נפרדים לחלוטין. באישום השני הנאשם 2 פעל ביחד עם הנאשם 1 ובאישום השלישי הנאשם 2 פעל לבדו ולא יוחסה לו עבירה של נשיאת נשק. האישום השני מפרט אירועים משנת 2019 בעוד שביחס לאישום השלישי תחילתו אינה ידועה, אך הוא הסתיים בשנת 2022 כך שמדובר בפער זמנים משמעותי, ולא מתקיימת סמיכות זמנים. למותר לציין, כי אילו הייתה מתקיימת סמיכות זמנים בין שני האישומים, היה בכך כדי להוות נסיבה מחמירה בהתחשב בפרק הזמן שהנאשם החזיק את הנשק ביחס לאישום השלישי. יובהר כי גם כאשר נקבע מתחם ענישה אחד ביחס למספר אירועים, אין בכך כדי להשליך באופן מהותי על מידת העונש, מהטעם שעל בית המשפט לתת משקל למספרם,""",train
"מתחמי הענישה נעים בין 10 ועד 36 חודשי מאסר בפועל, והעונשים נעים בין 12 ועד 18 חודשי מאסר בפועל. העונש המרבי הקבוע בחוק ביחס לעבירה של החזקת נשק הוא 7 שנות מאסר ולא פחות מ- 21 חודשי מאסר (עונש המינימום הקבוע בחוק שאינו יכול להיות כולו על תנאי), והעונש הקבוע לצד עבירת נשיאה והובלת נשק הינו 10 שנות מאסר ולא פחות מ-30 חודשים (עונש המינימום הקבוע בחוק שאינו יכול להיות כולו על תנאי). העונש המרבי הקבוע בצידה של נשיאה והחזקה של אביזר או תחמושת הוא 3 שנות מאסר. עונשי המינימום הקבועים בחוק חלים במקרה זה, ויש בתיקון כדי ללמד על מגמת ההחמרה הכללית ביחס לעבירות נשק, כפי שהדבר בא לידי ביטוי בפסיקה. כאמור, בית המשפט העליון קבע באופן ברור כי ככלל בעבירת נשיאת והובלת נשק מתחם העונש ההולם נע בין 30 ל-42 חודשי מאסר בפועל. ר' ע\פ 5602/22 מ. ישראל פלוני: \""כעולה מפסיקתו של בית משפט זה, מתחם הענישה הרגיל שראוי לקבוע לנאשם בגיר בגין נשיאה בלתי חוקית של נשק חם במרחב הציבורי נע בין 30 ל-42 חודשי מאסר בין סורג ובריח (לצד עונשים נלווים בדמותם של מאסר-על-תנאי וקנס)\"". לאחר ששקלתי את חומרת העבירות, נסיבות ביצוע העבירות כמפורט לעיל, ובפרט העובדה שהנאשם החזיק בנשק לאחר שחשש לחייו ולחיי משפחתו בעקבות האירועים הקשים שחווה, סוג הנשק, העובדה שהנשק הוחזק כאשר הנאשם בחניון ביתו, הערכים החברתיים עליהם יש להגן, מידת הפגיעה בהם והפסיקה הנהוגה, אני סבור כי מתחם העונש ההולם צריך לכלול במקרה זה רכיב של מאסר בפועל שלא יפחת מ- 18 חודשים ולא יעלה על- 40 חודשים. לקולה אני מביא בחשבון את: שיתוף הפעולה של הנאשם עם""",train
"לעצור בצד. נקבע מתחם עונש ההולם אשר נע בין 18 ל- 36 חודשי מאסר בפועל. תסקיר שירות מבחן המליץ על מאסר לריצוי בעבודות שירות. על הנאשם הוטלו 24 חודשי מאסר בפועל. עפ\ג (ב\""ש) 22885-05-17 אלאסד נגד מדינת ישראל, הנאשם הורשע בביצוע עבירה של החזקת נשק (תת מקלע מאולתר) ומחסנית. נקבע מתחם עונש בין 13-36 חודשי מאסר בפועל. על הנאשם הוטלו 21 חודשי מאסר בפועל. ערעור על חומרת העונש נדחה. מטעם הנאשם הוגשו מספר פסקי דין ביניהם: ע\""פ 221/22 סעיד זועבי נ' מדינת ישראל , בית משפט העליון קיבל את הערעור וגזר על הנאשם בעבירה של החזקת נשק 9 חודשי מאסר בעבודות שירות (יצוין כי מדובר בפסק דין ללא נימוקים). ע\""פ 6332/22 אסף פדידה נ' מדינת ישראל, הנאשם הורשע בעבירה של החזקת אקדח הזנקה שהוסב לירי תחמושת ובו מחסנית עם 8 כדורים. נקבע מתחם אשר נע בין 11 ועד 30 חודשי מאסר. על הנאשם הוטל 11 חודשי מאסר לצד עונשים נלווים. ערעור על חומרת העונש התקבל באופן שעונשו הוקל ל- 9 חודשי מאסר בעבודות שירות בשל שיקולי שיקום ותסקיר שירות מבחן חיובי. ע\""פ 4332/21 כרם עאסלה נ' מדינת ישראל הנאשם הורשע בעבירות של החזקת תת מקלע מסוג קרלו ומחסנית מתחת לסלע בשדה. על הנאשם הוטלו 15 חודשי מאסר בפועל. ערעור על חומרת העונש התקבל באופן שעונשו הועמד על 9 חודשי מאסר בפועל נוכח תסקיר חיובי וסיכויי שיקום. ת\""פ 1716-11-22 מדינת ישראל נ' מחאג'נה, הנאשם הורשע בעבירות של החזקת אקדח חצי אוטומטי כשבתוכו מחסנית תואמת שהכילה 10 כדורים. נקבע מתחם עונש החל מ-10 חודשים ועד ל 36 חודשי מאסר. על הנאשם ללא עבר פלילי הוטלו 12 חודשי מאסר""",train
