text,split
"וזאת כאשר תלוי מעל ראשו מאסר על תנאי של שנתיים. מאידך ולקולא, הנאשם כבר אינו אדם צעיר מאד והוא בעל משפחה אשר תושפע לרעה במידה וירצה תקופת מאסר ארוכה. כמו כן, הוא בכל זאת נטל אחריות על מעשיו, גם אם בשלב מאוחר מאד. אכן ניתן טכנית להפעיל את הסעיף במקרה דנן כאשר מתקיים התנאי כי \יש חשש ממשי שהנאשם יחזור ויבצע עבירות וכי החמרה בעונשו והרחקתו מהציבור נדרשות כדי להגן על שלום הציבור\"", וכן כי ל\""נאשם עבר פלילי משמעותי\"" שהינו אחד מהתנאים החלופיים להפעלת הסעיף. ברם, מדובר בסעיף אשר אין מפעילים אותו אלא במקרים חריגים ונדירים. בבד\""מ 2081/18 שרת המשפטית נ' השופטת רונית פוזננסקי- כץ [פורסם בנבו] (18.7.2018) נקבע כי \""... החוק והמציאות הפסיקתית מלמדים כי סעיף 40ה לחוק העונשין הוא יוצא מן הכלל, שבתי המשפט אינם מרבים להשתמש בו ושעיקר פועלו הוא דווקא עדות על הכלל\"" (עמ' 41). הדעה נותנת כי יש מקום לחרוג לחומרה ממתחם הענישה ההולם רק כאשר השיקולים המנויים בסעיפים 40ט ו-40י\""א לחוק אינם מניבים תוצאה המעניקה את ההגנה הנדרשת על הערך של הגנת שלום הציבור. המקרה דנן על אף שהינו חמור, נעדר המאפיין המיוחד הדרוש כדי להצדיק חריגה מהגבול העליון של מתחם הענישה. הנאשם הוא אמנם רצידיוויסט סדרתי בכל הנוגע לעבירות נשק ועל אף זאת, אין הוא נכנס בגדר הקטגוריה הייחודית השמורה למעטים שמעשיהם כה חמורים ומזעזעים שגם הרף הגבוה ביותר של מתחם הענישה אינו מהווה תשובה הולמת לשקלול ענישתם (לעניין זה השוו עם: ת\""פ (שלום תל אביב) 76/12 מדינת ישראל נ' צרפתי [פורסם בנבו] (16.12.2012)). בעניין זה יוער כי איני מקבל את טענת הסניגור שעמדת המדינה פסולה כיוון שהיא סותרת""",train
"הערכים החברתיים שנפגעו הם: הגנה על שלום הציבור ובריאותו. כאשר מדובר בעסקאות סמים ברור שהפגיעה היא קשה (ע\פ 7070/03 אליאן זניד נ' מדינת ישראל; ע\""פ 6029/03 מדינת ישראל נ' גולן שמאי). המדיניות העונשית ביחס לעסקאות סמים מחמירה כפי שעלה מהפסיקה שאוזכרה על ידי המדינה. במקרה דנן, בשני המקרים קדם תכנון משמעותי לביצוע העבירות. במקרה הראשון חלקו היחסי של הנאשם היה דומיננטי וגם במקרה השני היה משמעותי. אין צריך להכביר מלים על הנזק שהיה צפוי אילו העסקאות היו מתבצעות. במקרה דנן המתחם ההולם יכול לנוע בין 4 – 9 שנות מאסר בפועל בכתב האישום הראשון ובין 2 שנים עד 4 שנות מאסר בכתב האישום השני. המתחם אותו תחמו הצדדים הינו סביר בנסיבות העניין. לקולא, יש לציין את הודאתו של הנאשם בביצוע העבירות והזמן הרב שנחסך כתוצאה מההודאה בשני כתבי אישום שונים. כמו כן, פורטו נסיבותיו האישיות של הנאשם על אף שיאמר שנתונים אלו אינם יכולים לעמוד מול הצורך בענישה מרתיעה. יתר על כן, לא ניתן להתעלם מטענות הסניגור באשר לקשיים ראיתיים שעמדו בפני המדינה כאשר כתב האישום הראשון נפתח עוד בסוף 2014 ולא התנהל מאותו מועד כתוצאה מדחיות מוסכמות בין הצדדים. בית משפט זה לא נחשף לראיות שבידי המדינה כיוון שלא התנהלו הוכחות כלל בעקבות הדחיות שהתבקשו. ואכן, קשה להעלות על הדעת סיבה אחרת שהיתה מצדיקה את הסכמת המדינה לדחיות כה רבות, שהגיעו לכדי שנה וחצי, כאשר מדובר באדם הנמצא במעצר. בפראפרזה מהנאמר בסרט \""הטוב, הרע והמכוער\"" – 'אם ברצונך לירות. .. מכל האמור הגעתי למסקנה שיש להטיל על הנאשם עונשים כדלקמן: 5 שנים ו- 10 חודשי מאסר בפועל בניכוי ימי מעצרו מיום 15.12.14. מאסר על תנאי""",train
"מבודד בטענה שהוא רוצה לשוחח עמו ורק אז תקף אותו מיד בהגעה למקום. 54678313 באשר למדיניות הענישה הנוהגת, יש לציין כי רבים מפסקי הדין שהובאו על ידי הסנגור לא מתאימים לנסיבות תיק זה – בין היתר בשל מאפייני התקיפה, וסוג העבירה בה הורשעו הנאשמים. כמו כן, יש לציין כי גם מתחמי הענישה שנקבעו ברבים מפסקי דין אינם תואמים את המתחם שמבקשת ההגנה. בהתאם לערכים החברתיים שנפגעו, עוצמת הפגיעה בהם, נסיבות הקשורות בביצוע העבירה ומדיניות הפסיקה הנוהגת כעולה, בין היתר, מפסקי הדין שהציגו הצדדים (ואף פסקי הדין שהציגה ההגנה עצמה) אני קובע שמתחם הענישה במקרה זה נע בין 4-7 שנות מאסר בפועל. בכל הנוגע לקביעת עונשו של הנאשם בתוך מתחם העונש ההולם נתתי משקל לעובדה כי עברו הפלילי נקי וכי נראה כי עד לאירוע נשוא האישום ניהל אורח חיים נורמטיבי. עוד נתתי משקל לתקופת התנאים המגבילים בהם שהה במהלך ההליך, ולפגיעה הצפויה של העונש בבני משפחתו הגרעינית, אולם שיקול זה אינו שיקול בלעדי. בנוסף על האמור, מצאתי להתייחס ולתת משקל להימנעות שירות המבחן מליתן המלצה שיקומית ביחס לנאשם ומההתרשמות שגם כיום הנאשם אינו לוקח אחריות על מעשיו ועסוק במחירים האישיים שהוא ומשפחתו משלמים בגין האירוע, מבלי להכיר בנזקים הכבדים שנגרמו למתלונן ומבלי להביע אמפתיה כלפיו. בהקשר זה יוער כי לא מצאתי לאמץ את טיעוני ההגנה על כך שניתן ללמוד שהנאשם השתקם או שיש בעניינו אפיק שיקומי, רק מעצם העובדה כי בשנתיים שחלפו מאז ביצוע העבירה הנאשם לא ביצע עבירות נוספות. עוד יוער למעלה מן הצורך כי הטענות שהועלו על ידי ההגנה ביחס לתסקיר שירות המבחן נדחו בהחלטה שניתנה במעמד דיון הטיעונים לעונש, לאחר שלא מצאתי שנפל בתסקיר",train
"אין להכחיש כי מדובר בעבירות חמורות, ברף הבינוני הגבוה, וזאת מכיוון שבמקרה אחד נשדדה קשישה ובמקרה אחר - קטין. הערכים החברתיים שנפגעו הם השמירה על רכוש הפרט ובטחון הפרט בעת המצאותו באיזור ציבורי. דרך הפעולה של הנאשם היתה דומה בכל האישומים, דבר המעיד על תכנון מוקדם כאשר בכל המקרים נשדדו שרשראות זהב שהקרבנות ענדו על צווארם ונמכרו לאחר מכן על מנת לממן את צריכת הסמים של הנאשם. המתחם העולה בהתאם למדיניות הענישה שהובאה לעיל נמצא בין 18 חודשי מאסר בפועל עד 38 חודשי מאסר בפועל בגין כל אחד מן האישומים שהיו כאמור אירועים נפרדים. מזה מספר חודשים עובר הנאשם הליך שיקומי מוצלח כאשר יש לציין שהנאשם עשה צעדים ראשוניים לקראתו עוד טרם מעצרו. עוד התברר כי העדר ההמלצה בחלק מתסקירי הביניים נבע מהעדר מסירת מידע נכון ועדכני מהשב\ס לשירות המבחן (כאשר הסניגור דאג להביא את הממצאים הנכונים בפני בית המשפט). התסקיר המשלים האחרון שניתן ביום 5.10.16 מצביע על התקדמות משמעותית בשלבי השיקום המחולק לשלושה שלבים ואמור להמשך כ-12 חודשים: \""כאמור בתסקירינו האחרון, עם קבלתו למסגרת חאלד החל בשלב א' של התכנית הטיפולית. .. חאלד סיים שלב זה ועלה לשלב ב' שהינו השלב המרכזי של התכנית הטיפולית... והחל להתחבר להשלכות השימוש בסמים. .. חאלד תפקד בצורה משביעת רצון. עולה רושם כי חאלד מנסה להעזר בהליך הטיפולי בו נמצא ומגלה מוטיבציה גבוהה לשינוי ולטיפול. .. במצב זה, ולאור הדיווח החיובי מאוד בתסקיר האחרון, יש מקום במקרה דנן להעדיף שיקולי שיקום על פני שיקולי ענישה. נכון הוא ששיקולי שיקום מהווים שיקול אחד מני רבים ואולם ברור לכל כי שיקום מוצלח של נאשם המכור לסמים מהווה גם הוא אינטרס ציבורי""",train
"הנאשם הוא כבן 23, לחובתו הרשעה בעבירה של תקיפה בנסיבות מחמירות בגינה הוטל עליו מאסר למשך 21 ימים ומאסר על תנאי ל-4 חודשים בגין ביצוע עבירת אלימות פיזית. בנוסף לחובתו שני רישומי תעבורה- הרשעה בעבירת נהיגת נהג חדש ללא מלווה ואי הרשעה בעבירת נהיגה ללא רישיון בתוקף. הנאשם שהה במעצר מיום 10.6.19 ועד ליום 8.8.19, אז ביהמ\ש הורה על המשך מעצר באיזוק, וביום 24.11.19 לאחר שמשפחתו לא יכלה לעמוד במשימת הפיקוח, הוא נעצר עד תום ההליכים. הערכים החברתיים שנפגעו היו שמירה על שלומם של המשתמשים בדרכים, על הסדר הציבורי ועל הקניין. מידת הפגיעה בערכים הייתה חמורה יחסית בהתחשב במרדף שקורותיו תוארו לעיל. עם זאת נראה שלא מדובר בעבירה מתוכננת. הנאשם נושא באופן בלעדי באחריות והיה מסוגל להבין את הפסול במעשיו ולהפסיק בכל שלב משלבי העבירה. מכל האמור ובהתחשב במדיניות הענישה נראה לי שיש מקום לקבוע מתחם ענישה הולם שבין 2.5-5 שנות מאסר. במקרה דנן, מדובר בנאשם ללא עבר פלילי מכביד שעל פי ממצאי שירות המבחן הינו בשל לשיקום. מדובר באדם צעיר עם אישיות בלתי בשלה, שייתכן ויכול להפיק תועלת ממהלכי שיקום. במקרה דנן התלבטתי אם לא להטיל בנוסף תקופת מאסר לריצוי בעבודות שירות ואולם בסופו של דבר בהתחשב באורך התקופה הכוללת בה שוהה הנאשם במעצר ניתן להסתפק בתקופה זו בלבד. לכך יש להוסיף שהתקבלה חוות דעת שלילית מהממונה אשר תיארה סיכון לנאשם במידה ויבצע עבודות שירות בתקופה הנוכחית. אשר על כן אני מטיל על הנאשם את העונשים כדלקמן: תקופת מאסר באורך תקופות המעצר שתסתיים היום. צו מבחן למשך שנה וחצי בהתאם להמלצת שירות המבחן שבמהלכו ישולב בתכנית שיקום. מאסר על תנאי של 12 חודשים למשך 3""",train
"הערכים החברתיים המוגנים שנפגעו הם בעיקר שמירה על שלמות הגוף ומניעת אלימות. מבחינת שאלת התכנון, לא ברור אם מדובר בסכין שהוחבאה במקום מבעוד מועד לצורך שימוש באירוע או האם הסכין נמצאה שם על דרך המקרה והנאשם רשאי ליהנות מהספק בעניין זה. בכל זאת, חלקו היחסי של הנאשם באירוע היה מהותי; הנאשם היה זה ששלף ראשון נשק וכן לא מתקיימת פרופורציה בין השימוש בסכין לבין הריסוס בגז פלפל. כמו כן הנאשם נקט באלימות חמורה כלפי רוני שנפגע בצורה יחסית קשה וכן כלפי עלי שגם נפגע אם כי ברמה פחות חמורה (יוזכר שאיני מתעלם מכך שגם הנאשם נפגע בצורה לא קלה בידו במהלך המאבק בין הצדדים). עוד יצוין כי היה צפוי להיגרם נזק משמעותי מהשימוש בסכין ואכן נגרם. הנאשם היה צריך להבין את הפסול במעשיו מבעוד מועד ולהימנע מהם. מכל האמור הגעתי למסקנה שמתחם הענישה ההולם נע בין 2.5– 5 שנות מאסר בפועל. באשר לעונש בתוך המתחם, לחובת הנאשם אומנם עבר פלילי, אולם אין מדובר בעבירות כה חמורות כמו במקרה דנן. לצד זה יש להוסיף עוד שהנאשם בחר ליטול אחריות על מעשיו בשלב מוקדם של ההליך לאחר תיקון כתב האישום ולהודות בו. כמו כן נסיבותיו האישיות של הנאשם הן מורכבות והוא נמצא במעצר מזו תקופה יחסית ארוכה בתנאים שקשים מהתנאים במאסר. אשר על כן יוטלו העונשים כדלקמן: 5 שנות מאסר בפועל בניכוי ימי מעצרו מיום 13.11.19. מאסר על תנאי לתקופה של 12 חודשים, למשך 3 שנים ממועד שחרורו שיופעל במידה והנאשם יבצע עבירות אלימות מסוג פשע. פיצוי בסך 5,000 ₪ למתלונן רוני, לתשלום עד ליום 31.3.21. פיצוי בסך של 1,000 ₪ למתלונן עלי, לתשלום עד ליום 31.3.21.",train
"הנאשם יליד שנת 2000 ועצור מיום 31.10.2021. אין צורך להכביר במילים על חומרתן של עבירות הנשק שהפכו למכת מדינה ולא חולף יום אחד ללא נפגעים, בייחוד במגזר הערבי. בעניין דנן הערכים החברתיים שנפגעו היו שלום ובטחון הפרט והציבור. כמו כן, מידת הפגיעה בערכים הייתה ברף הבינוני, לאור סוג הנשק שנתפס. באשר לתכנון, הנאשם נסע ברכב השייך לגיסתו כמתואר בכתב האישום, אך לא היה ברור מידת התכנון שקשורה בעבירות. יחד עם זאת, הנאשם היה צריך להבין את הפסול במעשיו ולהימנע מהם. לחומרה יש לציין כי מדובר בנשק התקפי שהוא תת מקלע מאולתר וכי לחובת הנאשם עבירה אחת בעברו הפלילי. בהתבסס על הפסיקה שהוגשה לעיל, והמגמה להחמרה בעונש בעבירות של הנשק יש לקבוע מתחם ענישה שנע בין 10 – 36 חודשי מאסר בפועל. יצוין כי התיקון לחוק בענייו עונש מזערי אינו חל במקרה דנן אך יש לקחת אותו בחשבון בעת גזירת העונש כרכיב במדיניות הענישה. בתוך המתחם יש לקחת בחשבון את הודאתו של הנאשם ולקיחת האחריות שההודאה מסמלת. אשר על כן, אני מטיל על הנאשם את העונשים כדלקמן: 15 חודשי מאסר בפועל בניכוי ימי מעצרו מיום 31.10.2021. מאסר על תנאי לתקופה של 18 חודשים למשך 3 שנים, כאשר התנאי יופעל במידה והנאשם יבצע כל עבירה של נשק.",train
"של נאשם 1 בתוך מתחם העונש ההולם, נתתי משקל לעובדה כי מדובר בנאשם צעיר, שזוהי הסתבכותו הראשונה עם החוק, ושעד למקרה זה ניהל אורח חיים נורמטיבי. עוד נתתי משקל להודאתו בכתב האישום המתוקן, לקיחת האחריות מצידו והחיסכון בזמן השיפוטי. בהתאם לכך מצאתי שיש למקם את עונשו של נאשם 1 ברף התחתון של מתחם העונש ההולם. אשר על כן, הנני מטיל על הנאשם עונשים כדלקמן: - 14 חודשי מאסר בפועל בניכוי ימי מעצרו מיום 27.11.21. - 12 חודשי מאסר על תנאי למשך 3 שנים כאשר התנאי יופעל במידה ויעבור עבירות נשק מסוג פשע.",train
"הערכים החברתיים המוגנים שנפגעו ביחס לאישום הראשון הם שלמות הגוף, שמירה על חיי אדם, קניינו של אדם ופרטיותו. בנוגע לאישום השני נפגעו הערכים החברתיים המוגנים של שמירה על שלטון החוק והיכולת לאכוף את החוק ולנהל הליכי משפט תקינים. האירוע הראשון, המתואר באישום הראשון היה ביום 7.12.18, בעוד שהאירוע באישום השני, התרחש למעלה משלושה חודשים מאוחר יותר, ביום 11.3.19. יוער, כי מדובר באירועים קשורים (עיכובו של הנאשם נבע כתוצאה מהאירוע הראשון) אך אין סמיכות זמנים בין האירועים ואין לראותם כאירוע מתמשך אחד ויש לקבוע מתחם עונש הולם ביחס לכל אישום בנפרד. באשר לנסיבות הקשורות בביצוע העבירה באישום הראשון, הרי שקדם תכנון לביצוע העבירה- הנאשם והאחרים הגיעו למקום שעה קודם לכן, עזבו וחזרו בשנית למקום עבודתו של המתלונן במועד שככל הנראה התאים להם יותר מסיבותיהם. בנוסף, אחד מהאחרים הגיע למקום כשהוא מצוייד באלה; חלקו של הנאשם משמעותי והוא היוזם של ביצוע העבירה מלכתחילה. גם אם אקבל את הטענה כי הנאשם לא היה דומיננטי באירוע ואף הרחיק את אחד מהאחרים בשלב מסוים, הרי שעדיין הוא האחראי לאירוע במסגרתו בצוותא חדא עם אחרים הכה את המתלונן והמשיך להכותו בכל חלקי גופו בעודו שרוע על הרצפה; באשר לנזק, הרי שהנזק שנגרם כתוצאה מביצוע העבירה הוא שבר וחבלות כפי שעולה מהתיעוד הרפואי והתמונות שהוגשו אך מסכים אני עם ב\כ המאשימה בטענתו לפיה יש לתת דגש לפוטנציאל הנזק שעלול היה להיגרם כתוצאה מביצוע העבירה ובהקשר זה לציין את השימוש באלה וכן בחפצים מארגז הכלים; באשר לסיבות שהביאו את הנאשם לבצע את העבירה, הרי שלגרושתו מותר לנהל קשר עם המתלונן וגם אם הנאשם רואה במתלונן האחראי לפירוק ביתו, הוא אינו רשאי לעשות דין לעצמו""",train
"הנאשמת נעצרה עד תום ההליכים ביום 16.2.21. הערכים המוגנים שנפגעו היו שמירה על שלום הציבור ורכושו. מידת הפגיעה היתה בינונית לכל הפחות לאור השימוש שנעשה בנשק קר לצורך ביצוע העבירה. מדובר במעשה שתוכנן מראש כפי שמעיד השימוש באביזרים כגון מסכה וכפפות, כמו גם סיור השטח המקדים שבוצע על ידי האחר. פוטנציאל הנזק היה גבוה לאור השימוש בנשק קר. הנאשמת היתה צריכה לדעת על הפסול במעשיה ולהימנע מהם. על רקע האמור הגעתי למסקנה כי מתחם הענישה ההולם נמצא בין 2.5 – 5 שנות מאסר בפועל. באשר לקביעת העונש בתוך המתחם, יש לקחת בחשבון לחומרא את עברה הפלילי המכביד של הנאשמת. לקולא יש לקחת בחשבון את נסיבות חייה הקשים ורצונה להיגמל מהשימוש בסמים בתקופת המאסר, וכמו כן את ההודאה המוקדמת שמשקפת לקיחת אחריות על מעשיה. אשר על כן הנני מטיל עונשים כדלקמן: 40 חודשי מאסר בפועל מהם תנוכה תקופת המעצר מיום מעצרה. 9 חודשי מאסר על תנאי למשך 3 שנים כאשר התנאי יופעל במידה והנאשמת תעבור עבירת אלימות מסוג פשע.",train
