,GPT 4o-mini - 3 examples,,,,setFit - dictabert,,,,
Label,GPT_Precision,GPT_Recall,GPT_F1,GPT_F2,Dicta_Precision,Dicta_Recall,Dicta_F1,Dicta_F2,Dicta_PRAUC
CIR_AMOUNT,0.969,0.912,0.939,0.923,0.838,0.912,0.873,0.896,0.828
CIR_EQ,0.643,0.9,0.75,0.833,0.333,0.6,0.429,0.517,0.318
CIR_ROLE,0.329,0.774,0.462,0.609,0.373,0.806,0.51,0.654,0.47
CIR_TYPE,0.778,0.98,0.867,0.932,0.754,0.86,0.804,0.837,0.811
CONFESSION,0.721,0.969,0.827,0.906,0.72,0.968,0.826,0.906,0.828
GENERAL_CIRCUM,0.836,0.415,0.554,0.461,0.808,0.859,0.833,0.848,0.884
PUNISHMENT,0.767,0.807,0.786,0.799,0.667,0.877,0.758,0.825,0.792
REGRET,0.867,0.929,0.897,0.915,0.419,0.929,0.578,0.747,0.646
RESPO,0.561,0.885,0.687,0.793,0.688,0.846,0.759,0.809,0.808
