text,split
"של נאשם, בית המשפט רשאי להתחשב בהתקיימות נסיבות שאינן קשורות בביצוע העבירה כמפורט בסעיף 40יא לחוק העונשין, ובלבד שהעונש שייקבע לא יחרוג ממתחם העונש ההולם שנקבע לעיל. הנאשם בן 25, נעדר עבר פלילי, הודה בביצוע העבירות וחסך מזמנו של בית המשפט. אף על פי ששוחרר, במסגרת הליך המעצר המקביל, למסגרת של מעצר בית, נעצר בסופו של דבר מחדש, לאחר שהפר תנאי שחרור. תסקיר שרות המבחן פירט בהרחבה את נסיבות חייו הלא קלות (כפי שהובא לעיל). מחוות הדעת הפסיכיאטרית שהוגשה בעניינו עלה כי על אף שהנאשם אינו סובל מהפרעה נפשית כלשהי, הוא סובל מהפרעת אישיות גבולית ואנטיסוציאלית המאופיינת בחוסר יציבות רגשית, תוקפנות ואימפולסיביות, כשברקע שימוש מרובה ומתמשך בסמים. הנאשם קיבל אחריות על מעשיו והביע חרטה על התנהגותו כשהוא מתאר את הרקע למעשיו בכך שאחד השוטרים נגע בו בצורה שהחזירה אותו לחוויית פגיעה מינית שעבר בהיותו בן 8. הנאשם הביע אמפטיה כלפי נפגעי העבירה והביע נכונות לפצותם (בפניי טען כי הוא פגע בשוטר אחד והוא מוכן לפצות רק אותו). שרות המבחן התרשם כי הנאשם פונה לשימוש בסמים במצבי משבר וקושי דבר שגורם לו להתנהג בצורה פורצת גבולות ותוקפנית כלפי סביבתו, על אף שהתנהגות אלימה אינה מאפיינת את קורות חייו בדרך כלל. הנאשם הביע בפני שרות המבחן תובנה ראשונית לגבי התנהלותו ואופן השפעת השימוש בסמים על חייו ואף הביע שאיפה לערוך שינוי בחייו, לעבוד בצורה מסודרת, לטפל בטראומות העבר ובהתמכרותו לסמים, על אף שבמסגרת תסקיר המעצר בעניינו, הביע הנאשם עמדות לגיטימיות לגבי שימוש בסמים וחוסר נכונות להיגמל. התרשמתי מצעיר, שמסיבות כאלה ואחרות איבד את דרכו, והוא כעת, למרבה הצער, נעדר כוחות, אם כי לא חסר רצון, למצוא את הדרך",train
"מעיד על שני הנאשמים אחרת) מאידך – ניכר כי לבם של הנאשמים גס כלפי רכוש הזולת והקלות היתרה שבה ניסו בליל האירוע לגזול רכוש מהמתלונן, מעידה שרצף העבריינות בחייהם נמשך והם מסכנים את הציבור. ובנוסף, החשש שמא העבירה בוצעה על רקע שתייה או שימוש בסמים מביאה לחשש עתידי להישנות המעשים, כמו גם חשש לתגובה בלתי צפויה, אלימה ובלתי נשלטת מפני השניים, אילו היו נתפסים על ידי מאן דהוא בשעת מעשה. התכנון שקדם לביצוע העבירה – כפי שעולה מהכרעת הדין ולאחר צפייה במצלמות האבטחה, הנאשמים, בחלקים שונים של האירוע, נצפו משוחחים ביניהם ותכננים את עבירת הרכוש. העבירה בוצעה ב\חלוקת תפקידים\"" כשהנאשם 1 נכנס לבית, ואחיו משגיח ו,מאבטח\"" את העבירה. ואולם לא מדובר, כאמור לעיל, בתכנון ארוך טווח, ואין בו תחכום או תעוזה מיוחדים. הנזק שנגרם והנזק שהיה צפוי להיגרם מביצוע העבירה – בביצוע העבירה על ידי הנאשמים לא נגרם נזק כלשהו לרכוש או לגוף, אך המתלונן העיד על תחושותיו הקשות, והפגיעה בתחושת הביטחון שלו. מעבר לעדות הוורבלית, לא יכולתי שלא להתרשם מהמצוקה שנגרמה למתלונן ממעמד העדות מול שני הנאשמים העצורים. הנאשם מס' 2 הרבה בקריאות ובאמירות, תוך כדי עדותו של האיש, במה שנראה כניסיון להפעיל לחץ עליו. חוויה קשה זו של עדות, נגד שני נאשמים, שלגביהם העיד המתלונן כי הוא מכירם \""מהעיר\"" מתווספת על החוויה המפוקפקת מראש של היותו קרבן לעבירת רכוש. מהמעשים יכול היה להיגרם נזק רכושי, אילו הצליחו הנאשמים להיכנס עוד לעומקו של הבית, ולא רק למרפסת. רק מצלמות האבטחה שהנאשמים הבחינו בהן מנעו את המשך העבירה. מעבר לכך, עלול היה להתקיים מפגש בין הנאשם לדיירי הבית וכתוצאה מכך גם התדרדרות לעימות אלים ואולי אף""",train
"מאסר לריצוי בפועל ועונשים נלווים. רע\פ 8699/15 אחמד אבו האני נגד מדינת ישראל (17.12.15), המבקש הודה והורשע בעבירת פציעה המתלונן דרש מהמבקש שיחזיר לו חוב כספי בגין רכישת שני זוגות משקפיים כשנה קודם לכן. המבקש הבהיר למתלונן כי יעשה זאת בחלוף שבוע. משפנה המתלונן ללכת לדרכו הגיח המבקש מאחוריו ופצע את המתלונן באמצעות חפץ חד שהיה בידו, ולמתלונן נגרם חתך בקרקפת. בית המשפט גזר עליו 8 חודשי מאסר לריצוי בפועל ועונשים נלווים. רע\""פ 4883/14 חיים אוטמזגין נגד מדינת ישראל (04.12.14), המבקש הודה והורשע בעבירות פציעה כשהעבריין מזויין והיזק לרכוש במזיד. המבקש תקף את המתלונן בכך שדחף אותו בידיו והפילו לרצפו, וכן הכה אותו בראשו באמצעות אבן גדולה. כתוצאה מהתקיפה, המתלונן נחתך במצחו ונוצרה לו רגישות מקומית באזור. בית המשפט השלום גזר עליו 20 חודשי מאסר לריצוי בפועל והפעלת 2 מאסרים מותנים – 12 חודשים ו-10 חודשים במצטבר, כך שסה\""כ ירצה המבקש 42 חודשי מאסר בפועל. בית המשפט המחוזי הקל בעונשו והורה כי 5 חודשים מתוך המאסר על תנאי בן 10 חודשים ירוצה בחופף למאסר המותנה השני, כך שסה\""כ ירצה הנאשם 37 חודשי מאסר בפועל. עפ\""ג (מרכז) 3542-01-08 עלי אחמד נגד מדינת ישראל (12.01.10), אליו הפנה גם ב\""כ הנאשם. בית המשפט המחוזי הקל בעונשו של המערער (בהסכמת המשיבה, לאחר שעבר הליך טיפולי משמעותי) שהודה והורשע בעבירה של חבלה ופציעה בנסיבות מחמירות, בכך שנעץ חפץ חד בפניו של המתלונן וגרם לו לחתך. בית המשפט גזר עליו 6 חודשי עבודות שרות חלף העונש של 8 חודשי מאסר לריצוי בפועל שהוטלו עליו בבית משפט השלום. ת\""פ (באר שבע) 15515-07-15 מדינת ישראל נגד אדיר אזולאי (12.09.16), הנאשם הודה והורשע בעבירת פציעה""",train
"להטיל על הנאשם לשלם פיצוי מתון ביותר למתלוננים. נוכח כל האמור לעיל, אני גוזרת את עונשו של הנאשם כדלקמן: מאסר על תנאי לתקופה של 3 חודשים והתנאי הוא כי במשך שלוש שנים מהיום, לא יעבור הנאשם כל עבירת איומים.",train
"בעבירות איומים והחזקת סכין. הנאשם ניגש אל שכנו בעודו אוחז בחפץ ובסכין, ואיים עליו בכך שהצמיד את החפץ לבטנו של המתלונן ואמר לו \תדבר עוד מילה ואני אפגע בך\"", לאחר שבועיים איים על שוטר שיפגע בעצמו, ובבית המשפט התנהג באופן פרוע והתנגד לכבילתו. בית המשפט גזר עליו 6 חודשי מאסר לריצוי בדרך של עבודות שרות, מאסר על תנאי ופיצוי. ת\""פ (צפת) 21596-08-11 מדינת ישראל נגד ירון סננס (22.05.12), הנאשם הורשע בביצוע עבירת איומים, בכך שאיים להרוג את המתלוננת, זאת לאחר שביקשה ממנו באמצעות אחיו להחזיר לה כסף שנעלם מביתה. בית המשפט גזר עליו שלושה חודשי מאסר על תנאי ופיצוי. ב\""כ הנאשם הפנה לשלושה גזרי דין של מותב זה, בהם ניתנה ענישה מקלה, וביקש ללמוד מהם בבחינת קל וחומר לנסיבותיו של מקרה זה. כידוע, הענישה היא לעולם אינדיבידואלית, והאבחנה בין אותם מקרים, למקרה שבענייננו, מדגישה זאת. בשניים מהמקרים אליהם הפנה הסנגור (ת\""פ 17576-11-15, ות\""פ 19150-04-15) נדונו נאשמים שהודו, קבלו אחריות מלאה וגילו חרטה עמוקה על מעשיהם. באחד מאותם מקרים הגיע המתלונן עצמו וביקש להקל בעונשו של הנאשם, ואילו במקרה האחר, דובר בנסיבות חריגות במיוחד של הנאשם שם – החלטות אלה לא דומות, לפיכך, לעניינו של הנאשם שבפני. המקרה הנוסף, ת\""פ 11384-09-14, שם נגזר על הנאשם עונש של חמישה חודשים בעבודות שרות, שונה בנסיבותיו ואכן חמור יותר ממקרה זה. כמתואר ברקע לכתב האישום, איים הנאשם על המתלוננים, בעקבות בקשתם להנמיך את קול המוסיקה הבוקעת מרכבו. הערה שהעירו שלושה מהמתלוננים לנאשם, בערב שבת בעיר צפת, שעה שנסע ברכב והשמיע מוזיקה רועשת, הביאה להסלמה ולביצועה של עבירת האיומים כפי שתוארה. כפי שנדון בהרחבה בהכרעת הדין – הנאשם טען שהמתלוננים טפלו""",train
"המדינה והרשיעו בביצוע העבירות הנ\ל וגזר עליו תשעה חודשי מאסר על תנאי. בקשת רשות ערעור –נדחתה. רע\""פ 3208/15 דוד הקרי נ' מדינת ישראל (11.5.15) - המבקש, בעל עבר פלילי, הודה והורשע בכתב אישום מתוקן שייחס לו עבירת הפרעת שוטר במילוי תפקידו. נגד המבקש הוצא צו מניעה המורה לו ולנאשמת נוספת לסלק את ידם ממתחם מגורים בתל אביב. המבקש סירב לפתוח את הדלת לבקשת שני שוטרים וברח מהמקום. בית המשפט גזר עליו מאסר על תנאי. ערעורי המבקש – נדחו. רע\""פ 31/15 בן ציון אפרסמון נ' מדינת ישראל (20.1.15), נגד המבקש הוגש כתב אישום מתוקן, במסגרת הסדר טיעון חלקי, שייחס לו עבירות תקיפת והעלבת שוטר בעת מילוי תפקידו והתנגדות למעצר חוקי. בית המשפט השלום גזר עליו שישה חודשי מאסר לריצוי בדרך של עבודות שרות ועונשים נלווים. הערעורים נדחו. ע\""פ (חיפה) 49707-10-12 ולנטינה בלוצה נ' מדינת ישראל (14.1.13), המערערת הודתה והורשעה בעבירות תקיפת שוטר והפרעת שוטר בעת מילוי תפקידו ובעבירה של תקיפה הגורמת חבלה של ממש. בית המשפט השלום גזר עליה עונש מאסר על תנאי לתקופה של חודש, צו מבחן וצו של\""צ. הערעור נדחה. ע\""פ (ירושלים) 53885-06-14 ראיד מחאג'נה נ' מדינת ישראל (20.5.15), המערער הורשע לאחר ניהול הוכחות בעבירת הפרעה לשוטר במילוי תפקידו. בית המשפט הטיל עליו תשלום קנס כספי והארכת מאסר על תנאי לתקופה של שישה חודשים. ע\""פ (נצרת) 65718-11-16 דנה אלימלך נ' מדינת ישראל (4.4.17), ערעור של שני מערערים, בני זוג, שנדונו במאוחד. המערער ערער על הכרעת הדין בעניינו והמערערת על פסק הדין בעניינה. המערער הורשע בבית משפט השלום בעבירת הפרעה לשוטר במילוי תפקידו ושיבוש מהלכי משפט, ונגזרו עליו שישה חודשי מאסר על תנאי וקנס. והמערערת בעבירת""",train
"ופסילה. רע\פ 1720/11 מיכאל גליק נגד מדינת ישראל (07.03.11), המבקש הודה והורשע ב-3 עבירות של סחר בסם מסוכן ובעבירה של תיווך בסמים מסוכנים. בית המשפט גזר עליו 8 חודשי מאסר לריצוי בפועל ועונשים נלווים. עפ\""ג (מרכז) 31724-08-12 יוסי בן שטרית נגד מדינת ישראל (25.12.12), בית המשפט המחוזי הקל בעונשו של המערער, שהורשע בשלוש עבירות של סחר בסם מסוכן ובעבירה של אספקת סם מסוכן, והעמיד את תקופת מאסרו על 12 חודשי מאסר בפועל חלף 17 חודשי מאסר בפועל שנגזרו עליו בבית משפט השלום. לחובתו של המערער עבר פלילי הכולל עבירות סמים בגינן ריצה מאסרים בפועל. עפ\""ג (ירושלים) 31347-08-14 מדינת ישראל נגד אברהים בשיטי (10.12.14), המשיב, נעדר עבר פלילי, הורשע במכירת סם מסוג קנאביס בשתי הזדמנויות, במשקל 97 גרם ו- 47 גרם וכן 5 טבליות MDMA. נגזרו עליו 6 חודשי עבודות שרות, מאסר על תנאי וקנס. ע\""פ (חיפה) 7319-08-12 אבישי סבח נגד מדינת ישראל (25.10.12), המערער הודה והורשע ב-2 עבירות של סחר בסם מסוכן מסוג חשיש. בית המשפט גזר עליו 18 חודשי מאסר לריצוי בפועל. ת\""פ (ירושלים) 56059-07-17 מדינת ישראל נגד מתן רווח (12.03.18), הנאשם הודה והורשע בשלוש עבירות של סרח בסם, בכך שמכר לסוכן משטרתי 9.81 גרם תמורת 1,100 ₪ באמצעות אפליקציית ה\""טלגרס\"", ובאישום השני 12.78 גרם קנביס תמורת 1,400 ₪ באותו אופן ובאישום השלישי מכר הנאשם לסוכן קנביס במשקל 2.94 גרם תמורת 350 ₪. בית המשפט גזר עליו 5 חודשי מאסר לריצוי בפועל ועונשים נלווים. ת\""פ (עכו) 39589-07-13 מדינת ישראל נגד קנאר אסדי (16.10.13), הנאשם מכר לסוכן משטרתי בשתי הזדמנויות שונות סם מסוג חשיש, פעם אחת - בכמות של 1.34 גרם ובנוסף 5 טבליות MDPV ובפעם""",train
"נ' טל (30.6.13) – המערער, צעיר ללא עבר פלילי, הורשע על-פי הודאתו בעבירה של פציעה, לאחר שחבט במתלונן בבקבוק בראשו, עד כי נשבר, וגרם לו לחתך עמוק בפניו באורך של 10 ס\מ, ושני חתכים בזרועותיו. בית-משפט השלום קבע כי מתחם העונש ההולם נע בין 6 חודשי מאסר לריצוי בעבודות שירות ועד לשנת מאסר בפועל, והטיל ששה חודשי מאסר לריצוי בעבודות שירות, צו מבחן, מאסר על-תנאי, קנס ופיצוי. ע\""פ (ב\""ש) 14924-12-12 גטנט נ' מדינת ישראל (6.2.13) – המערער הורשע, על פי הודאתו, בעבירות של פציעה והחזקת סכין. לאחר ויכוח, כשהמערער והמתלונן תחת השפעת אלכוהול, עזב המערער את המקום ושב כשסכין מטבח בידו, ודקר את המתלונן שתי דקירות בישבנו, עד כי נזקק לטיפול רפואי. הוא נדון ל-15 חודשי מאסר, מאסר על תנאי קנס ופיצוי. בית-המשפט המחוזי קבע כי מתחם הענישה, בין שנה לשלוש שנות מאסר הנו סביר, העונש אינו חריג, ודחה את הערעור. ב\""כ הנאשם הפנה לפסקי-הדין הבאים, כמלמדים על מדיניות ענישה נוהגת בעבירה: ע\""פ 5641/09 מדינת ישראל נ' ברזינסקי (22.3.10) – המשיב הורשע, לאחר שמיעת ראיות, בעבירות של חבלה חמורה ותקיפה הגורמת חבלה של ממש, לאחר שבמסגרת קטטה באחד מחופי הכנרת, גרם לחתכים מרובים בפניו של המתלונן, באמצעות בקבוק זכוכית שבור. בית-המשפט המחוזי הטיל עליו 6 חודשי מאסר לריצוי בעבודות שירות, מאסרים על-תנאי, צו מבחן, קנס ופיצוי. הערעור לעליון נדחה. ת\""פ (מח' חי') 18531-03-11 מדינת ישראל נ' אבו סלאח (16.4.12), הנאשמים, ללא עבר פלילי, הורשעו בעבירה של גרימת חבלה חמורה ונאשם 1 הורשע בנוסף בתקיפה הגורמת חבלה של ממש. הנאשמים, אחים ובעלי מסעדה, תקפו את המתלונן על רקע ויכוח בעניין חנית רכב, וגרמו לו לשבר בשורש כף""",train
"חולצתו ודחף אותו. בית משפט השלום קבע כי מתחם הענישה נע בין שלושה חודשי מאסר, שיכול וירוצו על דרך של עבודות שרות, לבין 14 חודשי מאסר בפועל. בעקבות ממצאי סם בבדיקת שתן, לא התאים לביצוע עבודות שרות. על המבקש נגזרו ארבעה חודשי מאסר בפועל, הפעלת חודש מאסר על תנאי במצטבר, וכן הוטלו מאסר על תנאי והתחייבות. ערעוריו - נדחו. עפ\ג (מחוזי ירושלים) 13985-03-19 אחמד טאהא נ' מדינת ישראל (31.10.19) - המערער הורשע על יסוד הודאתו בכתב אישום מתוקן בעבירות איומים, תקיפה סתם, חבלה במזיד ברכב והיזק לרכוש במזיד. על פי כתב האישום, קילל המערער את המתלוננת לאחר שזו לא נתנה לו לעקוף בכביש, איים עליה כי יש אנשים שמחכים לה וזה יומה האחרון, דחף אותה, וכתוצאה מכך נפל הטלפון שלה ונשבר, כשהתכופפה להרימו שוב הפיל הנאשם את הטלפון, כשצילמה את הנאשם, פגע במראה של הרכב, שרט את רכבה ונמלט. על המערער נגזרו ארבעה חודשי מאסר לריצוי בעבודות שרות, חמישה חודשי מאסר על תנאי, שישה חודשי פסילת רישיון על תנאי ופיצוי בסך 1,755 ₪ למתלוננת. הערעור נדחה. ת\""פ 25900-03-21 מדינת ישראל נ' שיבלי (8.6.22) – גזר דין שניתן ע\""י הח\""מ. הנאשם הודה והורשע, במסגרת הסדר טיעון, בכתב אישום מתוקן שייחס לו עבירת איומים, לאחר שפנה לשוטר בתחנת משטרה ואיים עליו בכך שאמר לו \""אתה חושב שאתה גבר, אנחנו נפגש בחוץ תחכה\"". השוטר ענה לנאשם \""למה מה תעשה לי בחוץ\"" והנאשם ענה \""אל תדאג יש לי את האנשים שלי הם יעשו\"". נקבע כי מתחם העונש ההולם הוא החל ממאסר למשך חודש ימים, שניתן לריצוי בעבודות שרות ועד שנת מאסר לריצוי בפועל, ועל הנאשם נגזרו חודשיים מאסר בפועל לריצוי""",train
"לאחר הליך ממושך יחסית, במהלכו שולב הנאשם בהליך טיפולי, ולאחר שהוגשו בעניינו מספר תסקירים אשר תיעדו התקדמות חיובית - שוכנעתי כי יש לקבל לגבי הנאשם את המלצת שרות המבחן ולבטל את הרשעתו בדין. הכלל בהליך הפלילי הוא כי נאשם בגיר, שהוכחה אשמתו - יורשע בדין. הימנעות מהרשעה הינה חריג לכלל, שהנו מוצדק רק במקרים נדירים וחריגים, בהם אין יחס סביר בין הנזק הצפוי לנאשם מן ההרשעה, אשר יש לקבוע כי הוא ממשי וחריף, לבין היעדר חומרתה של העבירה, שניתן להימנע מהרשעת מבצעה, מבלי שהדבר יפגע באינטרס הציבורי ובערך המוגן. הכלל המנחה לגבי הימנעות מהרשעה, נקבע בע\פ 2083/96 תמר כתב נגד מדינת ישראל (21.08.97), שם נקבע כי הימנעות מהרשעה תהיה מוצדקת רק בהתקיים שני תנאים מצטברים: בע\""פ 2513/96 מדינת ישראל נגד ויקטור שמש (02.09.96), נקבע כי ניתן להסתפק במבחן בלי הרשעה, רק במקרים מיוחדים ויוצאי דופן. הימנעות מהרשעה על ידי בית המשפט כאשר אין לכך צידוק ממשי מפרה את הכלל בדבר הרשעה ובכך פוגעים גם בעקרון השוויון בפני החוק. לאור האמור לעיל, ניתן לומר כי השאלה אם ניתן להימנע מהרשעת נאשם נענית תוך איזון הדדי בין שני שיקולים שמשקלם משפיע זה על זה – ככל שהעבירה חמורה יותר, נסיבותיה קשות, ופגיעתה בערכים ובמוסכמות החברתיות גבוהה יותר, אזי הימנעות מהרשעה של מבצעה תהיה פחות סבירה ומוצדקת, ותתאפשר, אם בכלל, רק מקום בו תוכח פגיעה ניכרת וקשה בעתידו של הנאשם. הערכים החברתיים המוגנים הנפגעים כתוצאה מעבירות האלימות הזוגית שביצע הנאשם הנם הגנה על כבוד האדם של הפרט, שלמות גופו, שלוות חייו, ביטחונו האישי והאוטונומיה על גופו. עבירות אלימות המתבצעות במערכת משפחתית או זוגית פוגעות בזכותו של אדם להיות מוגן""",train
