text,split
"2020/03 בבית משפט השלום באשקלון ביום 25.3.04. אני מורה על הפעלת עונש מאסר על תנאי למשך 3 חודשים, כפי שהוטל על הנאשם בת\פ 4135/02 בבית משפט השלום בבאר שבע ביום 12.1.05. המאסרים המותנים יופעלו בחופף זה לזה, וירוצו כך ש-6 חודשים מהם יצטברו לעונש המאסר בפועל שהוטל בסעיף 1 לעיל, ו-12 חודשים יחפפו לו. בסך הכל ירצה הנאשם 28 חודשי מאסר בפועל אשר יימנו מיום מעצרו האחרון 1.1.11, ומתוכם ינוכו ימי מעצרו של הנאשם מיום 28.8.07 עד 5.3.08, מיום 20.8.08 ועד 23.9.08, ומיום 13.4.10 ועד 16.6.10. מאסר על תנאי לתקופה של 10 חודשים. המאסר המותנה יופעל אם תוך תקופה של 3 שנים מיום שחרורו, יעבור הנאשם עבירת סמים מסוג פשע, או עבירת רכוש מסוג פשע, או עבירת אלימות מסוג פשע. מאסר על תנאי לתקופה של 4 חודשים. המאסר המותנה יופעל אם תוך תקופה של 3 שנים מיום שחרורו, יעבור הנאשם עבירת סמים מסוג עוון, או עבירת רכוש מסוג עוון, או עבירת אלימות מסוג עוון, או עבירה של איומים, או עבירה של החזקת סכין שלא למטרה כשרה. פסילה על תנאי לתקופה של 10 חודשים, הפסילה תופעל אם תוך תקופה של 3 שנים מיום שחרורו יעבור הנאשם עבירה נוספת לפי פקודת הסמים. הנאשם יחתום היום על התחייבות בסך 2,500 ₪ שלא לעבור עבירה מהעבירות בהן הורשע, למשך שנתיים מיום שחרורו. לא יחתום, ייאסר למשך 20 ימים.""",train
"עיון בפסיקה מעלה, כי בכמויות סם נכבדות הרבה יותר מבענייננו, נגזרו עונשים דומים לאלו להם עתרה ב\כ המאשימה. נראה לי כי כאשר מדובר בכמות הנעה סביב גרם של הרואין (ובענייננו כמות שהיא כפי 5 מהכמות הקבועה בחוק כמקימה את החזקה), אשר יכולה להתיישב עם סם המוחזק לצריכה עצמית וכחלק מ\""אחוות נרקומנים\"", ניתן לקבוע כי המדובר ברף הנמוך של העבירות של החזקת סם שלא לצריכה עצמית, וכי מתחם העונש ההולם בגינן נע בין 5 חודשי מאסר בפועל לבין 15 חודשי מאסר בפועל. בבואי לגזור את דינו של הנאשם בתוך מתחמי הענישה האמורים, יש להביא בחשבון לחומרא את עברו המכביד של הנאשם, אם כי מדובר בעבר ישן, את העובדה שהוא מכור לסמים ושלא השכיל לנצל את ההזדמנות שניתנה לו להיגמל מסמים במסגרת התיק המצורף, ואת העובדה שביצע את העבירה בתיק העיקרי, בעת שהוא ממתין לגזר דינו בתיק המצורף. לקולא יש להתחשב בהודאתו המיידית של הנאשם בשני התיקים, חסכון בזמן שיפוטי לרבות עדות המתלונן, בעובדה שמדובר במי שהיה משוקם תקופה ארוכה, במצבו הרפואי הלא פשוט של הנאשם, כפי שעולה מהמסמכים הרפואיים שנשלחו משב\""ס, ובעובדה שמשפחתו התגייסה כדי לסייע לו לאחר שחרורו. בהעדר שיקולי שיקום, לא ניתן לחרוג לקולא ממתחמי הענישה האמורים, ובוודאי שלא ניתן להסתפק בתקופת מעצרו של הנאשם. לאור כל האמור לעיל, החלטתי להטיל על הנאשם 8 חודשי מאסר בגין עבירות האלימות ו-6 חודשי מאסר בגין עבירת הסמים. לאור העובדה שמדובר במקרים שונים, אשר בוצעו בתקופות זמן שונות, כאשר בעת ביצוע העבירות בתיק העיקרי שהה הנאשם בתנאים מגבילים בגין התיק המצורף, אני סבורה כי יש להטיל את העונשים במצטבר זה לזה. לאור כל האמור לעיל, אני דנה את""",train
"2020/03 בבית משפט השלום באשקלון ביום 25.3.04. אני מורה על הפעלת עונש מאסר על תנאי למשך 3 חודשים, כפי שהוטל על הנאשם בת\פ 4135/02 בבית משפט השלום בבאר שבע ביום 12.1.05. המאסרים המותנים יופעלו בחופף זה לזה, וירוצו כך ש-6 חודשים מהם יצטברו לעונש המאסר בפועל שהוטל בסעיף 1 לעיל, ו-12 חודשים יחפפו לו. בסך הכל ירצה הנאשם 28 חודשי מאסר בפועל אשר יימנו מיום מעצרו האחרון 1.1.11, ומתוכם ינוכו ימי מעצרו של הנאשם מיום 28.8.07 עד 5.3.08, מיום 20.8.08 ועד 23.9.08, ומיום 13.4.10 ועד 16.6.10. מאסר על תנאי לתקופה של 10 חודשים. המאסר המותנה יופעל אם תוך תקופה של 3 שנים מיום שחרורו, יעבור הנאשם עבירת סמים מסוג פשע, או עבירת רכוש מסוג פשע, או עבירת אלימות מסוג פשע. מאסר על תנאי לתקופה של 4 חודשים. המאסר המותנה יופעל אם תוך תקופה של 3 שנים מיום שחרורו, יעבור הנאשם עבירת סמים מסוג עוון, או עבירת רכוש מסוג עוון, או עבירת אלימות מסוג עוון, או עבירה של איומים, או עבירה של החזקת סכין שלא למטרה כשרה. פסילה על תנאי לתקופה של 10 חודשים, הפסילה תופעל אם תוך תקופה של 3 שנים מיום שחרורו יעבור הנאשם עבירה נוספת לפי פקודת הסמים. הנאשם יחתום היום על התחייבות בסך 2,500 ₪ שלא לעבור עבירה מהעבירות בהן הורשע, למשך שנתיים מיום שחרורו. לא יחתום, ייאסר למשך 20 ימים. הפיקדון שהופקד בת\""פ 13206-12-10 , יושב לאביו של הנאשם , מר נחום יצחק, ת\""ז xxxxxxxxxלכתובת , רח' חובבי ציון 4/17, אשקלון.""",train
"המותנה ועל כן הוא יופעל במצטבר. בסה\כ ירצה הנאשם 17 חודשי מאסר בפועל שיימנו מיום מעצרו 18/8/13. המאסר המותנה יופעל אם תוך תקופה של 3 שנים מיום שחרורו, יעבור הנאשם עבירה נוספת בה הורשע או כל עבירת אלימות. אני מורה על הפעלת התחייבות בסך 3,000 ₪ שהוטלה על הנאשם בת\""פ 37168-11-12 בבית משפט השלום באשדוד ביום 9/4/13 או 30 ימי מאסר תמורתה.""",train
"בסימן א1 לפרק ו' לחוק העונשין, שכותרתו \הבניית שיקול הדעת השיפוטי בענישה\"" נקבע עקרון ההלימה כעקרון המנחה בענישה, היינו, ניתן משקל בכורה לשיקולי הענישה של גמול, ונקבע כי בראש ובראשונה, על העונש להלום את חומרת העבירה ואת מידת אשמו של הנאשם. הערכים המוגנים בבסיס עבירות המס החמורות, הינם הצורך בשמירה על הקופה הציבורית, ובעצם על קניינו של כל אזרח ואזרח, הצורך בשמירה על יציבות המשק והכלכלה, הצורך החברתי-ציבורי בהקפדה על שוויון בנטל המס על הציבור כולו, הצורך בשמירה על יחסי האמון בין רשויות המס לבין היבואנים או הנישומים, והחשש מפגיעה מוראלית שיש במעשי הונאה כלפי רשויות המס על יבואנים, משווקים ואזרחים שומרי חוק. בהקשר זה נקבע למשל בע\""פ 2636/12 עזבון המנוח יהושע שלוש ז\""ל ואח' נ' מדינת ישראל [פורסם בנבו] (5.3.13): בהתאם לכך, לאור קלות הביצוע של העבירות והקושי בגילוין, ולאור הצורך בעיגון האיסור הפלילי בעבירות מס והצורך בהרתעה, קבע בית המשפט העליון לא אחת, כי בעבירות מס חמורות יש למצות את הדין עם העבריינים, בדרך של הטלת עונש מאסר בפועל המלווה בקנס כספי משמעותי, כי ככלל, אין מקום להסתפק בגין עבירות אלו בהשתת עונש מאסר לריצוי בעבודות שירות, וכי בעת גזירת דינם של עברייני המס, יגברו שיקולי ההרתעה על נסיבותיהם האישיות של הנאשמים או מצוקתם הכלכלית, להם יינתן משקל נמוך (ראו למשל ע\""פ 6474/03 מלכה ואח' נ' מדינת ישראל, פ\""ד נח(3) 721; רע\""פ 10699/07 קובן נ' מדינת ישראל [פורסם בנבו] (20.1.08); רע\""פ 4791/08 כהן נ' מדינת ישראל [פורסם בנבו] (9.2.09); רע\""פ 9742/11 רייך ואח' נ' מדינת ישראל [פורסם בנבו] (20.2.12) (להלן- עניין רייך); רע\""פ 977/13 אודיז נ' מדינת ישראל [פורסם בנבו] (20.2.13) (להלן- עניין אודיז).""",train
"בענייננו, ומבלי שתשתמע מכך חלילה הצדקה למעשי הנאשמות, ניתן להבין את המצב הנפשי בו היו נתונות עובר לביצוע העבירה, ואשר הביא לביצוע העבירה. הסיפור העולה מכתב האישום ומטיעוני הצדדים נדמה כלקוח מסרט דמיוני או מספר, ובו הנאשמות, אם ובת, שחייהן רוויים קשיים, המטופלות בבן/אח שנפצע קשה בתאונת דרכים, וכל חייהן ידעו מחסור ונזקקות לשירותי הרווחה, גילו כי אב המשפחה שזכה בסכום נכבד בלוטו, מוציא כספים רבים עבור מאהבת, וכאשר הן מגיעות לביתה, הן מגלות בית מרוהט ומאובזר בכל טוב (כעולה גם מהתמונות ומכתב האישום), רואות את האב, ומאבדות את עשתונותיהן. על רקע תחושת הקיפוח, הבגידה והקנטור העזה מצד האב, ועל רקע הדיכאון הממושך בו היתה שרויה הנאשמת 1, הפנו הנאשמות, שלא בצדק, את זעמן ואת חמתן על המתלוננת, כאשר אין חולק כי חלקה של הנאשמת 1 בעבירות היה הדומיננטי יותר, וכי בשלב מסויים פנתה הנאשמת 2 כדי להפריד בין אמה לבין המתלוננת. בית משפט זה פגש את הנאשמות בימים הראשונים למעצרן, והתרשם מההלם, מהצער ומהחרטה שהביעו, והתרשם בעיקר (לפני ואחרי קבלת תסקירי מעצר) כי מדובר באירוע חד פעמי, שסביר להניח כי לא יחזור על עצמו. באשר לנאשמת 2, שירות המבחן המליץ על ביטול הרשעתה, והסנגור עתר לאימוץ ההמלצה. לפי ההלכה הפסוקה, משהוכח ביצועה של עבירה יש להרשיע את הנאשם בה, וסיום ההליך המשפטי ללא הרשעה ייעשה רק במקרים חריגים, בהם היחס שבין חומרת העבירה לבין הנזק הצפוי לנאשם מן ההרשעה, אינו סביר. בע\פ 2083/96 תמר כתב נ' מדינת ישראל, (להלן- הלכת כתב) נקבע בהקשר זה : אכן, ענישתו של נאשם היא אינדווידואלית, ובית-המשפט בוחן עניינו של כל נאשם ונאשם ואינו קובע את עונשו אך על-פי מהות""",train
"עד ליום 3.7.11 בשעה 11:00. עד למועד התייצבותו, ימשיכו לחול התנאים המגבילים בהם שוחרר הנאשם וכן ייאסר על הנאשם לעזוב את הארץ. ניתנה והודעה היום כ\ה סיון תשע\""א, 27/06/2011 במעמד הנוכחים.""",train
"₪, אשר בית המשפט המחוזי לא מצא כי נתקיימו בעניינו אף אחד מהתנאים הנדרשים להמנעות מהרשעה. בע\פ (חיפה) 2421/07 בדר נ. מדינת ישראל - דובר במורה בבית ספר אשר רכש תעודת תואר שני וגליון ציונים מזויפים, הגישם למשרד החינוך לצורך קבלת דירוג שכר והטבות שונות ואף הגיש תצהיר כוזב באשר ללימודי התואר השני. בית המשפט המחוזי הדגיש את החומרה הנעוצה בכך שאין מדובר במעידה רגעית וחד פעמית אלא בעבירה שבוצעה תוך תכנון לאורך זמן, וכן את העובדה שמדובר במורה, האמור לשמש מודל חינוכי לתלמידיו. אין ספק כי מקרים אלו חמורים מעניינה של הנאשמת, אשר ביצעה אקט פלילי חד פעמי, שלטענתה מיד התחרטה על ביצועו (טענה שעלתה על ידיה כבר בחקירתה במשטרה אך עומדת בסתירה לעדותה של היועמ\""ש של המכללה, אם כי יצוין כי טענה זו לא נבדקה מול המזכירה). בשונה מהמקרים שצוינו לעיל, לא דובר במקרה שבו אקט המרמה נמשך לאורך זמן תוך פעולות של הנאשמת לביסוס המרמה ומטענות הסניגור עולה כי גם המסמך המזויף היה מסמך חובבני אשר הנאשמת לא הואשמה בזיופו. זאת ועוד, מדובר בנאשמת בעלת נסיבות אישיות לא קלות, אשר שירות המבחן התרשם כי ביצעה את העבירה על רקע מצבה הנפשי והאישי הקשים בעת ביצוע העבירה, ולא מתוך דפוסי מרמה באישיותה, כך שהסיכוי שהנאשמת תשוב ותבצע עבירות נוספות הוא קטן. לכך יש להוסיף את העובדה כי הוכח בפניי שהרשעת הנאשמת תפגע בעבודתה של הנאשמת, ואת מצבה הכלכלי הקשה והצורך שלה להתגייס לטיפולים בבנה החולה. לאור כל האמור לעיל, ולא בלי התלבטות, החלטתי לבטל את הרשעתה של הנאשמת לפי סעיף 192א לחסד\""פ, ולהסתפק בקביעה כי היא ביצעה את המיוחס לה בכתב האישום המתוקן. עם""",train
"בענייננו, אם היה תלוי ועומד נגד הנאשם מאסר מותנה קצר יותר, אין ספק כי הוא היה מופעל ואולם נראה לי כי לא יהיה זה צודק להטיל על הנאשם עונש הקרוב לעונש המירבי הקבוע בחוק בגין עבירה שהוא ביצע בנסיבות מקלות יחסית. לפיכך, החלטתי באופן חריג שלא להפעיל את המאסר המותנה ולהסתפק בתקופת מעצרו העולה על 3 וחצי חודשים. אני מורה על חידוש של מאסר מותנה למשך 10 חודשים, כפי שהוטל על הנאשם בת\פ 3280/07 בבית משפט השלום ברמלה ביום 25/3/08, למשך שנתיים נוספות מהיום. הנאשם יחתום היום על התחייבות בסך 2,000 ₪ שלא לעבור עבירה מהעבירות בהן הורשע, למשך שנתיים מהיום. לא יחתום, ייאסר למשך 20 ימים.""",train
"בענייננו, לאור האמור בתסקיר ולאור מצבו הרפואי של הנאשם וגילו המתקדם, אני סבורה כי ניתן לראות בכך משום שיקולי שיקום, שכן הסיכוי שהנאשם ישוב על מעשיו אינו גדול. לאור כל האמור לעיל ולאחר שהתלבטתי בעניין העונש שיש להטיל על הנאשם, החלטתי לתת לו הזדמנות אחרונה ולא לדון אותו לעונש של מאסר מאחורי סורג ובריח. אני מורה על הפעלת מאסר מותנה למשך 6 חודשים, כפי שהוטל על הנאשם בת\פ 33330-03-10 בבית משפט השלום באשדוד ביום 31/10/10, לריצוי באופן חופף לעונש המאסר הנ\""ל. המאסר ירוצה בדרך של עבודות שירות, אותם יבצע הנאשם במע\""ש אשדוד בימים א' עד ה' בין השעות 08:00 עד 16:30. על הנאשם להתייצב לריצוי המאסר ביום 02/02/14, בשעה 08:00, במפקדת מחוז דרום ביחידה לעבודות שירות, אלא אם הממונה על עבודות השירות יודיע לו על מועד תחילה אחר. מוסבר לנאשם כי עליו לעמוד בתנאי העבודה, וכי כל הפרה של תנאי עבודות השירות עלולה להביא להפסקה מנהלית של העבודות, ולריצוי יתרת התקופה במאסר ממש. המאסר המותנה יופעל אם תוך תקופה של 3 שנים מהיום, יעבור הנאשם עבירה נוספת של אלימות פיזית נגד אדם. המאסר המותנה יופעל אם תוך תקופה של 3 שנים מהיום, יעבור הנאשם עבירה נוספת של איומים או פגיעה בפרטיות. פיצוי בסך 1,000 ₪ למתלוננת, הגב' רבקה ביטון, אשר יקוזז מתוך הפיקדון שהופקד בתיק המעצר. יתרת הפיצוי תועבר לפי בקשתו של הנאשם לעו\""ד בן יהודה, בכפוף לכל דין.""",train
