question,answer,split
"מהו הכלל לגבי עונשם של נאשמים בביצוע העבירה הנדונה, ומהם החריגים לכך?","כמו כן, וחרף הכלל לפיו בדרך כלל עונשם של נאשמים בביצוע העבירה דנן הוא למאסר מאחורי סורג ובריח, ניתן ללמוד על מקרים בהם נגזרו על נאשמים אף עונשי מאסר לריצוי בעבודות שירות.",train
מהו העיקרון שעל פיו נקבעת מידת העונש ההולם?,קביעת מתחם העונש ההולם נעשית על פי עיקרון ההלימה.,train
מהו תפקיד השיהוי בהגשת כתב האישום בשיקולי הענישה?,"כידוע, שיהוי וחלוף הזמן מהווים שיקולים רלבנטיים בין שיקולי הענישה, ונקבע לא אחת כי שיהוי בהגשת כתב אישום מביא לעינוי דין לנאשם, ולצידו פגיעה פוטנציאלית ביכולתו להתגונן, ויש בו כדי להביא להקלה משמעותית בעונש במקרים מתאימים, כשכל מקרה נבחן על פי נסיבותיו.",train
מהו העיקרון המשפטי המונע חריגה ממתחם העונש ההולם במקרה זה?,"בנוסף, לא מתקיימים במקרה זה טעמים המצדיקים חריגה ממתחם העונש ההולם.",train
כיצד עשויים בתי המשפט להטיל עונשי מאסר בעבודות שירות במקרה של נזק כספי לא מתוקן?,"גם במקרים בהם הנאשם לא תיקן את הנזק הכספי שגרם, עשויים בתי המשפט להטיל עונשי מאסר לריצוי בעבודות שירות, זאת בהתאם לנסיבות המיוחדות של כל מקרה ומקרה.",train
מהי השפעת הרשעתו הקודמת של הנאשם על שיקולי הענישה הנוכחיים?,"לא נעלמה ממני הרשעתו הפלילית של הנאשם משנת 2017 (עבירות משנת 2014) בהחזקת סמים לצריכה עצמית והפרעה לשוטר (עת/1), אך לא מצאתי שיש בה כדי להשפיע במידה ממשית על שיקולי, בשים לב לסוג העבירות והעובדה שגם מאז ביצוען חלפו שנים ארוכות, ונראה שהנאשם עלה על דרך חדשה והוא, כאמור, נעדר עבר פלילי בתחום הרלוונטי.",train
מהו תפקיד מדיניות הענישה בקביעת מתחם העונש ההולם בעבירות מס?,"בקשר לענישה הנוהגת יש לזכור, מבלי למעט בחשיבות שקילתה וחשיבות אחידות הענישה, כי מתחם העונש ההולם מגלם הכרעה ערכית המבוססת על שיקולים שונים שמדיניות הענישה היא רק אחד מהם.",train
כיצד מעשי הנאשמים פגעו באמון הציבור בעוסקים ובנישומים?,"מעשי הנאשמים פגעו באמון הניתן בעוסקים ונישומים שיגישו דיווחי אמת וישלמו מסים כחוק, ואף גרמו לנזק של ממש לקופת המדינה הנסמכת על כספי המסים לטובת כלל אזרחי המדינה וצרכיה.",train
כיצד משפיעים המאסרים המותנים על ההחלטה להאריך את המאסר במקרה הנדון?,"במקרה שלפני המאסרים המותנים התלויים ועומדים כנגד הנאשם אכן מכבידים, בני 24 ו- 9 חודשים אך אין בכך כאמור כדי לאפשר ולהצדיק בנסיבותיו של המקרה דנן הארכתם.",train
אילו גורמים הביאו לקביעת עונש הנאשם בתחתית מתחם הענישה ל-9 חודשי מאסר בפועל?,"השילוב בין נתון זה לשיהוי הממשי בהגשת כתב האישום, יחד עם הודיית הנאשם לאחר התיקון המשמעותי שנערך בכתב האישום, לצד מתחם הענישה שנקבע ועמדת המאשימה עצמה לפיה ראוי לקבוע את עונשו של הנאשם בתחתית מתחם הענישה חרף אי הסרת המחדלים על ידו (גם אם עתרה למתחם אחר מזה שנקבע), הביאוני למסקנה כי נכון לקבוע את עונשו של הנאשם בתחתית המתחם ל- 9 חודשי מאסר בפועל, ולהורות כי בנסיבות החריגות עונשו ירוצה בעבודות שירות.",train
