question,answer,split
מהו העיקרון שעל פיו יש לקבוע את מתחם העונש ההולם למעשיו של הנאשם?,"בהתאם להוראות החוק, יש לקבוע תחילה את מתחם העונש ההולם למעשיו של הנאשם, על פי עקרון ההלימה, ובהתאם לערכים החברתיים שנפגעו, למידת הפגיעה באותם ערכים, לענישה הנוהגת ולמכלול הנסיבות הקשורות בביצוע העבירות.",train
מהו העונש המירבי שניתן להטיל על נאשם בעבירה של חבלה בכוונה מחמירה?,"בקבעו עונש מירבי זה, הורה לנו המחוקק לשקול הטלת עשרים שנות מאסר בפועל על נאשם שנמצא אשם בגרימת חבלה בכוונה מחמירה בנסיבות המצויות בדרגת החומרה הגבוהה ביותר.",train
"מהו העיקרון הכללי בענישה בעבירות סמים, וכיצד ניתן לסטות ממנו?","הענישה היא כמובן אינדיווידואלית, ובמקרים המתאימים ברי כי ניתן גם בעבירות מעין אלה לסטות לקולה מהמתחם מטעמי שיקום, אך הכלל הרחב הוא מאסר, ולאו דווקא לתקופה קצרה.",train
מהו הסיכון הקיים בהתנהגות הנאשם כלפי המתלוננת במצבו הנוכחי?,"במצבו הנוכחי קיים סיכון להמשך התנהגות תוקפנית ובלתי מווסתת מצדו של הנאשם כלפי המתלוננת, ולנוכח מאפייניו וגורמי הסיכון בעניינו, לא ניתן לשלבו בהליכי טיפול במסגרות חיצוניות לשב\ס.""",train
מהי המדיניות בענישה כאשר אין נסיבות חריגות במקרים דומים?,"בתי משפט בעניין ברדה לא התעלמו כמובן, מהנסיבות המיוחדות של העושה והמעשה, אך הבהירו כי בהעדר נסיבות חריגות ומיוחדות, עומדת מדיניות הענישה המחמירה במלוא תוקפה, ומצדיקה דרך כלל הטלת מאסר לפרק זמן המחייב ריצויו מאחורי סורג ובריח.",train
מדוע לא ניתן לראות בשינוי הכתובת של הנאשם הפרה טכנית בלבד?,"הנאשם שהה אמנם בכתובת סמוכה לזו בה אמור היה להתגורר, אך לא ניתן לראות בכך משום הפרה טכנית או קלת ערך בלבד, שכן כל שינוי בכתובת המגורים די בה על מנת לשבש את יכולתם של גורמי אכיפת החוק לפקח על הנאשם ולמנוע ביצוע עבירות נוספות על ידו.",train
מהי ההצדקה העקרונית להחמרת הענישה במקרה זה?,"ההצדקה העקרונית נעוצה כאמור בעבר הפלילי הרלבנטי ובחומרת מעשיה של הנאשמת, כפי שהם באים לידי ביטוי במתחם העונש ההולם שקבעתי, ואילו החובה המשפטית מקורה במאסר המותנה חב ההפעלה התלוי ועומד לחובת הנאשמת.",train
מהו ההסדר המומלץ שניתן לאמץ בתסקיר במקרה זה?,"שים לב לאמור בתסקיר, יש מקום לאמץ את הסדר הטיעון ברף הנמוך שלו, דהיינו, על דרך של הטלת מאסר על תנאי ושל\צ לצד המרכיבים המוסכמים.""",train
מה מעידים הביקורים התכופים בבתי הקברות על הנאשם?,"גם הביקורים התכופים בבתי הקברות, בכל רחבי הארץ, ואיתור אותם חפצים שהטמין מראש, נועדו לאותן מטרות ממש ומעידים על היקף ההשקעה של הנאשם בתכנון וביישום מעשיו הרעים.",train
מהו התנאי המאפשר לבית המשפט לסטות לקולא מהמתחם לפי סעיף 40 ד' לחוק העונשין?,"כידוע, מוסמך בית המשפט לסטות לקולא מהמתחם אם \מצא כי הנאשם השתקם או שיש סיכוי של ממש שישתקם\"", כאמור בסעיף 40 ד' לחוק העונשין.""",train
מהי הסיבה להטלת ענישה כואבת ומרתיעה על נאשם 1?,"נאשם 1 הורשע בשלוש עבירות שונות ונפרדות, שלכל אחת מהן מרכיבי חומרה ניכרים, אשר הצטברו זו לזו לכדי אירוע כולל חמור ומכביד, המחייב הטלת ענישה כואבת ומרתיעה.",train
מהי הפגיעה הנוספת שנגרמה למתלוננים מעבר לפגיעה הכלכלית?,"עוד נפגעו שלומם ורווחתם של המתלוננים, באופן החורג מפגיעה כלכלית גרידא, וזאת לנוכח ניצול מערכת היחסים הקרובה בינם לבין הנאשם, ועוגמת הנפש שנגרמה להם.",train
