text,split
"העונשין. המערער ואחר קשרו קשר לשדוד עובר אורח מזדמן. לשם כך הגיעו בשעת ערב ברכב שכור למרכז מסחרי כשהאחר נוהג והמערער הוא שירד מהרכב ורץ לעבר המתלוננת שיצאה מהמרכז המסחרי. המערער היכה את המתלוננת בידה ומשך בכוח את התיק שהחזיקה. בתיק היה כסף מזומן ומעטפה ובה פדיון יומי של החנות בה היא עבדה. המערער ברח מהמקום, נכנס לרכב בו נהג האחר והם עזבו את המקום. עבירת השוד בוצעה על-ידי המערער תוך הפרת תנאי \מעצר בית\"". בית המשפט המחוזי קבע כי מתחם העונש ההולם נע בין 24 לבין 48 חודשי מאסר בפועל. בית המשפט המחוזי התחשב בנטילת האחריות והחרטה, בגילו הצעיר, בן 21 בעת ביצוע העבירות, עברו הפלילי, והעובדה שהעבירות בוצעו חצי שנה לאחר שחרורו ממאסר בעוד תלויים נגדו מאסרים מותנים ובעודו במעצר בית בתיק אחר. נגזרו 38 חודשי מאסר ו-9 חודשי מאסר נוספים במצטבר, על דרך הפעלת שני מאסרים מותנים שעמדו כנגדו, מאסר מותנה ופיצוי בסך 12,000 ₪. בית המשפט העליון דחה את הערעור על חומרת העונש, תוך שקבע כי העונש שהוטל על הנאשם אינו חורג לחומרה והוא אף מקל. יז. ע\""פ 5942/13 אבו דלו מג'ד נ' מדינת ישראל (10.2.2014) - המערער הורשע בבית המשפט המחוזי בירושלים בעבירת שוד לפי סעיף 402(א) לחוק העונשין. בשעות הערב, המערער ניגש למתלוננת וחברתה, קטינות בנות כ-12, וביקש לברר מה השעה. המתלוננת ביררה במכשיר הטלפון הנייד שלה, ותוך שהיא משיבה למערער על שאלתו, האחרון משך בכוח את מכשיר הטלפון מידה ונמלט עמו. בית המשפט המחוזי קבע כי מתחם העונש ההולם נע בין 6 לבין 24 חודשי מאסר. נוכח נסיבותיו האישיות של המערער, היעדר עבר פלילי, החרטה שהביע, הודאתו בעובדות המקרה""",train
"חלקם, בכל עת מבלי שעשה כן. לא נטען ולא הוכח קרבתו של הנאשם לסייג לאחריות פלילית, ואין עומדת לזכותו הטענה להגנה העצמית. אמנם, הירי שביצע הנאשם לכיוון הקורבן לא פגע בגופו, אך אין לתלות בזה שיקול מכריע לקולה. סעיף 329(א)(2) לחוק העונשין, בעניינו הורשע הנאשם, מאפשר הרשעה בעבירה של חבלה חמורה זו גם ביחס לאירוע שלא השיג את תוצאותיו העברייניות. ראו בהקשר זה פסיקת בית המשפט העליון בע\פ 780/16 שושה נ' מדינת ישראל (20.2.2017) (להלן: \""שושה\""): \""סעיף 329 לחוק שבו עסקינן כולל קשת רחבה של מעשים, החל מניסיון וכלה בעבירות מושלמות, כשכל המעשים עולים כדי חבלה בכוונה מחמירה – בלא שהמחוקק שירטט מדרג ענישתי ביניהם. יפים לעניין זה דברי השופט ס' גובראן בע\""פ 7528/13 אלאטראש נ' מדינת ישראל, פסקה 5 (26.5.2014), בהתייחסו לעבירה לפי סעיף 329(א)(2) לחוק שבביצועה הורשע המערער: 'להבדיל מעבירת ניסיון רגילה (לפי סעיף 25 לחוק העונשין), שהיא אינה ביצוע מושלם של היסוד העובדתי של עבירה פלונית, סעיף 329(א)(2) לחוק קובע בעצמו כי עצם הניסיון לפגוע באדם באמצעים המצוינים בסעיף מהווה עבירה מושלמת. זאת, ללא צורך בתוצאת פגיעה או בנזק [...] משכך, העובדה שהמעשה האסור הוא עצם הניסיון אינה כשלעצמה שיקול מחייב לקולה'\"". בבחינת מדיניות הענישה הנהוגה \""לא נדרש בית המשפט לאתר מקרים שיש ביניהם חפיפה מושלמת; שהרי המציאות אינה מזמנת במרבית המקרים אירועים הזהים 'אחד לאחד' זה לזה. בבואו של בית המשפט להציב מתחם ענישה הולם עבור הנאשם שבפניו, עליו לאתר מקרים שיהיו דומים דיים להשוואה\"" (עניין שושה, פס' 12). ואכן, עיון בפסיקה הדנה בעבירות בהן הורשע הנאשם מעלה מנעד רחב של ענישה, תלוי נסיבות ה\""עושה\"", כמו גם בנסיבות \""המעשה\"", לרבות: טיב החבלות;""",train
"תיקון 113 לחוק העונשין שעניינו \הבניית שיקול הדעת השיפוטי בענישה\"" התווה את עקרון ההלימה כעיקרון מנחה בענישה לפיו נדרש יחס הולם בין חומרת מעשה העבירה בנסיבותיו ומידת אשמו של הנאשם לבין סוג ומידת העונש המוטל עליו (ס' 40ב לחוק העונשין). מלאכת גזירת הדין מורכבת ממספר שלבים עיקריים: תחילה, אקבע את מתחמי העונש ההולמים למעשי העבירות שביצעה הנאשמת, על בסיס שיקולים נורמטיביים ואובייקטיבים, בהתחשב בערך החברתי שנפגע מביצוען, במידת הפגיעה בו, במדיניות הענישה הנהוגה ובנסיבות הקשורות בביצוע העבירות כמפורט בסעיף 40ט לחוק העונשין (סעיף 40ג לחוק העונשין); לאחר מכן, אקבע את העונש המתאים לנאשמת, בהתחשב בצורך בהרתעת הנאשמת (סעיף 40ו לחוק העונשין) והרבים (סעיף 40ז לחוק העונשין) ובנסיבותיה האישיות של הנאשמת שאינן קשורות בביצוע העבירות (סעיף 40יא לחוק העונשין), כמו גם בנסיבות אחרות ככל שתמצאנה רלוונטיות (סעיף 40יב לחוק העונשין). בכלל זה, אבחן האם ראוי לחרוג מן המתחם לקולא בשל שיקולי שיקום (סעיף 40ד לחוק העונשין) או לחומרה בשל שיקולי הגנה על שלום הציבור (סעיף 40ה לחוק העונשין). [ראו: ע\""פ 2918/13 דבס נ' מדינת ישראל [פורסם בנבו] (ניתן ביום 18.7.2013); ע\""פ 1903/13 עיאשה נ' מדינת ישראל [פורסם בנבו] (ניתן ביום 14.7.2013); ע\""פ 1323/13 חסן נ' מדינת ישראל [פורסם בנבו] (ניתן ביום 5.6.2013)]. הנאשמת הורשעה מכוח הודאתה בשני כתבי אישום (מתוקנים), אשר כל אחד מהם פירט מספר מעשים ומנה מספר עבירות, שבוצעו בסמיכות זמנים ויש ביניהן קשר הדוק, כך שיש לראות בהן חלק מ\""אירוע\"" אחד (ראו: ע\""פ 4910/13 אחמד בני ג'אבר נ' מדינת ישראל [פורסם בנבו] (ניתן ביום 29.10.2014); ע\""פ 2519/14 ענאד אבו קיעאן נ' מדינת ישראל [פורסם בנבו] (ניתן ביום 29.12.2014)). לפי סעיף 40יג(א) לחוק העונשין, משהורשע""",train
"האש אחזה בצמיגים, בציוד ובמכולת המשרד וכילתה את הציוד והצמיגים. בית המפשט המחוזי קבע כי מתחם העונש ההולם נע בין שנתיים לבין 5 שנות מאסר. הובאו בחשבון גילו הצעיר של הנאשם, הודאתו וחרטתו על מעשיו, הפגיעה האפשרית בו ובמשפחתו, עברו הפלילי הנקי, חלוף הזמן מביצוע העבירה והמלצת שירות המבחן להטלת עונש שיקומי. בית המשפט המחוזי גזר על הנאשם 24 חודשי מאסר, מאסר מותנה וקנס בסך 5,000 ₪. בית המשפט העליון דחה את ערעור הנאשם על חומרת העונש תוך שקבע כי הובאו בחשבון כלל השיקולים הרלוונטיים בקביעת מתחם העונש ההולם ובקביעת עונשו. יח. ת\פ (מח' מרכז) 34711-06-17 מדינת ישראל נ' מרק בוריסלב יעקובוב [פורסם בנבו] (29.10.2019) - הנאשם הורשע בבית המשפט המחוזי מרכז-לוד, על יסוד הודאתו במסגרת הסדר טיעון בשלוש עבירות הצתה לפי סעיף 448(א) רישא לחוק העונשין ובשלוש עבירות של היזק בזדון לפי סעיף 452 לחוק העונשין. על פי האישום הראשון, בשל כך שהמתלונן לא התאבל על מות אמו, הנאשם הניח נייר ובדים בצמוד לגלגל האחורי של רכבו, הצית אותם עם מצת ועזב את המקום. בשל מעשיו של הנאשם הרכב והנגרייה הסמוכה אותה הפעיל המתלונן נשרפו כליל. על פי האישום השני, הנאשם הצית קרטון והשליך אותו לעבר מחסן המכיל ארגזי קרטון רבים. במחסן ניצתו להבות והנאשם עזב את המקום. על פי האישום השלישי, בשעת לילה, שילח אש בחמישה מוקדים: בארון חשמל בבניין מגורים, 3 ארונות חשמל ב-3 קומות בבניין מגורים, במתקן מחזור, מחוץ לבית פרטי בגזר הבניין ובחפצים שונים בחדר אשפה בבניין מגורים. נקבע כי מתחם העונש ההולם נע בין 3 לבין 6 שנות מאסר. לאחר הליך שיקום ארוך, אשר ידע עליות ומורדות, שב הנאשם לאזור""",train
"ישראל ([פורסם בנבו], 5.5.2009). השיקולים הפרטניים במקרה דנא מצדיקים הקלה משמעותית בעונשו של הנאשם, על אף החומרה הרבה שבמעשיו. נסיבות המקרה, כפי העולה מתסקירי שירות המבחן ובייחוד הרצון הכן שהפגין הנאשם בהליך הטיפול הארוך והקשה על מנת לשקם את חייו, מצדיקים במקרה הנוכחי את העדפת השיקול השיקומי- טיפולי. אנו מודע לכך שבענישה האמורה המעדיפה את הפן השיקומי אין משום מיצוי הדין עם הנאשם על מכלול העבירות החמורות שביצע, ועל הפגיעות החמורות שפגע במתלוננים שבכתבי האישום. אך לאור הליך שיקומו שעלה על מסלול מבטיח, אני רואה לתת משקל מכריע להיבט זה בענישה, מתוך תקווה כי חזרתו של הנאשם למסלול נורמטיבי תסב תועלת רבה הן לו כאדם, והן לחברה (ע\פ 9911/07 פלוני נ' מדינת ישראל [פורסם בנבו] (ניתן ביום 17.8.2009). כאמור על אף קשיים אישיים ומשפחתיים במהלך ההליך השיקומי עשה הנאשם כברת דרך משמעותית לכיוון חזרה לחיים נורמטיביים ולא נתן לקשיים בדרך להכשילו. במקרה זה – ולא בלי התלבטות לאור המעשים הקשים – אנו סבור כי יש מקום לאפשר לנאשם להמשיך ולשמר את תהליך הטיפול הכנה, הבא לידי ביטוי בגמילתו מסמים ושמירה על מסגרת משפחת ותעסוקתית יציבה. שיקולים נוספים שהבאתי בכלל חשבון לזכות הנאשם, מלבד ההליך השיקומי הראוי לשבח, הם גילו הצעיר (יליד שנת 1987), הודאתו בארבעה כתבי אישום שחלקם תוקנו לקולא והחיסכון בזמנו של בית המשפט הכרוך בכך, לקיחת אחריות על מעשיו והבעת הצער והחרטה מצדו. עוד הבאתי בחשבון את מצבו הכלכלי הקשה של הנאשם והיותו אב לשני קטינים המשקיע את מיטב זמנו ומאמציו לתשלום חובותיו הרבים. בדיון האחרון שהתקיים ביום 4.3.2014 מסר הנאשם כי עבר תאונת דרכים, וכי אביו האלכוהוליסט אינו בקו הבריאות והוא נדרש לסייע""",train
"נקבע: בנוסף, לעניין איומים כלפי עובד ציבור ראו ע\פ 2019/11 אלי מיארה נ' מדינת ישראל (ניתן ביום 22.3.2011): במקרה דנא, אין מדובר בדברי איום חמורים וקונקרטיים, אלא כאלה שכוונו להבעת תסכול ומפח נפש בעידנא דרתחא ועל כן הפגיעה בערכים המוגנים אינה גבוהה. הדברים נאמרו על רקע ביטול המפגש שתוכנן בין הנאשם לבתו הקטינה במשרד הרווחה באילת, בשל קשייו של הנאשם להגיע למקום בזמן שנקבע. הודע לנאשם כי הפגישה תתקיים במועד אחר, אך הוא הגיע למשרד הרווחה ומשנוכח כי הפגישה לא תתקיים אמר לעובדות הסוציאליות במקום כי עכשיו הוא מבין למה יש רצח במשפחה ואז מבררים אם המשפחה מוכרת לשירותי הרווחה. הנאשם איים, אם כן, במשתמע כי יפגע בבני משפחתו והאחריות על כך תרבוץ לפתחן של רשויות הרווחה. הנסיבות מצביעות כי הדברים נאמרו ברגע של חימה, ללא תכנון מקדים. עם זאת, אין מקום להקל ראש באיומים המופנים כלפי עובדי שירותי הרווחה, גם אם האמירה עצמה אינה מכוונת לפגיעה פיזית בהם, שכן היא באה לפגוע בעבודתם הנאמנה ולעורר בהם מורא וחשש. האיום לגופו לא בא לידי מימוש ולא לווה בעבירה נוספת. לא נגרעה יכולתו של הנאשם להבין את מעשיו ואת הפסול הברור שבהם ובכל עת יכל לחדול ממעשיו ולתקנם מבלי שעשה זאת. לא נשמעו סיבות המשמשות להצדקת התנהגותו והנאשם אינו קרוב לסייג אחריות פלילית. מדיניות הענישה הנהוגה בעבירה זו מתחשבת בצורך במאבק בנגע האלימות המילולית שפשט בחברה הישראלית ככלל ומתפקידו של בית המשפט להעביר מסר ברור באמצעות השתת עונשים מוחשים על מי שבוחר לפתור את קשייו האישיים באמצעות פגיעה קשה בשלוות נפשו של אחר. עיון במקרים של עבירת איומים שנדונו בפסיקה מעלה כי הוטלו עונשים במנעד רחב המשתרע""",train
"בביצוע עבירה של תקיפה הגורמת חבלה של ממש כלפי בת זוג, בכך שדחף את אשתו בחוזקה, תפס את ראשה והטיחו בקיר, סחב אותה בשערותיה והכה אותה באגרופים ובבעיטות ברגליים ובבטן ובשאר חלקי גופה עד אשר התעלפה. כתוצאה מכך נזקקה האישה לטיפול רפואי וסבלה מכאבים חזקים בבטנה. על הנאשם, בעל עבר פלילי, חרף שיקום יחסיו עם אשתו, הוטלו 8 חודשי מאסר בפועל ומאסר מותנה. בעפ\ג (מח' ב\""ש) 16530-04-16 מיכאל וחטרוב נ' מדינת ישראל (ניתן ביום 29.5.2016), התקבל ערעור של נאשם, אשר הורשע על יסוד הודאתו בביצוע עבירה של תקיפת בת זוג הגורמת חבלה של ממש, בכך שהכה את בת זוגו בשני צדי פניה וגרם לה סימנים אדומים וכחולים. בערכאה הדיונית, נקבע מתחם ענישה הולם שנע בין מאסר מותנה לבין 12 חודשי מאסר בפועל והוטל על הנאשם, נעדר עבר פלילי, 2.5 חודשי מאסר בפועל לריצוי בעבודות שירות, מאסרים מותנים, פיצוי והתחייבות. בית המשפט המחוזי המיר את עונש המאסר בצו של\""צ בהיקף של 300 שעות. בת\""פ (רמ') 37124-04-16 משטרת ישראל תביעות- שלוחת רמלה נ' רומן בשקין (ניתן ביום 20.7.2016) הורשע נאשם על יסוד הודאתו במסגרת הסדר סגור, בביצוע עבירה של תקיפה הגורמת חבלה של ממש כלפי בת זוג, בכך שבעת שהיו בני הזוג נתונים להשפעת אלכוהול, תקף הנאשם את בת זוגו, אחז בצווארה, ובהמשך בעט בה בכל חלקי גופה כשהיא שכובה על הרצפה, וגרם לה חבלות. על הנאשם הוטלו 8 חודשי מאסר בפועל, הופעל מאסר מותנה של 5 חודשים בגין הליך אחר, מתוכו חודש אחד במצטבר והיתר בחופף ובסך הכל 9 חודשי מאסר בפועל, מאסר מותנה ופיצוי. בת\""פ (אי') 6199-12-15 מדינת ישראל נ' אברהם אסלי זאדא (ניתן ביום 19.7.2017),""",train
"יש מקום להתחשב בנסיבותיהם האישיות אשר אינן קשורות בביצוע העבירות. נסיבות אלה נלמדות, בין היתר, מטיעוני הצדדים לעונש, עברם פלילי, דברי הנאשמים בבית המשפט ומכלול הראיות שהוצגו לעיוני. בדרך זו חידד תיקון 113 לחוק העונשין את הצורך בהמשך נקיטת שיטת ענישה אינדיווידואלית, הבוחנת נסיבותיו של כל מקרה ואדם והמובא לדין (ע\פ 433/89 אטיאס נ' מדינת ישראל, פ\""ד מג(4) 170; ע\""פ 5106/99 אבו ניג'מה נ' מדינת ישראל, פ\""ד נד(1) 350; רע\""פ 3173/09 פראגין נ' מדינת ישראל (5.5.2009)). בקביעת עונשם של כל אחד מהנאשמים במסגרת מתחמי הענישה שנקבעו בעניינם הבאתי בחשבון את חומרת עבירת נשיאת נשק, ובעניינו של נאשם 1 גם את השימוש בנשק באזור מגורים באופן שיש בו כדי לסכן חיי אדם, את מדיניות הענישה ובכללה התכלית ההרתעתית עליה עמדתי, והחובה של מערכת המשפט לתרום את חלקה למיגורן של עבירות שכאלה, אשר טמון בהן פוטנציאל לפגיעה בנפש, על-מנת להרתיע את הנאשם העומד לדין ועבריינים כמותו, מלשוב ולבצע עבירות דומות בעתיד. הנאשם 1 יליד שנת 1985, ולחובתו עבר פלילי מכביד. ב\""כ המאשימה הציגה את גיליון המרשם הפלילי של נאשם 1 (ת/85), ממנו עולה כי הנאשם 1 צבר 9 הרשעות בהליכים בהם נשפט כבגיר, והליך נוסף שהתנהל בבית משפט לנוער, אשר הסתיים ללא הרשעה ואף התיישן. להלן פירוט עברו הפלילי של נאשם 1 בקצירת האומר: ביום 22.11.2016 נגזר על נאשם 1 עונש של 60 ימי מאסר, מאסר מותנה ופיצוי בסך 3,000 ₪, בעקבות הרשעתו בעבירות איומים ותקיפת עובד ציבור. ביום 8.6.2016 נגזר על נאשם 1 עונש של 6 חודשי מאסר בפועל ומאסר מותנה, בעקבות הרשעתו בעבירות של קשירת קשר לעשות פשע לחוק העונשין והתחפשות או שימוש ברעלה לביצוע פשע.""",train
"ובשים לב להלכות שפורטו לעיל, סבורני כי הנאשם רחוק מלהוכיח כי קיימים בעניינו סיכויי שיקום חריגים ומובהקים הנדרשים לשם סטייה ממתחם הענישה ההולם. עם זאת, מאמציו של הנאשם לשקם את אורחות חייו ולחזור לדרך המוטב, כמו גם כברת הדרך הטיפולית שעבר, ייזקפו לזכותו במסגרת קביעת עונשו בגדרי מתחמי הענישה ההולמים לצד יתר השיקולים הנדרשים. לאחר קביעת מתחמי הענישה ההולמים לעבירות בהן הורשע הנאשם, יש לקבוע את העונש המתאים לו, בהתאם לסעיף 40יא לחוק העונשין. בגזירת העונש המתאים לנאשם יש מקום להתחשב בנסיבותיו האישיות אשר אינן קשורות בביצוע העבירות. נסיבות אלה נלמדות, בין היתר, מטיעוני הצדדים לעונש, דבר הנאשם בבית המשפט, תסקירי שירות המבחן ומכלול הראיות שהוצגו. בדרך זו חידד תיקון 113 לחוק העונשין את הצורך בהמשך נקיטת שיטת ענישה אינדיווידואלית, הבוחנת נסיבותיו של כל מקרה ואדם והמובא לדין (ע\פ 433/89 אטיאס נ' מדינת ישראל, פ\""ד מג(4) 170; ע\""פ 5106/99 אבו ניג'מה נ' מדינת ישראל, פ\""ד נד(1) 350; רע\""פ 3173/09 פראגין נ' מדינת ישראל (5.5.2009)). לחובת הנאשם ניצבות חומרת מעשיו והעבירות שביצע, תוצאות המעשים ומדיניות הענישה עליה עמדתי לעיל. יש להביא בכלל חשבון את שיקולי הרתעת הנאשם מפני ביצוע עבירות מין נוספות בדרך של הטלת עונש מרתיע (סעיף 40ו לחוק העונשין). כמו כן נדרשת ענישה שיהא בה להעביר מסר מרתיע וחד משמעי לעברייני מין פוטנציאליים לבל יבצעו עבירות דומות בעתיד (סעיף 40ז לחוק העונשין). ראוי שהענישה בעבירות מסוג זה תהיה לנגד עיניהם של כל אלה שמבצעים עבירות מין בקטינים, תוך שימוש לרעה וניצול פערי כוחות לשם סיפוק צרכיהם המיניים. במקרים שכאלה, יש לשיקולי הרתעה משקל משמעותי לעניין העונש, והמקרה דנא הוא מאותם מקרים שיש בהם הצדקה לגזור""",train
"פציעה בנסיבות מחמירות ואיומים נגד עו\ד]. הנאשם לא נטל אחריות על מעשיו בסמוך לאמירת הדברים, וגם לא לאחר מתן הכרעת הדין בעניינו. הנאשם לא הפנים את הפסול שבמעשיו, לא ערך כל מאמץ לחזור למוטב ולהביע חרטה, מה שמעלה את החשש להישנות מקרים דומים בעתיד לבוא, לאו דווקא כלפי עורכי דין. לא הוצגה לפניי התנהגות חיובית של הנאשם או תרומה כלשהי לחברה. אף התנהלותו של הנאשם במהלך ההליך המשפטי, אשר התאפיינה בהפרעות בלתי פוסקות ואמירות לא ראויות כנגד המשטרה והתביעה, הצביעה כי הנאשם לא הפנים את חומרת מעשיו ולא נתן דעתו למשמעות ההליך המשפטי בעניינו. אני מוצא להבהיר כי על אף שהנאשם לא הודה בביצוע והצריך את בית המשפט לקיים הליך של שמיעת עדים והצגת ראיות, הרי שלא זקפתי זאת לחובת הנאשם ולא החמרתי עמו בשל כך שניהל את משפטו (ר' סעיף 40יא(6) לחוק העונשין). אולם, הנאשם אינו זכאי להקלה לה זכאים נאשמים אשר לוקחים אחריות למעשיהם, מביעים חרטה וחוסכים מזמנו של בית המשפט ועדי הצדדים. חומרת העבירה ונסיבות ביצועה בשילוב עברו של הנאשם מציירים תמונת מסוכנות ומובילים למסקנה כי לא די בתמרורי האזהרה - בדמות מאסרים מותנים וענישה כלכלית, אלא שיש צורך בענישה מוחשית בדרך של מאסר בפועל על מנת להמחיש עבור הנאשם את החומרה שבמעשיו החוזרים ונשנים. בהתאם לסעיף 55(א) לחוק העונשין, נאשם שנידון למאסר על תנאי והורשע בשל עבירה נוספת, יופעל המאסר המותנה התלוי ועומד כנגדו. עם זאת, סעיף 56 לחוק העונשין מתיר לבית המשפט שיקול דעת להאריך את תקופת המאסר המותנה או לחדשה לתקופה נוספת שלא תעלה על שנתיים בנסיבות המנויות בו. לאור המקובץ עד כה, סבורני כי אין כל הצדקה להימנע מהפעלת""",train
