text,split
"[פורסם בנבו] (15.10.15). במקרה זה היה מדובר בעבירות עוון לפי חוק מע\מ כאשר סכום המחדל היה 404,106 ₪. המחדל, בסופו של יום, הוסר במלואו, אך באיחור של שלוש שנים. בנוסף, מחוץ לכתב האישום היו מחדלים שטרם הוסרו. במקרה זה, הושתו על המנהל של המערערת ארבעה חודשי מאסר בפועל שירוצו בעבודות שירות, מאסר על תנאי, קנס בסך 17,000 ₪ או 50 ימי מאסר תמורתו. כמו כן, על המערערת, החברה, הושת קנס בסך 17,000 ₪. כמו כן, על הנאשם הוטלה התחייבות כספית בסך 15,000 ₪ להימנע במשך 3 שנים מביצוע עבירה לפי חוק מע\""מ. החברה והמנהל הגישו ערעור על חומרת העונש לבית המשפט המחוזי במחוז מרכז ובהמלצת בית המשפט, ובהסכמת המערערים, הערעור נדחה. על כן, לאור הפסיקה שהובאה לעיל, הנני קובע שמתחם העונש ההולם לגבי נאשם 3, נע בין 3 ועד 12 חודשי מאסר בפועל, בצירוף קנס במתחם שנע בין 20,000 ועד 34,000 ₪. לגבי הנאשמות 1 ו-2, מתחמי הקנס ההולם שהוצעו על ידי המאשימה, מקובלים עליי. בעת קביעת העונש המתאים בתוך מתחם העונש ההולם לקחתי בחשבון את הנתונים שלהלן: העדר עבר פלילי; הודאה וחיסכון בזמן שיפוטי; מצבו הרפואי של הנאשם 3 וזאת על רקע האירוע המוחי שעבר; היותו של הנאשם נשוי ואב לילדים; הסרת מלוא המחדלים מושא כתב האישום. מכלול הנסיבות שנוגעות לביצוע העבירות שבהן הורשע הנאשם 3 לרבות סכומי המחדל והאיחור הניכר בהסרת המחדלים, וזאת בשילוב הנסיבות האישיות שהובאו לעיל, מחייבים השתת עונש מאסר בפועל של 4 חודשים שירוצו בדרך של עבודות שירות. דא עקא, נתבקשה חוות דעת של הממונה על עבודות השירות לעניין שאלת כשירותו של הנאשם לבצע עבודות שירות, וממנה עלה שהוא לא מתאים""",train
"לבית משפט העליון נדחתה. רע\פ 10822/08 פלוני נ' מדינת ישראל . המבקש הורשע בביצוען של העבירות הבאות: תקיפה הגורמת חבלה ממשית של בת זוג, תקיפת בת זוג, ניסיון תקיפת בת זוג, תקיפת קטין על ידי אחראי, שלוש עבירות של איומים, היזק בזדון והפרת הוראה חוקית. בית משפט השלום גזר עליו שנתיים מאסר בפועל. ערעורו לבית המשפט המחוזי התקבל והעונש הופחת ל-18 חודשי מאסר בפועל. בקשת רשות ערעור שהגיש לבית משפט העליון נדחתה. לעניין קביעת מתחם העונש ההולם יש לראות בשלושת האישומים כ-\""אירוע אחד\"", וזאת בשל הזיקה ההדוקה שביניהם. מדובר בדפוס התנהגות דומה שבו הנאשם מטיל מורא, איומים ואלימות פיזית על בת זוגו ובנותיו. לפיכך, לאור מספר אירועי האלימות שבכתב האישום (שלושה אירועים) ונסיבות ביצוען הנני קובע כי מתחם העונש ההולם למכלול העבירות והאירועים המתוארים בכתב האישום נע בין 8 ועד 24 חודשי מאסר בפועל, וזאת בצירוף פיצוי למתלוננים וקנס כספי. בעת קביעת העונש המתאים בתוך מתחם העונש ההולם לקחתי בחשבון לקולא, את הודאתו של הנאשם בכתב האישום המתוקן וחסכון בזמן שיפוטי וחסכון מהעדים להעיד בבית המשפט; בנוסף לקחתי בחשבון שהנאשם נעדר עבר פלילי ואת גילו שהוא כיום בן 52 שנים. לפיכך הנני משית על הנאשם את העונשים הבאים: א. 11 חודשי מאסר בפועל בניכוי ימי מעצרו מיום 26.6.22 ועד היום. 7 חודשי מאסר על תנאי והתנאי הוא שבמשך 3 שנים מיום שחרורו לא יעבור עבירת אלימות.""",train
"לגבי אמנון - מהסקירה שהובאה לעיל עולה שלגביו קיימים שני מתחמים רלוונטיים: לגבי סך העבירות שביצע לפי סעיף 117(ב) לחוק מע\מ: מתחם העונש ההולם לגבי רכיב המאסר נע בין 5 ל-30 חודשי מאסר בפועל ולגבי רכיב הקנס, נע בין 15,000 ₪ ל-40,000 ₪. לגבי סך העבירות שביצע לפי סעיף 220 לפקודת מס הכנסה: מתחם העונש ההולם לגבי רכיב המאסר נע בין 4 ל-18 חודשי מאסר בפועל ולגבי רכיב הקנס, נע בין 8,000₪ ל-50,000 ₪. במקרה זה, אקבע את העונש המתאים לגבי אמנון באופן כולל מאחר ולא מצאתי צורך לקבוע עונש מתאים נפרד בכל מתחם. עם זאת, לא ניתן להתעלם מהעובדה שחלים עליו שני מתחמים שונים בשל כל אחת מקבוצת העבירות שביצע. העובדה שמדובר בשתי קבוצות של עבירות מס, הינה בגדר נתון לחומרא והמשקל המצטבר של שני המתחמים יש בו בכדי להוביל להטלת קנס שהינו גבוה יותר מהתקרה של כל אחד מהמתחמים שקבעתי, אך בכל מקרה אינו חורג מהסכום הכולל של שתי התקרות. בעת קביעת העונש הסופי, לקחתי בחשבון את כל הנתונים שלהלן: הסרת המחדלים; הודאה וחיסכון בזמן שיפוטי; היותו של אמנון נשוי ואב לילדים שפרנסתם עליו. על כן, הנני משית על נאשם 1, אמנון זינדאני, את העונשים הבאים: 6 חודשי מאסר בפועל שירוצו בדרך של עבודות שירות. נתקבלה חוות דעת של הממונה על עבודות השירות ולפיה הנאשם נמצא מתאים לביצוע עבודות שירות. בחוות הדעת העדכנית שמופיעה בתיק בית המשפט, מופיע מועד לתחילת ריצוי עבודות השירות שכבר חלף. הממונה על עבודות השירות ישבץ את הנאשם בעבודה מתאימה אשר מועד תחילתה יהיה לא יאוחר מיום 26.1.14. על כן, הנאשם יתייצב במשרדי הממונה על עבודות השירות ביום 22.1.14 לצורך""",train
"והיכה אותו באמצעות אלה. כתוצאה מכך נגרמו לאסיר שפשופים בכתפו, המטומה בזרועו ושפשוף בברכו. בנוסף, המערער איים על האסיר שמא יתלונן כנגדו ועקב כך האסיר חזר בו מתלונתו וטען שהחבלות נגרמו לו כתוצאה מהחלקה במקלחת. המערער הורשע בעבירות של תקיפה הגורמת חבלה של ממש ושיבוש מהלכי משפט. מתסקיר שירות המבחן עלה שמדובר במי שאין לחובתו הרשעות קודמות ועבד כ-10 שנים בשירות בתי הסוהר, ובעקבות האירוע פוטר מעבודתו. בית משפט השלום גזר עליו 12 חודשי מאסר בפועל, מאסר על תנאי, קנס בסך 5,000 ש\ח ופיצוי למתלונן בסך 20,000 ₪. ערעורו לבית המשפט המחוזי נדחה וכן נדחתה בקשתו לביטול ההרשעה. עפ\""ג (מח'–מרכז) 3181-02-08 מדינת ישראל נ' הראל [פורסם בנבו] (22.4.09). כאן היה מדובר בשוטר ששירת במשטרת ישראל בתחנת ראשון לציון והורשע בעבירות של תקיפה בנסיבות מחמירות, הדחה בחקירה, שיבוש מהלכי משפט והפרת אמונים. המשיב, יחד עם אחר שאינו שוטר, היכו שני מתלוננים וזאת לאחר שהמשיב רצה למסור לאחד המתלוננים דו\""ח תנועה. המכות כללו אגרופים בפנים, בעיטות, הפלה לרצפה והמשך בעיטות בפנים ובגוף. כתוצאה ממעשיהם של המשיב ושל האחר שהיה עמו, לאחד המתלוננים נגרם שבר בארובת עין שמאל, פצע קרע בגב האף שהיה צורך לתפרו, המטומה בפנים, דימומים בעיניים ודימומים תת עוריים בעפעפיים, בזרוע ובכתף. למתלונן האחר נגרמו שבר באף, דימומים תת עוריים, נפיחות באף, המטומה בראש, נפיחות ופצע במצח ודימומים תחת עוריים בעפעפיים, בגב ובזרוע הימנית. המשיב גם ניסה לשבש את החקירה בפני גורמי החקירה במחלקה לחקירות שוטרים. בית משפט השלום בראשון לציון הטיל על המשיב 6 חודשי מאסר לריצוי בעבודות שירות, קנס ופיצוי למתלוננים. על קולת העונש הוגש ערעור על ידי המדינה ואשר התקבל ועל המשיב הוטל""",train
"18 חודשים. כמו כן, נקבע בסעיף 3(א)(2)(ד) להנחיות הנ\ל שבעבירות מסוג פשע שדינן 10 שנות מאסר ומעלה, יש לפעול לסיום ההליכים בתיק תוך 24 חודשים. במקרה שבפני, כתב האישום הוגש לאחר חלוף כשבע שנים מהמועד שבו הסתיימה החקירה, שהינו פרק זמן משמעותי ביותר ואשר מצדיק כשלעצמו הקלה בעונשו של הנאשם. לאור טווח הענישה שעליו הסכימו הצדדים, האיחור בהגשת כתב האישום, מהווה שיקול מרכזי להציב את הנאשם בגבול התחתון של טווח הענישה. ויודגש, אילולא האיחור הניכר בהגשת כתב האישום היה מקום להשית על הנאשם עונש מאסר בפועל מאחורי סורג ובריח וזאת לאור חומרת העבירות שבוצעו. לאור כל האמור לעיל, הנני משית על הנאשם, מחמוד אל – באסל, את העונשים הבאים: 6 חודשי מאסר בפועל שירוצו בדרך של עבודות שירות. על הנאשם להתייצב ביום 22.11.15 בשעה 08:00 ביחידת עבודות השירות של מפקדת שב\""ס ברמלה לצורך תחילת ריצוי עבודות השירות. עבודות השירות יבוצעו במפעל חסד \""יד ביד\"" בדרך בית הדין 1 בלוד. הנאשם יועסק 5 ימים בשבוע, 8 וחצי שעות עבודה יומיות. הנאשם מוזהר בדבר חובתו להישמע להוראותיו והנחיותיו של הממונה על עבודות השירות. ב. הנאשם ישלם קנס בסך 50,000 ₪ , או 4 חודשי מאסר בפועל תמורתו. הקנס ישולם ב-20 תשלומים חודשים שווים ורצופים כאשר הראשון שבהם עד ליום 1.1.16 והיתרה ב- 1 לכל חודש שלאחריו. היה ואחד התשלומים לא ישולם במועד, אזי יעמוד מלוא סכום הקנס לפירעון מידי. 5 חודשי מאסר על תנאי והתנאי הוא שהנאשם לא יבצע במשך 3 שנים מהיום עבירה לפי חוק מס ערך מוסף. על הנאשמת, חברת מיסטר סאם בע\""מ, הנני משית קנס בסך של 100 ₪, אשר ישולם עד ליום 1.1.16.""",train
"וזאת בייחוד כאשר השתהות זו לא נובעת מסיבות מוצדקות (פסקה 62 לפסק הדין). ב-ע\פ 6384/11 בן חיים נ' היועץ המשפטי לממשלה [פורסם בנבו] (5.2.14) נקבע שבבואו של בית המשפט לבחון האם התקיים שיהוי בטיפול בהליך מסוים, יש לשקול שני פרמטרים: ראשית, אורך ההשתהות. שנית, נסיבות ההשתהות (פסקאות 25 – 28 לפסק דינו של כבוד השופט ג'ובראן) (להלן: פסק דין בן חיים). בפסק דין בן חיים (שם), נקבע שהפרמטר של נסיבות ההשתהות לוקח בחשבון רשימה פתוחה של שיקולים: ראשית, חומרת העבירה, ככל שחומרה זו יתרה היא, יראה בה בית משפט גורם המקהה את עוקצו של השיהוי; שנית, יש לבחון על מי מהצדדים רובץ אשם. מצד אחד יש לבחון האם ההשתהות של הרשות נבעה ממניעים פסולים או מכוונה להגן על אינטרס ציבורי. מצד שני, יש לבחון האם השיהוי נובע גם מאשם של הנאשם עצמו, כגון נאשם שנמלט מאימת הדין, או הסתתר מהרשויות. תחת מסגרת זו יש לבחון התנהלותו של נאשם בשנים שחלפו מעת קרות העבירה והאם ביצע עבירות נוספות. שלישית, יש לבחון את תוצאותיו של השיהוי על יכולתו של נאשם לנהל את הגנתו. רביעית, יש לשקול האם יש בתוספת הזמן שנוצרה בעקבות השיהוי, בכדי ליצור תוצאה בלתי צודקת שאינה מידתית, כך שההמתנה יוצאת התעמרות קשה (בן חיים, שם). מן הראוי להזכיר גם את הנחיות היועץ המשפט לממשלה בעניין \""משך טיפול התביעה עד להגשת כתב אישום\"" (מספר הנחיה 4.1202 מחודש אוגוסט 2010) ובהן נקבעה החובה של רשויות התביעה בזירוז הטיפול בהליכים פליליים. בסעיף 3(א)(2)(ג) נקבע שבעבירות מסוג פשע שדינן עד 10 שנות מאסר, על התביעה לפעול לסיום הטיפול בתיק, קרי להורות על סגירתו או על הגשת כתב אישום, תוך""",train
"כאמור, מתחם העונש ההולם צריך שלא יהיה רחב מדי וגם לא צר מדי ואשר ייקח בחשבון גם את רוחב קטגוריית הנזק (40,000 ₪ עד 400,000 ₪). לאור כל אשר נאמר לעיל, הנני קובע כי מתחם העונש לגבי רכיב המאסר, בנסיבות שבהן מדובר במידת אשם בינונית (נאשם שפעל לבד ולא בחבורה, ריבוי עבירות ורווח כלכלי מהעבירות שבוצעו) ומידת נזק בקטגוריה 2 (מתחם השתמטות שנע בין 40,000 ל- 400,000 ₪), נע בין 5 ל- 30 חודשי מאסר בפועל. במקרים שבהם ייקבע על ידי בית המשפט כי העונש ה-\מתאים\"" בתוך מתחם העונש ההולם יהיה 6 חודשים ומטה, יהיו מקרים מתאימים שניתן לרצות את העונש בעבודות שירות ויהיו מקרים אחרים שהעונש הראוי יהיה מאסר מאחורי סורג ובריח. בכל מקרה, רכיב המאסר, צריך שיכלול גם מאסר על תנאי על מנת להרתיע נאשמים מביצוע עבירות נוספות דומות בעתיד. סעיף 40ח לחוק העונשין תשל\""ז – 1977 קובע כדלקמן : בעת קביעת מתחם הקנס ההולם בית המשפט אמור לקחת בחשבון שני אלמנטים מרכזיים: הראשון, חומרת העבירה שבוצעה שמתבטאת בעקרון ההלימה (ראו סעיף 40ג(א) לחוק העונשין); והשני, מצבו הכלכלי של הנאשם. ודוק, מצבו הכלכלי של נאשם, כאלמנט ייחודי וסובייקטיבי שמשתנה מנאשם לנאשם, יכריע על פי לשון סעיף 40ח את \""מתחם הקנס ההולם\"" לאותו אירוע עברייני שבוצע על ידי נאשם ספציפי ולא את \""הקנס המתאים\"" לאותו נאשם בתוך מתחם הקנס ההולם. במילים אחרות, יכול שיהיו מתחמי קנס הולם שונים לנאשמים שונים שביצעו את אותו מעשה עבירה, וזאת בהתאם למצב הכלכלי של כל אחד מהם. לכל אדם עומדת זכות חוקתית לקיום אנושי בסיסי שיבטיח תנאי מחייה מינימאליים בכבוד (בג\""צ 10662/04 חסן נ' המוסד לביטוח לאומי [פורסם בנבו]""",train
"529, 536). העבירה של אי דיווח לרשויות המס, בהקשר של סעיף 216(4) לפקודת מס הכנסה, היא עבירה נמשכת (רע\פ 5906/12 עזרא נ' מדינת ישראל [פורסם בנבו], ניתן ביום 9.9.2012, על ידי כבוד השופט שוהם). הנני קובע כי מתחם הקנס ההולם לגבי מכלול העבירות שבהן הורשעו שני הנאשמים בשני כתבי האישום, נע בין 15,000 ₪ ל-29,000 ₪. סעיף 40ח לחוק העונשין קובע כי בעת שבית המשפט קובע כי מתחם העונש ההולם כולל עונש קנס עליו להתחשב במצבו הכלכלי של הנאשם לצורך קביעת מתחם עונש הקנס ההולם. בעת קביעת גובה הקנס לקחתי בחשבון את העובדה כי לנאשם 3 אין עבר פלילי קודם (ראו סעיף 40יא(11) לחוק העונשין), הודאתם של הנאשמים וחיסכון בזמן שיפוטי (ראו סעיף 40יא(4) ו-(5) לחוק העונשין). כמו כן, לקחתי בחשבון גם את מצבו המשפחתי של הנאשם כמי שהינו אב לשלושה ילדים ונמצא בהליכי פשיטת רגל (ראו סעיף 40יא(2) לחוק העונשין). לאור כל האמור לעיל, הנני משית על הנאשמים 2 ו-3 את העונשים הבאים: לנאשם מספר 3, חמישה חודשי מאסר על תנאי והתנאי הוא שבמשך שלוש שנים מהיום הנאשם 3 לא יבצע עבירה לפי חוק מס ערך מוסף או לפי פקודת מס ההכנסה. הנאשם 3 ישלם קנס בסך של 15,000 ₪, או 20 ימי מאסר תמורתו. הקנס ישולם ב- 20 תשלומים חודשים שווים ורצופים כאשר הראשון שבהם לא יאוחר מיום 1.4.13 והיתרה בראשון לכל חודש שלאחריו. היה ואחד התשלומים לא ישולם במועד, אזי יעמוד מלוא סכום הקנס לפירעון מידי. הנאשמת 2 תשלם קנס בסך של 15,000 ₪. הקנס ישולם ב- 20 תשלומים חודשים שווים ורצופים כאשר הראשון שבהם לא יאוחר מיום 1.4.13 והיתרה בראשון לכל חודש""",train
"כזו או אחרת, לא תשמש חסם מפני השתת מאסר בפועל מאחורי סורג ובריח. רק במקרים מיוחדים וחריגים ניתן לסטות לקולא ממתחם העונש ההולם בשל מצב רפואי, וזאת במקרים חריגים ונדירים כאשר שהייה בתוך כותלי בית הסוהר תהווה סיכון ממשי לבריאותו של נאשם עד כדי קיצור תוחלת חייו (ע\פ 4456/14 קלנר נ' מדינת ישראל (פורסם בנבו, 29.12.15) בפסקאות 216 -222 לפסק דינו של כבוד השופט פוגלמן; דנ\""פ 623/16 פינטו נ' מדינת ישראל (פורסם בנבו, 8.2.16) פסקה 7 להחלטתו של כב' השופט גובראן; רע\""פ 1076/16 כהן נ' מדינת ישראל (פורסם בנבו, 11.2.16) פסקה 9 לפסק דינו של כבוד השופט גובראן; רע\""פ 4576/19 אבו שמאלה נ' מדינת ישראל (פורסם בנבו, 10.7.19) פסקאות 2, 5, 6, 9 ו-10 להחלטתו של כבוד השופט קרא). יובהר, המקרה שבפני לא נמנה על אותם מקרים חריגים ונדירים שמצדיקים סטייה ממתחם העונש ההולם מסיבות רפואיות. הדיון נדחה מעת לעת עקב הפציעה בברך שממנה סובל הנאשם ואשר מגבילה עד היום את יכולתו לעמוד על רגליו ולהתנייד באופן עצמאי. בנסיבות אלה, ברור שהנאשם לא כשיר במישור הבריאותי לבצע עבודות שירות ולכן לא מצאתי צורך במתן הוראה לממונה לקבלת חוות דעת לגבי שאלת כשירותו לבצע עבודות שירות. בפסיקה נקבע שקיומו של מצב רפואי אצל הנאשם שמונע את האפשרות לבצע את המאסר שיש להשית עליו בדרך של עבודות שירות, לא יכול להוות חסם מפני השתת מאסר מאחורי סורג ובריח. עם זאת, נקבע שהוא יכול להוות שיקול לקיצור תקופת המאסר (רע\""פ 3667/14 קראדי נ' מדינת ישראל (פורסם בנבו, 1.6.14)). וכך אעשה במקרה שבפני. לכן, לאור היעדר כשירותו של הנאשם לבצע עבודות שירות, יושתו עליו שלושה חודשי מאסר בפועל מאחורי סורג""",train
"נ' פלוני [פורסם בנבו] (2.10.14) בפסקאות 19 עד 33, תוך סקירת האסמכתאות השונות בדין הישראלי ובמשפט המשווה (הדין האנגלי). האפשרות להתחשב בעמדתה של קורבן עבירת אלימות במשפחה לצורך הקלה בעונשו של נאשם, היא סוגיה רגישה וסבוכה ויש לנהוג בה בזהירות הראויה, שמא בקשתה איננה מרצונה החופשי אלא תוצאה של איום או מניפולציה מטעם בן הזוג. בסופו של דבר, הכלל המנחה הוא שיש לבחון את בקשתה של בת הזוג להקלה בעונשו של בן הזוג על בסיס שני פרמטרים מרכזיים: חומרת העבירה ו-כנות בקשתה של המתלוננת. ככל שנסיבות ביצוע העבירה הן חמורות יותר, כך יופחת המשקל שיש לייחס לבקשתה של מתלוננת, קורבן אלימות במשפחה, להקל בעונשו של בן הזוג, וזאת אם בכלל. על אותו משקל ככל שהנסיבות פחות חמורות ובקשתה של המתלוננת להקל בעונשו של בן הזוג היא בקשה כנה ואמיתית ניתן יהיה להתחשב בבקשתה של המתלוננת להקלה בעונשו של נאשם. במקרה שבפני, הנאשם לא תקף את המתלוננת בשום שלב. לא נגרמו לה חבלות גופניות מכל מין וסוג. הניסיון של הנאשם להצית את ביתו נעשה לאחר שהמתלוננת כבר עזבה את הבית ונותר בו לבדו. בנוסף לכך, התרשמתי לחיוב מכנות בקשתה של המתלוננת שלא להחמיר בעונשו ואף לא להכתימו בכתם של הרשעה פלילית, וכן התרשמתי שבקשתה נובעת מתוך דאגת אמת לגורלו של הנאשם ואינה נובעת מאיום או מניפולציה מטעמו. בנסיבות אלה, בבואי לשקול אם להשאיר את ההרשעה על כנה או לבטלה, הנני קובע שבקשתה של המתלוננת להקל בעונשו של הנאשם ושלא להרשיעו, היא בגדר נתון חשוב שיש לייחס לו את מלוא המשקל. בא כוח הנאשם טען ששיקול נוסף להקלה בעונשו של הנאשם, עד כדי ביטול ההרשעה, הוא חלקה של",train
