text,split
"לקולא, אני מטיל עונש כדלהלן: אני מטיל על הנאשם מאסר בפועל של 12 חודשים . אני מטיל על הנאשם מאסר על תנאי של 9 חודשים למשך 3 שנים, שלא יעבור על כל עבירת מין, לפי סימן ה' לפרק י' שבחוק העונשין. זכות ערעור תוך 45 יום מהיום בבית משפט מחוזי בנצרת.",train
"עבירות הרכוש הפכו זה מכבר ל\מכת מדינה\"" ועל בית המשפט מוטלת האחריות לצמצם את התופעה ולטעת בציבור ביטחון במערכת אכיפת החוק וכי ביכולתו להתמודד עם הפשיעה הגואה בעבירות אלה. האינטרס הציבורי מחייב להעניש את עבריינים אלו בצורה מרתיעה, בכדי למנוע הישנותם של המעשים הפוגעים בציבור כולו, החש כי ביטחונו האישי נתערער ורכושו הפך הפקר. כב' השופטת צור, התייחסה לגניבת כלי רכב והעברתם לשטחים בת\""פ (ירושלים) 155/96 מדינת ישראל נ' איימן אבו ג'חישה (טרם פורסם 24/11/97) וקבעה כי: יחד עם זאת, עסקינן בצעיר, נורמטיבי בדרך כלל, מפרנס יחיד למשפחתו, אשר קיבל אחריות למעשיו והביע צער עליהם. כמו כן, נתתי דעתי לנסיבות חייו של הנאשם, לעובדה כי זוהי לו הרשעתו הראשונה בפלילים וכן כי הודה בעובדות כתב האישום וכפי שנאמר במקורותינו \""מְכַסֶּה פְשָׁעָיו, לֹא יַצְלִיחַ; וּמוֹדֶה וְעֹזֵב יְרֻחָם:\"" (משלי כח, יג). עוד התרשמתי כי אין המדובר במקרה רגיל של פריצה לרכב וגניבתו, אלא בנסיבות מיוחדות בהן הנאשם ביקש ליטול נכס של המעבידו –רכב ישן- במקום משכורת שלא שילם לו, אלא שטעה בזהות הרכב וגנב רכב ישן של אדם אחר. נראה אין המדובר בגנב מקצועי אלא בעובד מתוסכל עם רעיונות לא מוצלחים וביצועים כושלים. לאחר שנתתי דעתי לטענות הצדדים ולאמור בתסקיר שרות המבחן, אני מטיל על הנאשם את העונש הבא: אני מטיל על הנאשם מאסר בפועל של 6 חודשים אותו ירצה בעבודות שירות במוסד נווה מנשה, בהתאם לחוות דעת הממונה, בימים א' עד ה' בין השעות 8:00 עד 14:00. תחילת ריצוי מיום 21/07/10. אני מטיל על הנאשם מאסר על תנאי של 9 חודשים למשך 3 שנים, שלא יעבור על אותן עבירות. אני פוסל את הנאשם מלקבל או להחזיק רישיון""",train
"אפתח ואומר כבר כעת כי הגעתי לכלל מסקנה, לאור חומרת העבירות נשוא תיק זה, חלקו של נאשם 1 בביצוען, נפוצותן ונסיבות ביצוען, גובר האינטרס הציבורי והצורך בהרתעת היחיד והרבים, על הנזק אשר לא הוכח ועל כן אין מקום להימנע מהרשעתו של הנאשם 1. שירות המבחן, לאחר לבטים, נמנע מלנקוט עמדה לעניין סוגיית הרשעתו של נאשם 1 בדין. המעשים בהם הודה הנאשם הינם חמורים, מדובר בעבירת מרמה מתוכננת, הן כלפי חברות הביטוח, הן כלפי רשויות החוק ובעקיפין פוגעת היא אף בציבור המשלם פרמיות ביטוח גבוהות לכיסוי הפסדי חברות הביטוח. הצורך בהרתעת הרבים, ובהוקעת מעשי העבירה, בצירוף מדיניות ענישה אחידה ככל האפשר, כל אלה משמשים כגורמים העשויים לגבור אף על הנזק שייגרם, אם ייגרם, לנאשם. במקרה דנן, לא הרים הנאשם 1 את הנטל כנדרש, ולא הוכיח כי ייגרם לו נזק ממשי וקונקרטי דווקא מהרשעתו, הנאשם 1 אמנם סטודנט למשפטים, אולם הרשעתו בפלילים אינה גורמת לפסילתו על הסף בבואו להתמחות ולקבל רישיון עריכת דין. נוסף על כך חומרת המעשים והיותם מעשי מרמה ושיבוש תוך קשירת קשר, אינם מצדיקים אי הרשעתו. ראה ע\פ 1406/05 מדינת ישראל נגד עופרי פלג, בית המשפט המחוזי בנצרת, בו נתקבל ערעור המדינה על החלטת בית משפט השלום להימנע מלהרשיע את המשיב סטודנט למשפטים, אשר ירה בכלבה משוטטת באזור מגורים, משום שלא נתקיימו הנסיבות החריגות המצדיקות אי הרשעה. בית המשפט סבר באותו מקרה, כי על אף היות המשיב אדם חיובי ורב פעלים, הפן השיקומי אינו השיקול הבלעדי. עברו הפלילי של מועמד להתמחות בעריכת דין, אינו חוסם אוטומטית רישום בלשכת עורכי הדין, על כן הימנעות מהרשעתו של המשיב תחטיא את המטרה. לאחר ששקלתי את כל הנסיבות והטיעונים""",train
"המקרה, מקבל אני את הסדר הטיעון אליו הגיעו הצדדים, לאחר שמצאתי אותו ראוי ומשקף את האיזון בין האינטרס הציבורי לבין נסיבותיו של הנאשם. אני מטיל על הנאשם עונש כדלהלן: אני מטיל על הנאשם מאסר בפועל של 6 חודשים אותו ירצה בעבודות שירות בסב סנטר הר יונה בנצרת עלית, בהתאם לחוות דעת הממונה, תחילת ריצוי מיום 29/6/2011. אני מטיל על הנאשם מאסר על תנאי של 9 חודשים למשך 3 שנים, שלא יעבור על אותן עבירות. אני דן את הנאשם לקנס בסך 30,000 ₪ או 5 חודשי מאסר תחתיו. הקנס ישולם בעשרים תשלומים חודשיים, תשלום ראשון בעוד חודש. במידה ולא ישלם הנאשם תשלום אחד במועדו, יעמוד כל הקנס לפרעון מיידי יחד עם תוספת הפיגורים.",train
"עבירות המס הכלכליות, הפכו בשנים האחרונות לרעה חולה בחברתנו. הנאשם ביצע עבירות חמורות, עת השמיט הכנסה בכוונה וכן ניהל פנקסי חשבונות כוזבים במטרה להתחמק מתשלום מס הכנסה. חומרתן של עבירות המס ידועה ובית המשפט העליון חזר על עמדתו ברע\פ 512/04 מוחמד בן נבהאן אבו עבייד ואח' נ' מדינת ישראל, פ\""ד נח(4) 381 וקבע כי : היות וקיים קושי רב בגילוי עבירות מס, יש לשקול ענישה מכאיבה אשר יש בה כדי להרתיע עבריינים בכח למול הפיתוי לרווחים קלים ומהירים וכן למול הסיכוי הקלוש להיתפס. וכך נקבע ע\""י כב' הנשיא ברק בע\""פ 624/80 חברת וייס ארנסט נ' מדינת ישראל, פ\""ד לה (3) 218: עוד נקבע ברע\""פ 3641/06 ד\""ר מנחם צ'צ'קס נ' מ\""י (טרם פורסם 28/08/06) : יש להבהיר לעברייני מס בכח, כי אין כדאיות כלכלית במעשיהם הנלוזים, ועל כן העונשים המועדפים בעבירות אלה יהיו מאסר בפועל מאחורי סורג ובריח וקנסות גבוהים, כפי שנקבע רק לאחרונה ברע\""פ 254/06 רומל קעדאן נ' מדינת ישראל, (טרם פורסם, 20/06/06) מפי כבוד השופט ס' ג'ובראן: יחד עם זאת, יש לאזן תמיד את האינטרס הכללי עם נסיבותיו האישיות של כל נאשם באשר הוא, כפי שקבע כב' השופט ד. לוין בע\""פ 2580/93 פלוני נ' מדינת ישראל, פ\""ד מ\""ז(516 ,(3) עמ' 520: אזקוף לזכותו של הנאשם כי הודה במעשיו ובכך חסך זמן שיפוטי יקר. כמו כן, אתחשב בזמן הרב שחלף ממועד ביצוע העבירה, בעברו הנקי של הנאשם וכן בעובדה שהסיר את המחדלים הנובעים מכתב האישום. לאחר ששמעתי את טיעוני הצדדים ושקלתי נסיבות המקרה לקולא ולחומרא, החלטתי להטיל על הנאשם עונש צופה פני עתיד וקנס גבוה, אשר ישקף את חומרת מעשיו אשר בוצעו על רקע בצע כסף""",train
"אין צורך להכביר במילים בדבר הענישה המתבקשת בעבירות מסוג זה. האינטרס הציבורי להגן על קורבנות האלימות, מחייב להעניש את העבריינים בצורה מרתיעה במיוחד כדי למנוע הישנותם של המעשים אשר הפכו נפוצים ומסוכנים. ראה דבריה של כבוד השופטת א' פרוקצ'יה בע\פ 6758/07 פלוני נ' מ\""י, תק-על 2007(4), 1188: הנאשם ביצע עבירות חמורות עת תקף את אשתו וגרם לה לחבלות בגופה. מגיליון הרשעותיו הקודמות של הנאשם, נראה כי סיגל לעצמו אורח חיים עברייני ולא נראה כי ברצונו להשתקם ולערוך שינוי מעמיק בחייו. הנאשם מכור לסמים ולאלכוהול ולחובתו עבירות רבות ומגוונות - עבירות רכוש, אלימות, איומים והחזקת סמים. ניתנו לנאשם אינספור הזדמנויות. הנאשם לא השכיל לנצלן, להשתקם ולהיגמל. התרשמתי, כי במידה והנאשם לא יעבור גמילה מסמים ואלכוהול, קיים סיכוי גדול כי תחת השפעתם יחזור על עבירת האלימות כלפי אשתו. כמו כן, הרשעותיו הרבות של הנאשם והסתבכויותיו החוזרות והנשנות עם החוק רק מגבירות את החשש להישנות מעשים אלה. לא למיותר לציין כי טענת המתלוננת בפניי, אף שנדחתה על ידי, לפיה הגישה את התלונה מאחר ונהג לשתות לשוכרה ולהשתמש בסמים וכל רצונה היה שיכנס לבית הסוהר ויעבור שם תהליך גמילה, רק מחזקת את מסקנתי כי על הנאשם לשהות מאחורי סורג ובריח תקופה ממושכת לשם קבלת טיפול מתאים לגמילתו מסמים ומאלכוהול, שכן אם כל ההזדמנויות הרבות אשר ניתנו לו לא גרמו לו לשנות דרכיו, יתכן כי במסגרת הסמכותית של הכלא יצליח להיגמל ובכך יהא למנוע הישנותם של מעשים אלה בעתיד. נראה כי אין מנוס אלא להטיל על הנאשם עונש המהווה תשובה הולמת לתופעה מדאיגה זו, של אלימות במשפחה, אשר הפכה זה מכבר למכת מדינה. תשובה הולמת זו אינה אלא מאסר מאחורי סורג""",train
"כך שסך הכל על הנאשם לרצות מאסר בפועל של 8 חודשים. אני מטיל על הנאשם מאסר על תנאי של 10 חודשים למשך 3 שנים, שלא יעבור על כל עבירת אלימות פיזית כלפי אדם או עבירת איומים. אני מורה להפעיל הערבות בסך 3000 ₪ עליה חתם הנאשם בת.פ 4481/01 בית משפט זה, הסכום ישולם בששה תשלומים חודשיים , תשלום ראשון בעוד חודש. זכות ערעור תוך 45 יום מהיום בבית משפט מחוזי בנצרת. ניתן והודע היום י\א אדר ב תשס\""ח, 18/03/2008 במעמד הנוכחים. ג'ורג' אזולאי, סגן נשיא הסנגור: מבקש עיכוב ביצוע, בכוונתנו להגיש ערעור לבית המשפט המחוזי. התובעת: מתנגדת. הנאשם ידע שגזר הדין יינתן היום, ואני לא מאמינה שיש סיכוי בערעור נוכח המאסר על תנאי.""",train
"כן ואמיתי. הנאשם לא גילה אמפטיה כלפי המתלוננת, הכחיש את הפגיעה בה ולא לקח אחריות למעשיו. לאחר ששמעתי טיעוני הצדדים, בחנתי תסקיריו של שירות המבחן, התרשמתי מדברי המתלוננת בפניי ושקלתי את נסיבות המקרה, תוך שלקחתי בחשבון את הודאת הנאשם בעובדות כתב האישום המתוקן וכן את העובדה כי נעדר הוא עבר פלילי, אני גוזר על הנאשם את העונשים הבאים: אני מטיל על הנאשם עונש מאסר בפועל של 4 חודשים. אני מטיל על הנאשם מאסר על תנאי של 9 חודשים למשך 3 שנים, שלא יעבור על אותה עבירה או כל עבירת אלימות פיזית כלפי אדם. ניתנה והודעה היום ז' שבט תשע\א, 12/01/2011 במעמד הנוכחים. לדחות להמשך גזר דין לתאריך 16.02.2011 שעה 09:00. הממונה על עבודות שירות יגיש חוות דעת באשר ליכולתו של הנאשם לרצות עונש מאסר בעבודות שירות. המזכירות תעביר עותק מהחלטתי זו לממונה על עבודות שירות, ותציין מס' טלפקס של ב\""כ הנאשם עו\""ד 04-6467044""",train
"אין צורך להכביר מילים בדבר חומרת העבירה בה הורשע הנאשם ובדבר רף הענישה אשר נקבע בפסיקה לעבירות מסוג זה בהן האינטרס הציבורי והרצון להגן על קורבנות האלימות, במקרה זה אשתו, מחייב להעניש את העבריינים בצורה מרתיעה במיוחד, כדי למנוע הישנותם של המעשים אשר הפכו נפוצים ומסוכנים. לכך מתווספת אף העובדה כי העבירות בוצעו על רקע התמכרותי וכי הנאשם אינו מוכן להירתם להליך טיפולי כלשהו. לעניין חומרתם של מעשי האלימות בתוך המשפחה, ראה דבריה של כבוד השופטת א' פרוקצ'יה בע\פ 6758/07 פלוני נ' מדינת ישראל (לא פורסם): יחד עם זאת, אזקוף לזכותו של הנאשם את העובדה כי הודה בעובדות כתב האישום וכפי שנאמר במקורותינו: \""מְכַסֶּה פְשָׁעָיו, לֹא יַצְלִיחַ; וּמוֹדֶה וְעֹזֵב יְרֻחָם:\"" (משלי כח, יג). לקולא, אתחשב עוד בעובדה כי כתב האישום תוקן וכי אין הוא נמצא במדרג החמור של עבירות האלימות במשפחה, כמו כן מקום שבו מוצג בפני בית המשפט הסדר טיעון צריך הסדר זה להוות שיקול מרכזי בשיקוליו של בית המשפט הגוזר את העונש וככלל על בית המשפט לקיימו (ראה ע\""פ 1958/98 פלוני נ' מדינת ישראל , פ\""ד נז (1) 577). לאור כל האמור לעיל ולאחר ששקלתי בכובד ראש השיקולים לקולא ולחומרא, אני גוזר על הנאשם את העונשים הבאים: אני מטיל על הנאשם מאסר בפועל של 6 חודשים בניכוי ימי המעצר מיום 14.07.2010 עד תאריך 04.08.2010, אשר ירוצה בדרך של עבודות שירות במשטרת עפולה, תחילת עבודה בתאריך 13.12.10. אני מטיל על הנאשם מאסר על תנאי של 9 חודשים למשך 3 שנים, שלא יעבור על כל עבירת אלימות פיזית כלפי אדם. אני מטיל על הנאשם קנס בסך 2000 ₪ או 40 ימי מאסר, הקנס ישולם בארבעה תשלומים""",train
"אין צורך להכביר מילים בדבר חומרת העבירה בה הורשע הנאשם, כאשר משך בשערותיה של בת זוגו והפילה לרצפה, כל זאת בנוכחות בתם המשותפת בת ה-6, עד שנאלצה המתלוננת לצאת מביתה ביחד עם בתה, וכן בדבר רף הענישה אשר נקבע בפסיקה לעבירות מסוג זה, בהן האינטרס הציבורי והרצון להגן על קורבנות האלימות, מחייב להעניש את העבריינים בצורה מרתיעה במיוחד כדי למנוע הישנותם של המעשים אשר הפכו נפוצים ומסוכנים. אמנם אין מדובר באלימות במדרג חומרה גבוה במיוחד, אולם על בתי המשפט להעביר מסר חד וברור כי בת הזוג אינה שק חבטות לפריקת כעסים. לנאשם עבר פלילי בעבירה של תקיפת בת זוג משנת 2009 ונראה כי מאסר בפועל שהוטל וכן המאסר על תנאי, לא הרתיעוהו מלשוב ולבצע עבירה דומה. לעניין חומרתם של מעשי האלימות בתוך המשפחה, ראה דבריה של כבוד השופטת א' פרוקצ'יה בע\פ 6758/07 פלוני נ' מדינת ישראל (לא פורסם): אין מי שהורשע בפעם הראשונה כמי שהורשע פעם נוספת, בביצוע עבירות אלימות כלפי אשתו, כאשר ידועה התמכרותו לטיפה המרה. נראה כי אין המדובר במעידה חד פעמית וכמוהו כשור המועד. לנאשם ניתנה הזדמנות יקרה מפז להשתלב בהליך גמילה מאלכוהול, כבר בשלב המעצר, כחלופה למעצרו, אולם נראה כי לא השכיל לנצל הזדמנות זו. ממכתב שהוגש מהקהילה עולה כי הגיע הנאשם למצב של \""תקיעות בטיפול\"", כאשר היה בתפקיד אולם לא בצעו כראוי, כמו כן טען בפניהם כי אמנם נמצא הוא בקהילה אולם סופר את הימים עד משפטו כדי שיוכל לשוב לביתו. אזקוף לזכותו של הנאשם את העובדה כי הודה בעובדות כתב האישום, אולם לאור כל האמור לעיל ולאחר ששקלתי בכובד ראש השיקולים לקולא ולחומרא, לא מצאתי מקום להאריך את התנאי שהוטל""",train
