question,answer,split
מדוע נקבע שהנאשם הבין את הפסול שבמעשיו בעבירות האישום הראשון?,"לאור העובדה שנקבע בהכרעת הדין שלגבי האישום הראשון, שהוא האישום המרכזי עם החלק הארי של מעשי המרמה של שלטונות המס, העבירות שבו בוצעו מתוך יסוד נפשי של \כוונה\"", ברור שהנאשם הבין היטב את אשר הוא עושה ואת הפסול שבמעשיו.""",train
מהו ההבדל בין מתחם הקנס ההולם לקנס המתאים בתוך מתחם זה?,"נתונים אלה הם רלוונטיים לצורך קביעת מתחם הקנס ההולם, וזאת להבדיל, כאמור, מהקנס המתאים בתוך מתחם הקנס ההולם.",train
מהי ההנחיה שניתנה לגבי פסיקת העונש כאשר יש הסדר טיעון עם טווח ענישה מוסכם?,"כמו כן, בפסק דין פלוני נקבע ע\י כבוד השופט מלצר כי כאשר מדובר במקרה שבו הצדדים הסכימו על טווח ענישה בהסדר טיעון, כאשר מתחם הענישה הינו כמובן רחב יותר, על בית המשפט לפסוק, ככל שהוא מקבל את הסדר הטיעון, במסגרת טווח הענישה המוסכם.""",train
מהו העונש הראוי במקרה של ריבוי מקרים בעבירות אלימות במשפחה?,"מן הראוי לציין שלאור ריבוי המקרים, העונש הראוי צריך שיהיה מאסר מאחורי סורג ובריח.",train
מהו השיקול המרכזי שעל בית המשפט לקחת בחשבון בעת קביעת מתחם העונש ההולם?,"בעת קביעת מתחם העונש ההולם על בית המשפט לקחת בחשבון, בין היתר, את נסיבות ביצוע העבירה שכוללות את הנזק שהיה צפוי להיגרם מביצוע העבירה.",train
מהי תכלית ההרשעה הפלילית בהליך הפלילי?,"ההרשעה הפלילית של נאשם נועדה למצות את תכליותיו של ההליך הפלילי : להעביר מסר של הרתעת היחיד והרבים, ולשוות למעשה העבירה תווית של מעשה פסול בעיני החברה שגמול עונשי בצידו.",train
אילו נתונים לקח בית המשפט בחשבון לקולא בעת קביעת העונש המתאים?,בעת קביעת העונש המתאים בתוך מתחם העונש ההולם לקחתי בחשבון לקולא את הנתונים הבאים: העדר עבר פלילי; הודאתו של הנאשם והחסכון בזמן שיפוטי והחסכון מהמתלוננת להעיד בבית המשפט; הנאשם אב לשני ילדים קטינים בני 7 ו-8 שנים שהם במשמורת משותפת.,train
מדוע לא נחשבות הנסיבות האישיות של הנאשם לחריגות שמצדיקות הימנעות מעונש מאסר בפועל?,"יש לציין שנסיבותיו האישיות של הנאשם (העדר עבר פלילי והיותו נשוי ואב לילדים קטינים שפרנסתם עליו וכן הסרה חלקית ביותר של המחדל) אינן נסיבות חריגות שמצדיקות שלא להטיל עליו עונש מאסר בפועל מאחורי סורג ובריח, וזאת לאור העובדה שמדובר במידת נזק גבוהה שמתבטאת בגזלה מהקופה הציבורית בסך של מיליון שקלים (ואף מעט יותר).",train
מדוע יש להקפיד על מתחם העונש ההולם במקרה זה?,"נהפוך הוא, זה בדיוק המקרה שבית המשפט חייב שלא לסטות ממתחם העונש ההולם וזאת לאור חומרת העבירות, היקף ביצוען והעובדה שהמחדלים לא הוסרו כלל.",train
"מהו האיזון שנעשה בין השיקולים השונים במקרה זה, כולל האינטרס הציבורי ונסיבות הנאשם?","דומני שהסטיה האמורה מהמתחם ואופן הפעלת המאסרים המותנים, אחד במצטבר ואחד בחופף, יש בה בכדי לאזן את מכלול השיקולים שעומדים על הפרק: האינטרס הציבורי, נסיבותיו האישיות של הנאשם, עובדת היותו נשוי ואב לילדים, ההליך השיקומי שעבר וההודיה וחסכון בזמן שיפוטי.",train
מהו העונש שהוטל על הנאשם בשל אי התאמתו לביצוע עבודות שירות?,"בנסיבות אלה, כאשר הנאשם נמצא בלתי מתאים לבצע עבודות שירות, אין מנוס מלהשית עליו עונש של מאסר בפועל מאחורי סורג ובריח.",train
מהו הכלל לגבי החמרת העונש לנאשם שבוחר לנהל הוכחות?,"הכלל בדיני עונשין הוא שמצד אחד, נאשם שבוחר לנהל הוכחות, לא תהיה החמרה בעונש שיושת עליו רק בשל הבחירה לנהל הוכחות.",train
