case_id,paragraph_text,sentence_text,speaker1,speaker2,pred_label,pred_confidence,votes
"ת""פ 35299-09-23 ",התביעה הגישה טיעוניה בכתב (ת/5) והשלימה אותן על פה.,התביעה הגישה טיעוניה בכתב (ת/5) והשלימה אותן על פה.,שופט,,שופט,1.0,שופט|שופט|שופט|שופט|שופט
"ת""פ 35299-09-23 ",התביעה טענה לפגיעה בערכים המוגנים של פגיעה בבריאות הציבור לצד ההגנה על שלום הציבור והגנתו מפני עבירות פליליות ומפני הנזקים החברתיים הישירים והעקיפים הנגרמים כתוצאה מסמים מסוכנים.,התביעה טענה לפגיעה בערכים המוגנים של פגיעה בבריאות הציבור לצד ההגנה על שלום הציבור והגנתו מפני עבירות פליליות ומפני הנזקים החברתיים הישירים והעקיפים הנגרמים כתוצאה מסמים מסוכנים.,שופט,,תביעה,1.0,תביעה|תביעה|תביעה|תביעה|תביעה
"ת""פ 35299-09-23 ","התביעה טענה, כי הנאשם סחר בסמים בצוותא חדא עם אחר, תוך שעשה שתי עסקאות מול סוכן משטרתי סמוי, כאשר הסוכן קבע מפגשים עם האחר, אך למקום הגיע הנאשם עם הסמים, כשהוא נוהג ברכב, והוא זה שקיבל את הכסף מהאחר.","התביעה טענה, כי הנאשם סחר בסמים בצוותא חדא עם אחר, תוך שעשה שתי עסקאות מול סוכן משטרתי סמוי, כאשר הסוכן קבע מפגשים עם האחר, אך למקום הגיע הנאשם עם הסמים, כשהוא נוהג ברכב, והוא זה שקיבל את הכסף מהאחר.",שופט,,תביעה,1.0,תביעה|תביעה|תביעה|תביעה|תביעה
"ת""פ 35299-09-23 ","התביעה טענה, כי התנהלות הנאשם וזמינות הסמים בעבורו מעידות על מעורבות עומק בעולם הסחר בסמים.","התביעה טענה, כי התנהלות הנאשם וזמינות הסמים בעבורו מעידות על מעורבות עומק בעולם הסחר בסמים.",שופט,,תביעה,1.0,תביעה|תביעה|תביעה|תביעה|תביעה
"ת""פ 35299-09-23 ","התביעה טענה, כי יש לתת את הדעת לסוג הסם, כאשר במקרה דנן, סחר הנאשם בסם מסוכן מסוג קוקאין.","התביעה טענה, כי יש לתת את הדעת לסוג הסם, כאשר במקרה דנן, סחר הנאשם בסם מסוכן מסוג קוקאין.",שופט,,תביעה,1.0,תביעה|תביעה|תביעה|תביעה|תביעה
"ת""פ 35299-09-23 ","התביעה טענה, כי העסקאות נערכו במקומות ציבוריים בשעות היום, כאשר ישנם עוברים ושבים ברחוב, דבר המעיד על היעדר כל מורא.","התביעה טענה, כי העסקאות נערכו במקומות ציבוריים בשעות היום, כאשר ישנם עוברים ושבים ברחוב, דבר המעיד על היעדר כל מורא.",שופט,,תביעה,1.0,תביעה|תביעה|תביעה|תביעה|תביעה
"ת""פ 35299-09-23 ","התביעה טענה, כי למרות שהכמויות אינן גדולות, יש להתייחס לפוטנציאל הנזק הנגרם מעבירות סחר בסמים.","התביעה טענה, כי למרות שהכמויות אינן גדולות, יש להתייחס לפוטנציאל הנזק הנגרם מעבירות סחר בסמים.",שופט,,תביעה,1.0,תביעה|תביעה|תביעה|תביעה|תביעה
"ת""פ 35299-09-23 ",התביעה עתרה למתחם ענישה הנע בין 15 ועד 28 חודשי מאסר בפועל.,התביעה עתרה למתחם ענישה הנע בין 15 ועד 28 חודשי מאסר בפועל.,שופט,,תביעה,1.0,תביעה|תביעה|תביעה|תביעה|תביעה
"ת""פ 35299-09-23 ","התביעה טענה, כי ענינו של ודים מתנהל לפני מותב אחר, שם עתרה התביעה למתחם ענישה הנע בין 22 ועד 28 חודשי מאסר, וענינו קבוע למתן גזר דין.","התביעה טענה, כי ענינו של ודים מתנהל לפני מותב אחר, שם עתרה התביעה למתחם ענישה הנע בין 22 ועד 28 חודשי מאסר, וענינו קבוע למתן גזר דין.",שופט,,שופט,1.0,שופט|שופט|שופט|שופט|שופט
"ת""פ 35299-09-23 ","התביעה הפנתה להרשעתו הקודמת של הנאשם, במסגרתה נגזרו עליו, בין היתר, מאסר מותנה ופסילה מותנית שהינם ברי הפעלה, ולא היה בהם כדי להרתיעו.","התביעה הפנתה להרשעתו הקודמת של הנאשם, במסגרתה נגזרו עליו, בין היתר, מאסר מותנה ופסילה מותנית שהינם ברי הפעלה, ולא היה בהם כדי להרתיעו.",שופט,,תביעה,1.0,תביעה|תביעה|תביעה|תביעה|תביעה
