document,paragraph_number,text,label
ME-18-01-52479-769,53,"9.        הערכים החברתיים המוגנים אשר נפגעו מביצוע העבירה בענייננו, הם בראש ובראשונה הערך העליון של שמירה על חיי אדם ושלמות גופו ושלום הציבור וביטחונו. מדובר בעבירה שעלולה להוביל לפגיעה אנושה בערך קדושת החיים ומכאן מתחייבת ענישה מחמירה על מנת למגר העבירות בנשק שהפכו זה מכבר למכת מדינה. בפסיקה הודגש במספר רב של הזדמנויות תפקידו של בית המשפט שנדרש לתרום את תרומתו למיגור תופעה זו, בדרך של הטלת עונשים מרתיעים. עמד על כך בית המשפט בע""פ 1323/13 חסין נ' מדינת ישראל (5.6.2013) בקבעו:",0
ME-18-01-52479-769,57,"	בע""פ 27/17 בסל נ' מדינת ישראל (12.12.2017) מהעת האחרונה נאמר כי:",0
ME-18-01-52479-769,59,"""אין להקל ראש בחומרתן של העבירות שאותן ביצע המערער. בית משפט זה פסק בעבר כי לא ניתן להשלים עם עבירות בכלי נשק, והדגיש את חומרתן הרבה של עבירות אלו, על הסכנות הטמונות בהחזקת נשק שלא כדין, ועל אחת כמה וכמה ברכישה, בנשיאה ובהובלה של נשק שלא כדין, אשר לעיתים משמש לא רק לפעילות עבריינית אלא גם לפעילות חבלנית עוינת על רקע ביטחוני. ואכן, המגמה בשנים האחרונות ביחס לעבירות נשק היא של החמרה ברמת ענישתם של המעורבים בהן, תוך מתן ביטוי עונשי הולם לסכנה הנשקפת מהן (ראו למשל: ע""פ 4154/16 דהוד נ' מדינת ישראל, [פורסם בנבו] פסקה 11 (19.1.2017))"".",0
ME-18-01-52479-769,61,"10.	בבואי לבחון את הנסיבות הקשורות בביצוע העבירה, ראיתי להביא בחשבון את העובדה שהנאשם נשא והוביל את הנשק אל מחוץ לחצריו, אם כי אין כל פירוט לגבי פרק הזמן של ההובלה. בנוסף, ההסבר שנמסר מפי הנאשם לשירות המבחן, לגבי הגעת כלי הנשק לידיו אינו חלק מעובדות כתב האישום ועל כן לא ראיתי לייחס לו משקל. הנאשם בצע את העבירה לבדו כך שחלקו בביצועה הנו בלעדי. בנוסף, הנזק שצפוי היה להיגרם מביצוע העבירה הנו רב וחמור. כבר נקבע כי עצם החזקת נשק באופן שאינו מפוקח על ידי הרשויות טומן בחובו סיכון שמא יתפתה המחזיק לעשות בו שימוש, או שמא יגיע לידיים עברייניות (ראו: ע""פ 4945/13 מדינת ישראל נ' סלמיאן (19.2.2014); ע""פ 3300/06 אבו סניינה נ' מדינת ישראל (10.08.2006)). לא כל שכן כאשר מדובר בנשק אוטומטי שעל אף שהוא מאולתר, הרי שיש בו פוטנציאל לפגיעה רבת עוצמה והוא עלול להביא לפגיעות קשות בגוף ובנפש. יפים לעניין זה דברי בית המשפט בע""פ 761/07 מדינת ישראל נ' אדרי (22.2.2007) שם נקבע כי:",0
ME-18-01-52479-769,65,"	ובע""פ 8416/09  מדינת ישראל נ' חרבוש (9.6.2010) נאמר:",0
ME-18-01-52479-769,67,"""חומרתה של עבירת החזקת הנשק, מקורה בכך שעבירה זאת אינה נעשית לרוב אלא כדי לאפשר ביצוען של עבירות אחרות, שמעצם טבעו של הנשק, כרוכות באלימות או בהפחדה. כשעסקינן במי שהעולם הפלילי אינו זר להם – כמו כמה מן המעורבים בערעור שלפנינו – ובנשק שלו משתיק קול המוחבא במקום ""בלתי טבעי"", מקבלים הדברים משנה תוקף. כפי שציינה חברתי הנשיאה ד' ביניש, המציאות השוררת בארץ המתבטאת בזמינותו של נשק חם ורב עוצמה שיש עמו פוטנציאל להסלמת האלימות העבריינית, מחייבת מתן ביטוי עונשי הולם והחמרה ברמת הענישה (ראו ע""פ 1332/04 מדינת ישראל נ' פס, סעיף 4 ([פורסם בנבו], 19.4.04)). יש לעשות כן עוד בטרם ייעשה באקדח שימוש קטלני, באמצעות הרחקת המחזיק בו מן החברה לפרק זמן, והעברת מסר מרתיע באמצעות עונש מאסר ממשי לריצוי בפועל (ראו למשל ע""פ 3361/08 ליבוביץ' נ' מדינת ישראל ([פורסם בנבו], 27.7.08) (להלן: עניין ליבוביץ'); ע""פ 5220/09 עוואודה נ' מדינת ישראל ([פורסם בנבו], 30.12.09))"". ",0
ME-18-01-52479-769,73,"	עוד לעניין מדיניות הענישה הנוהגת אני רואה להפנות לת""פ (חי') 21602-01-16 מדינת ישראל נ' אלפסי (16.2.2018) שם נמצא ברכבו של הנאשם, בביקורת שגרתית של המשטרה, אקדח טעון, ונקבע מתחם בין 12-36 חודשי מאסר בפועל. באותו מקרה נגזרו על הנאשם 14 חודשי מאסר לריצוי בפועל. בת""פ (חי') 36551-10-17 מדינת ישראל מ' עמאש (16.1.2018) החזיק הנאשם אקדח כאשר נקבע כי עשה כן לפחות משך מספר ימים. אף שם מתחם העונש שנקבע נע בין 12-36 חודשי מאסר בפועל והנאשם נדון ל- 12 חודשי מאסר . בת""פ (חי') 47161-08-17 מדינת ישראל נ' עאסלה (21.2.2018) נדון עניינו של נאשם שהחזיק, הוביל ונשא נשק מאולתר מסוג קארל גוסטב וכמות גדולה של כדורים. נקבע מתחם שנע בין 10-36 חודשי מאסר ועל הנאשם שם נגזרו 12 חודשי מאסר לריצוי בפועל. בת""פ (חי') 16505-02-18 מדינת ישראל נ' סעדי (26.6.2018) הורשע הנאשם בעבירה של החזקה, נשיאה והובלה של נשק. בעובדות כתב האישום שם נאמר כי הנאשם נסע ברכב מחיפה לכיוון נהריה כשהוא מחזיק בכיסי מעילו אקדח ו- 31 כדורים. מתחם העונש שנקבע באות מקרה נע בין 10-30 חודשי מאסר ובסופו של יום נגזרו על הנאשם שם 11 חודשי מאסר בפועל. ",1
ME-18-01-52479-769,77,"13.	בחנתי בכובד ראש את המלצת שירות המבחן להסתפק בהטלת עונש מאסר אותו ירצה הנאשם בעבודות שירות, אך לא ראיתי לקבלה. זאת, משום שהמלצה זו אינה הולמת את חומרת העבירה בה הורשע הנאשם ואינה עולה בקנה אחד עם מדיניות הענישה הנוהגת במקרים דומים. כבר נפסק לא אחת כי המלצת שירות המבחן כשמה כן היא – המלצה – ובית המשפט לעולם נדרש להתחשב במכלול השיקולים והאינטרסים הצריכים לעניין, שהם רחבים ומקיפים יותר מהאינטרסים האישיים של הנאשם העומד בפניו. יפים לעניין זה דברי בית המשפט בע""פ 3183/16 שלמה עופרי נ' מדינת ישראל (8.3.2017): ",0
ME-18-01-52479-769,79,"""אין בידינו לקבל את טענת המערער, לפיה היה מקום להטיל עליו ענישה מקלה יותר ולהסתפק בגזירת עונש שירוצה בעבודות שירות בהתאם להערכת שירות המבחן. לעניין זה ידועה ההלכה לפיה תסקיר שירות המבחן, על אף הערכת מקצועיותו הרבה, מהווה המלצה בלבד ובית המשפט רשאי להפעיל את שיקול דעתו בהתחשב בכלל האינטרסים העומדים לפניו (ע""פ 4472/16 עווד נ' מדינת ישראל, [פורסם בנבו] פסקה 7 (15.6.2016); ע""פ 6560/15 סריס נ' מדינת ישראל, [פורסם בנבו] פסקה 11 (2.5.2016); ע""פ 2032/15 ממן נ' מדינת ישראל, [פורסם בנבו] פסקה 22 (11.8.2015); ע""פ 6341/14 בן איטשי נ' מדינת ישראל, [פורסם בנבו] פסקה 13 (8.7.2015); בש""פ 5309/05 צמח נ' מדינת ישראל, [פורסם בנבו] פסקה 6 (29.6.2005))"".",0
ME-15-08-54962-361,41,"צוינה מדיניות ענישה מחמירה, שהאינטרס הציבורי מחייבה, על רקע מתקפת הטרור המתמשכת מכיוון רצועת עזה אל עבר ישראל. לעניין זה אוזכרו דברי ביהמ""ש העליון מתוך ע""פ 7403/07, פאדי נג'אר נ' מ""י (מיום 30.3.08). ",0
