text,split
"העבירה בנסיבותיו, במידת אשמו של הנאשם, בערכים החברתיים שנפגעו מביצוע העבירה ובמידת הפגיעה בהם, במדיניות הענישה הנהוגה ובנסיבות הקשורות בביצוע העבירה, אני קובע שמתחם העונש ההולם למעשה העבירה שביצע הנאשם נע בין 3 ל- 6 שנות מאסר בפועל. החברה הבדואית רוויית סכסוכים פנימיים ותופעת האלימות נוכחת מאוד בהווייתה. חילוקי דעות, סכסוכים ואירועים שונים, שבחברה מתוקנת היו מתבררים בהליכים משפטיים אזרחיים, מהווים בחברה הבדואית כר פורה למעשי אלימות חמורים, הגוררים בתורם תגובות נגד אלימות לא פחות, וחוזר חלילה, במעגלים אינסופיים, המשפיעים עמוקות על אורחות החיים בחברה זו ואיכותם, ומשרים שגרת מתח קבועה ומעיקה ועיסוק מתמיד באלימות ובתוצאותיה. תופעת האלימות מפושטת ומדאיגה ונזקיה רבים וקשים. מיתונה הוא יעד חשוב ביותר, הנמצא במקום גבוה על סדר יומה של החברה בישראל. ענישה משמעותית, המוציאה את שכר העבירה בהפסדה, עשויה לתרום להרתעת הציבור. תובנתו של רבי חנינא סגן הכוהנים, שאלמלא מורא מלכות איש את רעהו חיים בלעו, (פרקי אבות, פרק ג' משנה ב') עומדת בתוקפה גם היום, ומצדיקה לכלול בשיקולי הענישה את הצורך להרתיע את הרבים. התנהגות הנאשם באירוע, המנוגדת לאינסטינקט האנושי, מלמדת מעצמה על חוסר מעצורים ואימפולסיביות ועל מסוכנות הנאשם. ובנוסף, שירות המבחן התרשם שלנאשם דפוסי חשיבה נוקשים, קושי לווסת את דחפיו, ונטייה להתנהלות אימפולסיבית סביב עניינים הקשורים לכבוד משפחתו, והעריך שנתונים אלה מגבירים את הסיכון לחזרה על התנהגות בעייתית דומה. בנסיבות אלה, יש מקום להתחשב בצורך בהרתעת הנאשם כשיקול בקביעת העונש. ב\כ הנאשם טען כי עניינו של הנאשם מצדיק לקבוע את עונשו תוך סטייה לקולה מהמתחם שנקבע. אינני מקבל את הטענה. סעיף 40ד (א) בחוק העונשין קובע – בענייננו, הנאשם בן 23. בוגר 12 שנות לימוד. עובד באופן יציב.""",train
"מתלונן בכתפו, ואיימו עליו שיהרגו אותו. בשלב מסוים הנאשם 1 ניגש לרכב שהיה במקום, הוציא ממנו חפץ הנחזה להיות אקדח, שב בריצה לעבר המתלוננים, ואיים עליהם שיתרחקו או שירה עליהם, ואיים על אחד המתלוננים שיקבור אותו. כתוצאה ממעשי הנאשמים, אחד המתלוננים סבל מחבלות כולל שברים בעצמות הפנים ובארובת העין והמטומה פרה ספטלית. ונזקק לטיפול רפואי. ומתלונן נוסף פונה לבית החולים וקיבל טיפול שכלל חבישה ומשככי כאבים. הנאשם 1 נדון ל- 33 חודשי מאסר בפועל והנאשם 2 נדון ל- 30 חודשי מאסר בפועל. 18. נסיבות הקשורות בביצוע העבירות – אירוע התקיפה הראשון לא היה מתוכנן וניתן לתארו כספונטני. בסרטון ממצלמה מתוך הבר, המתעד את רגעי הצתת פתח הבר, ניתן לראות שהנאשמים יושבים בבר וברגע שהאש מתלבה, שלושה מהם יוצאים במהירות מהבר ורודפים אחרי המציתים. בסרטון ממצלמה מחוץ לבר, רואים, כי מיד לאחר הצתת האש הראשונית בפתח הבר, אחד המתלוננים שופך חומר דליק על האש והאש מתלבה לרגע. ובסרטון ממצלמת הבר רואים באותו הזמן את התעצמות האש. אולם מיד אחר כך האש דועכת מעצמה ונותרת רק בחלק התחתון של פתח הבר. יש להניח שהדבר נעוץ בכך שדלת הבר עשויה מתכת והאש לא נאחזה בה. (ראה דו\ח חקירת הדליקה וכתב האישום בת.פ. 27833-09-22). העובדה היא, שחלק מהנאשמים שיצאו מהבר בשלב הראשון של האירוע לא ראו צורך להתעכב במקום על מנת לכבות את האש וגם אחר כך לא נדרשו פעולות נמרצות ודחופות לכיבוי האש. אנשי כב\""א, שהיו בבית ספר מעבר לכביש והגיעו למקום בתוך דקות בודדות, מצאו שהאש כבר כובתה. באירוע הראשון השתתפו שלושה מהנאשמים וכל אחד מהם אחז כלי תקיפה. אחד אחז כיסא, השני החזיק בקבוק בירה, והשלישי אחז""",train
"פלילי, שנסיבותיו האישיות והמשפחתיות מורכבות מאוד, המטופל פסיכיאטרית, אשר עבר הליך טיפולי, ושירות המבחן המליץ להטיל עליו מאסר בעבודות שירות, הוטלה שנת מאסר אחת. וערעור המדינה התקבל בהסכמה ועונשו של המערער הוחמר ל-15 חודשי מאסר בפועל, תוך ציון ההליך הטיפולי של הנאשם וההלכה שערכאת הערעור איננה ממצה את הדין (ע\פ 3507/16 מדינת ישראל נ' ג'אהד אבו טהה (05.10.16)). ובת\""פ 61599-12-21 מדינת ישראל נ' מאגד טויל, דובר במי שהורשע בשתי עבירות של גניבת רכב, הימלטות משוטרים תוך נהיגה פוחזת ונהיגה בזמן פסילה. האירוע לא כלל התנגשות ברכבים אחרים או סכנה לפגיעת בגוף. נקבע מתחם הנע בין 24 ל- 40 חודשי מאסר בפועל. ועל הנאשם, נעדר עבר פלילי, הוטלו 24 חודשי מאסר. לחובת הנאשם הרשעה קודמת בת.פ. 17736-01-19, בריבוי עבירות של גניבה מרכב ופריצה לרכב בכוונה לגנוב ובעבירה של הפרת הוראה חוקית, מחודשים דצמבר 2018 ואפריל 2019, במסגרתה הוא נידון ביום 10.09.2019 ל- 26 חודשי מאסר בפועל ולשנת מאסר על תנאי, שלא יעבור במשך שלוש שנים מיום שחרורו עבירת רכוש מסוג פשע. אין חולק שהעבירות שהנאשם הורשע בהן בתיק זה מפעילות את המאסר על תנאי. הנאשם הורשע בעבירה של נהיגה בפסילה. סעיף 40א'(א)(1) בפקודת התעבורה קובע: אין חולק כי הנאשם עומד בתנאי הסעיף. הוא הורשע כאן בעבירה של נהיגה בפסילה, לפי סעיף 67 בפקודת התעבורה, המנויה ברישת סעיף 40א(א)(1) הנ\""ל, ובעשר השנים שקדמו למועד ביצוע העבירה כאן, הוא הורשע פעמיים בעבירת נהיגה בפסילה – ביום 22.06.22 על נהיגה בפסילה מיום 21.04.22; וביום 07.03.22 על נהיגה בפסילה מיום 13.02.22. מצוות המחוקק הינה, כאמור, שבנסיבות כאלה ישלל רישיון הנהיגה של הנאשם לתקופה שלא תפחת מ- 10 שנים. וכאן, לא נטען""",train
"ידו בלבד. האופן בו הנאשם הצית את האש, מלמד כי המחסן המדובר נמצא קרוב לתא המאסר בו שהה הנאשם, ויש להניח שגם לתאי מאסר נוספים בהם שהו אסירים אחרים. ההצתה בוצעה בשעת יום, בה ככלל האסירים ערים והכלא מתפקד במתכונת מלאה. ההצתה גרמה נזק מתון, שהתבטא בפגיעה ברכוש - בגדים ונעליים שהיו במחסן. הנזק שעלול היה להיגרם מהאש, יכל להיות חמור יותר, במהותו ובהיקפו, עד כדי סיכון חיי אדם. הנאשם ביצע את המעשה על רקע מותו של חברו, שהיה אסיר, וכמחאה על כך שאותו חבר היה חולה והוא הוסע בהסעה רגילה של שב\ס במשך שעות ארוכות. בהתאם לצורך לקיים יחס הולם בין חומרת מעשה העבירה בנסיבותיו ומידת אשמתו של הנאשם ובין העונש שיוטל; ובהתחשב בערכים החברתיים שנפגעו מביצוע העבירה; במידת הפגיעה בהם; במדיניות הענישה הנהוגה; ובנסיבות הקשורות בביצוע העבירה; אני קובע כי מתחם העונש ההולם לעבירת ההצתה שביצע הנאשם, הוא בין 30 ל- 60 חודשי מאסר בפועל. הנאשם אסיר עולם על רקע הרשעה בעבירת רצח והוא יושב במאסר מאז שנת 1997. במהלך מאסרו הוא הורשע במספר עבירות הנוגעות לגרימת נזק ולפגיעה בכבוד דגל המדינה. בתאריך 25.11.19 הנאשם נדון בת\""פ 8903-09-2019 בין היתר ל- 6 חודשי מאסר על תנאי למשך 3 שנים שלא יורשע בעבירה של היזק בזדון. אין חולק שעבירת ההצתה בה הורשע כאן מפעילה את המאסר על תנאי. הסכנה מפני התנהגות פוגענית של אסיר השפוט למאסר עולם, בכלא, כשלעצמה, מצדיקה התחשבות בשיקולי הרתעה בקביעת עונשו. כאן, הנאשם גם הוכיח במעשיו חוסר גבול פנימי, ואף התבטא שהוא גאה במעשהו, ונתונים אלה מדגישים את הצורך בהרתעתו. 24. בגזירת עונשו של הנאשם אני מביא בחשבון גם את גילו""",train
"אש המתחילה בלהבה קטנה עלולה להתלבות במהירות, להתפשט ולהבעיר את הנקרה בדרכה ולאכל הכל עד חריכה. האמצעים הדרושים להבערת אש פשוטים וזמינים לכל, והנזק שבכח האש לגרום עצום ורב. צירוף הנתונים מחייב התייחסות של רצינות וחומרה לעבירת ההצתה. ואכן, העונשים הקבועים לעבירת ההצתה – 15 ו- 20 שנות מאסר, מבטאים את חומרתה המופלגת. הערכים החברתיים שנפגעו מביצוע העבירות כאן הם בין היתר, ההגנה על שלוות הנפש וחופש הפעולה של הפרט, הסדרת סכסוכים בדרך חוקית מקובלת, האמון בין עובד למעביד, זכות הקניין, ושמירת שלום הציבור. ומידת הפגיעה בהם הינה משמעותית. מטבע הדברים, העונש המוטל על עבירת הצתה מושפע מהנסיבות הקונקרטיות. אולם מדיניות הענישה העקרונית הנהוגה הינה של חומרה מובהקת. ככל שנסיבות ההצתה מְסַכּנוֹת יותר את האינטרסים המוגנים המרכזיים, כך ההתייחסות העונשית למעשה העבירה תהיה חמורה יותר. (ראה והשווה ע\פ 4036/13 מובארכ אמארה נ' מדינת ישראל (פורסם בנבו, 05.10.2014). והלכה למעשה, העונשים המוטלים בעבירת ההצתה כוללים תקופות מאסר משמעותיות. בע\""פ 7887/12 שאול נ' מדינת ישראל (24.04.2013) דובר בהצתת מגרש על ידי אדם מבוגר בעל עבר פלילי ונפשי, על רקע סכסוך בינו ובין המתלונן, שגרמה לנזק של כ- 20,000 ₪. בית המשפט המחוזי קבע שמתחם העונש ההולם לעבירה בנסיבותיה נע בין שנתיים לארבע שנות מאסר בפועל. ובית המשפט העליון ציין בקשר למתחם העונש ההולם את הדברים הבאים - בע\""פ 1951/14 באביי מקונן נ' מדינת ישראל (15.02.2015) דובר במערער שהשתתף בקטטה עם אחרים. המערער נפגע מדבריו של המתלונן וגמר בליבו להצית את חנות התבלינים שבבעלותו. הוא מילא דלק בשני בקבוקי פלסטיק, שפך את הדלק אל תוך חנותו של המתלונן, הצית אש ועזב את המקום בעוד החנות עולה בלהבות. בית המשפט""",train
"ל- 15 חודשי מאסר בפועל. בקשר לעבירת הנהיגה בשכרות, המאשימה הציגה שני פסקי דין, בהם נקבעו מתחמי עונש הנעים בין מאסר על תנאי לשנת מאסר, והוטלו 3 חודשי מאסר בפועל, לאחר שבשל התנהלות הנאשמים שם, לא היתה אפשרות לבצע את המאסרים בעבודות שירות. ב\כ הנאשם הפנתה למספר פסקי דין- בע\""פ 6321/18 רובן ג'קוב קריאף נ' מדינת ישראל (23.9.2019) דובר בנהג אופנוע אשר פגע בהולכת רגל שחצתה כביש שלא במעבר חציה, אשר נחבלה קשות ובהמשך נפטרה. כתוצאה מהתאונה הנהג עצמו נפל מהאופנוע ונחבל ובהמשך, כשהיו במקום עוברי אורח שחשו לסייע לקרבן התאונה, הוא השאיר את האופנוע במקום עלה על מונית ונסע. בחלוף כשעתיים הוא חזר למקום האירוע ואחר כך הסגיר את עצמו לאחר שהמשטרה יצרה קשר טלפוני עם בני משפחתו. דובר בנהג עולה חדש שאינו דובר את השפה העברית, אשר נלחץ מההמולה סביבו. בית המשפט המחוזי הטיל עליו 10 חודשי מאסר בפועל ובית המשפט העליון קיבל את ערעורו והעמיד את עונשו על 9 חודשי מאסר בעבודות שירות, תוך נימוק הדבר בהתקיימות נסיבות ייחודיות המטות את הכף לטובה חריגה ממתחם הענישה. בת\""פ 41834-12-21 מדינת ישראל נ' עמאר ג'ורבאן (4.5.23) דובר בנהג שפגע בקטין שרכב על אופניים אשר מצא את מותו כתוצאה מהתאונה, הנהג עצר את רכבו מספר מטרים ממקום התאונה, ירד ממנו, הביט לעבר מקום התאונה, ושניות לאחר מכן חזר אל הרכב ונסע מהמקום אל ביתו ומשם נסע ביוזמתו אל תחנת המשטרה. בית המשפט התחשב בכלל נתוני המקרה ונתן משקל לכך שחלפו כ-5 שנים מאז התאונה ועד לגזר הדין, ובסופו של דבר הטיל עליו 6 חודשי מאסר בעבודות שירות. בת\""פ 61720-08-21 מדינת ישראל נ' מחמוד חאג' יחיא (18.12.22)""",train
"ענין, עונשו של הנאשם יהיה קל מזה שהוטל על אחיו. נוכח כל האמור, אני גוזר על הנאשם את העונשים הבאים- א. 6 שנות מאסר בפועל, בניכוי ימי מעצרו. 12 חודשי מאסר על תנאי למשך 3 שנים מיום שחרורו מהמאסר, שלא יעבור עבירת רכוש שהיא פשע. קנס בסך 30,000 ₪ או 60 ימי מאסר תחתיו. פסילה מלקבל או להחזיק רישיון נהיגה למשך 12 חודשים מיום שחרורו מהמאסר.",train
"את הערעור וקבע- בע\פ 6022/10 מוחמד שלעאטה נגד מדינת ישראל (פורסם בנבו, 28.12.2011) הורשע המערער בעבירות של החזקת ונשיאת נשק, חבלה בכוונה מחמירה, חבלה במזיד ברכב, ירי באזור מגורים והתנהגות פסולה במקום ציבורי. המערער החזיק אקדח שלא כדין. משלא נענו חיזוריו לקטינה אותה רצה לשאת לאשה, במועד מסוים, בעת שחלף לידו רכב ובו 4 נוסעים ביניהם אחיה של הקטינה, ירה המערער לכיוון האוויר, בטבורה של עיר, וזמן קצר לאחר מכן ירה לעבר רכב ופגע בו. הוא נדון ל- 53 חודשי מאסר בפועל (מהם 3 חודשי מאסר על תנאי שהופעל). בית המשפט העליון דחה את הערעור וקבע- נסיבות הקשורות בביצוע העבירה – למעשי הנאשם קדם תכנון. הגעת הנאשם אל מקום עבודת המתלונן לא היתה מקרית. הנאשם הגיע למקום כדי להגיב על הפגיעה שדברי המתלונן גרמו לו והוא הצטייד באקדח. הדברים שאמר הנאשם עובר להגעתו אל המתלונן – \""אני הולך להרוג את המתלונן\"" \""להרוג אותו במכות\"" ו\""לשבור לו את כל העצמות\""- הזמנת המתלונן אל מגרש החניה, והירי שלו כלפי המתלונן, מלמדים על מגמת הגעתו ומטרתה. הנאשם הוא שהחזיק באקדח והוא שירה בו לעבר המתלונן. אמנם, הוא הגיע לזירה רכוב על קטנוע עם אדם נוסף, אולם לא נטען כי האדם הנוסף השתתף בצורה כלשהי במעשי העבירה או שהיה לו קשר להם. למרבה המזל, המתלונן הצליח להימלט מהנאשם ולחמוק מהכדורים שהוא ירה לעברו, ואולם האירוע השפיע על המתלונן קשות והותיר בו חותם נפשי משמעותי. הוא נאלץ להפסיק לעבוד, סובל מחרדות ומתסמיני פוסט טראומה, ונזקק לטיפול פסיכיאטרי ורגשי. הנזק שהנאשם עלול היה לגרום למתלונן הוא מהחמורים ביותר. פגיעת כדור אקדח בגוף אדם עלולה לגרום לנזק קשה, נכות ואף מוות. הרקע למעשי""",train
"עונש הולם שנע בין שנתיים לארבע שנות מאסר וגזר עליו 24 חודשי מאסר בפועל. בית המשפט העליון קבע כי בהתחשב בין היתר בכך, שמעשה המערער לא היה מתוכנן; הוא לא השתמש במאיצי בעירה; הנזק שנגרם מהאש היה מתון; עובר למעשה, המערער ווידא שאין איש במבנה; בעת ביצוע המעשה המערער היה שרוי במצב נפשי קשה וכאשר אחד הדיירים ניסה לחלצו מהחדר הבוער, הוא דחה אותו וסגר בפניו את חלון החדר; הרי שמתחם העונש ההולם הוא של שנה עד שלוש שנות מאסר. בהתחשב בנסיבות חייו הקשות של המערער, בנטילת האחריות והבעת הצער שלו, ובכך שהוא עצמו נפגע במהלך ביצוע המעשים, עונשו הועמד על 18 חודשי מאסר בפועל. הנסיבות הקשורות בביצוע העבירה – הנאשם החליט להצית את דירת המתלונן, הצטייד בעזרים מתאימים והגיע למקום לשם ביצוע ההצתה. כך שברור שמעשיו היו מתוכננים. הנחת מזרן בקרבת דלת דירת המתלונן תוך שפיכת בנזין על המזרן והצתת אש, הציבה סכנה להיאחזות משמעותית של האש ולהתלבותה. כתוצאה ממעשה הנאשם, נגרם נזק לדלת הדירה וללובי הקומה, שהוערך בסך של כ- 7,000 ₪. גודל הבנין, מיקום דירת המתלונן בו, ושעת הלילה המאוחרת, יכלו להביא לכך שמעשה הנאשם יסתיים באסון. הנאשם ביצע את המעשה בעצמו, לבדו, ללא מעורבות אחר. המניע לביצוע העבירה לא התברר, אולם גרסת הנאשם לפיה ההצתה בפתח דלת בית המתלונן היתה מקרית, רחוקה מלשכנע. בסופו של דבר, העונש צריך להלום את חומרת המעשה בנסיבותיו ואת מידת אשמו של הנאשם. וכאן, מעשה הנאשם בנסיבותיו חמור מאוד ומידת אשמו של הנאשם רבה. הצתת דירת מגורים בנסיבות היוצרות פוטנציאל לפגיעה בנפש, הינה מעשה חמור מאוד. הצתת דירה בבית משותף, חמורה עוד יותר, שכן היא עלולה לגרום",train
"לחרוג ממתחם העונש ההולם מהשיקול של הסדר הטיעון עצמו. גם המרכיב של שמירת יחס מתאים בין העונש שיוטל לבין עונשים שהוטלו על נאשמים אחרים בפרשה, מאפשר עקרונית לסטות ממתחם העונש ההולם. בהתחשב במכלול הפרטים הנוגעים למעשי הנאשמת ובכלל זה, חומרתם, מידת האשם של הנאשמת, נתוני הנאשמת ונסיבותיה, הודאתה, הפיצוי ששילמה, עמדת גורמי הטיפול, עמדת התביעה לעונש, ושמירת יחס מתאים בין העונשים השונים שהוטלו בפרשיה זו, אני מטיל על הנאשמת את העונשים הבאים – א. 27 חודשי מאסר בפועל, בניכוי ימי מעצרה. 8 חודשי מאסר על תנאי, למשך 3 שנים מיום שחרורה מהמאסר, שלא תעבור עבירת סחיטה באיומים. אני מחייב את הנאשמת לשלם למתלוננים פיצוי בסך 50.000 ₪.",train
