text,split
"נגרם לה נזק רב כתוצאה ממעשיו של הנאשם. מכיוון שמדובר בנפגעת שהינה קטינה בהחלט ייתכן שייגרמו עוד נזקים נוספים בעתיד, שלא ניתן לצפות אותם כעת, ואין צורך לעניין זה בקבלת תסקיר נפגעת העבירה באשר הנזקים שנגרמו למתלוננת ממעשי הנאשם הינם טבועים בעצם המעשים שעשה בה הנאשם שהינו אביה ונגלו לעינינו בקלות רבה בעת עדותה לפנינו. יש להתחשב גם בכך שהנאשם הינו בגיר ובתקופה הרלוונטית לכתב האישום שימש למתלוננת דמות אב, כפי שפורט לעיל. הנאשם הבין את חומרת מעשיו והייתה לו האפשרות להימנע מביצוע העבירות. הנאשם ניצל לרעה את מעמדו כאביה של המתלוננת ואת תמימותה ורצונה בדמות אב שתעניק לה חום ואהבה, כל זאת לסיפוק צרכיו המיניים. בגדר הנסיבות שאינן קשורות בביצוע העבירה יש להביא בחשבון את נסיבותיו האישיות של הנאשם, כפי שפירט הסניגור בטיעוניו. כן יש להביא בחשבון את הודאתו של הנאשם במעשיו וכן את חרטתו על מעשיו ונטילת האחריות למעשיו, זאת בכפוף לציון העובדה שהודאה זו באה לאחר עדותה של המתלוננת. אדגיש כי עדותה הקשה לא נחסכה ממנה במקרה זה. מאידך, יש להביא בחשבון את עברו הפלילי המכביד מאוד של הנאשם, על אף שאין מדובר בעבר הנוגע לעבירות מין. כפי שפורט לעיל, הצדדים הציגו בפני ביהמ\ש פסיקה מצומצמת ביותר, שכן מדובר במקרה שנסיבותיו ייחודיות. מטבע הדברים, הפסיקה שאליה הפנו ב\""כ הצדדים אינה משקפת את עובדות המקרה הנוכחי ואינה זהה לנסיבות מקרה זה. בהביאי בחשבון את נתוני המקרה כפי שפורטו, סבורני כי יש לאמץ מתחם ענישה התואם את דרגת החומרה של המעשים, שהינו ברף העליון של עבירות המין, ובנסיבות המקרה, כפי שפורט, מדובר במקרה חמור. כאמור לעיל, מדובר בפרשיה המהווה אירוע אחד ולכן יש לקבוע מתחם""",train
"במקרה שבפני, מדובר בשני אירועים דומים, המשלבים עבירות של איומים ועבירות שבעיקרן הצתה רשלנית. יוער כי באישום הראשון מיוחסת לנאשם עבירה של גרימת שריפה ברשלנות, ואילו באישום השני מעשה של פזיזות ורשלנות. במהות מדובר באירועים דומים, כפי שצוין לעיל ובכתב האישום. בנסיבות אלו, ראוי לקבוע מתחם ענישה הולם לכל אחד מהאירועים (להבדיל מכל אחת מהעבירות בהן הורשע) [ראו לעניין זה: ע\פ 772/13 יחיא נ' מדינת ישראל (ניתן ביום 29.6.2013)]. מובן כי מתחם העונש מביא בחשבון את העבירות (ובמקרה זה העונש הקבוע בחוק לעבירות, לפי סעיף 338(א)(3) ולפי סעיף 449 זהה, למעשה), ואולם אין מקום להפריד בכל אחד מהמקרים בין רכיב המעשה הרשלני אשר גרם להצתת האש ובין עבירת האיומים. העונש הקבוע בעבירות שעניינן בהצתת האש, בכל אחד מהאישומים, הוא עד 3 שנות מאסר. העונש הקבוע בחוק בעבירת האיומים גם הוא עד 3 שנות מאסר. על בית המשפט להביא בחשבון את הערך החברתי שנפגע, מידת הפגיעה בו, נסיבות הקשורות בביצוע העבירה ומדיניות הענישה הנוהגת. יודגש לעניין זה, כי מתחם העונש ההולם צריך לשקף מדיניות ראויה, גם אם אינה זהה לענישה הנוהגת. עבירת האיומים פוגעת בבטחונו של הציבור, ובמיוחד של נפגע העבירה נשוא האיום. עבירות של גרימת הצתה ברשלנות מסכנות את שלום הציבור ואת רכושו, וגורמות למפגע סביבתי של עשן, הפוגע בבריאות הציבור וברכושו. מכאן שהערך החברתי שנפגע הוא שלום הציבור וכן שלום רכושו. הנסיבות בכל אחד מהאישומים בהם הורשע הנאשם דומות. מדובר באדם הנוטה להתפרצויות כעס כלפי שכניו, ואף המצית אש בחוסר זהירות. יוער כי במסגרת האיומים שהשמיע כלפי שכניו אף איים להצית את בתיהם, ואולם לא התרשמתי, מתוך צפייה בצילום אחד האירועים, כי עבירת ההצתה היא""",train
"של הנאשם במסגרת תיק התעבורה, כאשר לטענת הנאשם הוא משתמש ברישיון הנהיגה לפרנסתו וכרגע הוא מובטל בשל אי יכולתו לנהוג. על כן, עצם ניהול ההליך הנוכחי וההליך המנוהל בבית המשפט לתעבורה מהווים עבור הנאשם עונש כלשהו. יש להביא בחשבון גם את הודאתו המיידית ושיתוף הפעולה של הנאשם. הפסיקה שהוגשה לבית המשפט מציגה מתחם ענישה בין עונשים צופי פני עתיד ובין עונשים של מאסר של ממש (אם בדרך ריצוי של מאסר בפועל או בריצוי בעבודות שירות). עם זאת, יצוין כי מרבית הפסיקה שהוצגה מתייחסת למקרים חמורים יותר, אם מכיוון שמדובר בריבוי מעשים או בחזרה על המעשים ואם מכיוון שמדובר בעבירות נוספות, בנוסף על עבירת המרמה והפרת האמונים. כמו כן, בענייננו אמנם הנאשם הורשע בעבירה של מרמה והפרת אמונים אך איננו עובד ציבור בעצמו. על כן, לא ניתן לקבוע כי הפסיקה שהוצגה זהה למקרה זה. בהביאי בחשבון את נתוני המקרה כפי שפורטו, סבורני כי יש לאמץ מתחם הענישה התואם את דרגת החומרה של המעשים. כאמור, במקרה שלפני מדרג החומרה של המעשים אינו מהגבוהים ביותר. לאחר בחינת רמת הענישה במקרים דומים, נראה כי רמת הענישה נעה בין עונשים צופי פני עתיד, כגון מאסר על תנאי, של\צ וקנס לבין עונשי מאסר של שלושה (3) חודשים עד שנה (12 חודשים), בין אם מדובר בריצוי בעבודות שירות או בריצוי במאסר בפועל. בענייננו, בהתאם לנסיבות, בהתאם לעקרון ההלימה, שהוא העיקרון המנחה בקביעת מתחם הענישה ובהתאם לדברים לעיל, יש להעמיד את הרף התחתון של מתחם הענישה על עונשים צופי פני עתיד כגון מאסר על תנאי, קנס והתחייבות ואת הרף העליון של מתחם הענישה על 12 חודשים של מאסר בפועל. בקביעת העונש בתוך מתחם הענישה""",train
"אשר על כן, אני גוזר את דינו של הנאשם כדלקמן: אני גוזר על הנאשם לרצות 18 חודשי מאסר, מהם 4 חודשי מאסר לריצוי בפועל ו 14 חודשי מאסר על תנאי. התנאי הוא שהנאשם לא יעבור בתוך 24 חודשים מהיום העבירות בהן הורשע וכן כל עבירת רכוש שהיא פשע. סה\כ ירצה הנאשם 4 חודשי מאסר בפועל. בנסיבות העניין לא מצאתי מקום לנכות מתקופת המאסר את ימי מעצרו. אני מורה כי הנאשם ירצה את ארבעת חודשי המאסר בעבודות השירות. בשים לב לחוות דעת הממונה על עבודות השירות אני מורה כי הנאשם ירצה את עבודות השירות בבית החולים בנהריה, ועליו להתייצב לשם קליטתו לעבודות השירות ביום 6.1.13 בשעה 8:00 במפקדת יחידת עבודות הממונה על עבודות השירות של מחוז צפון בשב\""ס שבכלא חרמון. הוסבר לנאשם כי עליו לבצע את העבודה במלואה, בהתאם להנחיות המעסיק והמפקח מטעם הממונה על עבודות השירות, מר שלמה ממן, טלפון 050-4074390. עוד הובהר לו, כי אם ייפר את הוראות הממונה על עבודות השירות ו/או יבצע עבירה נוספת כלשהי בתקופת ריצוי עבודות השירות, כי אז ניתן יהיה להפקיע את עבודות השירות באופן שבו יהיה עליו לרצות עונש של מאסר במתקן כליאה.""",train
"דרך השיקום. אזכיר כי שירות המבחן המליץ להעמיד את הנאשם בפיקוחו לתקופה של שנה ולהטיל עליו לרצות עונש של עבודות של\צ . סבור אני כי תקופת הפיקוח הנדרשת צריכה להיות ארוכה יותר. עם זאת מוצא אני לנכון לאמץ את גישתו של שירות המבחן לעניין עצם הפיקוח והטלת צו של\""צ. אדגיש כי לטעמי זה המקרה המתאים לעשות שימוש בפיקוח שירות המבחן כתחליף שיקומי לענישה ממשית. נאשם זה הינו מקרה מובהק של צעיר הזקוק למסגרת טיפולית. בית המשפט יכול ליצור את התנאים שיהפכו את ההליך השיפוטי להליך טיפולי שיש לקוות שיוביל את הנאשם לדרך חדשה. והיה אם לא יצלח הדבר והנאשם יחזור לסורו, כי אז ניתן יהיה להחזיר את הדיון בעניינו לבית המשפט ולגזור שוב את דינו בהתאם לחומרת מעשיו. בהביאי בחשבון את השיקולים הכוללים את נסיבותיו האישיות של הנאשם, את חרטתו של הנאשם על המעשים והודאתו, את גילו הצעיר בעת ביצוע העבירה והעדר עבר פלילי, את תסקיר שירות המבחן והמלצת שירות המבחן, לאור ההליך הטיפולי שבו החל הנאשם, אך מאידך את הנזקים שנגרמו ואשר עלולים היו להיגרם למתלוננים, סבורני כי יש להטיל במקרה זה עונשים צופי פני עתיד ולהעדיף את אינטרס שיקום הנאשם, כפי שהמליץ שירות המבחן ולהטיל ענישה שהינה ברף התחתון של המתחם שנקבע לעיל. אשר על כן, לאור המפורט לעיל, הנני מטיל על הנאשם את העונשים הבאים: לאור המלצת שירות המבחן, ובשים לב לאמור לעיל, אני מטיל עת הנאשם צו המבחן לתקופה של 24 חודשים, כאשר במהלך התקופה ימשיך הנאשם בהליך הטיפולי שבו החל ויעמוד לפיקוח במסגרת שירות המבחן; כפי שצוין משך זמן זה כפול מזה שהמליץ שירות המבחן ואולם בנסיבות העניין סבור אני כי""",train
"בבואו של בית המשפט לקבוע את מתחם העונש ההולם, עליו להביא בחשבון את העונש הקבוע בחוק למעשים שבגינם הורשע הנאשם, חומרת נסיבות המקרה ומכלול הנתונים הקשורים למעשה ולמבצע העבירה. מתחם העונש ההולם משקף קביעה ערכית לעונש ראוי, ואינו משקף, בהכרח, את הענישה המקובלת והרווחת בפסיקה קודמת, ובמיוחד בפסיקה שקדמה לכניסתו לתוקף של תיקון 113 לחוק העונשין. בענייננו הורשעו הנאשמים בעבירת מרמה והפרת אמונים. העונש המרבי בגין עבירה זו על פי סעיף 284 לחוק העונשין הינו 3 שנות מאסר. עבירת הפרת האמונים טומנת בחובה פגיעה בשלושה ערכים מוגנים: פגיעה באמון הציבור בעובדי הציבור; פגיעה בטוהר המידות של עובדי הציבור; ופגיעה בתקינות פעולת המינהל (ראו: דנ\פ 1397/03 מדינת ישראל נ' שבס (30.11.2004); ת\""פ (תל אביב) 2906-10-13 מדינת ישראל - פרקליטות מחוז תל אביב נ' אברהם לחיאני (30/09/2014); ת\""פ (ירושלים) 9890-10-12 מדינת ישראל נ' יאיר רבינוביץ ואח' (7.10.2014)). במקרה זה הנסיבות הקשורות בביצוע העבירה אינן מן החמורות ביותר. חלקם היחסי של הנאשמים בביצוע העבירה אינו החלק העיקרי. אעיר לעניין זה כי כתב האישום המתוקן הובא בפני במסגרת של הסדר טיעון. בכתב האישום לא נטען כי הנאשמים ידעו כי אותו מופלח מבצע ביחד עם רוני, שהינו עובד ציבור, עבירה. למעשה, ואומר זאת בזהירות, עובדות כתב האישום מעוררות ספק בכל הנוגע לקיומן של יסודות העבירה. עם זאת כתב האישום עצמו אינו מצביע בצורה ברורה על יסוד המודעות לביצוע העבירה. עניין זה נלקח בחשבון, תוך שבית המשפט גם מביא בחשבון כי ההודאה היא במסגרת של הסדר טיעון. לעניין זה יש להביא בחשבון את עובדת היותם של הנאשמים בעלי עבר פלילי, גם אם אינו מכביד. מאידך, ניתן להביא בחשבון את גילם הצעיר ואת""",train
"בבואו של בית המשפט לקבוע את מתחם העונש ההולם, עליו להביא בחשבון את העונש הקבוע בחוק למעשים שבגינם הורשע הנאשם, חומרת נסיבות המקרה ומכלול הנתונים הקשורים למעשה ולמבצע העבירה. מתחם העונש ההולם משקף קביעה ערכית לעונש ראוי, ואינו משקף, בהכרח, את הענישה המקובלת והרווחת בפסיקה קודמת, ובמיוחד בפסיקה שקדמה לכניסתו לתוקף של תיקון 113 לחוק העונשין. בענייננו הורשע הנאשם בעבירת מרמה והפרת אמונים. העונש המרבי בגין עבירה זו על פי סעיף 284 לחוק העונשין הינו 3 שנות מאסר. כפי שטען ב\כ המאשימה, עבירת הפרת האמונים טומנת בחובה פגיעה בשלושה ערכים מוגנים: פגיעה באמון הציבור בעובדי הציבור; פגיעה בטוהר המידות של עובדי הציבור; ופגיעה בתקינות פעולת המינהל (ראו: דנ\""פ 1397/03 מדינת ישראל נ' שבס (30.11.2004); תפ (תל אביב) 2906-10-13 מדינת ישראל - פרקליטות מחוז תל אביב נ' אברהם לחיאני (30/09/2014); תפ (ירושלים) 9890-10-12 מדינת ישראל נ' יאיר רבינוביץ ואח' (7.10.2014)). במקרה זה הנסיבות הקשורות בביצוע העבירה אינן מן החמורות ביותר. חלקו היחסי של הנאשם בביצוע העבירה אינו החלק העיקרי. אעיר לעניין זה כי כתב האישום המתוקן הובא בפני במסגרת של הסדר טיעון. בכתב האישום לא נטען כי הנאשם ידע כי אותו אבנר מבצע ביחד עם רוני, שהינו עובד ציבור, עבירה. למעשה, ואומר זאת בזהירות, עובדות כתב האישום מעוררות ספק בכל הנוגע לקיומן של יסודות העבירה. עם זאת כתב האישום עצמו אינו מצביע בצורה ברורה על יסוד המודעות לביצוע העבירה. עניין זה נלקח בחשבון, תוך שבית המשפט גם מביא בחשבון כי ההודאה היא במסגרת של הסדר טיעון. לעניין זה יש להביא בחשבון את עובדת היותו של הנאשם בעל עבר פלילי. מאידך, ניתן להביא בחשבון את העונש שבפסילת רישיונו""",train
"יש לבכר את שיקולי שיקומו של הנאשם על פני שיקולי גמול והרתעה ובהתאם, לגזור על הנאשם עונש של מאסר, שירוצה בעבודות שירות, בשילוב של מאסר מותנה ופיקוח ממושך של שירות המבחן. יחד עם זאת, לאור חומרת מעשי הנאשם, סבורה אני, כי אין מקום לנכות את תקופת מעצרו של הנאשם מיום 01/11/13 ועד ליום 15/01/14 ובסה\כ חודשיים וחצי, מתקופת עונש המאסר בפועל שכאמור אציע כי ירוצה בעבודות שירות. אשר על כן ומכל הטעמים שפורטו לעיל, אציע לחבריי לגזור על הנאשם 6 חודשי מאסר בפועל מהם לא ינוכו ימי מעצרו של הנאשם (מיום 01/11/13 ועד ליום 15/01/14 ובסה\""כ חודשיים וחצי). בנוסף, ואם תישמע דעתי, נגזור על הנאשם 12 חודשי מאסר על תנאי למשך 3 שנים, והתנאי הוא, כי לא יעבור הנאשם בתקופת התנאי עבירת אלימות פיזית שהיא פשע; 3 חודשי מאסר על תנאי למשך 3 שנים, והתנאי הוא, כי לא יעבור הנאשם בתקופת התנאי כל עבירת אלימות שהיא עוון. לצד זאת, בהתאם לחוות דעתו של הממונה על עבודות השירות מיום 02/06/15 ובשים לב להמלצת שירות המבחן, אציע לקבוע, כי הנאשם ירצה את עונש המאסר בפועל בן 6 חודשים, שנגזר עליו, בעבודות שירות, וזאת כאמור ללא ניכוי תקופת מעצרו של הנאשם. בנוסף, לנוכח המלצת שירות המבחן ולאור הסכמת הנאשם, אציע להעמיד את הנאשם בפיקוח של שירות המבחן לתקופה של שלוש שנים, במהלכם יעבור הנאשם תכנית טיפולית שתוקצה לו על ידי שירות המבחן, תוך הבהרה לנאשם, כי אם יפר את הוראות שירות המבחן בתקופת הפיקוח, ניתן יהיה להפקיע את צו המבחן ולהחזיר את עניינו לדיון בבית המשפט, שיהיה רשאי לגזור את דינו מחדש. בנסיבות העניין ולאור עמדת המתלונן לא מצאתי""",train
"תחילת המאסר תימנה מיום מעצרו – 16.8.2015; 12 חודשי מאסר על תנאי והתנאי הוא שלא יעבור הנאשם תוך 3 שנים עבירת אלימות שהיא פשע ויורשע בגינה; 6 חודשי מאסר על תנאי והתנאי הוא שלא יעבור הנאשם תוך 3 שנים עבירת אלימות מסוג עוון ויורשע בגינה. הנאשם ישלם למתלוננת פיצוי בשיעור של 50,000 ₪ אשר יופקד במזכירות בית משפט עד לא יאוחר מיום 1.7.2017, המאשימה תמסור למזכירות בית המשפט את הפרטים הדרושים לצורך ביצוע התשלום. אני מסכים. בפנינו אירוע בו, ככל הנראה, לא השלים הנאשם עם פרידת נפגעת העבירה ותקף אותה פעמים, כאשר בפעם השניה ניסה לגרום למותה, ואכן בנס ניצלו חייה. גם אם נביא בחשבון לזכותו את כל הנתונים שהוצגו בפנינו, ונניח (הגם שלא הובאו ראיות) כי ככלל הנאשם הוא אדם טוב, נוח לבריות ואיש משפחה המסייע לאימו, גם אז לא ניתן להימנע מענישה מחמירה. כפסע היה בין האירוע שבפנינו לבין אירוע קטלני. עובדה זו מחייבת ענישה הולמת שתרחיק את הנאשם מהחברה לזמן ממושך. בהתאם, מצטרף אני לתוצאה אליה הגיע חברי.",train
"נ' מדינת ישראל, פ\ד נז(2) 273, פיסקה 7)\"". עוד אזכיר כי הלכת יוסבשוילי התייחסה לסעיף 45(א) לחוק שבוטל במסגרת תיקון 113, ביטול שהמחיש את כוונת המחוקק, להחלת עקרון הלימה. ראו לעניין זה, ע\""פ 2544/12 פטאפאה נגד מדינת ישראל [פורסם בנבו] (4.8.2014) באותו מקרה הוטל לאחר תיקון 113 עונש של מאסר עולם ביחד עם מאסר למשך 20 שנה במצטבר, בגין עבירת רצח, סחר בנשק ועבירות רכוש. בהתחשב בגילו הצעיר של הנאשם, בנסיבות חייו הקשות כפי שתוארו על ידי הסנגור, בילדו הרך ובהעדר עבר פלילי, אציע לחבריי להעמיד את העונש המתאים על 5 שנות מאסר. כמובן שאי נטילת האחריות וניהול המשפט לא ישמשו לחובת הנאשם. באשר לפיצוי - אקדים ואבהיר כי מצבו הכלכלי של הנאשם אינו יכול לשמש שיקול לעניין עצם קביעת הפיצוי או גובהו וכמובן עומדת לו האפשרות לפנות למרכז לגביית קנסות באשר לפריסת הפיצוי לתשלומים. ראו בנושא זה את עניין עיסא הנ\""ל שכזכור הוטל בו עונש מאסר עולם עם 40 שנה במצטבר, בנוסף נפסק פיצוי למשפחת המנוח ופיצוי ליתר נפגעי העבירה וכך נקבע: נחשפנו במהלך שמיעת העדויות לטרגדיה הקשה שפקדה את אשת המנוח ו-3 בנותיו שהעידו לפנינו, חלקן תוך קושי נפשי רב, די בעיון בפרוטוקול עדותה של אשת המנוח שגילתה לראשונה את גופתו בדירתם המשותפת כשסכין נעוצה בגבו וכולו שותת דם. מטעמי צנעת הפרט לא אפרט את הפגיעה הקשה שמלווה את כל אחת מנפגעי העבירה, ואפנה לתוכן כל אחד מתצהירי נפגעות העבירה (ת/140א' עד ת/140ד'). אמליץ לחבריי לפצות את כל אחת מ-4 נפגעות העבירה בסכום של 100,000 ש\""ח מבלי שקביעת גובה הסכום תמנע מהן להגיש תביעה נפרדת לתביעת מלוא הפיצוי שנגרם וייגרם להן. לאור האמור לעיל""",train
