text,split
"תיקון 113 לבין קיומו של עונש מזערי לפי סעיף 355(א)לחוק העונשין, נדמה כי ברובד הכללי ידו של האחרון על העליונה\. השופט ס' ג'ובראן קבע בעניין זה כי: \""מתחם עונש הולם שתחתיתו נמוכה מעונש המינימום יכול להיקבע רק אם ניתנו טעמים מיוחדים לכך... \"" (ע\""פ 1605/13 פלוני נ' מדינת ישראל, [פורסם בנבו] פסקה 26 לפסק דינו של השופט ס' ג'ובראן (27.8.2014)). ומהתם להכא: לאחר שנתנו דעתנו למכלול הנסיבות לקולה שאינן קשורות בביצוע העבירות, כמפורט לעיל, הגענו לכלל מסקנה כי מן הראוי להשית על הנאשם בתיק זה עונש המצוי ברף התחתון של מתחם העונש ההולם שנקבע, כאמור, על ידנו, והעולה בקנה אחד עם עונש המינימום שנקבע על ידי המחוקק בסעיף 355 לחוק העונשין, שהינו רבע מהעונש המרבי שנקבע לעבירה. ודוק: לעבירה שבפנינו קבע המחוקק עונש מרבי של 15 שנות מאסר ולפיכך רבע מעונש זה עומד על תקופה של 45 חודשי מאסר, שהינה הרף התחתון של מתחם העונש ההולם שנקבע על ידנו (12 חודשי מאסר בפועל, בצד תקופה כוללת של 33 חודשי מאסר על תנאי). בצד עונשי המאסר בפועל והמאסרים על תנאי, יושת על הנאשם פיצוי בסכום גבוה לטובת המתלונן, זאת בהינתן הנזקים הרגשיים הקשים שנגרמו לו בעטיו של הנאשם, ובהינתן הנזקים הכספיים שנגרמו, כאמור, למשפחת המתלונן, לרבות הסכום הגבוה ששולם כשכר טרחת עורך דין לטיפול בעניין תלונתו של המתלונן. סיכומו של דבר, אנו דנים את הנאשם לעונשים הבאים: למאסר בפועל לתקופה של 12 חודשים. למאסר על תנאי לתקופה של 21 חודשים למשך 3 שנים, והתנאי הוא לבל יעבור הנאשם עבירה מסוג פשע לפי סימן ה לפרק י' לחוק העונשין, התשל\""ז-1977. למאסר על תנאי לתקופה של 12 חודשים למשך""",train
"לחובת הנאשם יש לציין את חומרת העבירות בהן הורשע בשני התיקים נשוא הליך זה – בתיק זה ובתיק המצורף, שכן עסקינן בעבירות אלימות, הן פיזית והן מילולית, אשר ביצע הנאשם כלפי אשתו – המתלוננת, והמעידות על מסוכנותו של הנאשם כלפיה. עיון בעובדות כתב האישום בתיק זה, מהן עולה כי הנאשם השליך כיסא לעבר המתלוננת, אשר פגע בבטנה, ואף איים על המתלוננת ברצח, מלמד כאלף עדים בדבר חומרת התנהלותו של הנאשם. זאת ועוד, לנאשם ניתנה הזדמנות להשתלב במסגרת טיפולית, לצורך טיפול בבעיית התמכרות הנאשם לאלכוהול ובבעיית האלימות של הנאשם. התנהלותו הנ\ל של הנאשם הביאה את שירות המבחן לידי מסקנה, כי קיימת במקרה דנן רמת סיכון להישנות העבירה ע\""י הנאשם, דבר המצדיק את הרחקת הנאשם מהמתלוננת. 18. בית המשפט העליון שב והדגיש לא אחת את הצורך בהשתת ענישה משמעותית על מי שנמצא אשם בביצוע עבירת אלימות כלפי בת זוגו, ולהמחשת האמור לעיל יובאו דבריו הבאים של בית המשפט העליון בע\""פ 3783/98 פלוני נ' מדינת ישראל: לפיכך, מן הראוי להשית גם על הנאשם שבפנינו ענישה מוחשית של מאסר בפועל, מעבר לתקופת המעצר בה הינו נתון, זאת לצורך הרתעת הנאשם לבל ישוב לסורו ולצורך הרתעת עבריינים בכוח, מה גם שמהתנהלותו של הנאשם, כאמור לעיל, הננו למדים, כמו גם שירות המבחן, בדבר מסוכנותו של הנאשם כלפי המתלוננת, זאת חרף עמדת המתלוננת המבקשת להשיב את הנאשם לחיק המשפחה, על רקע הקושי בגידול בתה הנכה ועל רקע המצוקה בה הינה שרויה. 20. לא נעלם מעיניי עברו הנקי של הנאשם, שהינו רופא שיניים במקצועו, וכן לא נעלמה מעיניי מצוקתו הקשה של הנאשם, הבאה לידי ביטוי בתסקירי שירות המבחן ובטיעוני הסניגור בפניי. ברם, באמור לעיל,""",train
"על בית המשפט בשלב הראשון של יישום תיקון 113 לחוק העונשין, לבדוק האם העבירות בהן הורשע הנאשם מהוות אירוע אחד או כמה אירועים נפרדים, ואז לקבוע מתחם ענישה הולם לכל אירוע בנפרד ולאחר מכן לגזור עונש נפרד לכל אירוע (בד בבד תוך קביעה האם ירוצו העונשים בחופף או במצטבר) או עונש כולל לאירועים כולם (סעיף 40 י\ג (ב) לחוק העונשין) (ראה ע\""פ 8641-12 מוחמד סעד נ' מ\""י (5/8/13)). בע\""פ 4910/13 ג'אבר נ' מדינת ישראל (29.10.2014) (להלן: עניין ג'אבר) קבע בית המשפט העליון, כי עבירות שיש ביניהן קשר ענייני הדוק ושניתן להשקיף עליהן כמסכת עבריינית אחת ייחשבו לאירוע אחד (ראו בעניין זה פסקה 5 לחוות דעתה של כב' השופטת ברק ארז בעניין ג'אבר ופסקה 2 לחוות דעתו של כב' השופט פוגלמן). בתיק זה אני בדעה כי כל אחד מהאישומים בכתב האישום המתוקן מגלם בחובו מסכת עבריינית נפרדת, כפי שנטען ע\""י בא כוח המאשימה ובצדק. עסקינן בשני אירועים הכוללים עבירות שונות כשכל אירוע מהווה מסכת עבריינית נפרדת. ודוק, העבירה מושא האישום הראשון- עבירה של מגע עם סוכן חוץ, אינה קשורה במהותה ובמאפייניה לעבירות מושא האישום השני שעניינן עבירות של הסתה לטרור וגילוי הזדהות עם ארגון טרור. על פי מבחן ה\""קשר ההדוק\"" שהותווה, מפי כב' השופטת ברק ארז, בהלכת ג'אבר, הרי ששני האישומים מושא כתב האישום המתוקן אינם מכילים את אותה \""תכנית עבריינית\"" ואין קשר הדוק ביניהם באופן המצדיק את הגדרתם כ\""אירוע אחד\"", שהרי עניינו של האישום הראשון הוא המגע שקיים הנאשם עם אסד תוך שהיה לו יסוד סביר לחשוד כי אסד הוא חבר בארגון מחבלים ובשליחותו, ואילו עניינו של האישום השני הוא אחר- הפרסומים שפרסם הנאשם בחשבון הפייסבוק""",train
"וכן כי נמלטו מהמקום עד למעצרם רק כעבור כ-10 ימים. כל אלו לצד עברם הפלילי של הנאשמים, מצדיקים את קביעת עונשם קרוב לרף העליון של טווח הענישה המוסכם. בהתחשב בהודאת הנאשמים לאחר תיקונו של כתב האישום, בחרטתם ובנסיבותיהם האישיות, לא נקבע עונשם ברף העליון אותו מבקשת המאשימה להשית. לעניין הפיצוי המרבי שניתן להשית עת שמדובר במספר נאשמים, הרי שפסיקת בית המשפט העליון אינה חד-משמעית, כפי שעולה מחוות דעתה של חברתי. עם זאת, אינני מוצאת לנכון לקבוע בתיק זה מסמרות לעניין זה נוכח העובדה שסכום הפיצוי הכולל שיושת על הנאשמים אינו עולה על התקרה הקבועה בסעיף 77 לחוק העונשין. הוחלט פה אחד להטיל על כל אחד משני הנאשמים את העונשים הבאים: 14 שנות מאסר בפועל, אשר מניינם מיום מעצרם (5.9.2018); אשר לנאשם 2 –מאסר בן 30 יום בו נשא נאשם 2, מיום 19.5.2019 (במסגרת ת\פ 10173-02-19 (שלום טבריה)) לא ינוכה מתקופת המאסר.""",train
"לחובת הנאשם יש לציין את חומרת העבירות בהן הורשע, שכן עסקינן בעבירות של החזקת נשק ותחמושת לנשק, הטומנות בחובן פוטנציאל של מסוכנות. בית המשפט העליון בשורה של פסקי דין הדגיש את חומרת עבירות הנשק ואת הצורך להשית בעבירות מסוג זה עונש משמעותי, לצורך הרתעת הפרט ובעיקר לצורך הרתעת עבריינים בכוח מלבצע עבירות בנשק, מה גם שהתופעה של שימוש שלא כדין בנשק הפכה בחברתנו, לדאבון הלב, לתופעה נפוצה וחמורה. להמחשת האמור לעיל יובאו דבריו הבאים של בית המשפט העליון בהחלטתו ברע\פ 2718/04 פואד אבו דאחל נ' מדינת ישראל: כמו כן, יפים בעניין זה דבריו הבאים של כב' השופט א. א. לוי בע\""פ 2839/05 ראיד עבדאלקאדר נ' מדינת ישראל: יחד עם זאת, ומבלי להפחית מחומרת העבירות בהן הורשע הנאשם, יש ליתן את הדעת לכך ששיטת הענישה במדינתנו הינה שיטה אינדיווידואלית, לפיה יש לבחון כל מקרה ומקרה, על פי נסיבותיו המיוחדות ועל פי נסיבותיו האישיות של הנאשם. נסיבותיו האישיות של הנאשם ונסיבות ביצוע העבירה מהוות חלק בלתי נפרד ממלאכת גזירת הדין המוטלת על בית המשפט, והינן חלק מהשיקולים, אותם על בית המשפט לשקול ולשקלל, לצורך גזירת הדין. דבריו של בית המשפט העליון בע\""פ 433/89 אטיאס נ' מדינת ישראל מבהירים את עקרונות השיטה האינדיווידואלית, בהאי לישנא: כמו כן ראוי לצטט בעניין זה את דבריו הבאים של בית המשפט העליון בע\""פ 5106/99 אבו ניג'מה נ' מדינת ישראל : בהסתמך על ההלכה הנ\""ל קבע ביהמ\""ש המחוזי בחיפה בפסק דינו בע\""פ 3705/03 מזרחי נ' מדינת ישראל, כי עונשו של המערער, שהחזיק נשק ותחמושת לנשק (אקדח עם משתיק קול ומחסנית שהכילה כדורים, וכן מחסנית נוספת לנשק שהכילה כדורים) יועמד על שישה חודשי מאסר בפועל""",train
"שוב בביטחון ובשלווה מחוץ לביתו. להמחשת הפגיעה בתחושת הביטחון של כלל הציבור הנגרמת מעבירות השוד המבוצעות באופן של תקיפה ברחוב, יפים דבריו הבאים של בית המשפט העליון שנאמרו בע\פ 6862/13 חג'אזי נ' מדינת ישראל, פסקה 9 (7.7.2014): בית המשפט העליון בשורה ארוכה של פסקי דין שב וקבע, כי מן הראוי ככלל להשית על מבצעי עבירות של שוד עונשי מאסר בפועל משמעותיים. להמחשת האמור לעיל יובאו דבריו הבאים של בית המשפט העליון, כפי שנאמרו זה מכבר בע\""פ 3219/09 פיראס חביבי נ' מ\""י (7.7.09), מפי כב' השופט רובינשטיין: \""ככלל עבירות שוד דינן מאסר בפועל, והטעמים לכך ברורים – הצורך בהרתעה ובגמול, וגם בהרחקת עבריין מן החברה לתקופה מתאימה...\"". לחובת הנאשם אוסיף, כי תכנן את מעשיו. ודוק, הנאשם חבש כובע על ראש ועקב במהלך מסלול ממושך אחר המתלונן עד שזה נכנס לבניין, ואז התנפל הנאשם על המתלונן ותקף אותו ללא רחם אף בהיותו שרוע על הרצפה. הנאשם פעל בהיותו, לפי דבריו בפני שירות המבחן, משתמש בסמים ומתוך כוונה להפיק \""רווח קל\"". לעניין זה יפים דבריה הבאים של כב' השופטת ע' ארבל בע\""פ 5265/12 עמור נ' מדינת ישראל (27.12.2012): כן ראוי להביא בענייננו את הדברים הבאים שנאמרו בע\""פ 5034/13 דזלילוב נ' מדינת ישראל (17.9.14): \""... מחובתם של בתי המשפט להעביר מסר מרתיע, וחד משמעי, לפיו כל מי שבוחר בדרך עבריינית ואלימה כדי להשיג רווחים קלים על חשבון הזולת, תוך פגיעה פיזית ונפשית בקורבנות חסרי מגן, אחת דינו להישלח מאחורי סורג ובריח לתקופה משמעותית וממושכת\"" . מעשי השוד שונים זה מזה במידת חומרתם בהתאם לנסיבותיו של כל מקרה ומקרה. עמד על כך כב' השופט רובינשטיין, במסגרת ע\""פ 4841/13 ספי נ' מדינת""",train
"בעבירה של הריגה, תקיפה הגורמת חבלה בנסיבות מחמירות וגניבה. על פי עובדות כתב האישום, המערער וחבריו הקטינים התנפלו על המנוח וחברו במגרש חניה חשוך הסמוך למועדון בו שהו. המערער הכה את המנוח בראשו עד זוב דם לאחר מכן הפשיט את המנוח וגנב ממנו את כספו ונמלט מהמקום. במסגרת הסדר הטיעון ביקשה המאשימה לגזור על המערער 9 שנות מאסר בפועל ולהפעיל במצטבר מאסר של 9 חודשים, עוד הוסכם כי ההגנה תטען באופן חופשי. בסופו של דבר גזר בית משפט על המערער 8.25 שנות מאסר לריצוי בפועל ומאסר על תנאי. ערעורו של המערער נדחה. ע\פ 3004/12 טראבין נ' מדינת ישראל (20.2.2014) - המערער הורשע בבית משפט קמא, על פי הודאתו בכתב אישום מתוקן בהסדר טיעון בשתי עבירות הריגה וכן בעבירה של קשירת קשר לביצוע פשע. על פי עובדות כתב האישום, המערער נסחף למסע אלים ולתגרה בין שתי קבוצות של אנשים שהיו מסוכסכות ביניהן. המערער היה בקבוצה ממנה נורו יריות לעבר הקבוצה השניה וכתוצאה מכך נהרגו אב ובן. במסגרת הסדר הטיעון סוכם כי המדינה תטען לעונש של עד 10 שנות מאסר וההגנה תטען טיעון חופשי לעונש, ואף הוסכם כי הסדר הטיעון הינו על רקע של כשלים ראייתיים בתיק. בית משפט קמא גזר על המערער 10 שנות מאסר, מאסר על תנאי ופיצוי בסך 195,000 ₪ למשפחת הקורבן. ערעורו של המערער על חומרת העונש נדחה. ע\""פ 7000/10 אלפידל נ' מדינת ישראל (25.10.2012)- המערער הורשע בעבירה של הריגה, בשתי עבירות של תקיפה ובתקיפה הגורמת חבלה של ממש. על פי האישום הראשון תקף המערער את המנוחה במכות חזקות בראשה וצווארה עד שהתמוטטה על המדרכה ואיבדה הכרתה, והמערער נמלט מהמקום. המנוחה פונתה לבית חולים""",train
"לחובת הנאשם יש לציין, בראש ובראשונה, את חומרת העבירה בה הורשע, זאת נוכח העובדה שעסקינן בעבירת אלימות כלפי קטין, אשר יש בצידה גרם חבלה חמורה, ולפיכך קבע בגינה המחוקק, ולא בכדי, עונש מרבי של 7 שנות מאסר. תיקון מס' 113 לחוק העונשין אינו חל בענייננו, שכן הכרעת הדין בתיק זה ניתנה כבר ביום 10/5/12, ואילו התיקון הנ\ל נכנס לתוקפו ביום 10/7/12. עם זאת, יצוין בנקודה זו, ברוח תיקון מס' 113, כי הערך החברתי המוגן שנפגע במקרה דנן הינו גופו ובטחונו של הקטין, וכי שומה על ביהמ\""ש לתרום את תרומתו על מנת להגן על קטינים מפני פגיעה בהם, זאת בדרך של השתת ענישה הולמת על מי שהורשע בתקיפת קטין, כל שכן כאשר עסקינן בתקיפה המלווה בגרם חבלה חמורה. להמחשת האמור לעיל, יפים דבריו הבאים של ביהמ\""ש העליון בע.פ. 30/04 פלוני נ' מדינת ישראל: \""הצורך להגן על קטינים חסרי ישע מפני מבוגרים הפוגעים בהם פגיעות אלימות מחייב מסר עונשי חד משמעי\"" (לא פורסם, ניתן ביום 30/3/2004). במקרה דנן עסקינן בנאשם אשר תקף קטין בן 17 ו-7 חודשים, בדרך של נגיחה בפני הקטין, וכתוצאה מכך נגרם לקטין שבר באפו, המוגדר על פי דין כחבלה חמורה. לאמור לעיל יש להוסיף, כי העובדה שהנאשם תקף את הקטין במתחם בית הספר, המשמש מקור לביטחון תלמידיו, מוסיפה נופך של חומרה להתנהלותו של הנאשם במקרה דנן, כפי שטענה ב\""כ המאשימה בנקודה זו, ובצדק. עם זאת, מנגד, ומבלי להקל ראש בחומרת העבירה בה הורשע הנאשם , שומה על ביהמ\""ש ליתן את הדעת לכך ששיטת הענישה במדינתנו הינה שיטה הדוגלת בענישה אינדיווידואלית, הבוחנת כל מקרה על פי נסיבותיו המיוחדות ועל פי נסיבותיו האישיות של הנאשם, מבצע""",train
"לחובת הנאשם יש לציין את חומרת העבירה בה הורשע, זאת על רקע נפיצות העבירה וההשלכה החמורה לביטחון הציבור הטמונה בביצוע העבירה של החזקת סכין, מה גם שקופדו במדינתנו, לדאבון הלב, חיי אדם רבים על רקע של שימוש פזיז ונמהר בסכין, בשל עניינים של מה בכך. בכתב האישום המתוקן מצוין, אומנם, כי הסכין הוחזקה במקרה דנן בתא המטען של רכבו של הנאשם, אולם יש לראות גם עובדה זו בחומרה, שכן בנקל ניתן לשלוף מתא המטען את הסכין, במהלך ויכוח או מריבה, ולעשות בה, חלילה, שימוש לרעה. ניתן לבער את העבירה של החזקת סכין שלא כדין בדרך של השתת ענישה הולמת על מי שנתפס מחזיק סכין, מבלי שעלה בידו להוכיח כי החזיקה למטרה כשרה, וענישה הולמת, משמע – עונש של מאסר בפועל מאחורי סורג ובריח, על מנת להרתיע את הפרט ולהרתיע עבריינים אחרים בכוח. להמחשת האמור לעיל, יובאו דבריו הבאים של ביהמ\ש העליון בהחלטתו ברע\""פ 2932/08 מוחמד מרג'אן נ' מדינת ישראל: \""...עבירה של החזקת סכין למטרה לא כשרה היא עבירה שיש למגר אותה, ובפגיעתה בציבור היא פגיעה קשה...\"" (ניתנה ביום 12/6/08, לא פורסמה). במקרה דנן הנאשם החזיק בסכין מחוץ לביתו ולחצריו, אף כי הורשע כבר בעבר, בשנת 2003, בביצוע עבירה של החזקת סכין שלא כדין, והושת עליו עונש של מאסר על תנאי, אשר לא היה בו על מנת להרתיעו מלשוב ולבצע עבירה דומה. זאת ועוד, כנגד הנאשם נפתח, בשנת 2005, במשטרת ישראל תיק נוסף בגין ביצוע עבירה של החזקת סכין שלא כדין, ואף עובדה זו לא הרתיעה את הנאשם מלשוב בשלישית ולהחזיק סכין שלא כדין (ראה את גיליון המרשם הפלילי ת/1). נוכח האמור לעיל, כמו גם נוכח העובדה""",train
"נ' מדינת ישראל (פורסם בנבו, ניתן ביום 2/4/1997) – בגין החזקה של 18 גרם הרואין, נדון הנאשם, שהיה מכור לסמים, ל-5 שנות מאסר בפועל וערעורו על חומרת העונש נדחה. - ע.פ. 5045/98 מגדלאני נ' מדינת ישראל (פורסם בנבו, ניתן ביום 12/6/2000 – ראה ת/5) – בגין החזקה של 24 גרם הרואין, נגזר על הנאשם עונש של 3 שנות מאסר בפועל, במצטבר לעונש של מאסר על תנאי בן שנתיים שהופעל (סה\כ 5 שנות מאסר בפועל). במקרה הנ\""ל דובר בנאשם בעל עבר פלילי בתחום הסמים, ואשר ביצע את העבירה לאחר שחרורו ממאסר קודם. ערעורו על העונש נדחה. ע.פ. 4938/00 כרים זידאן נ' מדינת ישראל (צורף ל-ת/5) – בגין החזקת סם מסוכן מסוג הרואין במשקל של 52.41 גרם וכן החזקת מאזניים אלקטרוניים לצורך שקילת הסם, הושת על הנאשם עונש של 4 שנות מאסר לריצוי בפועל, כאשר דובר בנאשם צעיר שעברו נקי. ערעורו של הנאשם סקירת פסקי הדין השונים מלמדת, כי אין קורלציה בין כמות הסם בה החזיק הנאשם לבין תקופת המאסר שהושתה עליו, וכי קיימים גזרי דין לכאן ולכאן, אם כי תמונת הפסיקה מלמדת באופן ברור, כי דינו של מי שהחזיק סם מסוכן מסוג הרואין שלא לצריכה עצמית בכמות לא מבוטלת, הינו – למאסר בפועל לתקופה משמעותית. לדידי, מתחם הענישה ההולם, בנסיבותיו של תיק זה, תוך תיתי את הדעת לכך שהנאשם ביצע, בנוסף, במסגרת אותו אירוע, גם עבירה של הפרעה לשוטר בעת מילוי תפקידו כדין, נע בין עונש של שנתיים מאסר בפועל ל-4 שנות מאסר בפועל. לחובת הנאשם, במסגרת קביעת העונש המתאים, יש לציין את עברו הפלילי המכביד, לרבות את העובדה שנגד הנאשם תלויים ועומדים שני מאסרים על תנאי,""",train
