text,split
"לציבור, אך אילו היו יוצאים מחזקתו הנזק שהיה נגרם לציבור צרכני הסמים ולציבור בכללותו היה רב. יצוין כי תפיסת הסמים לא היתה תולדה של חרטת הנאשם ונסיגתו מתוכניתו העבריינית, אלא באה בעקבות פעילות מאומצת של משטרת ישראל אשר חשפה את מעבדת הסמים. כמות הסם בה החזיק הנאשם בדירות היתה בהיקף של מאות שתילי קנבוס במשקל כולל של 256.36 ק\ג נטו. מדובר בכמות משמעותית שניתן לחלקה למנות סם רבות ולהפיצה בקרב צרכני סם רבים. בנוסף, נתתי דעתי להיקף החשמל אותו צרך הנאשם שלא כדין ואגב גניבתו בעלות של 48,824 ₪. בבואי לבחון את מדיניות הענישה הנוהגת, אציין כי מדובר בסם המוגדר כסם קל, שהיחס המשפטי והחברתי לגביו עבר שינוי. מצד אחד, הוקמו בשנים האחרונות חברות העוסקות בייצור קנאביס ברישיון, אשר היחס אליהן הוא כאל פעילות כלכלית לגיטימית (ראו: בש\""פ 8640/20 אבו קרינאת נ' מדינת ישראל (23.12.2020)). מצד שני, בית המשפט עמד על כך שאין להקל עם אלה המנסים לעשות רווח קל באמצעות הפקת סם מסוג קנביס, באופן בלתי חוקי, ובכך להביא להפצתו ולהגברת צריכתו. כך לדוגמה בע\""פ 126/22 מדינת ישראל נ' פלוני (27.4.2022) נאמרו הדברים הבאים: \""הלכה מושרשת היא שבעבירות של ייצור והפקת סם מסוכן בכמות משמעותית, על הענישה להיות מחמירה ומרתיעה (ע\""פ 2596/18 זנזורי נ' מדינת ישראל, פס' 8 [פורסם בנבו] (12.8.2018)). עבירות כאלו מעוררות \""צורך בהטלת ענישה ממשית אשר תרתיע עבריינים פוטנציאליים מביצוען. זאת, בין היתר במטרה למגר את מעבדות הסמים הפועלות במדינה, המתפשטות כאש בשדה קוצים\"" (ע\""פ 4387/20 מדינת ישראל נ' דרור, פס' 13 [פורסם בנבו] (8.2.2021)). כוחם של דברים אלו יפה גם ביחס לסם מסוג קנבוס, כבענייננו, שלגביו כבר נקבע כי \""סחר בסמים""",train
"בהתאם לתיקון 113 לחוק העונשין, מתחם העונש ההולם ייקבע תוך התחשבות בערכים החברתיים שנפגעו מביצוע העבירה, מידת הפגיעה בהם, מדיניות הענישה הנהוגה והנסיבות הקשורות בביצוע העבירה. סעיף 40יג(א) לחוק העונשין מורה כי מקום שבית המשפט הרשיע נאשם בכמה עבירות המהוות אירוע אחד, ייקבע מתחם עונש הולם לאירוע כולו ויגזור עונש כולל לכל העבירות בשל אותו אירוע. בעניינו, ברי כי מדובר באירוע אחד ולכן מתחם העונש ההולם ייקבע לאירוע כולו. הערכים החברתיים שנפגעו מביצוע העבירה במקרה דידן הם הערכים של שמירת שלמות גופו וקניינו של הציבור ומניעת כל פגיעה בהם. אין צורך להכביר מלים לגבי חומרת העבירות בהן הורשע הנאשם, בצדן ראה המחוקק להציב עונשים כבדים. לא זו בלבד שהנאשם נשא נשק ותחמושת בלא היתר על פי דין אלא שהוא ירה מאותו נשק באזור מגורים. פוטנציאל הפגיעה בנפש וברכוש, בנסיבות, היה גבוה ומחייב התייחסות מחמירה מצד בית המשפט הנדרש לתרום את תרומתו במלחמה בתופעת השימוש בנשק, תוך נשיאתו והובלתו שלא כדין. עמד על כך בית המשפט לאחרונה בע\פ 6989/13 פרח נ' מדינת ישראל (25.2.2014) שם נקבע מפי כב' השופט זילברטל כי: \""בית משפט זה חזר לא אחת על הסכנה הרבה הטמונה בעבירות נשק \""בעיקר בשל כך שעבירות מסוג זה מקימות פוטנציאל להסלמה עבריינית ויוצרות סיכון ממשי וחמור לשלום הציבור וביטחונו\"" (ע\""פ 3156/11 זראיעה נ' מדינת ישראל, פסקה 5 (21.02.2012)). בהתאם, מדיניות הענישה הנהוגה בעבירות אלה היא מדיניות של ענישה מחמירה המחייבת בדרך כלל הטלת עונשי מאסר לריצוי בפועל גם על מי שזו הרשעתו הראשונה (ע\""פ 2006/12 מדינת ישראל נ' אסדי (28.3.2012), (להלן: עניין אסדי); ע\""פ 7502/12 כוויס נ' מדינת ישראל, פסקה 6 (25.6.2013)). בענייננו, המעשים שבהם הורשע""",train
"לחומרא ראיתי להביא בחשבון את עברו הפלילי המכביד של הנאשם, אשר אין להתעלם ממנו. לחובתו הרשעות רבות בשורה ארוכה של עבירות, ובהן עבירות מתחום הרכוש, הסמים, הנשק, הסגת גבול, ועבירות על הסדר הציבורי. בגין עבירות אלה ריצה הנאשם מספר עונשי מאסר ממושכים בפועל, אשר לא הרתיעוהו מלשוב ולעבור עבירות חמורות. גם מאסר מותנה התלוי ועומד כנגדו לא הרתיעו מלחזור ולבצע עבירות נוספות. ביחס למאסר המותנה התלוי ועומד לחובת הנאשם, בנסיבות העניין, לאור עברו הפלילי כאמור, ובפרט בתחום עבירות הרכוש, אני סבור כי אין מנוס מהפעלת המאסר המותנה במצטבר לכל עונש שיוטל עליו בתיק זה. לעניין זה ראוי להפנות לדברי כב' השופט רובינשטיין בע\פ 1121/11 אזולאי נ' מדינת ישראל (27.11.11): \""...הלכה היא כי עונש מאסר על תנאי שמופעל נגד נאשם, ירוצה באופן מצטבר לעונש המאסר שנגזר עליו באותו התיק, אלא אם כן קיימים טעמים מיוחדים המצדיקים סטייה מהלכה זו. זאת, שכן \""המאסר המותנה הינו אם כן בבחינת כרטיס כניסה מחודש אל החברה. אולם, אם נכזבה הציפיה כי המאסר המותנה התלוי ועומד נגד הנידון ירתיעו מלשוב ולבצע עבירות, הרי שנחלש באופן ניכר משקלו של אינטרס השיקום וגובר משקלם של אינטרס הגמול, ההגנה על הציבור, הצורך בהרחקה מהציבור ושיקום בעת המאסר\"" (ע\""פ 4654/03 וליד נ' מדינת ישראל (לא פורסם, ניתן ביום 26.6.2006, בפסקה 26)). בנסיבות העניין, לא מצאנו מקום להתערב בקביעתו של בית המשפט המחוזי שלפיה לא מתקיימים במקרה זה טעמים מיוחדים המצדיקים את חפיפת עונש המאסר המותנה. זאת, בין היתר, לנוכח עברו הפלילי של המערער והעובדה שהמאסר המותנה לא הרתיעו מלחזור ולבצע עבירות סמים שונות\"". על יסוד מקבץ השיקולים שמניתי לעיל, אני גוזר על הנאשם את העונשים הבאים:""",train
"ולהשתקם, אך אינו מצליח בכך. הוא הוסיף \אני צריך עזרה, אני לא יודע מה לעשות עם עצמי. . . אני כל פעם יוצא וחוזר לבית הסוהר. אני רוצה לצאת נקי בפעם הזו, אני רוצה לצאת לפחות להוסטל כי אין לי לאן ללכת... מלים אלו נוגעות אמנם ללב, אך דומה כי אין זו הפעם הראשונה שהנאשם מעלה אותן, שכן גם בדברו האחרון בת\""פ 564-07-18 שבו הורשע לאחרונה, הוא ציין דברים דומים ואמר כי אינו מוצא את עצמו. אין די בהצהרת כוונות הנאמרת מהפה אל החוץ, מבלי שמתלווה אליה נחישות ומוכנות לעבור תהליך קשה של גמילה ושיקום. ברי כי הרשויות צריכות להתגייס על מנת לאפשר לנאשם לעבור תהליך זה ולסייע בידו כדי שיצליח, אך בראש ובראשונה האחריות לכך מוטלת עליו, והצלחת השיקום תלויה בכנות כוונותיו ומוכנותו להירתם לתהליך ארוך ומורכב. התחשבתי בנסיבותיו הקשות של הנאשם ובהצהרתו על אודות רצונו להשתקם ולבנות חיים טובים ונורמטיביים. יחד עם זאת, בית המשפט נדרש לשים אל נגד עיניו גם את קורבנות העבירה ואת כלל החברה הנפגעת ממעשיו של הנאשם ואלה הנהוגים כמותו. היטיב לנסח זאת השופט א' רובינשטיין (כתוארו אז) בפסק הדין שניתן בע\""פ 2163/05 אלייב נ' מדינת ישראל, (12.12.2005): סיכומו של דבר, אני גוזר על הנאשם את העונשים הבאים: א. 30 חודשי מאסר לריצוי בפועל. בנוסף, אני מורה על הפעלת המאסר המותנה בן 12 חודשים שהוטל על הנאשם במסגרת ת\""פ 564-07-18 באופן מצטבר לעונש המאסר הנ\""ל. בסה\""כ ירצה הנאשם 42 חודשי מאסר בפועל בניכוי תקופת מעצרו מיום 10.10.2020. ב. 12 חודשי מאסר על תנאי לבל יעבור משך שלוש שנים כל עבירות רכוש מסוג פשע ויורשע בגינה. ג. 6 חודשי מאסר על""",train
"פיצוי בסך 2,000 ש\ח לפלונית נוספת, המתלוננת האחרת באותו אישום. פיצוי בסך 3,000 ש\""ח לאלמונית המתלוננת באישום השלישי.""",train
"בית המשפט העליון נדרש לפני ימים אחדים, פעם נוספת, להחמרה הנדרשת במדיניות הענישה לגבי עבירות בנשק. בע\פ 2165/23 מדינת ישראל נ' פלאח בלאל (04.05.2023) נקבע: \""על חומרתן הרבה של עבירות הנשק עמד בית משפט זה פעם אחר פעם. עבירות אלו הפכו זה מכבר ל\""מכת מדינה\"" בחברה הישראלית (ע\""פ 4406/19 מדינת ישראל נ' סובח, פסקה 16 [פורסם בנבו] (5.11.2019)). הן מסכנות את שלום הציבור, גם בהיותן \""קרקע פורייה\"" לביצוע עבירות אחרות – החל מעבירות איומים וכלה בעבירות המתה, ובשל יכולתן לגרום לפגיעות בגוף ובנפש (ע\""פ 2283/22 אל נבארי נ' מדינת ישראל, פסקה 13 לחוות דעתו של חברי השופט ח' כבוב [פורסם בנבו] (31.7.2022); ע\""פ 3728/22 מסאלחה נ' מדינת ישראל, פסקה 14 [פורסם בנבו] (9.8.2022)). נוכח האמור, הודגש לא אחת כי יש לנקוט במדיניות ענישה ממשית ומשמעותית, בה ניתן מעמד בכורה מבין שיקולי הענישה לשיקולי הרתעת היחיד והרבים, שמשמעותה הרחקת עברייני הנשק מהחברה לפרק זמן משמעותי, על ידי השמתם מאחורי סורג ובריח (ע\""פ 2880/23 מדינת ישראל נ' עיסא, פסקה 11 [פורסם בנבו] (25.4.2023); ע\""פ 8900/21 מחאג'נה נ' מדינת ישראל, פסקה 9 [פורסם בנבו] (14.8.2022)). כן נקבע, כי עונש מאסר בפועל לתקופה של 3 שנים בגין עבירות הקשורות לנשק התקפי הוא ברף הנמוך של הענישה הראויה (ע\""פ 4077/22 פלוני נ' מדינת ישראל, פסקה 13 [פורסם בנבו] (28.7.2022)). וכפי שקבעתי בעבר, המסר העונשי הנגזר ממדיניות הענישה האמורה הוא כי \""שומר נפשו ושלומו – ירחק מעבירות הנשק באשר הן, קלות כחמורות\"" (ע\""פ 78/21 פלוני נ' מדינת ישראל, פסקה 10 [פורסם בנבו] (26.7.2022)). זאת ועוד, מדיניות הענישה המחמירה חלה על \""כל חוליית השרשרת העבריינית\"" בעבירות הנשק, החל ממי שסוחר בנשק לא חוקי""",train
"\ככלל, יעדים עונשיים אלו מוחקים מניה וביה את בקשת העבריין לשיקום [...] גם כאשר מדובר בעבריין צעיר שהסתבך לראשונה בפלילים ובקשתו לשיקום כנה ואף זוכה לתמיכתו של שירות המבחן\"" (ראו ע\""פ 4077/22 פלוני נ' מדינת ישראל (פסקה 12) [פורסם בנבו] (‏28.7.2022)). זאת, מסיבה פשוטה: \""בימים קשים אלה, השיקום שבראש מעייננו הוא שיקום המרחב הציבורי המדמם כתוצאה מעבירות נשק בלתי פוסקות והשימוש העברייני בנשק חם.\"" (שם). בהקשר זה אוסיף ואציין את המובן מאליו: בית משפט שמקל בעונשו של עבריין נשק מכביד על החברה שנאלצת להגן על עצמה – על כל בניה ובנותיה – מעברייני נשק\"". בע\""פ 4103/22 מדינת ישראל נ' אמון (6.11.2022) נאמר כי: \""בית משפט זה שב והדגיש את החומרה הרבה הגלומה בעבירות בנשק. עבירות אלו טומנות בחובן פוטנציאל פגיעה בחיי האדם ובשלמות גופו, ומסכנות את ביטחון הציבור והסדר הציבורי בכללותו (עניין ביאדסה, פסקה 6; ע\""פ 1695/22 מדינת ישראל נ' גנאים, פסקה 11 [פורסם בנבו] (29.3.2022); ע\""פ 5522/20 חלייחל נ' מדינת ישראל, פסקה 7 [פורסם בנבו](24.2.2021) ). חומרתן הרבה של עבירות מסוג זה מתעצמת, בין היתר, משום החשש שישמשו בסיס לביצוע פעילות טרור או פעילות עבריינית (ע\""פ 8017/20 מדינת ישראל נ' גריפאת, פסקה 6 [פורסם בנבו] (22.12.2020); ע\""פ 135/17 מדינת ישראל נ' בסל, פסקה 10 [פורסם בנבו] (8.3.2017)). בנוסף, כפי שצוין בעבר, עבירות בנשק במדינת ישראל הפכו זה מכבר ל\""מכת מדינה\"", ומשכך קיים צורך בענישה מחמירה, אשר תגביר את ההרתעה מפני ביצוען. לעניין זה יפים דבריו של השופט י' עמית בעניין קדורה: \""החזקת נשק שלא כדין מאיימת על שלום הציבור ובטחונו [...]. לנוכח היקפן המתרחב של עבירות המבוצעות בנשק, הזמינות הבלתי נסבלת של נשק בידי מי""",train
"במספר רב של הזדמנויות. בע\פ 4456/21 מדינת ישראל נ' אבו עבסה (23.01.2022), נאמרו, בהקשר זה, הדברים הבאים: בהתאם לזאת, וכחלק מתפקידו של בית המשפט בביעורן של תופעות קשות אלו, קיימת חשיבות של ממש להטלת ענישה הולמת ומרתיעה על כל חוליות השרשרת העבריינית – החל מיצרני או מבריחי הנשק הבלתי חוקי, דרך הסוחרים בו, ועד לאלו הנוטלים אותו לידם ועושים בו שימוש בלתי חוקי. לצורך בחינת מדיניות הענישה הנוהגת, אפצל את הדיון בסעיף זה על פי העבירות העיקריות הרלוונטיות, וכלהלן: * בע\""פ 5602/22 מדינת ישראל נ' פלוני (14.09.2022) נקבע כי מתחם העונש ההולם שראוי לקבוע לגבי נאשם בגיר שהורשע בנשיאה של נשק חם באופן בלתי חוקי במרחב הציבורי, נע בין 30-42 חודשי מאסר לריצוי בפועל, ובלשון בית המשפט: \""בהמשך לדברים אלה הבהרתי, בפסק הדין שניתן באחרונה בהסכמת חבריי השופטים י' אלרון וי' כשר, כי הענישה המחמירה והבלתי מתפשרת כאמור צריכה לחול ללא סייגים על כל נאשם בגיר באשר הוא, שכן \""בטיפולנו בעבירות [נשק] מסוג זה ובמבצעיהן, להרתעת היחיד והרבים ולהרחקת עברייני הנשק מהחברה על ידי השמתם בין כותלי הכלא לתקופות ממושכות יש מעמד בכורה\"", ועל כן \""ככלל, יעדים עונשיים אלו מוחקים מניה וביה את בקשת העבריין לשיקום [...] גם כאשר מדובר בעבריין צעיר שהסתבך לראשונה בפלילים ובקשתו לשיקום כנה ואף זוכה לתמיכתו של שירות המבחן\"" (ראו: ע\""פ 4077/22 פלוני נ' מדינת ישראל, פסקה 12 [פורסם בנבו] (‏28.7.2022)). זאת, מסיבה פשוטה: \""בימים קשים אלה, השיקום שבראש מעייננו הוא שיקום המרחב הציבורי המדמם כתוצאה מעבירות נשק בלתי פוסקות והשימוש העברייני בנשק חם.\"" (שם). בהקשר זה אוסיף ואציין את המובן מאליו: בית משפט שמקל בעונשו של עבריין נשק מכביד על""",train
"נעשה שימוש כלשהו בכלי הנשק. יתר על כן, התחמושת נתפסה במלואה והועברה לידי המשטרה ללא חסרים, עובדה המלמדת על כך שלא נעשה בה כל שימוש. עוד עולה מעובדות כתב האישום כי העסקה של רכישת הנשק התבצעה בסמוך לביתו של הנאשם. ומכאן שההובלה והנשיאה נעשו לפרק זמן קצר ולמרחק לא רב. גם בכך אני רואה משום נסיבה לקולא. בהביאי בחשבון את הערכים החברתיים שנפגעו כתוצאה מביצוע העבירות נשוא ענייננו, את מידת הפגיעה בהם, את נסיבות ביצוע העבירות כמפורט לעיל ואת מדיניות הענישה הנהוגה, אני סבור כי מתחם העונש ההולם במקרה דידן נע בין 10 - 36 חודשי מאסר בפועל. בנסיבות שאינן קשורות בביצוע העבירה ראיתי להתחשב בהודייתו של הנאשם עוד בחקירתו במשטרה ובטרם החלה שמיעת הראיות בתיק. הודייה זו לא רק שהביאה לחסכון בזמן שיפוטי יקר, אלא שהיא מגלמת בחובה גם נטילת אחריות מצד הנאשם על מעשיו. בנוסף, יש להביא בחשבון את עברו של הנאשם. לנאשם שלוש הרשעות קודמות אולם שתיים מהן בתחום התכנון והבניה ועל כן איני רואה לייחס להן משקל רב. הרשעתו השלישית של הנאשם היא מתחום האלימות ואותה יש לזקוף לחובתו. לא מדובר בעבירה מלפני שנים רבות שכן הרשעתו בעבירה זו היא משנת 2011. יחד עם זאת, אין לומר כי בפנינו ניצב נאשם בעל עבר מכביד שבחר לו בדרך חיים עבריינית. בנוסף, התמונה המצטיירת מתסקיר שירות המבחן על אודות הנאשם הנה בכללה חיובית, הגם שלא באה המלצה טיפולית לגביו. מדובר במי ששמר על יציבות תעסוקתית, הקים משפחה אותה הוא מפרנס ומי שמקיים, באופן כללי, אורח חיים נורמטיבי. לפיכך ראיתי לקבוע את עונשו של הנאשם בצדו התחתון של המתחם שנקבע. על יסוד מקבץ האמור אני",train
"8664/19 בכר נ' מדינת ישראל שהוזכר לעיל, נדון עניינו של מי שהורשע על פי הודאתו בעבירות של סיכון חיי אדם במזיד בנתיב תחבורה, הפרעה לשוטר בשעת מילוי תפקידו ואי ציות לרמזור אדום. שירות המבחן ציין בתסקירו כי מדובר בנאשם שנסיבות חייו מורכבות, ונוכח התרשמותו כי מדובר במי שגילה מוטיבציה להליך טיפולי, המליץ על הטלת עונש מאסר קצר שירוצה בעבודות שירות לצד העמדת הנאשם שם בצו מבחן. בסופו של דבר, גזר בית המשפט המחוזי על הנאשם 24 חודשי מאסר בפועל לצד עונשים נלווים. ערעור על חומרת העונש נדחה על ידי בית המשפט העליון. בע\פ 779/19 אבו מדיעם נ' מדינת ישראל שהוזכר לעיל אף הוא, ואליו הפנה הסנגור, מדובר היה במי שהורשע בעבירות של סיכון חיי אדם בנתיב תחבורה, הפרעה לשוטר בעת מילוי תפקידו ונהיגה בפסילה. בית המשפט המחוזי גזר על הנאשם שם 20 חודשי מאסר בפועל לצד ענישה נלווית. ערעור על חומרת העונש שהוגש לבית המשפט העליון נדחה, תוך שצוין כי הענישה הנוהגת ביחס לעבירות בהן הורשע הנאשם כוללת עונש של שלוש שנות מאסר בפועל ויותר. בית המשפט העליון הוסיף כי בית משפט קמא הלך כברת דרך לקראת הנאשם והקל בעונשו באופן משמעותי נוכח נסיבותיו האישיות והשלכות מצבו הנפשי על יכולתו להבין את הפסול שבמעשיו. בנסיבות, לא ראה בית המשפט העליון מקום להקלה נוספת. לאחר שבחנתי את הערכים המוגנים שנפגעו כתוצאה מביצוע העבירות בענייננו, ואת נסיבות ביצוען ולאחר שנתתי דעתי למדיניות הענישה הנוהגת במקרים דומים, אני קובע כי מתחם העונש ההולם לגבי הנאשם 2 נע בין 30-54 חודשי מאסר לריצוי בפועל לצד עונשים נלווים. מתחם העונש ההולם לגבי הנאשם 1 נע בין 18-30 חודשי מאסר לריצוי בפועל""",train
