text,split
"אליו עם הרכב והנאשם שישב במושב הקדמי ליד הנהג, הושיט את ידו מחוץ לחלון וניסה לטול מידי המתלונן את ארנקו. האחר האיץ את מהירות הרכב באופן שגרם למתלונן להיתלות על החלון הקדמי של הרכב. הנאשם היכה בראשו של המתלונן והוא נפל על הכביש. הנאשם והאחר נמלטו מהמקום עם ארנקו של המתלונן. למתלונן נגרמו חבלות. נקבע מתחם עונש הנע בין 18 ל-48 חודשי מאסר בפועל, והושת על הנאשם עונש של 20 חודשי מאסר בפועל. בע\פ 936/14 אברהה נ' מדינת ישראל (31.8.14), נדחה ערעורו של נאשם שהורשע לאחר ניהול הוכחות בעבירה של שוד בנסיבות מחמירות. הנאשם הבחין במתלונן שצעד ושוחח בטלפון, הגיח מאחוריו ביחד עם שלושה אחרים והיכה את המתלונן באגרוף. המתלונן נפל ארצה, הנאשם נטל את הטלפון והעבירו לאחרים. בהמשך, ניסה הנאשם לחנוק אותו באמצעות שרשרת. המתלונן החל להימלט והנאשם דלק אחריו למרחק קצר. בית המשפט קבע מתחם עונש הנע בין 6 ל-24 חודשי מאסר בפועל. הנאשם צעיר ללא עבר פלילי נדון לעונש של 20 חודשי מאסר בפועל. בע\""פ 1615/17 עבידאת נ' מדינת ישראל (6.9.17); ת\""פ (מח' י-ם) 21372/08-15 מדינת ישראל נ' עבידאת (4.1.17), נדחה ערעורם של שני נאשמים שהורשעו בעבירה של שוד בנסיבות מחמירות. המתלוננת, צעירה שסיימה את עבודתה בשעת לילה הלכה ברחוב, אחד הנאשמים התקרב אליה, משך בחוזקה את תיקה והמתלוננת נפלה. הנאשמים תפסו את המתלוננת, בעטו בגבה וניסו לחטוף ממנה את תיקה בכוח. המתלוננת התנגדה ובתגובה אחד הנאשמים תפס את ידה בחוזקה והנאשמים נטלו את הטלפון שלה ונמלטו. בית המשפט קבע מתחם עונש הנע בין שנה ל-3 שנות מאסר. הנאשמים צעירים, ללא עבר פלילי נדונו לעונש של 16 חודשי מאסר בפועל. בת\""פ (מח' חי')""",train
"הרשעתו האחרונה משנת 2009. בגין הרשעתו האחרונה נדון לקנס בסך 10,000 ₪. נאשם 2 יליד 1958, אב לחמישה ילדים, שניים מהם עדיין סמוכים על שולחנו. הנאשם סובל מבעיות גב, סכרת ולחץ דם. הנאשם נעדר עבר פלילי. הנאשם אינו עובד מזה 10 שנים בעקבות מצבו הרפואי. רעייתו סובלת אף היא ממחלות שונות ואינה עובדת. מצבו הכלכלי של הנאשם קשה, סך חובותיו הגיעו ל- 100,000 ₪ והוא פתח בהליכי פשיטת רגל. אין ספק כי הטלת קנס משמעותי תפגע בו ובמשפחתו. הנאשם הודה במיוחס לו, נטל אחריות והביע חרטה על מעשיו. נאשם 3 הינו יליד 1965, אב לשני ילדים קטנים, חולה סכרת, מטופל באינסולין וסובל מפגיעה ביד וברגל. הנאשם אינו עובד ומשפחתו נסמכת על הכנסתה של רעייתו שהינה מורה והכנסתה הינה כ- 5,700 ₪. מצבם הכלכלי קשה. הטלת קנס משמעותי על הנאשם תפגע בו ובמשפחתו. הנאשם הודה במיוחס לו, נטל אחריות והביע חרטה על מעשיו. לחובתו של הנאשם שלוש הרשעות קודמות ב- 14 עבירות שונות בהן ציד צבאים ללא היתר, ציד ללא רישיון ציד, החזקת בעל חיים מוגן ללא היתר, פגיעה בערך טבע מוגן ועוד. הרשעותיו הינן מן השנים 2002-2003 והתיישנו זה מכבר. בגין הרשעתו האחרונה נדון לקנס בסך 8,000 ₪. בכל הנוגע לטענת ב\כ נאשם 2 לפיה אין להביא בחשבון רישום פלילי שהתיישן, סבורני כי דין הטענה להידחות. בהקשר זה ראוי להדגיש כי הוראת ההתיישנות שבסעיף 14(א) בחוק המרשם הפלילי ותקנת השבים, תשמ\""א 1981 מונעת מסירת מידע על עבירה שהתיישנה לגופים המקבלים מידע בהתאם לסעיפים 6-9 לחוק. הואיל ובתי המשפט אינם נמנים עם אותה גופים, שכן המידע נמסר להם מכוח סעיף 5 לחוק, הרי שבתי המשפט חופשיים להסתמך""",train
"סם מסוג קנבוס במשקל של כ-109 ק\ג. לא הוכחה כל מעורבות של הנאשם בגידול הסמים וקיום העבדה. נקבע מתחם עונש שבין 6 ל-18 חודשי מאסר. לנאשם עבר פלילי מכביד, כולל בעבירות סמים, נדון לשנת מאסר בפועל. בת\""פ (מח' מר') 4460-04-18 מדינת ישראל נ' ברבי (28.5.19), הורשע נאשם על פי הודאתו בעבירה של סיוע לייצור, הכנה והפקה של סם מסוכן ולגניבת חשמל וכן בהחזקת סם שלא לצריכה עצמית. הנאשם סייע לאחר להקים מעבדה לגידול סם מסוג קנאביס במשקל של 73 ק\""ג בכך שנכח בדירה, טיפל בשתילים והוציא שקי פסולת מהמקום. בית המשפט קבע מתחם עונש הנע בין 9 ל-20 חודשי מאסר בפועל. הנאשם ללא עבר פלילי, נדון לעונש של 9 חודשי מאסר לריצוי בעבודות שירות. בת\""פ (מח' מר') 14578-04-19 מדינת ישראל נ' אברגיל (4.7.19), הורשע נאשם על פי הודאתו בעבירת סיוע לייצור, הכנה והפקת סם. הנאשם סייע לאחיו, המבצע העיקרי, לגדל במעבדת סם מסוג קנביס במשקל של 80 ק\""ג. עברו הפלילי התיישן. במסגרת הסדר טיעון הוטל על הנאשם עונש של 6 חודשי מאסר בפועל ויום, ואילו על המבצע העיקרי הוטל עונש של 26 חודשי מאסר בפועל. בת\""פ (מח' מר') 2679-03-18 מדינת ישראל נ' בכור (13.6.19), הורשע נאשם על פי הודאתו בעבירת סיוע לייצור סם מסוכן. הנאשם סייע לאחיו בכך שגזם במשך מספר שעות את שתלי הסם מסוג קנאביס. במעבדה נתפס סם מסוג קנאביס במשקל של 165 ק\""ג. בית המשפט קבע מתחם עונש הנע בין 5 ל-15 חודשי מאסר בפועל. הנאשם ללא עבר פלילי ושירות המבחן המליץ בעניינו על עונשי של\""צ וצו מבחן. הנאשם נדון לעונש של 5 חודשי מאסר לריצוי בעבודות שירות לצד ענישה נלווית. בת\""פ (מח'""",train
"הדעת לכך שבעבירות השוד קיימים מדרגי ביניים של חומרה, ובמסגרת זו יש לבחון את מידת התכנון והתחכום; מספר המשתתפים במעשה; טיב ושווי הרכוש שנשדד (רכב, כסף מזומן, תכשיטים, אופניים או קורקינט חשמליים, טלפון סלולרי); מקום ביצוע העבירה (בית מגורים, סניף בנק, חנות נוחות, קיוסק, רחוב); האם נעשה שימוש בנשק קר או חם (אקדח, סכין, חפץ דמוי אקדח), האם הופעלה אלימות פיזית ובאיזו מידה; זהות הקורבן (קשישים, עובדי לילה, נהגי מוניות, בני נוער); הנזקים שנגרמו ועוד. במקרה זה מידת הפגיעה בערך המוגן היא בינונית. הנאשם ביחד עם שלושה אחרים, תקפו קטין כבן 16 שהלך ברחוב עם חבר ובידיו קורקינט חשמלי, זאת לאחר שדרש מהקטין את הקורקינט ואיים עליו שאם לא יענה לדרישתו הוא וחבריו יכו אותו. הנאשם הפיל את המתלונן ארצה ואז ביחד עם שניים אחרים היכו אותו במכות אגרוף ובעיטות בפניו, בראשו ובחלקי גופו וגרמו לפציעתו. תקיפת קורבן קטין באלימות בצוותא מחמירה את הפגיעה בערך המוגן, וזאת אף אם הנאשם לא היה מודע לגילו המדויק של נפגע העבירה. במסגרת הנסיבות הקשורות בביצוע העבירה, יש לתת את הדעת לכך שהנאשם ביחד עם שלושה אחרים פנו למתלונן וחברו, שניהם קטינים, הנאשם שאל את המתלונן אם הוא מוכר את הקורקינט החשמלי שאחז בידו. לאחר שנפגע העבירה השיב בשלילה, התרחקו הנאשם ושלושת האחרים מהמקום ואז שבו בריצה תוך שהנאשם מאיים על נפגע העבירה ודרש שייתן לו את הקורקינט, שאלמלא כן יכו אותו. לאחר שהמתלונן סירב למסור לנאשם את הקורקינט, הנאשם ניסה להכות במכת אגרוף את המתלונן והפילו ארצה, ואז הנאשם ושניים מהאחרים תקפו את נפגע העבירה באגרופים ובבעיטות בפניו, בראשו ובחלקי גופו. בנוסף ניסו הנאשם והאחרים לפגוע בחברו של המתלונן",train
"תרופתי נגד דכאון וחרדה אך הפסיק אותו על דעת עצמו לפני כחצי שנה. הטלת עונש קונקרטי על הנאשם תפגע בו ללא ספק. הנאשם הודה במיוחס לו, נטל אחריות למעשיו והביע חרטה. מעשיו של הנאשם אירעו כשברקע מערכת יחסים עכורה בינו לבין המתלוננת וחוסר יכולתו של הנאשם להתמודד עם המצב. הנאשם זכה לתעודת הוקרה ממשטרת ישראל על תרומתו ליחידת הג'יפים שוהם. העבירות שבתיק העיקרי בוצעו בחודש ספטמבר 2013, כתב האישום בגינן הוגש בנובמבר 2014. העבירות שבתיק המצורף בוצעו בחודש מאי 2016, כאמור, לאחר שהנאשם כבר הורשע בתיק העיקרי ואף התקבל בעניינו תסקיר שירות מבחן. עוד יש לתת את הדעת לשיקול הרתעת היחיד בגדרו של המתחם, וזאת בשים לב למצבו הנפשי של הנאשם ולסירובו לקבל טיפול, כמו גם להתרשמות שירות המבחן לפיה זקוק הנאשם למסגרת טיפולית אינטנסיבית וכן לעובדה כי גם בעת הזו לא הסתיים הסכסוך בינו לבין המתלוננת. באיזון בין השיקולים השונים, סבורני כי יש לגזור על הנאשם עונש של צו של\צבהיקף משמעותי לצד עונשים נלווים. צו של\""צ בהיקף של 250 שעות. שירות המבחן מתבקש לגבש תכנית של\""צ עבור הנאשם ולהגישה לאישור בית המשפט בתוך 60 ימים, ללא צורך בדיון. 5 חודשי מאסר על תנאי, לבל יעבור הנאשם במשך שנתיים מהיום עבירת איומים או תקיפת שוטר. מובהר בזאת לנאשם כי אם לא תגובש תכנית של\""צ כנדרש, או אם לא יבצע את השל\""צ כנדרש, ניתן יהיה להפקיע את צו השל\""צ ולשוב ולגזור את דינו. ככל שיהיה צורך בכך לשם גיבוש תכנית השל\""צ, הנאשם ימסור בדיקות שתן לגילוי סמים. מזכירות בית המשפט תמציא העתק גזר דין לשירות המבחן.""",train
"חודשי מאסר, והשית על הנאשם עונש של 30 חודשי מאסר בפועל לצד ענישה נלווית. בית המשפט העליון קבע כי העונש ראוי בנסיבות העניין. בע\פ 3641/14 מדינת ישראל נ' חסונה (2.7.14), קיבל בית המשפט העליון את ערעורה של המדינה והחמיר בעונשו של נאשם אשר הורשע על פי הודאתו בעבירה של סיכון חיי אדם בנתיב תחבורה, חבלה במזיד ונהיגה בזמן פסילה. הנאשם נהג בהיותו בזמן פסילה ובעת ששוטרים שנסעו אחריו בניידת כרזו לו לעצור, האיץ את מהירות נסיעתו, חצה צומת ברמזור אדום. הנאשם נהג במהירות, פגע בניידת המשטרה, פגע ברכב חונה, עלה על מדרכה, נסע בניגוד לכיוון התנועה, עקף בצורה מסוכנת וגרם לנהגים אחרים לסטות מנתיב נסיעתם, לבסוף נחסם על ידי סוכת אבלים אליה הגיע. בית המשפט המחוזי קבע מתחם עונש הנע בין 8 ל- 30 חודשי מאסר בפועל והשית עליו עונש של 15 חודשי מאסר בפועל. בית המשפט העליון התייחס לחומרת העבירה ולסיכון הנשקף ממנה לחיי אדם ולשלום הציבור וכן להלכת אבולקיעאן והעמיד את עונשו של הנאשם על 25 חודשי מאסר בפועל. בע\""פ 4763/17 ותד נ' מדינת ישראל (29.1.18), נדחה ערעורו של נאשם אשר הורשע על פי הודאתו, בעבירה של סיכון חיי אדם במזיד בנתיב תחבורה, הפרעה לשוטר ונסיעה נגד כיוון התנועה. הנאשם נהג בניגוד לכיוון התנועה באופן שגרם לנהגים אחרים לסטות הצידה כדי לא להיפגע, חצה מספר צמתים ברמזור אדום, עבר בין נתיבי התנועה והמרדף הסתיים אך כאשר רכבו של הנאשם התנגש בתלולית עפר והנאשם נמלט רגלית מהמקום. בית המשפט המחוזי קבע מתחם עונש הנע בין 20 ל- 40 חודשי מאסר בפועל והשית על הנאשם, צעיר ללא עבר פלילי אשר החל בהליכי שיקום, עונש של 20""",train
"כתב האישום מתאר אירוע אחד, ומכאן שיש לקבוע בגינו מתחם עונש הולם אחד. במקרה דנן, הערך החברתי אשר נפגע הינו הגנה על חיות הבר. בחינת מידת הפגיעה בערך המוגן מובילה למסקנה כי הפגיעה בערך המוגן הינה ברף משמעותי נוכח ציד של חיית בר מוגנת, צבי ארץ-ישראלי. בצידה של עבירה זו קבע המחוקק עונש מאסר של שנתיים או קנס עד 150,600 ₪ (כפל הקנס הקבוע בסעיף 61(א)(3) לחוק העונשין). על חומרת העבירה ניתן אף ללמוד מדברי כב' השופט ס' ג'ובראן ברע\פ 8122/12 פחמאווי נ' מ\""י (27.1.13): בחינת מדיניות הענישה הנוהגת מעלה כי במקרים דומים הוטלו על נאשמים עונשים במנעד רחב כמפורט להלן: בעפ\""א (מח' נצ') 1027/07 נאיף נ' רשות הטבע והגנים (8.4.08), 4 המערערים עסקו בציד צבאים ארץ ישראלים וחוגלות במהלך נסיעה ברכב באמצעות רובה ציד. בימ\""ש קמא הטיל על הנאשמים קנס בסך 5,000 ₪. ערעורם נדחה והקנס נותר על כנו. בת\""פ (אשק') 1442/09 רשות שמורות טבע נ' מנסור (26.2.15), הנאשמים עסקו בציד צבאים ארץ-ישראלים באמצעות רובה ציד דו-קני. בשקית שהושלכה מרכבם נמצאו 4 צבאים ארץ ישראלים ירויים ושחוטים. בימ\""ש קבע כי מתחם העונש ההולם בנסיבות דנן הינו: קנס כספי הנע בין 15,000 ₪ ל- 25,000 ₪. שניים מהנאשמים נעדרי עבר פלילי, היתר בעלי עבר פלילי. בימ\""ש השית על הנאשמים את העונשים הבאים: נאשם 1 ו-3: קנס בסך 25,000 ₪. נאשם 2: קנס כספי בסך 15,000 ₪. נאשם 4: קנס כספי בסך 20,000 ₪ בת\""פ (טב') 15298-03-12 מ\""י נ' עביד (22.9.16), הורשעו הנאשמים בציד צבי ארץ ישראלי ובציד חוגלות מתוך טנדר בו שהו בזמן הציד. בשקית ניילון אשר הושלכה מרכבם נמצאו 2 חוגלות ירויות (הצבי לא נשחט""",train
"דקר אותו פעמיים נוספות במותן, ונמלט מהמקום. המתלונן אושפז למשך שבוע. הקטין ללא עבר פלילי. התרשמות חיובית של שירות המבחן. בית המשפט העליון הקל בעונשו ל-15 חודשי מאסר בפועל (חלף 20 חודשים). בע\פ 121/16 מדינת ישראל נ' פלוני [פורסם בנבו] (11.2.16) בית המשפט העליון קיבל את ערעור המדינה על קולת עונשו של קטין, אשר הורשע בעבירות של חבלה חמירה בנסיבות מחמירות ופציעה בנסיבות מחמירות. הנאשם, בן 17 ו-7 חודשים בעת ביצוע העבירה, דקר, במהלך תגרה, את המתלונן שלוש פעמים בגבו, וכן דקר מתלונן נוסף בגבו ובידו. כתוצאה מכך שנגרמו להם חבלה ופציעה. אחד מהם אושפז לכמה ימים. אין לחובתו הרשעות קודמות. המלצה חיובית של שירות המבחן. בית המשפט העליון העמיד את עונשו על 12 חודשי מאסר בפועל. בע\""פ 9888/09 שניר נ' מדינת ישראל [פורסם בנבו] (7.4.10) נדחה ערעורו של קטין, בן 17 ו-3 חודשים, שהורשע בעבירה של חבלה חמורה בנסיבות מחמירות ובעבירות רכוש. הקטין הסתכסך על המתלונן על רקע מעצרו בחשד לעבירות של גניבת רכב. כשנה מאוחר יותר, הבחין הנאשם במתלונן, רדף אחריו כשהוא מחזיק בסכין, תפס את המתלונן ודקר אותו חמש דקירות בחלקי גופו השונים. המתלונן נחבל ואושפז לשלושה ימים. שריות המבחן נמנע מהמלצה. לחובתו רישום קודם ללא הרשעה. הנאשם נדון ל-12 חודשי מאסר בפועל. בע\""פ 1463/09 מדינת ישראל נ' פלוני [פורסם בנבו] (15.6.09) החמיר בית-המשפט העליון בעונשו של קטין בן 16 שהורשע על פי הודאתו בעבירה של חבלה חמורה בנסיבות מחמירות והחזקת סכין. הנאשם דקר את המתלונן בצווארו ובידו בעקבות ריב. המתלונן אושפז למשך מספר ימים. קטין ללא עבר פלילי. תסקירים חיוביים. בית-המשפט המחוזי גזר על הנאשם 6 חודשי עבידות שירות. בית המשפט העליון,""",train
"הוא החל מ-26 חודשי מאסר בפועל ל- 52 חודשי מאסר בפועל. במקרה דנן, לא קיימים שיקולים אשר מצדיקים חריגה מהמתחם, לחומרה או לקולא. בגזירת העונש המתאים לנאשם, בגדרי מתחם העונש ההולם, יש להתחשב בנסיבות שאינן קשורות בביצוע העבירה (סעיף 40 יא'). במסגרת זו מן הראוי לתת את הדעת לכך שמדובר בנאשם כבן 37, נשוי ואב ל-5 ילדים צעירים בגילאי 2.5-11. הנאשם נעדר הרשעות קודמות, ואין ספק כי עונש מאסר ממושך יקשה עליו ועל בני משפחתו ובפרט לאור מצבו הכלכלי והחובות הכספיים הרובצים עליו. הנאשם הודה ונטל אחריות למעשיו ולדבריו עשה כן מתוך הכרה באחריותו ונכונות לשאת בתוצאות מעשיו. זאת על אף שהודאתו באשמה לא נמסרה בהזדמנות הראשונה, אלא לאחר שנשמעו שלושה עדי תביעה, ובהם שתי המתלוננות. הנאשם השתלב לדבריו במסגרת מעצרו בקבוצות חינוך בתחומים שונים. הוא ביטא נכונות להשתלב גם בבית המעצר שאליו הועבר לאחרונה, אולם לא ניתן היה לשלבו עד לאחר שייגזר דינו. הנאשם מתפקד באופן תקין בשב\ס. הנאשם הפקיד את סכום הפיצוי לעדי התביעה כפי שהוסכם בין הצדדים. הנאשם ביצע את העבירה על רקע קשיים כספיים ובחירה בפתרון שולי להשגת רווח כספי. יש לציין כי הנשק שאותו גנב הנאשם לא הושב מעולם, ולא שוכנעתי כי הנאשם עשה מאמצים לתיקון תוצאות העבירה או לשיתוף פעולה עם רשויות אכיפת בחוק, במטרה להשיב את הנשק לידי רשויות המדינה. עוד יש לתת את הדעת לשיקול ההרתעה בגדרו של המתחם, וזאת בשים לב לפסיקת בית המשפט העליון בדבר הצורך בהרתעה והעדפת האינטרס הציבורי על-פני הנסיבות האישיות של העבריין בעבירות הנשק (רע\""פ 2718/04 אבו דאחל נ' מדינת ישראל [29.3.04]). בכל הנוגע לרכיב הפיצויים, הרי שיש לתת את הדעת לנזק המוחשי""",train
"מ- 3 חודשי עבודות שירות ועד ל- 13 חודשי מאסר בפועל. במקרה דנן, לא קיימים שיקולים אשר מצדיקים סטייה מהמתחם, לחומרה או לקולא. בגזירת העונש המתאים לנאשם, בגדרי מתחם העונש ההולם, יש להתחשב בנסיבות שאינן קשורות בביצוע העבירה (סעיף 40 יא'). במסגרת זו מן הראוי לתת את הדעת לכך שהנאשם יליד 1950, נשוי, אב לילדה וסב ל- 5 נכדים. הנאשם סובל מבעיות בריאותיות משמעותיות ומוכר כנכה בשיעור של 60% על ידי הביטוח הלאומי ומתקיים מקצבה. רעייתו אף היא סובלת ממחלות ומוכרת כנכה בשיעור של 100% על ידי הביטוח הלאומי. הטלת עונש מאסר, גם אם לריצוי בעבודות שירות, תפגע בו ובמשפחתו ללא ספק. הנאשם הודה במיוחס לו והביע חרטה, הגם שבפני שירות המבחן התקשה לקחת אחריות מלאה למעשיו. חלוף הזמן ממועד ביצוע העבירה (יוני 2014) אינו עומד לזכותו של הנאשם נוכח העדר התייצבות לדיונים אשר הביא למחיקת התיק עד לאיתורו של הנאשם. לחובתו של הנאשם שתי הרשעות קודמות בעבירות של הסעת שב\ח ואיומים, אשר התיישנו בשנת 2014. עבירת הסעת שב\""ח בוצעה בשנת 2004 ובגינה נדון הנאשם בין היתר בשנת 2007 לעבודות שירות. כמו כן לחובתו 149 הרשעות תעבורה, האחרונה שבהן משנת 2014. עוד יש לתת את הדעת לשיקול הרתעת היחיד בגדרו של המתחם, וזאת בשים לב ללקיחת האחריות החלקית של הנאשם וכן לעובדה כי כבר הורשע בעבר בעבירה דומה וריצה בגינה מאסר בעבודות שירות ולא היה בכך כדי להרתיעו. בתיק מקביל שנדון בבית-משפט השלום בירושלים נדון הנאשם לחמישה חודשי מאסר לריצוי מאחורי סורג ובריח. בנסיבות אלה, סבורני כי יש להורות על ריצוי מאסר בכליאה ממש, ולקבוע שחלק מן התקופה תרוצה בחופף ומחצית במצטבר לעונש שהוטל על הנאשם""",train
