Label,GPT 4o-mini - 3 examples,,,,setFit - dictabert,,,,
,GPT_Precision,GPT_Recall,GPT_F1,GPT_F2,Dicta_Precision,Dicta_Recall,Dicta_F1,Dicta_F2,Dicta_PRAUC
CIR_AMMU_AMOUNT_WEP,0.815,0.647,0.721,0.675,0.545,0.882,0.674,0.785,0.704
CIR_HELD_WAY_WEP,0.895,0.68,0.773,0.714,0.5,0.92,0.648,0.788,0.657
CIR_OBTAIN_WAY_WEP,0.4,0.5,0.444,0.476,0.141,0.65,0.232,0.378,0.214
CIR_PLANNING,0.708,0.944,0.81,0.885,0.292,0.778,0.424,0.583,0.461
CIR_PURPOSE,0.491,0.9,0.635,0.771,0.383,0.6,0.468,0.539,0.366
CIR_STATUS_WEP,0.838,0.66,0.738,0.689,0.518,0.936,0.667,0.806,0.658
CIR_TYPE_WEP,0.952,0.755,0.842,0.787,0.859,0.981,0.916,0.954,0.888
CIR_USE,0.838,0.633,0.721,0.665,0.463,0.898,0.611,0.756,0.667
CONFESSION,0.889,0.918,0.903,0.912,0.845,0.984,0.909,0.952,0.978
GENERAL_CIRCUM*,0.667,0.698,0.682,0.692,0.674,0.964,0.793,0.887,0.854
PUNISHMENT,0.716,0.941,0.814,0.886,0.632,0.843,0.723,0.79,0.736
REGRET,0.741,1,0.851,0.935,0.485,0.8,0.604,0.708,0.588
RESPO,0.806,0.935,0.866,0.906,0.682,0.968,0.8,0.893,0.928
