question,answer,split
מהן הנסיבות המקלות שניתן לזקוף לזכותה של הנאשמת?,"כן תיזקף לזכותה הודייתה והבעת החרטה המשתמעת ממנה וכן עברה הנקי לרבות היחלצותה מעולם הסמים, כנטען על ידי בא כוחה.",train
מהי החומרה המיוחסת לקשירת קשר והברחת עובדים זרים בעבירה זו?,"מבלי שתשתמע הקלת ראש חלילה בעבירת השהיה הבלתי חוקית, החומרה אותה אני רואה בעניין שבפני, אינה בשהייה עצמה, אלא דוקא מקשירת הקשר והברחת עובדים זרים אחרים, תמורת בצע כסף.",train
מהו ההסבר לכך שהמחוקק לא איחד את שני הסעיפים העוסקים בהסתננות ושהייה בלתי חוקית?,לא בכדי הותיר המחוקק את שני הסעיפים על כנם ולא איחד בינהם.,train
"מהי הסיבה לחומרה בעבירות על חוק הכניסה לישראל, כפי שנאמר בפסק הדין?","כפי שציינתי בעניין אחר (ר' פ'  1046/05 מיום 7.2.05), תמים דעים אני עם ב\כ המאשימה, כי אכן קיימת חומרה בעבירות על חוק הכניסה לישראל.""",train
אילו נסיבות אישיות של הנאשם עשויות להשפיע על גזר הדין בעניינו?,"עוד יש להתחשב בעובדה, כי המדובר בנאשם בן 57, נשוי ואב ל-4 בנות וסב לנכדים, חסר הרשעות קודמות רלוונטיות ואשר לא נטען כי אופיו, הינו של עבריין מין מועד.",train
מהי המסקנה שהושגה לאחר שקלול כלל הנסיבות והשיקולים בעניינו של הנאשם?,"לאחר ששקלתי איפוא את כלל נסיבותיו של תיק זה וכן את שיקולי החומרא והקולא, לרבות שיקולי הענישה – ובכלל זה ההלימה וההרתעה, מסקנתי היא כי לא ניתן להסתפק בעבודות שירות ויש מקום להשית על הנאשם עונש מאסר בפועל ממשי, אם כי לתקופה מתונה משמעותית מהרף העליון שהומלץ על ידי המאשימה.",train
מהי ההמלצה הסופית של שירות המבחן לגבי עונשו של הנאשם?,"המלצת השירות כפי שמופיעה בתסקיר האחרון בפסקה האחרונה בו, מדברת בעד עצמה, ולפיה יש לשלוח את הנאשם לעונש מאסר ממושך בפועל, והכל על מנת להציב גבולות לנאשם, גבולות אותם הוא חסר עתה.",train
מהי ההשקפה לגבי העמדתו של אדם לדין לראשונה בעבירות חמורות?,"לא למיותר יהיה להעיר השקפתי, כי העמדתו של אדם לדין לראשונה, אף בעבירות בהן מצא המחוקק לנכון לקבוע לצידן עונשים כבדים יחסית, לרבות כאלה שפגיעתן החברתית והכלכלית קשה ביותר כגון עבירות סמים, רכוש ואלימות, מסתיימת בדרך כלל בענישה מופחתת.",train
כיצד השפיעה התרשמות השופט מהנאשם על ההחלטה בעניינו?,אף אני התרשמתי שהמדובר בנאשם נורמטיבי שעבר את העבירה בה הורשע בתום לב ובלא שהתכוון לזלזל בחוק ו/או להתעלם ממנו.,train
מדוע נקבע העונש המירבי לעבירת הצתת נכס המשמש את הציבור ל-20 שנות מאסר?,לא בכדי נקבע איפוא העונש המירבי הקבוע לצידה של העבירה בענייננו - הצתת נכס המשמש את הציבור - ל - 20 שנות מאסר.,train
מהי הסיבה לכך שהנאשם לא ניצל את ההזדמנות שניתנה לו להליך הטיפולי?,"ומכל האמור נראה, כי הנאשם, על אף דבריו בפני, הן במועד בו נשלח להליך הטיפול והן עובר למתן גזר הדין, לא השכיל לנצל את היד שהושטה לעברו וסגר במו ידיו את חלון ההזדמנות הרחב והנדיב שפתחה החברה עבורו, ולפיכך לא נותר לי לצערי, אלא לגזור את דינו, ביחוד כשלא קיימת אופציה טיפולית קונקרטית ראויה בענינו.",train
מהי ההשפעה של העבריינות הכלכלית על הערכים התכנוניים והחברתיים?,"מדובר בעבריינות כלכלית, לשם הפקת רווחים בסדרי גודל משמעותיים, פגיעה בערכים תכנוניים ובאיזון החברתי הכולל, תוך פגיעה וזלזול בשלטון החוק, משך תקופה של שנים רבות.",train
כיצד השפיעה מצוקתו האישית של הנאשם על שיקול הדעת בנוגע לעונש?,"לא אוכל להתעלם מדברי בא כוחו של הנאשם בדבר מצוקתו האישית הרבה של מרשו, בדידותו וגירושיו, אף אביא בחשבון כי על אף שהורשע הנאשם בתקיפת שוטר- עבירה חמורה לכשעצמה, מדובר בתקיפה מינורית- דחיפה בלבד, על רקע התפרעות כללית.",train
מדוע נחשבת העבירה בה הורשע הנאשם לזלזול בחיי אדם?,"בנסיבות אלה צודק ב\כ המאשימה בדבריו, כי המדובר בזלזול בוטה בחיי אדם וסיכונם, וכי העבירה בה מדובר הפכה למרבה הצער ל\""מכת מדינה\"" והעובדה כי הנאשם לא שעה להוראות השוטרים, תוך שנגח אף ברכבם מלמדת שאין עליו מורא הדין.""",train
מהו העיקרון המשפטי המוביל לענישה מרתיעה במקרה של שימוש בסכין?,"הקלות הבלתי נסבלת בה נשלפת סכין כפתרון למתחים בין צדדים, והזלזול הבוטה הנובע מכך בחיי אדם ובשלמות גופו, אינם יכולים ליהנות מכל סובלנות שהיא ומחייבים ענישה מרתיעה, תוך שחברה מתוקנת אינה יכולה בשום צורה להשלים עם נורמת התנהגות כזו.",train
כיצד משפיעים הביטויים המילוליים של הנאשם על ההמלצה לגמילה?,"בעניין זה ונוכח סיפת תסקיר שירות המבחן בדבר \ביטויים מילוליים\"" מצד הנאשם ברצונו לעבור הליך גמילה, אביא אף עניין זה לזכותו.""",train
מה יש להחשיב לחומרא במקרה של רשלנות בתאונת דרכים?,"במקרה שלפנינו, יש להחשיב לחומרא את רמת הרשלנות ונסיבות התאונה ואת התוצאה הקשה והקטלנית.",train
מהו המשקל שניתן לעברו הנקי של הנאשם בהקשר לעונש המוטל עליו?,"כמובן שעברו הנקי לרבות שירותו בצה\ל נזקף אף הוא לזכותו, אם כי משקלו מופחת יחסית, שכן מרבית מבצעי העבירות מסוג זה הינם אנשים נורמטיביים מטבעם.""",train
"מהו העיקרון המשפטי המנחה את בתי המשפט בענישה בעבירות אלימות, כפי שהדגישה המאשימה?","כפי שציינה בצדק ב\כ המאשימה, חזרו בתי המשפט והדגישו את הצורך בענישה מחמירה בעבירות האלימות, המדגישה את אלמנט ההרתעה ואת אינטרס הציבור להגנה על גופו ורכושו מעבריינים אלימים ומתופעת הבריונות, תוך זהירות מהעברת מסר סלחני שלילי לעבריינים בפועל ובכח.""",train
מהי הסיבה להחמרת הענישה כלפי עברייני אלימות במשפחה במקרה זה?,"בנסיבות אלה, אין ספק כי יש להרתיע עבריינים בכח ובפועל בענישה מחמירה, ביחוד כשהנתונים מלמדים, שאין זו מעידה חריגה בלבד אצל הנאשם כבעניננו, אלא מרצה הוא כעת תקופת מאסר נוספת בגין עבירות דומות שביצע כלפי בת זוגו.",train
מה קבע בית המשפט העליון לגבי עונש של 4 שנות מאסר בעבירת סיכון חיי אדם?,"בנסיבות דומות לענייננו הנוגעות לעבירת סיכון חיי אדם בנתיב תחבורה ועל אף נסיבות קשות של הנאשם אישר בית המשפט העליון עונש של 4 שנות מאסר בפועל, וקבע כי אין המדובר בסטיה לחומרה.",train
כיצד השפיעה הודאת הנאשם על חיסכון הזמן השיפוטי בתהליך המשפטי?,"בד בבד עם כל האמור, לא ניתן להתעלם מהודייתו של הנאשם וחסכון ניכר הנובע מכך בזמן שיפוטי הן של בית המשפט, הן של התביעה והן של העדים הרבים שברשימת עדי התביעה.",train
כיצד מעיד ביצוע חוזר של העבירה על זלזול ברשויות המדינה?,"ביצוע חוזר של העבירה מלמד אף על זלזול ברשויות המדינה וחוקיה וניצול לרעה של החסד שעשתה המדינה עימו בגירושו בפעמים שקדמו להליך זה, ללא משפט.",train
מהי הסיבה להחמרת הענישה בעבירות אלימות ורכוש שנעשו על ידי אנשים נורמטיביים?,"בנסיבות אלה ונוכח המציאות, לפיה הפכו למרבה הצער עבירות האלימות והרכוש הרבות לנגע חברתי, גם ע\י אנשים נורמטיביים במהותם, מתחייבת כאמור החמרת הענישה באופן שיהיה בכך כדי להרתיע מפני מעשים מסוג זה.""",train
מהו הסיכון בהקלות בעונש לנאשמים שהפרו את האמון של בית המשפט?,"אם לא יקפיד בית המשפט עם נאשמים שהפרו את האמון שבית המשפט נתן בהם ויקל ראשו בענינם, יהיה בכך, לא רק משום זילות בית המשפט והחלטותיו, אלא גם משום פיתוי לעבריינים ובעקיפין אף לעידוד העבריינות.",train
