text,split
"חודשי מאסר ועד ל-12 חודשי מאסר. מנסיבות אישומים אלה עולה כי הנאשם מכר לשוטר הסמוי פלטת סם מסוג חשיש במשקל של כמאה גרם בכל מכירה בתמורה של בין 2,400 ל-2,500 ₪. בשים לב לכמות הסם ולמחיר ששולם תמורתו, מתחם העונש ההולם אירוע זה הינו בין שישה חודשי מאסר ועד ל-18 חודשי מאסר. מתחם העונש ההולם ת.פ. 41660-12-10 הערך המוגן בעבירה זו הוא שלמות גופו של אדם. הנאשם תקף את המתלונן בשל ויכוח ובשעה שיה בגילופין ולא היסס לאיים על שוטרים בתחנת משטרה והכל בשעה שהיה שתוי. מתחם העונש ההולם עבירות אלה הוא בין מאסר מותנה שלצדו קנס או של\צ ועד לעונש של מספר חודשי מאסר. מצאתי בהתאם לסעיף 40 י\""ג (ב) לחוק העונשין לגזור על הנאשם בשל כל אחד מהאירועים עונש כולל. לחומרה, אשקול את חומרת העבירות, את העובדה שהנאשם חזר על המעשים בשמונה מועדים שונים, את העובדה כי מכר לקונים רבים את הסם, את כמויות הסם הגדולות המעידות על כך שהנאשם נמצא במדרג גבוהה בשרשרת הסם, את העובדה כי באחת העבירות אף ערב הנאשם קטין בביצוע העסקה. עוד יש להתחשב בעבירות מסוג זה בצורך בהרתעת הנאשם וכן בצורך בהרתעת הרבים ולעניין זה יפים דבריו של בית המשפט העליון על הצורך במלחמה בתופעה ובמיגורה, תוך הטלת עונשים מרתיעים: ברע\""פ 6373/06 מדינת ישראל נגד עווד אלנשמי ([טרם פורסם] מיום 6.9.2006)- נקבע כי: להרתעת הנאשם חשיבות רבה שכן, שכן חרף גילו הצעיר וההזדמנויות הרבות שניתנו לו, הנאשם שב ומבצע עבירות ולא נרתע אף ממאסר על תנאי התלוי ועומד כנגדו וממאסרים שהושתו עליו. עוד בהיותו קטין, נדון הנאשם בבית משפט לנוער למאסר של 30 יום, כאשר כב' השופט חן""",train
"גבולות עבורו. עוד יצוין, כאמור, כי שירות המבחן המליץ על להשית על ענישה טיפולית חינוכית בדמות צו מבחן, צו של\צ והתחייבות להימנע מביצוע עבירה. מנגד, מתסקיר שירות המבחן עולה, כי הנאשם נטל אחריות חלקית למעשיו, והשליך את האחריות לה על אחיו, אשר ביקש כי יאסוף שקית, שלדבריו לא ידע על תכולתה ובתוכה היה הסם. בנסיבות אלה, אין בידי לקבל את המלצת שירות המבחן. חומרת העבירה אותה ביצע, סוג הסם, כמותו והצורך בהרתעת הרבים אינו מאפשר השתת עונש כזה בעניינו של הנאשם. תהליך השיקום אשר בו מצוי הנאשם עתה הינו בשלב ראשוני ולא ניתן לומר בוודאות מה יהיו תוצאותיו. על כן, סבורתני שיש ליתן משקל מסוים לתהליך השיקום אותו עובר הנאשם, בשיתוף הפעולה שלו עם שירות המבחן, במסירת בדיקות שתן הנקיות מסמים באופן עקבי. אולם, אין בכך כדי לחרוג לקולה ממתחם העונש ההולם שנקבע. כידוע, עמדת שירות המבחן בנוגע לעונש שיש להטיל על נאשם, היא בבחינת המלצה שאינה מחייבת את בית המשפט (ראה למשל, ע\""פ 4295/15 ג'אבר אלצאנע נ' מדינת ישראל (2.5.16) רע\""פ 4144/15 אבו אלטיף נ' מדינת ישראל (16.6.15)). יודגש בהקשר זה, ששירות המבחן רשאי להמליץ כל המלצה שנראית בעיניו, אך המלצתו היא אחד מהשיקולים שעל בית המשפט לשקול עת יגזור את דינו של נאשם, שכן עליו לשקול שיקולים שהם רחבים יותר משיקולי שירות המבחן. על כן לא מצאתי לחרוג ממתחם העונש ההולם ולקבל את המלצת שירות המבחן, אך ניתן לה משקל משמעותי בעת קביעת העונש, שכן הגם שהיה מקום ליתן דגש, כאמור, גם על שיקולי הרתעת הרבים והיחיד, עונשו של הנאשם ייקבע ברף התחתון של מתחם העונש ההולם וירוצה בעבודות שירות. אשר על כן אני""",train
"על הקרקע, במצב זה בועטים בו הנאשמים, וממשיכים בכך גם כאשר נאסף קהל רב במקום. מנגד, התחשבתי בכך שנאשם 1 יצא להזמין אמבולנס ומשטרה והפסיק את האירוע. כמו כן התחשבתי בכך שהנזקים שנגרמו למתלונן אינם במדרג חומרה גבוהה באופן יחסי, שכן למרבה המזל לא עולה מעובדות כתב האישום המתוקן שנגרמה לו נכות קבועה. מעבר לשבר ברגלו ולשפשופים בגפיים וחתכים בשוקיים, לא נגרמו לו נזקים נוספים. עם זאת, יש להתחשב גם בנזק החמור שעלול היה להיגרם למתלונן כתוצאה מתקיפתו באמצעות מוטות ברזל בכל חלקי גופו. עוד שקלתי את העובדה, כי לא מדובר בסכסוך שנבע ממניע עסקי או בהתעללות לשמה, אלא הרקע לאירוע הוא עניין של כיבוד הורים. לאחר שבחנתי את פסקי הדין אשר הגישו ב\כ הצדדים לעיוני, ובחנתי את הענישה הנוהגת, יוער כי הענישה הנהוגה בעבירה זו, שבוצעה בנסיבות דומות, מתחיל מעונשי מאסר בפועל ממש, לתקופות משתנות, בהתאם לחומרת נסיבות העבירה ולנסיבותיו של מבצע העבירה. הפסיקה מבחינה בין המקרים על פי הרקע או המניע לתקיפה; האמצעים ששימשו לביצוע העבירה; הנזק שנגרם לנפגע העבירה וחומרת החבלות; חומרתה של הכוונה המקורית; התכנון המוקדם או העדרו. בע\""פ 7259/07 ראפע זבידאת נ' מדינת ישראל (17.12.07) בית המשפט העליון הותיר על כנו את העונש שהושת על הנאשם בבית המשפט המחוזי בגין תקיפת הנאשם ואחיו את המתלונן באמצעות מוט מתכת ומקל עץ בראשו ובכל חלקי הגוף, ודחפו אותו אל תעלת קוצים בשולי הכביש שם איבד את הכרתו. כתוצאה מכך סבל המתלונן משברים בעצמות ראשו ושהה באשפוז ממושך בבית החולים כשהוא סובל מקשיים בדיבור. בית המשפט העליון קבע, כי העונש שהושת על הנאשם מצוי בטווח הענישה עליו הסכימו הצדדים ומכל מקום נוכח המעשים הקשים""",train
"מאסר על תנאי ופיצוי לטובת המתלוננת. בקביעת מתחם העונש ההולם אתחשב בנסיבות הקשורות בביצוע העבירה: ביחס לתכנון שקדם לביצוע העבירה – ניתן להצביע על תכנון מסוים בעניין חבישת כובע הקפוצ'ון של הסווצ'ר שלבש מכסה את ראשו וכיסוי בד מכסה את חצי פניו התחתון לפני ביצוע המעשה ובכך שעת שהבחין במתלוננת הולכת ברחוב שעה שנסע ברכב עם אמיר גמלה בליבו ההחלטה ליטול בכוח מעל גופה את תיק הצד שלה. הנאשם בחן את הסביבה עת החל ללכת אחר המתלוננת. הורה לאמיר לעצור את הרכב ולהמתין לו שעה שהם נסעו ברחוב בו בוצע האירוע. עם זאת, אין מדובר בתכנון מוקפד, אלא תכנון עובר למעשה, לאחר שהנאשם הבחין במתלוננת וראה בכך הזדמנות לבצע שוד. עוד התחשבתי בכך שהסיבות אשר הביאו את הנאשם לביצוע העבירה הם בצע כסף, והמעשה שנעשה כלפי אישה מבוגרת, כאשר פער הכוחות הפיזיים בינה לבין הנאשם ברורים, ובכך הוא ניצול את חולשתה לצורך ביצוע השוד. מנגד, יש להתחשב בכך שהנאשם לא בחר במתלוננת כקורבן העבירה משום שהיא קשישה, שכן אין חולק כי הוא לא ידע את גילה המדויק, והחליט על זהות הקורבן עובר למעשה. בנוסף, ומבלי להקל ראש בחומרת המעשה, האלימות שהופעלה כלפי המתלוננת אינה במדרג חומרה גבוה, העבירות לא בוצעו תוך הצטיידות בנשק חם או קר, ולא נגרמו למתלוננת חבלות או פציעות שהצריכו טיפול רפואי. אשר לנזק שנגרם מביצוע העבירה – כפי שעולה מעובדות כתב האישום המתלוננת הוטחה בכוח על המדרכה והתגלגלה עליה. כתוצאה מכך היא סבלה כאבים באזור הירך והאגן הימני וסימן כחול בירך ימין. כמו כן נגרם לה נזק רכושי בעקבות שלושה שימושים בכרטיסי האשראי שלה בסכום של כ-500 ₪ וניסיון רכישה בתחנת דלק",train
"(24.1.10), ובמקרים המתאימים ניתן להתחשב בהסרת המחדלים כשיקול שלא להטיל מאסר בפועל ולהסתפק בעבודות שירות (ר' רע\פ 3873/07 בושנאק נ' מדינת ישראל (17.10.07)). במקרה שפני, בסופו של דבר הנאשם לא הסיר את המחדלים לשביעות רצונו של פקיד השומה כפי שצוין לעיל, זאת, אף שדחה את מועדי הדיון פעמים רבות על מנת לנסות להסירם. ברע\""פ 7851/13 חדר עודה נגד מדינת ישראל (ניתן ביום 25.10.15 לפני כ' השופט מלצר, כ' השופט הנדל, כ' השופט שהם) עוד נאמר כי: \""כעניין שבמדיניות, הסרת מחדלים איננה מטהרת את העבריין מעבירת המס שביצע, אלא יכולה להוות שיקול מה בגזירת העונש לגביו\"" (עיינו: רע\""פ 2496/07 משה נ' מדינת ישראל [פורסם בנבו] (31.07.2007)). לאור האמור, הנאשם אמנם לא הסיר מחדליו, אולם עשה מאמצים רבים להסרת המחדלים כך שהוא זכאי להקלה ולהתחשבות בעונש לה זכאים אלה אשר עשו מאמץ זה. הנאשם העלה טענות הגנה מן הצדק בתחילת ההליך לשם ביטול כתב האישום שהוגש נגדו. אמנם טענותיו נדחו לעניין ביטול כתב האישום אך הדברים יפים לעניין קביעת עונשו המתאים נוכח עינוי הדין שנגרם לו. הנאשם וב\""כ טענו כי נוכח העובדה שהוגש נגדו כתב אישום באמצעות אגף המכס והמע\""מ בו הואשם בעבירות של מס ערך מוסף והורשע בהם ונגזר עליו עונש של 36 חודשי מאסר בפועל וגזר דין זה הומתק במסגרת הערעור שהגיש ל-15 חודשי מאסר בפועל בלבד, הועמד ב\""סיכון כפול\"", שכן האישומים בהם הואשם בענייננו נובעים מאותו מעשה או מחדל בגינו הוגש נגדו כתב האישום בהליך הראשון. פיצול האישומים מקימים לו הגנה מן הצדק. לא זו אף זו, כפי שציינתי לעיל בדבריו האחרונים של הנאשם הוא מסר כי ניתנה לו תחושה שסיים את ההליך, שכל העניין""",train
"הרשות לשטח ישראל, ולמדיניות ההחמרה בעבירות נשק, ובהתחשב בעברו הלא מכביד של הנאשם העונש שהושת עליו אינו חורג לחומרה. בע\פ 5819/21 עומר עודה נ' מדינת ישראל (2.11.21) דחה בית המשפט העליון ערעור על גזר הדין שהושת על המערער על ידי בית המשפט המחוזי, במסגרתו הושתו עליו 33 חודשי מאסר בפועל מאסר מותנה וקנס, בגין עבירות של נשיאת נשק ותחמושת שלא כדין, שיבוש מהלכי משפט, והפרעה לשוטר במילוי תפקידו. מדובר במקרה בו שוטרים שמעו קולות ירי סמוך למקום שבו שהה המערער. כשהגיעו למקום נמלט המערער מהם, כשהוא נושא בידו נשק דמוי תת מקלע, ובתוכו מחסנית ובה כדורי תחמושת. במהלך המרדף הוא השליך את הנשק. בית המשפט המחוזי קבע מתחם עונש הולם של 48-24 חודשי מאסר בפועל, וגזר על הנאשם עונש, כאמור, בהתחשב בעברו הפלילי מחד גיסא, ובנסיבותיו האישיות, מאידך גיסא. בית המשפט העליון לא התערב בעונש, וציין כי העונש שהוטל אינו חמור, שכן עבירות בנשק פוגעות בחברה אף יותר בתקופה האחרונה, והתגובה חייבת להיות החמרה בענישה, לעומת העונשים שהוטלו בעבר. בע\""פ 315/20 פתחי אבו טאה נ' מדינת ישראל (07.06.2020) דחה בית המשפט העליון את הערעורים על גזר דינו של בית המשפט המחוזי, במסגרתו הושת על המערערים עונשי המאסר בפועל של 54 ו-36 חודשים בגין עבירות נשק. במקרה הנדון מדובר על מקרה בו סוכן יצר קשר עם אחר על מנת לרכוש רובה מסוג \""קרלו\"" תמורת 8,500 ש\""ח. בהמשך, האחר התקשר למערער פתחי אשר כיוון את השניים למקום הימצאו ובידו נשק מסוג תת מקלע מאולתר, יורה שבכוחו להמית. הסוכן והאחר דרכו את הנשק ובדקו אותו. בסופו של דבר, שילם הסוכן 8,500 ש\""ח במזומן לידי פתחי, ופתחי העביר את הכסף""",train
"בקביעת מתחם העונש ההולם בהתאם לעקרון ההלימה יש להתחשב בערך החברתי שנפגע, במידת הפגיעה בו, במדיניות הענישה הנוהגת ובנסיבות הקשורות בביצוע העבירה. במקרה שלפני, הערך החברתי אשר נפגע כתוצאה מביצוע עבירות המס הוא השוויון בנשיאת נטל המס ומתן האפשרות למדינה לאכוף את דיני המס ולגבות מס אמת המהווים אבן יסוד במערכת אכיפת חוק תקינה. כאשר נישום מתחמק מתשלום מס, משמעות הדבר שקופת המדינה, אשר אחד המקורות מהם היא ניזונה הם תשלומי המס של אזרחים שומרי חוק, חסרה ונגרם לה נזק כלכלי כבד. דבר זה מוביל להטלת מעמסה כספית נוספת על כלל הציבור, גריעה מהקופה הציבורית המיועדת לטובת הכלל ופגיעה בערכי השוויון ובסדר החברתי, כך שנפגעת יכולתה של המדינה לספק שירותים ראויים לאזרח. מכאן, שהעלמת מיסים גורמת נזק כלכלי כבד למשק ולמדינה. בנוסף, במעשים הנוגעים לחשבוניות פיקטיביות נפגעת לא רק הקופה הציבורית, אלא אף נפגע הסדר החברתי. ברע\פ 977/13 משה אודיז נ' מדינת ישראל, (20.2.13), כב' השופט א' שוהם שב וחזר על ההלכה הפסוקה, לפיה יש להטיל על עברייני מס עונשי מאסר בפועל, וכן קנסות כספיים משמעותיים: ברע\""פ 7851/13 חדר עודה נ' מדינת ישראל (3.9.15) שב וחזר כב' השופט ח' מלצר על ההלכה הפסוקה לפיה יש להטיל על עברייני מס עונשי מאסר בפועל וקנס כספי: אשר לחומרת המעשים ונסיבותיהם, בית המשפט העליון עמד, לא אחת, על חומרתה הרבה של עבריינות כלכלית ועל פגיעתה הקשה במשק ובכלל הציבור, על אחת כמה וכמה ביחס לעבירות מס בהן גלום רכיב מרמה ואשר תכליתן העיקרית הינה התחמקות מתשלום מס. ברי גם, כי החומרה מתעצמת, מקום בו אלו מבוצעות באופן שיטתי ועל פני תקופה ממושכת ונוכח היקף המס שהועלם, כמו במקרה דנן.""",train
"לעניין מדיניות הענישה הנהוגה, אקדים ואציין, כי לא ניתן היה לאתר בפסיקה בנסיבות דומות של ביצוע שוד כלפי עבריינים הסוחרים בסם מסוכן. עם זאת, ניתן להקיש לענייננו מפסיקה המתייחסת לנסיבות אחרות, כאשר לעובדה שאין מדובר בעוברי אורח תמימים יינתן משקל בעת קביעת מתחם העונש ההולם. כמו כן, יינתן משקל לכך שחלקו של הנאשם כמסייע, כולל מעורבות פיזית באירוע האלים. כך למשל: בע\פ 8357/17 ביטון נגד מדינת ישראל (5.3.18), נדון עניינו של מי שהורשע בעבירה של סיוע לשוד בנסיבות מחמירות ובית-המשפט השית על המערער 17 חודשי מאסר בפועל. מעובדות כתב האישום עולה, כי המערער ואחר קשרו קשר לשדוד את המתלוננת, אשר נתבקשה על ידי מקום עבודתה להפקיד בבנק המחאות וכסף מזומן. המערער והאחר עקבו עם רכבם אחר רכבה של המתלוננת, וכשעצרו, האחר יצא מהרכב, רכן אל עבר המתלוננת ודרש ממנה למסור לו את התיק, הרים חפץ הנחזה להיות אקדח והיכה באמצעותו את פיה של המתלוננת, תוך שהוא פוצע את שפתה, מאיים עליה בשנית ולבסוף לקח את התיק שהיה מונח על המושב. הערעור על חומרת העונש נדחה, אם כי בהתחשב בחלקו של המערער בביצוע העבירה, העיר בית המשפט העליון, שניתן היה להטיל עליו עונש קל יותר, אך הדבר אינו מצדיק התערבותה של ערכאת הערעור. בת\""פ (מחוזי י-ם) 8619-04-15 מדינת ישראל נגד אבו טעמה (11.2.16), הורשע הנאשם, על פי הודאתו בגדרו של הסדר טיעון, בסיוע לשוד בנסיבות מחמירות. בית המשפט קבע מתחם עונש הולם הנע בין 6 עד 24 חודשי מאסר, והטיל עליו עונש המצוי ברף התחתון של 6 חודשי מאסר בעבודות שירות. מעובדות האירוע עולה, כי הנאשם ואחר נסעו ברכב וחיפשו הזדמנות לשדוד טלפון סלולארי מעוברי אורח. האחר""",train
"אולם הנסיבות שהובילו לביצוע העבירות, כפי שפורטו לעיל, הן שונות הן באשר לנסיבות שהובילו לביצוע העבירה והן באשר למצבו של הנשק. בהתאם לתיקון 113 לחוק העונשין (סעיף 40 יג), סבורני כי מתחם העונש ההולם בנסיבות שפורטו לעיל נע בין שירות לתועלת הציבור בהיקף נרחב לבין מאסר של 6 חודשים. בבואי לשקול את העונש המתאים לנאשם יש לשקול בין היתר את הנסיבות שאינן קשורות בביצוע העבירה אשר מפורטות בסעיף 40יא. הפגיעה של העונש בנאשם ובמשפחתו – אין ספק כי עונש של מאסר ולו בעבודות שירות יפגע בנאשם, שכן הוא עובד במקום עבודה קבוע, מצבו הכלכלי קשה עד כדי כך שהוא אינו מבוטח בביטוח בריאות והתקשה לממן אישור רפואי לממונה על עבודות השירות. הנאשם אף משלם את מזונותיה של בתו ומסייע לפרנסת אמו. נטילת אחריות של הנאשם על מעשיו, וחזרתו למוטב או מאמציו לחזור למוטב ושיתוף הפעולה של הנאשם עם רשויות אכיפת החוק - הנאשם שיתף פעולה עם חוקריו והודה במיוחס לו עוד בשלב החקירה. הנאשם אף לקח אחריות למעשיו בבית המשפט והביע בפני קצינת המבחן חרטה כנה על המעשה והצר עליו. חלוף הזמן מאז ביצוע העבירה – מאז ביצוע העבירות חלפו למעלה מארבע שנים. בתקופה זו הנאשם לא עבר עבירות נוספות. עברו הפלילי של הנאשם או העדרו- לנאשם שלוש הרשעות קודמות בעבירות של היעדרות משירות והחזקת סמים לצריכה עצמית. הרשעתו האחרונה היא משנת 2008. לאחר ששקלתי את הנסיבות לחומרה ולקולא מחד בצורך בהרתעת הרבים מפני החזקת נשק מסוג כלשהו, ומאידך בהתחשב בלקיחת האחריות, חלוף הזמן המשמעותי מביצוע העבירה, מצבו הכלכלי והמשפחתי של הנאשם ובהתחשב בהמלצת שירות המבחן החלטתי להטיל על הנאשם עונש ברף התחתון של המתחם ואני",train
"ומצית את רכב המתלונן. הנאשם לא נטל חלק פעיל בביצוע ההצתה והאחר שהינו המבצע העיקרי בתיק, לא הועמד לדין. בית המשפט גזר עליו 6 חודשי מאסר לריצוי בעבודות שירות. בת\פ (מחוזי חיפה) 44470-10-11, מדינת ישראל נ' סוועאד,( 1.4.12). הנאשם הצית את הרכב של מעסיקו וזאת על רקע סכסוך על שכר העבודה. מדובר באדם צעיר, נעדר עבר פלילי אשר הודה במיוחס לו וניתן בעניינו תסקיר חיובי. בית המשפט גזר עליו 6 חודשי מאסר לריצוי בעבודות שירות. לאחר שבחנתי, את הערך החברתי שנפגע כתוצאה מביצוע העבירות שלפניי, את נסיבות ביצוע העבירות ואת מדיניות הענישה הנהוגה, הגעתי לכלל מסקנה כי מתחם העונש ההולם את העבירה שלפני, נע בין מספר חודשי מאסר, אשר יכול וירוצו על דרך של עבודות שירות לבין 18 חודשי מאסר בפועל, בצירוף עונשים נלווים. לא מצאתי לחרוג לקולא ממתחם העונש ההולם למטרת שיקום שכן אין אפיק שיקומי בעניינו של הנאשם, לאחר שזה נעצר בשל עניין אחר, כמפורט בתסקיר שירות המבחן. כן לא מצאתי הצדקה לחרוג לחומרה מן המתחם ההולם מטעמי הגנה על הציבור. בגזירת העונש המתאים לנאשם, בגדרי מתחם העונש ההולם, יש להתחשב בנסיבות שאינן קשורות בביצוע העבירה (סעיף 40 יא' לחוק העונשין). בהקשר זה, יש לשקול את הודאת הנאשם, אשר הביא לחסכון בזמן שיפוטי. כן שקלתי את הבעת החרטה של הנאשם. יש ליתן משקל משמעותי לגילו הצעיר של הנאשם (22), להיותו מאורס, לרקע הקשה ממנו הגיע הנאשם בהתייחס לנסיבותיו האישיות והמשפחתיות העולות מתסקיר שירות המבחן. עוד שקלתי, כי הנאשם נעדר עבר פלילי, ואת העובדה שזהו מאסרו הראשון. כן שקלתי את העובדה שהנאשם שהה במעצר ימים, ולאחר מכן שהה במעצר בית חלקי למשך תקופה לא מבוטלת.""",train
