question,answer,split
מדוע הנאשם אינו זכאי להקלה הניתנת למי שמודה במעשיו?,"עם זאת, בנסיבות כאלה אין הנאשם זכאי להקלה הניתנת למי שמודה ונוטל אחריות על מעשיו.",train
מדוע הנאשם אינו זכאי להקלה בעונש למרות ניהול הליך שמיעת ראיות מלא?,"הודאה ונטילת אחריות – הנאשם עמד על ניהול הליך שמיעת ראיות מלא, שכלל חקירה נגדית ממצה של המתלוננת, ומשכך אינו זכאי להקלה הניתנת למי שמודה באשמה ונוטל אחריות על מעשיו.",train
כיצד יש לזקוף את הוויתור על העדת המתלונן לזכות הנאשמים?,"פשיטא כי נסיבות אלה, ובמיוחד הוויתור על העדת המתלונן, יש לזקוף לזכות הנאשמים.",train
כיצד משפיעה הודאת הנאשמים על קביעת העונש?,"מאידך גיסא, לכף קולא, יש ליתן משקל להודאת הנאשמים ולנטילת האחריות על ידי נאשם 3.",train
"מהי זכותו הבסיסית של הנאשם בנוגע לניהול משפטו, וכיצד היא משפיעה על הענישה?","זוהי כמובן זכותו הבסיסית של הנאשם, ככל נאשם אחר, לעמוד על ניהול משפטו במלואו ופשיטא כי אין לזקוף זאת לחובתו (ור' גם בהוראות סעיף 40יא(6) סיפא לחוק העונשין).",train
מדוע מידת הפגיעה בערכים החברתיים חמורה יותר באיומים המלווים באמצעים פיסיים?,"ברי כי, באיומים כאלה, מידת הפגיעה בערכים החברתיים המוגנים היא חמורה בהרבה מאשר באיומים מילוליים גרידא, שכן המבצע ממחיש באמצעי פיסי את כוונתו להוציא את איומיו המילוליים מן הכוח אל הפועל.",train
כיצד יש לגזור את עונשו של הנאשם לאחר קביעת מתחם העונש ההולם?,"גזירת עונשו של הנאשם בתוך מתחם העונש ההולם והאפשרות לחריגה הימנו: לאחר קביעת מתחם העונש ההולם על בית המשפט לגזור את העונש בתוך מתחם זה תוך התחשבות בנסיבות שאינן קשורות בביצוע העבירה, לרבות אלה המנויות בהוראות סעיף 40יא לחוק העונשין.",train
מדוע אין בהמלצת שירות המבחן כדי להצדיק את ביטול ההרשעה בדין?,"אכן, כפי שהוסבר לעיל, אין בהמלצת שירות המבחן כדי להצדיק את ביטול ההרשעה בדין, שכן המלצה זו אינה עומדת בתנאי הלכת כתב, אך יש בהמלצה כדי לתמוך בהכרעה לחריגה לכף קולה ממתחם העונש ההולם ולהימנעות מהטלת עונש של מאסר בפועל (לנשיאה בעבודות שירות).",train
מהו העונש המומלץ במקרה זה לפי מתחם העונש ההולם?,"בכל הקשור לגזירת העונש בתוך מתחם העונש ההולם ניתן, במקרה זה, להסתפק בענישה של מאסר בפועל לתקופה שניתן לרצותה בדרך של עבודות שירות.",train
"מדוע נחשבות עבירות סמים, ובפרט קוקאין, לחמורות במיוחד לפי הפסיקה?","כידוע, הפסיקה חוזרת ומדגישה את חומרתן של עבירות הסמים, ופגעיהן, בפרט כאשר מדובר בסמים \קשים\"" מסוג קוקאין, כבענייננו.""",train
