text,split
"איומיו כשהיה ברכב, בנוכחות חברים. ביום 24.4.15 נפרדו הנאשם והנפגעת. למחרת, הגיע הנאשם לדירת הנפגעת כדי לאסוף את חפציו. במהלך ויכוח בין השניים, קרא הנאשם לנפגעת \זונה\"" והכה בפניה. הנפגעת סטרה לנאשם ודרשה שיצא מהדירה, אך הוא הכה שוב בפניה בעוצמה שגרמה לנפגעת להתיישב ולבכות. הנאשם ביקש את סליחתה ואמר לה שהוא אוהב אותה. חברתה של הנפגעת, שנכחה בדירה, עזבה את המקום כששמעה את השניים מדברים, ואז סטר הנאשם לנפגעת בעוצמה שגרמה לנפילתה, ובהמשך שאל אותה אם שכבה עם אחר. הנאשם קרע את חזיותיה של הנפגעת, שבר את האייפון ואת מברשת השיניים החשמלית שלה, ולקח את המתנות שנתן לה. בית המשפט קבע כי מתחם העונש ההולם ייקבע בין שישה חודשי מאסר, שניתנים לריצוי בעבודות שירות, לבין 18 חודשי מאסר. בית המשפט סטה ממתחם הענישה וגזר על הנאשם עונש של חודשיים מאסר לריצוי בדרך של עבודות שירות, לצד מע\""ת, התחייבות בסך 1,000 ₪, פיצוי בסך 2,000 ₪ למתלוננת וצו מבחן. הערעור שהוגש לבית המשפט המחוזי נדחה. ת\""פ (ראשל\""צ) 31165-02-22 מדינת ישראל נ' פלוני (11.9.22), הנאשם הורשע בעבירת איומים ובעבירת תקיפה סתם כלפי בן-זוג. על פי עובדות כתב האישום המתוקן, במועדים הרלוונטיים לכתב האישום היו הנאשם והמתלוננת בני-זוג פרודים ולהם 4 ילדים קטינים משותפים. באישום הראשון, הורשע הנאשם בעבירת איומים, בכך שביום 9.2.22 נכנס הנאשם ללא הסכמת המתלוננת לדירה בה התגוררה עם הקטינים. הנאשמת ביקשה מהנאשם מספר פעמים לעזוב את המקום, הנאשם סירב ובתגובה השיב כי לא ישלם לה מזונות. המתלוננת שבה וביקשה מהנאשם לעזוב את הדירה, בתגובה נטל הנאשם סכין, התקרב למתלוננת ואמר: \""תשבי בשקט, יש לך נכות 100 אחוז אם תעשי משהו, אני אגיד שאת לא""",train
"נע בין מספר חודשי מאסר שיכול וירוצו בעבודות שירות ועד שניים עשר חודשי מאסר בפועל. לא מצאתי עילה או הצדקה לחריגה לקולא או לחומרה ממתחם העונש ההולם. אזכיר כי הנאשם לא לקח אחריות ולא הודה וניהל הוכחות עד תום. זוהי זכותו המלאה של הנאשם לכפור במיוחס לו ולנהל את הגנתו, ואולם כידוע, אין הוא זכאי לאותה הקלה לה זכאים מי שמכים על חטא, מביעים חרטה ומספקים תחזית ממשית לפיה האירועים לא יחזרו על עצמם לנוכח תובנה והפנמה של הפסול במעשה. הנאשם, וזו זכותו המלאה, ממשיך לטעון לחפותו. גם היום בדבריו לעונש ניכרת גישה מזלזלת באירועים עת בחר לפנות לבית המשפט בדברו האחרון לעניין העונש, כדלקמן: \ אני לא מבין על מה התיק הזה, על צעקות? על מכה בפחון? על מכה במכונת כביסה? לא זריקת חפצים ולא פגיעה ישירה. אני מודע לכך שהנאשם סובל ממצב רפואי לא פשוט ואף מורכב, והדברים עלו במהלך הראיות וגם במהלך הטיעונים לעונש, ואולם חרף כל האמור וכאשר מצאתי שמתחם העונש לא יכול להתחיל מעונש שכולו צופה פני עתיד, ביקשתי חוות דעתו של הממונה על עבודות השירות לגבי האפשרות לריצוי העונש בדרך כזו. ואכן, דעתי הייתה שהדבר אפשרי חרף כל הנסיבות לחומרא שפורטו לעיל (בשלב הדיון בגדרי המתחם), ואף חרף השיקולים שפועלים בתוך המתחם. כאן המקום להפנות לכך שלחובת הנאשם הרשעה קודמת בעבירה של הסגת גבול פלילית וניסיון לגניבה משנת 2016. אלא ששליחתו לממונה על עבודות השירות פתחה \""סאגה של דחיות והודעות שונות\"" כאשר האחרונה שבהן, לאחר שהנאשם נאות להתייצב במשרדי הממונה על עבודות השירות, כי הממונה מצא שהנאשם לא מתאים לריצוי עונש בדרך זו. זאת לאחר שהנאשם על פי הממונה השיב""",train
"לאחר שעיינתי בפסיקה רלוונטית ביחס למקרים דומים ואף חמורים יותר, הגעתי למסקנה שמתחם העונש ההולם במקרה שלפניי נע בין 10 חודשי מאסר לבין 24 חודשי מאסר. אפנה לפסיקה ממנה ניתן ללמוד על רמת הענישה הנוהגת בנסיבות דומות: אך לפני מספר ימים ניתן פסק דינו של בית המשפט המחוזי בעפ\ג 63032-03-24 מדינת ישראל נגד אילן גורגי יעקב (2024), בו התקבל ערעור המדינה על קולת העונש שניתן על ידי, וזאת ביחס לעבירות דומות כשסכום המחדל עמד על 541,000 ₪. הנאשם שם לא הסיר את המחדל. תוך התחשבות רבה בהודאתו חרף קשיים ראייתיים, העדר עבר פלילי ושיקולים נוספים הסתפקתי בעונש מאסר בן 9 חודשי שירוצה בעבודות שירות. בית המשפט המחוזי המליץ לצדדים להסכים להחמרה בעונשו של המשיב שם לכדי 10 חודשי מאסר בפועל, תוך שבית המשפט הוסיף: בעפ\""ג 28641-02-23 פחר אלדין סיורי נגד רשות המסים (2023), נדחה ערעור הנאשם נגד חומרת העונש ביחס לעבירות דומות כשסכום המחדל עמד על כ- 474,000 ₪ עם הסרה חלקית ביותר של המחדל. ברע\""פ 2843/11 אבו עיד נגד מדינת ישראל, נדון עונש מאסר בפועל ממש בן 9 חודשים, לגבי סכום השתמטות בסך 875,000 ₪. רע\""פ 3043/14 לוגסי נגד מדינת ישראל, נדון עונש מאסר בן 12 חודשים, לגבי סכום השתמטות בסך 1,017,636 ₪, במסגרת 135 חשבוניות. בת\""פ (שלום רמלה) 26654-06-14 מדינת ישראל נגד מחמוד אל באסל ואח', לגבי סכום השתמטות 1.1 מיליון ₪, נקבע מתחם עונש בין 8-24 חודשי מאסר, ביחס לעבירות שבוצעו במשך שנה, וזאת התחשבות בהסדר טיעון מסוג \""טווח ענישה מוסכם\"". בת\""פ (שלום רמלה) 29194-12-12 מדינת ישראל נגד מדנאל ואח', לגבי סכום השתמטות בסך 900,000 ₪, נקבע מתחם עונש בין 8-24 חודשי מאסר,""",train
"הולם באשר לעבירת האיומים הנע בין חודשיים ל-6 חודשי מאסר ומתחם עונש הולם באשר לעבירת הפרת הוראה חוקית הנע בין מאסר מותנה לבין 6 חודשים שניתן לרצותם בעבודות שירות, כעונש עיקרי. בית המשפט השלום גזר על הנאשם עונש של 5 חודשי מאסר בדרך של עבודות שירות, לצד ענישה נלווית. הערעורים שהוגשו לבית המשפט המחוזי והעליון נדחו. בקביעת המתחם לקחתי בחשבון את הנסיבות הקשורות בביצוע העבירה לרבות: בעיקר השימוש במצקת ברזל, הניסיון למנוע מהמתלוננת לעזוב את המקום, החבלה שנגרמה למתלוננת ובקשר לאירוע ההיזק לרכוש, שבירת הטלפון לאחר שחטף את הטלפון מידה של המתלוננת וזרק אותו לרצפה. המתחם שהציע הסנגור בהתבסס על פסיקה איננו לוקח בחשבון, כך לשיטתי, את הנסיבות לחומרא שצוינו לעיל, ובכל מקרה כידוע, מתחם העונש ההולם ברכיב מדיניות הענישה הנוהגת מתייחסת לזרם המרכזי של הענישה בעבירות מסוג זה. כאן המקום לציין שהוגשו לעיוני תמונות של המתלוננת כשהיא זבת דם וחולצתה מגואלת בדם. כמו כן, הוצגה לעיוני אותה מצקת ברזל שבאמצעותה הכה הנאשם בראשה של המתלוננת. לאור כלל האמור לעיל סבורני כי מתחם העונש ההולם נע בין מספר חודשי מאסר שיכול שירוצו בעבודות שירות ועד 18 חודשי מאסר, וזאת ביחס לת\פ 2112-01-23. ביחס לת\""פ 20159-09-23, כאמור, מתחם העונש ההולם מתחיל ממאסר מותנה ועד 9 חודשי מאסר. במקרה דנן מצאתי נסיבות מיוחדות המצדיקות סטייה ממתחם העונש ההולם, לחומרה או לקולה. במסגרת הנסיבות שאינן קשורות בביצוע העבירה לקחתי בחשבון את הנתונים הבאים: בעניין זה, ועל אף התסקיר השלילי, אני קרוב יותר לעמדת ההגנה, זאת לנוכח גילו של הנאשם והיעדר עבר פלילי. מדובר באדם יליד שנת 1950, אשר מתייצב לבית המשפט, ככל הנראה פעם ראשונה בחייו, מודה במיוחס לו,""",train
"וקבעתי \המקרה של מכירת סמוי לשוטר סמוי, 4 שקיות מסוג נייסגאי, הוא מקרה שכיח לצער הכל ופסיקה רבה נדרשה לשאלת המתחם. על פי הענישה הנוהגת בעבירות מסוג זה נעה בין מספר חודשים ועד לשנת מאסר...\"". באשר לעבירת הסחר בסמים מסוג קנביס, אפנה לעניינו של ת\""פ 8858-10-19 שם התייחסתי למדיניות הענישה בעבירות מסוג סחר בסמים מסוג קנביס בכמות קטנה כמפורט לעיל. גם ההגנה הגישה פסיקה לגבי עבירות של החזקת סמים שלא לצריכה עצמית וסחר בסמים. כאן המקום להתעכב על נסיבות ביצוע העבירה כאשר הנאשם בתיק זה פנה אל השוטר הסמוי ושאל אותו מה הוא מחפש והשוטר שאל בחזרה את הנאשם מה יש לו להציע וכך התקדמה העסקה. רוצה לומר שמדובר באירוע יזום, במהלכו נמכרו 4 שקיות לשוטר תמורת 200 ₪. כמו כן, נתפסו על הנאשם שתי שקיות נוספות. סופו של דבר, אני קובע מתחם עונש לגבי עבירת הסחר בסמים מסוג נייסגאי כמתחיל ממספר חודשים שיכול שירוצה בעבודות שירות ועד שנת מאסר. לגבי עבירת הסחר לסמים מסוג קנביס כמתחם שמתחיל ממספר חודשים שיכול שירוצה בעבודות שירות על אף שניתן לאתר פסיקה לא מועטה בה בית המשפט הסתפק בעונש של של\""צ בהיקף נרחב חרף המאסר בעבודות שירות. משום שהתביעה או מן הסתם ההגנה מסכימים שיש למקם את העונש של הנאשם בתחתית המתחם, הרי שהסוגיה המרכזית היא עתירת ההגנה לסטות מהמתחם משיקולי שיקום. ההגנה טוענת כי השנים הרבות שחלפו מאז הגשת כתב האישום ללא הסתבכויות נוספות מלמדות על שיקום בפועל. אינני יכול לקבל וטענה זו ואנמק בהמשך אך כבר אומר כי אתחשב בטענת העדר ההסתבכויות לצורך חפיפת העונשים. הפסיקה התייחסה לשאלה מהו שיקום בפועל או פוטנציאלי שיצדיק סטייה מהמתחם ונקבע""",train
"לפי סעיף 40ב לחוק העונשין, העיקרון המנחה בענישה הוא קיומו של יחס הולם בין חומרת מעשה העבירה בנסיבותיו ומידת אשמו של הנאשם ובין סוג ומידת העונש המוטל עליו. לצורך קביעת מתחם העונש ההולם, על בית המשפט לזהות את הערכים המוגנים בבסיס העבירות המיוחסות לנאשם, מידת הפגיעה באותם ערכים, מדיניות הענישה הנוהגת ונסיבות ביצוע העבירה. הערכים החברתיים המוגנים אשר נפגעו במקרה דנן הם הגנה על כלכלת המדינה ועל הקופה הציבורית החיונית לפעילות המדינה; הגנה על מנגנון גביית המס ואמון הציבור בו; ערך השוויון בנשיאת נטל המס. מדובר בעבירות כלכליות שבוצעו מתוך בצע כסף, שנועדו להשיא למבצעיהן רווחים כספיים ניכרים בדרך קלה. הקלות הבלתי נסבלת של שימוש ומסחר בחשבוניות כוזבות כרוכה בפיתוי רב ולכן חייבה גישה אכיפתית מחמירה. בפרט הדברים נאמרים לנוכח שיטת המיסוי בישראל המבוססת על מידה רבה של אמון בנישומים שבא לידי ביטוי בניכוי מראש ודיווח מאוחר. מעשים מסוג זה פוגעים באופן קשה באמון הניתן בנישומים, אמון המהווה מרכיב עיקרי בשיטת המיסוי. קביעת מתחם העונש האמור נשענת בראש ובראשונה על נסיבות ביצוע העבירות. מדובר באירוע אחד במהלך תקופה שאיננה ממושכת. לפי כתב האישום, הנאשם פעל בעצת אנשי מקצוע. מדובר בזיוף מסמכים, שימוש בהם בכוונה לקבל באמצעות המסמכים הנחת דעתו של פקיד השומה, במטרה להפחית את המס, וזאת בדרך של תשובה כוזבת על שאלה שנשאלה. סכום ההכנסה הרלוונטי לעבירות עמד על 494,087 ₪, כשסכום המס הגלום בו עומד על 280,000 ₪. אפנה לפסיקה ממנה ניתן ללמוד על רמת הענישה הנוהגת בנסיבות חמורות יותר: עפ\ג 18163-04-20 שבי נ' מדינת ישראל [פורסם בנבו] (1.7.20), שם דובר בנאשם שהעלים מקור הכנסה שלם, הנאשם לא הגיש במועד לפקיד השומה הודעה על""",train
"6-18 חודשי מאסר), וזאת ביחס לעבירות לפי סעיפים 117(ב)(5), (6) ו- (7) לחוק מע\מ, כשסכום המחדל עומד על 352,522 ₪. בקשת רשות ערעור נדחתה. רע\""פ 5442/14 חברת ינונה בע\""מ נ' מדינת ישראל [פורסם בנבו] [4.9.14] דחה בית המשפט העליון בקשת רשות ערעור על פסק דינו של בית המשפט המחוזי שהקל מ-18 חודש ל-14 חודש את עונש המאסר שהוטל על המערער (לצד קנס של 50,000 ₪). המערער הורשע בביצוע 17 עבירות לפי סעיף 117(ב) לחוק, על פני 9 חודשים, תוך גריעת סך של 675,000 ₪ מהקופה הציבורית. ברע\""פ 2945/15 אבו חנין נ' מדינת ישראל, הנאשם הורשע בביצוע עבירות מע\""מ מסוג פשע, בכך שהגיש דוחות כוזבים וניכה מס תשומות שלא כדין בסך של 380,000 ₪ בהסתמך על 19 חשבוניות כוזבות על פני תקופה של כשנה. המחדלים הוסרו והוא נידון ל-8 חודשי מאסר בפועל, מאסרים על תנאי וקנס ע\""ס 30,000 ₪. בית משפט השלום קבע מתחם שנע בין 6 חודשי מאסר לריצוי בעבודות שירוצו לבין 24 חודשי מאסר בפועל. ערעור למחוזי נדחה וכן בקשת רשות ערעור לעליון נדחתה. בת\""פ (שלום רמלה) 29194-12-12 מדינת ישראל נגד מדנאל ואח', לגבי סכום השתמטות בסך 900,000 ₪, נקבע מתחם בין 8-24 חודשי מאסר, עבירות שבוצעו לאורך מספר שנים. על הנאשם נגזרו 12 חודשי מאסר בפועל. בעפ\""ג 34971-03-21 (מחוזי ת\""א) אושר עונש מאסר בעבודות שירות למשך 9 חודשים, שנגזרו בת\""פ 3667-12-16 מדינת ישראל נגד דוד חנונו. בית המשפט המחוזי התערב ברכיב הקנס בלבד. באותו תיק דובר על עבירות לפי חוק מס הכנסה וחוק מע\""מ. לגבי עבירות המע\""מ (שני אישומים), נקבע מתחם עונש מאסר בין 8 חודשי מאסר בפועל ועד 24 חודשי מאסר בפועל. סכום""",train
"שיקול דעת קצין המשטרה. המוצגים יחולטו/יושמדו/יושבו לבעליהם עפ\י החלטת קצין משטרה. ככל שהופקד פיקדון בתיק או בתיק המעצרים הקשור לתיק זה ובהעדר מניעה על פי דין, יוחזר הפיקדון למפקיד או לידי מי מטעמו עפ\""י יפוי כוח. החוב מועבר למרכז לגביית קנסות, אגרות והוצאות ברשות האכיפה והגבייה, בהתאם למועדים והתשלומים שקבע בית המשפט. ניתן יהיה לשלם את הקנס/ פיצוי/ ההוצאות כעבור שלושה ימים מיום מתן ההחלטה/ גזר הדין לחשבון המרכז לגביית קנסות, אגרות והוצאות ברשות האכיפה והגבייה באחת מהדרכים הבאות: בכרטיס אשראי – באתר המקוון של רשות האכיפה והגבייה, www.eca.gov.il מוקד שירות טלפוני בשרות עצמי (מרכז גבייה) – בטלפון 35592* או בטלפון 073-2055000""",train
"הערכים החברתיים המוגנים אשר נפגעו במקרה דנן הם שלמות גופה של המתלוננת, כבודה כאדם, תחושת הביטחון שלה בין כותלי ביתה, שאמור לספק לה ולילדיה ביטחון ושלוות נפש. בחינת מדיניות הענישה הנוהגת מעלה כי במקרים דומים הוטלו על נאשמים עונשים, החל ממאסר על תנאי וצו של\צ וכלה בשנת מאסר בפועל. אפנה לפסיקה במקרים דומים: ת\""פ 40855-09-16 מדינת ישראל נ' שעשוע (2018), הנאשם הורשע בעבירות של איומים ותקיפה סתם של בת זוג. במהלך ויכוח בין השניים, בו נכחה אחותה של המתלוננת, הנאשם איים על השתיים, תקף את המתלוננת בכך שדחף אותה, אחז בעורפה וחטף מידה את הטלפון כשניסתה להתקשר למשטרה. בית המשפט קבע מתחם הנע בין מאסר מותנה לבין שמונה חודשי מאסר בפועל. בית המשפט מצא מקום לסטייה ממתחם הענישה לאור שיקולי שיקום אך לא מצא מקום לביטול הרשעתו בדין. בית המשפט גזר על הנאשם של\""צ לצד ענישה נלווית. ת\""פ 15096-08-17 מדינת ישראל נ' פלוני (2018), הנאשם הורשע בעבירות של תקיפה סתם של בת זוג ואיומים. על רקע אי שביעות רצונו מאופן סידור הבית וניקיון הדירה, צעק הנאשם על המתלוננת ודחף אותה. בזעמו השליך הנאשם חפצים בדירה ועקב הרעש הוזעקו שוטרים למקום. כשהגיעו השוטרים למקום, צעק הנאשם ואיים על המתלוננת. בית המשפט קבע מתחם הנע בין מאסר מותנה לבין שמונה חודשי מאסר בפועל. בית המשפט התחשב בהמלצת שירות המבחן לאחר שהנאשם עבר הליך שיקום יעיל וגזר על הנאשם 3 חודשים מאסר מותנה למשך שנתיים וצו מבחן. בת\""פ (ירושלים) 40920-08-18 מדינת ישראל נ' פלוני (2020), הנאשם בעבירות של תקיפה סתם בן זוג ואיומים. הנאשם הרים שלט טלוויזיה ואמר למתלוננת \""אני אדפוק לך אותו בראש\"". הנאשם זרק את השלט לעברה""",train
"דינו של הנאשם בשלהי שנת 2022 בגין מעשים שביצע לפני שש שנים, הרי שאובייקטיבית, לא ניתן להתעלם מחלוף הזמן המשמעותי כשיקול העומד בפני עצמו. שנית, הנאשם עבר תהליך חיובי במגמת שיפור מתמיד. התסקיר הראשון שהוגש בעניינו של הנאשם לא המליץ על שילובו בבית משפט קהילתי, ובהמשך הוגש תסקיר מפורט שלא ניתן להגדירו אלא כתסקיר לא חיובי. זאת, כאשר שירות המבחן דיווח על נאשם שאמנם מכיר בבעייתיות בהתנהגותו אך הוא מתמקד בתחושת פגיעה מהמתלוננים, עמדה מטשטשת וקורבנית שההליכים המשפטיים אינם מהווים הרתעה ממשית עבורו, תוך שהוא מגלה הבנה ראשונית בלבד לפסול בהתנהלותו. למרות האמור, ולאור נכונות הנאשם להשתלב בטיפול הדיון נדחה לקבלת תסקיר משלים שהצביע על שינוי מעצם חלוף הזמן ללא פתיחת תיקים נוספים, שינוי במצבו, נשואיו, ניהול אורח חיים תקין במרחק מבני משפחתו. שירות המבחן התרשם שהסיכון להישנות עבירות אלימות מצידו של הנאשם כלפי בני משפחתו בפרט הצטמצם. הדיון נדחה והתקבל תסקיר משלים לקראת הדיון היום. המדובר בתסקיר חד משמעי, חיובי, שחוזר ומדגיש ששליחתו של הנאשם למאסר בדרך של עבודות שירות, תפגע בנאשם מבחינה תעסוקתית וכלכלית ועלולה לגרור את התא המשפחתי לסחרור כיון שהינו המפרנס היחיד ובהתחשב במצבה הרגיש של המשפחה כיום. שירות המבחן תיאר יציבות במישור הזוגי, שיתוף פעולה מצד הנאשם, השתלבות בתעסוקה לאורך זמן, מערכת יחסים זוגית חיובית ומטיבה, כאשר שירות המבחן הדגיש את הנתק בין הנאשם לבין בני משפחתו, כגורם מאזן ושומר על המצב הקיים תוך הימנעות מקונפליקטים. עוד ציין שירות המבחן, כי מצבו הנפשי המעורער בעבר התייצב ולא עלו אינדיקציות למצוקה נפשית. שירות המבחן התרשם באופן חיובי מהנאשם שממשיך ומבטא רצון וניהול אורח חיים תקין ולכן, שב על הערכתו כי הסיכון לעבירות",train
