gpt_response,text
לא נכון,"מדינת ישראל
ע""י ב""כ עו""ד מפרקליטות מחוז חיפה – פלילי"
לא נכון,"xxxxxxxxx
ע""י ב""כ עו""ד עאדל בויראת"
לא נכון,"ב""כ המאשימה- עו""ד אדם סרי"
לא נכון,"ב""כ הנאשם – עו""ד עאדל בויראת"
לא נכון,הנאשם הובא באמצעות הליוו
לא נכון,"חוק העונשין, תשל""ז-1977: סע'  29, 144(א), 144(ב), 144(ג), 40יא(2), 40יג(ב)"
לא נכון,"חוק סדר הדין הפלילי (סמכויות אכיפה - מעצרים), תשנ""ו-1996: סע'  61(ג)"
לא נכון,"חוק סדר הדין הפלילי [נוסח משולב], תשמ""ב-1982"
לא נכון,"הנאשם הודה במסגרת הסדר טיעון חלקי, שלא כלל הסדר אודות העונש, בכתב אישום מתוקן לאחר שהתנהלו מספר ישיבות הוכחות."
לא נכון,כתב האישום המתוקן כלל שני אישומים עם ריבוי עבירות:
לא נכון,"האישום הראשון, בגין החזקת נשק שלא כדין לפי סעיפים 144(א)(רישא + סיפא) + 144(ג) לחוק העונשין (4 עבירות), נשיאה והובלת נשק לפי סעיפים 144(ב)(רישא + סיפא) + 144 (ג) לחוק העונשין (2 עבירות)."
לא נכון,"באישום זה תואר שהחל משנת 2011 ועד לסוף שנת 2015, החזיק הנאשם בסמוך לביתו בכפר סאלם תת מקלע מאולתר וכן שתי מחסניות, כוונת אופטית, ידית הסתערות ורצועה לנשק וכן כדורים בקוטר 9 מ""מ."
לא נכון,"בנוסף, החל מתחילת שנת 2015 עד לספטמבר 2105 החזיק הנאשם בסמוך לביתו רובה בריחי תוצרת צ'כיה בקליבר 22 מ""מ."
לא נכון,במהלך ספטמבר הוא הוביל ונשא את הרובה הבריחי ברכבו מכפר סאלם לכפר זלפה ומסר אותו לאחיו על מנת שיחביא אותו עבורו.
לא נכון,אחיו החביא את הנשק בסמוך בביתו והנאשם החזיק אותו בכפר זלפה עד ליום 22.11.15.
לא נכון,"בנוסף תואר שהחל משנת 2013 ועד ליוני 2014  הנאשם החזיק בכפר סאלם בסמוך לביתו רובה סער מסוג אמ-16 מודל A1 קליבר 5.56 וכן ארבע מחסניות ורצועה לנשק והחל מיוני 2014 עד ליום 22.11.15 הוא החזיק באמ-16, במחסניות, וברצועה בכפר זלפה."
לא נכון,"החל מאמצע שנת 2014 עד נובמבר 2015 הוא החזיק בכפר סאלם בסמוך לביתו אקדח חצי אוטומטי מסוג ברטה, קליבר 22, וכן מחסנית ריקה ו- 48 כדורים כאשר במהלך נובמבר 2015 הוא הוביל ונשא את אקדח הברטה המחסנית והכדורים  ברכבו לכפר זלפה ומסר אותם לאחיו על מנת שיחביא אותם עבורו."
לא נכון,"האח מסר את אקדח הברטה, המחסניות והכדורים לשכנו על מנת שהלה יחביא אותם עבור הנאשם והנאשם החזיק בהם בכפר זלפה עד ליום 22.11.15."
לא נכון,עוד תואר באישום הראשון שבין השנים 2011 – 2015 בהזדמנויות שונות ירה הנאשם באמצעות כלי הנשק האמורים.
לא נכון,ביום 22.11.15 נתפסו כלי הנשק בכפר סאלם ובכפר זלפה.
לא נכון,"על פי האישום השני, הורשע הנאשם בעבירות בנשק (החזקה) לפי סעיפים 144(א)(רישא + סיפא( + 144 (ג) + 29 לחוק העונשין (2 עבירות)."
לא נכון,"כמתואר באישום השני, החזיק הנאשם במהלך שנת 2009 יחד עם אחר בצוותא חדא רובה MP5, מחסניות, וכדורים."
לא נכון,"בשנת 2011, החזיקו הנאשם והאחר בצוותא חדא תת מקלע מאולתר וכן מחסנית וכדורים."
לא נכון,הנאשם והאחר החזיקו בתת המקלע המאולתר והמחסניות במטע זיתים בעאוויה עד לתפיסתם על ידי המשטרה ביום 20.12.15 שאז נתפס תת המקלע המאולתר בסמוך לביתו של האחר.
לא נכון,"נטען שבגין ששת עבירות החזקת הנשק, העונש המירבי הוא 7 שנות מאסר בגין כל עבירה, ובגין שתי העבירות של נשיאה והובלת נשק, העונש המירבי בגין כל עבירה עומד על 10 שנות מאסר."
לא נכון,באשר למתחם העונש ההולם נטען כי יש לקבוע מתחמים נפרדים בגין כל כלי נשק בו החזיק או נשא הנאשם.
לא נכון,"דהיינו, כי מדובר בששה אירועים שונים כאשר בגין האירוע הראשון, השלישי, החמישי, והשישי המתחם נמצא בין שנתיים עד ארבע שנות מאסר ובגין האירוע השני (הרובה הבריחי)– 2.5 – 5 שנות מאסר ובגין האירוע הרביעי (אקדח הברטה) – 1.5 – 4 שנות מאסר."
לא נכון,נטען שנפגע הערך החברתי המוגן של בטחון הציבור.
לא נכון,"נטען שמדובר בפגיעה קשה בערך המוגן כיוון שהנאשם החזיק בלא פחות מששה כלי נשק בשנים 2009 ו- 2011 עד 2015 וירה בארבעה מהם כאשר שניים מהם היו תתי-מקלע מאולתרים בהם הוא החזיק ארבע שנים תמימות, רובה בריחי בו החזיק כ- 11 חודשים, רובה סער בו החזיק כשנתיים, ואקדח ברטה בו החזיק כשנה וחצי."
לא נכון,המדינה ביקשה שלא לאמץ את המלצות תסקיר שירות המבחן במקרה דנן; הוזכר שמדובר במסמך שהוא בגדר המלצה בלבד.
לא נכון,נטען ששירות המבחן התקשה לשלול את הסיכון להישנות התנהגות דומה לאור התרשמות מפער בין תפקודו הכללי של הנאשם לבין המיוחס לו בכתב האישום המתוקן.
לא נכון,בסופו של עניין ביקשה המדינה להשית על הנאשם מאסר ממושך בגין כל אירוע בתוך מתחמי הענישה ההולמים ובמצטבר באופן חלקי ובדיון בעל פה הוסף שמבוקש ענישה 'דו-ספרתית'.
לא נכון,כמו כן ביקשה המדינה להטיל מאסר מותנה מרתיע וקנס כספי מרתיע.
לא נכון,"בדיון הוסיף ב""כ המדינה וטען כי טענת הסניגור לעניין מעצר בלתי חוקי אינה נכונה כאשר ניתנה הכרעת דין בתוך התקופה של 9 חודשים וכך לא חל סעיף 61(ג) לחוק סדר הדין הפלילי (מעצרים)."
לא נכון,"כמו כן התייחס ב""כ המדינה לשותף באישום השני לגביו נקבעו מתחמים של 10 – 18 חודשי מאסר ו- 18 עד 48 חודשי מאסר ובסופו של דבר נגזרו עליו 18 חודשי מאסר בסך הכל."
לא נכון,נטען שאין לגזור גזירה שווה ביחס לנאשם כאן כאשר שם היה מדובר באישום אחד בלבד ועונש מקל.
לא נכון,בפתח דבריו טען הסניגור שיש לקחת בחשבון בעת גזירת העונש שבהתאם לסעיף 61(ג)
לא נכון,לחוק המעצרים נמצא הנאשם במעצר לא חוקי החל מיום 4.10.16 כאשר המדינה לא הגישה בקשה לבית המשפט להאריך את מעצרו לאחר שחלפו 9 חודשים ממועד פתיחת ההליך.
לא נכון,"הסניגור הטעים והודה שהוא הסכים להארכת המעצר בתחילת הטיעונים לעונש לאחר שהנושא הועלה, אך חזר וטען שיש לקחת עניין זה בחשבון בעת גזירת הדין."
לא נכון,מבחינת ראיות ביקש הסניגור להסתמך על מזכר שערך אחד השוטרים וסומן נ/1 המתאר את הסגרת הנשקים על ידי הנאשם ביום 1.12.15 לאחר מעצרו.
לא נכון,"ב""כ הנאשם ביקש לאמץ המלצת שירות המבחן כאשר נטען שמדובר בהערכה מקצועית ומאוזנת."
לא נכון,צויין עוד שהנאשם נמצא במעצר בתקופה של יותר משנה ונותר אף בסיווג 'בטחוני' על אף הצהרת המדינה לפרוטוקול מיום 10.1.16 כי הנאשם אינו מואשם בעבירות בטחון.
לא נכון,הסניגור טען שבכך נותר מרשו ללא הצדקה בתנאים קשים אף מהתנאים הקשים של מעצר רגיל.
לא נכון,"נטען גם שכתב האישום המקורי ייחס לנאשם סחר בנשק עם תושב שטחים אך לאחר שנשמעו חלק מהראיות, נמחק האישום האמור."
לא נכון,נטען שהנאשם הודה בעבירות שיוחסו לו בהזדמנות הראשונה לאחר תיקון כתב האישום.
לא נכון,נטען עוד שכפי שעולה ממסמך נ/1 הנאשם שיתף פעולה ומסר את כל הנשקים נשוא האישומים השונים ובנוסף הכריח את המעורבים האחרים לשתף פעולה ולמסור את הנשקים שהיו אצלם.
נכון,נטען שיש בכך כדי לשקף לקיחת אחריות אמיתית וחרטה כנה.
לא נכון,"נטען שהנאשם הודה בחקירתו ש""יש לו תחביב של החזקת נשקים, שהוא ירה בחורשה"" אך נטען שאין מדובר בירי כלפי  בני אדם או אף באיזור מגורים."
לא נכון,"בתסקיר מיום 23.11.16 פורט שהנאשם הוא בן 35, נשוי ואב לשלושה ילדים צעירים שטרם מעצרו עבד בדיר כבשים שבבעלותו ועסק בממכר ציוד לגידולם."
לא נכון,צויין שמשפחת מוצאו נורמטיבית.
לא נכון,עוד עלה שאמו נהרגה בתאונת דרכים לפני חודשים ספורים בהיותה בת 56 כאשר היתה בדרכה לבקרו בבית המעצר (בדיון צויין כי דודתו שהיתה עמה ברכב נפטרה מפצעיה לאחר תקופת אשפוז).
לא נכון,"הנאשם סיים 12 שנות לימוד, המשיך ולמד הנדסת תוכנה ומחשבים וסיים קורס טכנאי סלולרי."
לא נכון,"כמו כן, בעבר הוא עבד בתחום הריצוף."
לא נכון,צויין שאין לחובתו עבד פלילי כלשהו.
לא נכון,"בנוסף, צויין שהוא שהה בתנאים של עצור בטחוני ללא התנאים המוענקים לעצורים רגילים משך כל תקופת המעצר."
לא נכון,בפגישה עם שירות המבחן הוא הודה בעבירות שיוחסו לו וגילה מודעות למעשיו והסיכון שבהם.
לא נכון,הוא שלל סכסוכים או כוונות לבצע שימוש בנשק או קשרים עם גורמים שליליים במהלך חייו.
לא נכון,"הנאשם תיאר בפני שירות המבחן את נשיאת הנשק ""על רקע דחף בלתי נשלט לרכישה ולאיסוף נשקים, בעטיו לאורך השנים, הוא מחזיק בנשקים מסוגים שונים."
