question,answer,split
מדוע יש להעניק לשוטרים גיבוי משפטי בעת שהם מותקפים במהלך ביצוע תפקידם?,"שלומם הגופני והאישי ושלום חייהם של השוטרים אינו הפקר, ועל בית המשפט ליתן להם הגיבוי המתאים כאשר מותקפים בעת ביצוע תפקידם.",train
מהו ההשפעה האפשרית של ניסיון להלך אימים על עד על הליך המשפט?,"נסיון להלך אימים על עד – עלול לפגוע, באופן משמעותי, ביכולת עשיית המשפט.",train
מדוע העדר עבר פלילי של הנאשם לא השפיע על ההקלות בענישתו?,"גם העדר עבר פלילי לא יסייע לנאשם, היות שכפי שנקבע על ידי בית המשפט העליון, לרוב תתבצענה עבירות מסוג זה על ידי מי שהם נעדרי עבר פלילי ובעלי חזות תמימה.",train
כיצד יש לבטא את קביעת המחוקק גם בענישה בפועל?,קביעה זו של המחוקק - מן הדין שתבוא ידי ביטויה גם בקביעת הענישה בפועל.,train
מהו השינוי בעונש שניתן לעבירות אלו בעשור האחרון וכיצד הוא משפיע על הציבור?,"לפני תקופה שאינה מאוד ארוכה, נגזרו, כדבר שבשגרה, עונשי מאסר בפועל, בכליאה ממשית, על העוברים עבירות אלה, אך בעשור האחרון, חל מעין פיחות בענישה, שהיה בו כדי להעביר מסר שגוי לציבור, בדבר ההתייחסות למעשים אלה.",train
מדוע לא קיימת עילה לחריגה ממתחם הענישה במקרה של הנאשם?,בסופו של דבר – משלא השתלב הנאשם בהליך טיפולי ובהעדר המלצה שיקומית - אין כל עילה המצדיקה חריגה כלשהי ממתחם הענישה.,train
מהו האינטרס הציבורי שיש לקחת בחשבון בענישה בעבירות סמים?,"יש לתת את הדעת, בין היתר, לאינטרס הציבורי שבהרתעת המערער וזולתו מפני הישנותן של עבירות מעין אלה...",train
מהו העונש המרתיע שצפוי לנאשם בעבירות איומים ואלימות במשפחה?,"עוד יושת על הנאשם עונש מרתיע צופה פני עתיד, הן בנוגע לעבירות איומים והן בנוגע לעבירות אלימות במשפחה.",train
מהו המאבק שמוטל על בתי המשפט בנוגע לעבירות אלימות נגד בנות זוג?,"עבירות האלימות ככלל, וכנגד בנות זוג בפרט, הפכו זה מכבר לרעה חולה, אשר בתי המשפט מצווים להיאבק בה.",train
מהו העונש המותנה שהטיל בית המשפט על הנאשם כדי למנוע חזרה לעבירות סמים?,"כמובן, מוצא בית המשפט להטיל על הנאשם מאסר מותנה מרתיע, לבל ישוב לעסוק בעבירות סמים.",train
מהי משמעות המסוכנות הגבוהה שנקבעה בעניינו של הנאשם?,"הרי, בענינו של הנאשם נקבעה, לאחר הערכת מצבו באופן מעמיק, מסוכנות גבוהה, שמשמעותה – סיכוי גבוה כי ישוב ויבצע את העבירות.",train
מהו ההשפעה של החזקת סם מסוג קוקאין על הענישה במקרה זה?,"דברים אלו מקבלים משנה תוקף, עת הורשע המערער בהחזקת כמות גדולה של סם מסוג קוקאין, הנמנה בין הרעים והמרים שבסמים המסוכנים, בשל טבעו הממכר והתלות הגבוהה הנוצרת בו, ומחמת השפעותיו ההרסניות על גוף האדם ונפשו ועל החברה כולה",train
מדוע טוענת ההגנה כי השתת העיצום הכספי מהווה החמרה של תנאי הענישה?,"במצב הדברים הנוכחי, יש בידי בית המשפט לקבל טענת ההגנה, כי השתת העיצום הכספי מהווה, למעשה, בעקיפין, החמרה של תנאי הענישה.",train
כיצד נחשבת נטילת אחריות אמיתית מצד הנאשם במישור המעשה?,"פעולה שכזו מהווה גם נטילת אחריות אמיתית, ולא במישור הרטורי בלבד, מצדו של הנאשם.",train
מהו המניע להטלת מאסרים מותנים על הנאשם?,"כמובן, יושתו מאסרים מותנים מרתיעים, לבל ישלח הנאשם ידו פעם נוספת ברכוש הזולת או יפגע שוב בקופה הציבורית.",train
מהן הנסיבות שהצדיקו את כיבוד הסדר הטיעון במקרה זה?,"אם לא יחרוג בית המשפט מטווח הענישה שסוכם בין הצדדים, יהיה זה לנוכח ההלכות שענינן כיבוד הסדרי טיעון, וכן הנסיבות הנוספות שהוצגו מטעם ההגנה, בן היתר, כי המדובר באירוע יחיד בו נתפס הנאשם, אשר ניהל, עד כה, חיים אזרחיים עמלניים, ולא הסתבך עם החוק, וכן לנוכח מצבו האישי והמשפחתי של הנאשם, כעולה מהמוצגים שהוגשו מטעם ההגנה במסגרת פרשת העונש.",train
מדוע יורה בית המשפט על השתת פיצוי לנפגע?,"ברם, יורה בית המשפט על השתת פיצוי, שיהיה בו ולו משום הכרה בפגיעה שנגרמה ומתן מעין סעד תכוף במסגרת המסע הטיפולי והשיקומי שעל הנפגע לעבור.",train
מהו ההיבט המיוחד של אלימות כלפי בת זוג החיה תחת קורת גג אחת עם המ perpetrator?,"מעשים אלה מקבלים משנה חומרה, כאשר מדובר באלימות הננקטת כלפי בת זוג, החיה עם אותו אדם תחת קורת גג אחת, בתא משפחתי מצומצם, האמור להוות עבורה משענת ומקום מבטחים.",train
