question,answer,split
מהו תפקיד בתי המשפט בהחמרת הענישה על עבריינים במסגרת מלחמה בחריגים?,בשומה על בתי המשפט להכביד את הענישה על עבריינים אלו במסגרת מלחמה בחריגים.,train
כיצד משתנה מידת הפגיעה בערך המוגן בעבירות פליליות?,מידת הפגיעה בערך המוגן משתנה בהתאם לנסיבות.,train
מהו תפקידו של בית המשפט במאבק נגד אלימות לפתרון סכסוכים?,"תפקידו של בית המשפט במאבק הוא הטלת עונשים מרתיעים ומשמעותיים על הנוקטים באלימות לפתרון סכסוכים, על מנת להעביר מסר, הן לעבריין האינדיווידואלי, והן לעבריינים הפוטנציאלים ולחברה כולה, כי אין החברה טולרנטית להתנהגויות מעין אלה.",train
כיצד יש לבחון את קיום חלק מתנאי הסייג בהקשר לקביעת מתחם העונש?,יש לבחון האם חלק מתנאי הסייג מתקיימים ברמה המצדיקה התחשבות בקביעת מתחם העונש ההולם.,train
מדוע יש לשקול את ההשלכות של התאונה על הנאשם ומשפחתו בעת קביעת העונש?,"יש להביא בחשבון את  ההשלכות שהיו ותהיינה לתאונה ולהליך הפלילי על הנאשם ומשפחתו, ובפרט ההשלכות הקשות הצפויות כתוצאה מהטלת תקופת מאסר משמעותית.",train
מהו מתחם העונש ההולם שנקבע בגין שתי העבירות יחדיו?,"לאחר ששקלתי את חומרת העבירות, נסיבות ביצועּן כמפורט לעיל ובפרט העובדה שהנאשם החזיק בשלושה נשקים, שניים מהם מסוג תת מקלע ותחמושת תואמת לאחד מהם, הערכים החברתיים עליהם יש להגן, מידת הפגיעה בהם והפסיקה הנהוגה, אני סבור כי מתחם העונש ההולם בגין שתי העבירות יחדיו צריך לכלול רכיב של מאסר בפועל שלא יפחת מ- 28 חודשים ולא יעלה על 52 חודשים בצד עונשים נלווים.",train
אילו נסיבות יש להביא בחשבון בעת קביעת מתחם העונש לפי סעיף 40ט(א) לחוק העונשין?,"מלאכת קביעת מתחם העונש מחייבת להתחשב, בשינויים המחייבים, גם בנסיבות המנויות בסעיף 40ט(א) לחוק העונשין, ובין היתר בשאלה אם מדובר בסיוע במעשה או במחדל; אם הסיוע קדם לביצוע העבירה העיקרית או שהוא ניתן במהלך ביצועה; מידת תרומתו של הסיוע לביצוע העבירה העיקרית; תרומת הסיוע לנזק שהיה צפוי להיגרם ושנגרם בפועל; יכולתו של נאשם להבין את משמעות פעולותיו לרבות בשל גילו; ועוד.",train
כיצד משפיעה זמינות הנשק החם על רמת האלימות העבריינית והענישה?,"המציאות בארץ המתבטאת בזמינותו של נשק חם ורב עוצמה שיש עימו פוטנציאל להסלמת האלימות העבריינית, מחייבת מתן ביטוי עונשי הולם שירתיע באופן ממשי מהחזקת נשק בכלל ומשימוש בו בפרט.",train
מהו שיקול הרשות במתן היתר לנשיאת נשק ואילו מטרות הוא נועד לשרת?,"למותר לציין, כי לא כל אדם רשאי לשאת נשק,  ושיקולי הרשות במתן היתר לנשיאת נשק נועדו להבטיח את שלום הציבור וניתנים במשורה ביחס לאזרחים מן השורה.",train
מדוע החזקת נשק ללא רישיון מסכנת את הציבור?,"בנוסף מי שמחזיק נשק ללא רישיון מסכן את הציבור, מאחר שלא עבר הכשרה מתאימה, ויש להניח כי אינו יודע להשתמש בו בדרך נכונה ובטוחה.",train
מהו השיקול המרכזי המונע מהשופט להקל עם הנאשם?,"בית המשפט לא יטה להקל עם הנאשם ולא יחפוף את עונשי המאסר, ככל שהעבירות בהן הורשע הינן חמורות יותר, ככל שקשות נסיבות ביצוען, וככל שיש בביצוען משום פגיעה קשה בערכי היסוד החברה בה אנו חיים .",train
מהו הסיכון שנגרם לשוטרים בעקבות מעשי הנאשם?,"מדובר במעשים, שלא זו בלבד שיוצרים סיכון לשלומם של השוטרים, אלא שהם אף קוראים תיגר על ריבונותה של המדינה ושלטון החוק.",train
מהו המשקל של העדר עבר פלילי והשפעת המאסר על משפחת הנאשם?,"עוד יובא בחשבון העדר עבר פלילי כאשר למעשה מדובר בהסתבכותו הראשונה בפלילים, והשלכות המאסר על הנאשם ומשפחתו.",train
אילו ערכים חברתיים נפגעו במעשיו של הנאשם לפי פסק דין ע״פ 6310/14?,"במעשיו של הנאשם פגע בשורה של ערכים חברתיים החיוניים לתפקודה של החברה והתפתחותה, בהם, ביטחונו, שלומו, כבוד האדם והזכות להגנה על שלמות גופו – זכות יסוד מקודשת שאין להתיר לאיש לפגוע בה (ע״פ 6310/14 פלוני נ׳ מדינת ישראל ).",train
כיצד השפיעו האיומים שנאמרו שלא בנוכחות המתלוננת על הערכת מסוכנות הנאשם?,"אמנם האיומים נאמרו שלא בנוכחות המתלוננת,  אך במקום להביע צער על מעשיו הנאשם איים לשוב ולפגוע בה, לאחר שהוא כבר הוכיח כי פגיעתו רעה ומסוכנת.",train
כיצד מתייחס בית המשפט העליון לחומרת עבירות נשק במדינה?,"בית המשפט העליון התייחס רבות לחומרתן של עבירות נשק, לכך שהפכו ל\מכת מדינה\"" ולצורך להחמיר עד מאוד בענישה בעניינן.""",train
