text,split
"לחובת הנאשם יש לזקוף קודם לכל את חומרת מעשיו. הנאשם נהג באלימות קשה כלפי גופם של המתלוננים, תוך עשיית שימוש במוט ברזל ואבזם חגורה מתנופף וגרם להם לחבלות שהצריכו טיפול רפואי בבית חולים. בתי המשפט מצווים לענישה מחמירה בעבירות אלימות כלפי גוף ויפים הדברים שנקבעו בהקשר זה בע\פ 5641/09 - מ\""י נ' ברזנסקי - לא פורסם - ניתן ביום 22.3.10, בזו הלשון: בנוסף, יש להתייחס לחובת הנאשם לעברו הרלוונטי ולביצוע עבירות חמורות שעה שמאסר מותנה מרחף מעל ראשו. רף הענישה התואם מעשי הנאשם, בנסיבותיהם, הנו מאסר בפועל לתקופה משמעותית. עם זאת, נסיבותיו האישיות מצדיקות העדפת אינטרס השיקום בענישתו. לזכות הנאשם, יש להתייחס לשינוי המהותי והאותנטי שערך בחייו על דרך חזרתו בתשובה. אימצתי את התרשמויות שירות המבחן, כי די במהלכי הנאשם לשם השלמת שיקומו ואין צורך בהליך טיפולי משלים. בנוסף, הנאשם נטל אחריות על מעשיו, הביע חרטה בגינם, הוא היה בן 18 בעת ביצוע מעשי האישום, הוכנס תיקון לא מבוטל בכתב האישום, הוא לא שב לסורו על אף חלוף הזמן המשמעותי, הוא אינו צורך סמים מסוכנים ואלכוהול - וגם אלו משמשים לזכותו. מכל המקובץ, ייחסתי משקל בכורה לנסיבותיו האישיות של הנאשם ובעיקר, לדרך החדשה בה החל עם חזרתו בתשובה, המסייעת בשיקומו ובשמירת שלום הציבור. נחה דעתי כי גמול ראוי לנאשם ימצא ביטויו באמצעות תרומה משמעותית מטעמו לחברה שנפגעה ממעשיו על דרך ריצוי עונש מאסר עבודות שירות, קנס ופיצוי למתלוננים ואני משית עליו את העונשים, כדלקמן – מאסר בפועל – לתקופה של 6 חודשים. לריצוי על דרך עבודות שירות כפי חוות דעתו של הממונה על עבודות השירות. תחילת ריצוי העונש ביום 17.7.12. הנאשם מוזהר כי כל הפרה בתנאי""",train
"לציין כי בניגוד לטענות המאשימה, ההליך השיקומי שעבר הנאשם בעברו התמקד בהיבט הזוגי ולא בהיבט ההורי וחבל שכך, כשדומה כי הנאשם לא שב לסורו בהיבט של אלימות כלפי זוגתו. מכל המקובץ, נחה דעתי כי יש להשית על הנאשם את העונשים, כדלקמן - מאסר בפועל – למשך 3 חודשים. לריצוי במסגרת עבודות שירות כפי חוות דעתו של הממונה על עבודות השירות. בחלוף המועד שצוין בחוות הדעת, תחילת ריצוי העבודות תהא כפי מועד שתתאם הסנגורית אל מול הממונה על עבודות השירות ותעדכן את בית המשפט והמאשימה בתוך 7 ימים. הנאשם מוזהר כי כל הפרה בתנאי עבודות השירות תביא להפקעתן המנהלית ולריצוי עונשו במתקן כליאה. הפעלת מאסר על תנאי – מופעל בזאת מאסר על תנאי בן 3 חודשים כפי שנגזר על הנאשם בפ' 2285/06 מיום 31.3.08 של בית משפט זה. לריצוי בחופף לעונש המאסר שנגזר על הנאשם לעיל. סך הכל ירצה הנאשם שלושה חודשי מאסר על דרך עבודות שירות כפי חוות דעתו של הממונה. מאסר על תנאי - לתקופה של 7 חודשים. הנאשם יישא בעונש זה אם בתקופה של שלוש שנים מהיום יעבור על עבירת איומים נוספת. לא מצאתי לנכון להורות על קיזוז ימי המעצר מתקופת המאסר שנגזרה על הנאשם כעתירת הסנגורית. עותק מגזר הדין יישלח לידיעת הממונה על עבודות השירות.",train
"של עובדיו, קיצץ בתשלומים הזעומים ממילא ששילם להם, דחק זכויות מגן הקיימות להם לקרן זוויות והעמיד בראש מעייניו את יפי פרחי משקו, מבלי שיפנים דאז וגם כיום כי יופי זה אינו צריך שיבוא על חשבון זכויותיו הבסיסיות של אדם לחירות, כבוד וקנין. הפסול העיקרי שבמעשי הנאשם נעוץ בבחירתו התמוהה להותיר את דרכוני המתלוננים בידיו, באופן שיצר בעבורם מגבלת תנועה ברורה, בעוד שבעבורו נוצרה זמינות קבע של המתלוננים לעבודות המשק השונות, בשעות שונות, משמע \רותקו\"" למשקו. הנחת ההגנה בטיעוניה משמע למתלוננים הייתה נגישות למקום בו נמצאו הדרכונים ויכלו לקבלם בכל עת, אינה מתיישבת עם נוסח כתב האישום המתוקן. אציין כי היתר לקבלת דרכון בעבור שני עובדים זרים, לצורך לימודי טרקטור אינו מכרסם מחוד חומרת מעשי הנאשם, משהקלת המגבלה שהתיר נועדה לצרכיו שלו ולא לחירותם של עובדיו. במקרה אחר, המתלונן לא יכל לצאת את פתח המשק למשך 5 חודשים, ובמקרה נוסף, המתלוננת לא חזתה בדרכונה על פני שנים. בנסיבות אלו של מעשי הנאשם כלפי ששת המתלוננים בהיקפים כפי שבוצעו, בהינתן מידת פגיעתו המשמעותית בערכים החברתיים הנ\""ל ולאור מדיניות הענישה הנלמדת מהתייחסות המחוקק ומחומרת מעשי הנאשם - קיים קושי לדידי לקבל את גישת ההגנה ולקבוע כי מתחם העונש ההולם את מכלול מעשי הנאשם, אינו כולל עונש מאסר בפועל. אני קובע מתחם זה, בהתייחס לאישומים השונים, החופפים על פני ציר הזמן, \""כאירוע אחד\"", כדלקמן – מאסר בפועל הנע בין 4 ל- 9 חודשים; מאסר מותנה; קנס ופיצוי בהיקפים של עשרות אלפי שקלים. בגזירת העונש המתאים לנאשם שמלפניי וכמצוות המחוקק בסעיף 40יא לחוק, יש מקום להתחשב בנסיבותיו האישיות, אשר אינן קשורות בביצוע העבירות. נסיבות אלו נלמדות מן האמור בתסקיר שרות המבחן""",train
"ולנוכח מצבו הנפשי. כך על אף שהנאשם נמצא כשיר לעמוד לדין בתיק שמלפניי. לזכותו של הנאשם יאמר כי הודה בעבירות נשוא כתב אישום מתוקן, תוך הפנמת פסול מעשיו הנלמדת אף מאמירותיו אל מול שירות המבחן ומנכונותו להשתלב בהליך טיפולי שיסייע לו להתמודד באופן נורמטיבי ומותאם עם תחושות דחק ומתח. לאור התסקירים כפי שהוגשו, יוצא כי הנאשם פוסע בנתיב טיפולי, מוכיח רצף תעסוקתי ושירות המבחן ממליץ על העדפת המשך שיקומו. הנאשם הביע חרטה על מעשיו והגדירם כחסרי פרופורציה. גם חלוף הזמן, מבלי שהוסיף להסתבך בפלילים, עומד לזכותו. שוכנעתי מן התסקירים וממכלול נסיבות העניין, כי קיים סיכוי ממשי שהנאשם ישתקם בחסות צו מבחן וכי החברה תצא נשכרת מהמשך פסיעתו בדרך הישר. השמת הנאשם מאחורי סורג ובריח בשלב זה של חייו, תגדע את ההליך השיקומי ותפגע בבני משפחתו ולא ניתן להשימו במאסר במסגרת של עבודות שירות. כהוראת סעיף 40ד(א) לחוק, רשאי בית המשפט לחרוג ממתחם העונש ההולם ולקבוע עונש לפי שיקולי שיקומו של הנאשם, אם מצא כי השתקם או כי יש סיכוי של ממש שישתקם. כך התרשמתי בעניינו של הנאשם שמלפניי. לעיתים, ניתן לייחס משקל דומיננטי לנסיבות זכות לנאשם, שעה שלא צפויה ממנו סכנה שיחזור לסורו או על מנת שלא להפריע בדרכי שיקומו. נוכח מכלול הנסיבות, סברתי כי גמול הולם לנאשם, יימצא ביטויו בהשתת צו של\צ לרווחת החברה שנפגעה ממעשיו בתוספת לקנס ופיצוי למתלונן. צו מבחן יאפשר מיצוי אינטרס השיקום בענישת הנאשם והארכת המאסר המותנה תוסיף ותרחף כחרב מעל ראשו של הנאשם, לבל ישוב ויבצע עבירות נוספות. לאור המקובץ ובמבוקשי לאתר יחס הולם בין מעשי העבירות בנסיבותיהם ומידת אשמו של הנאשם, לבין סוג ומידת העונש שיושת עליו, אני קובע""",train
"בפתח הדיון בסוגיית החזרה המתבקשת מהרשעת הנאשם, יש לבחון את חומרת מעשיו בראי וברוח סעיף 40גא) לחוק. זאת, בהתייחסות למתחם העונש ההולם את מעשה העבירה שביצע הנאשם וכאמצעי לבחינת חומרת מעשיו. בחינה זו נדרשת אף בעת שקילת עתירתו לחזור מהרשעתו. יש להתחשב בערך החברתי שנפגע מביצוע העבירה, במידת הפגיעה בו, במדיניות הענישה הנהוגה ובנסיבות הקשורות בביצוע העבירה. הנאשם פגע בשני ערכים חברתיים עיקריים. הראשון - בזכותו היסודית של המתלונן לכבוד ולאוטונומיה על גופו, כדי מוגנותו המתבקשת מפני מעשי אלימות. השני - בתדמית המשטרה בעיני הציבור ובאמון שזה רוחש לה. לאורן של החבלות שנגרמו למתלונן, היותו קטין והיות הנאשם שוטר במסגרת תפקידו, סברתי כי מידת פגיעתו בערכים חברתיים אלו הנה גבוהה. בחינת הנסיבות הקשורות בביצוע העבירה, מעלה כי הנאשם הפעיל אלימות קשה ולא מוצדקת כלפי גופו של קטין בשלושה מופעים שונים, שלא נודע צורך באף אחד מהם – מכה עם פנס ושתי מכות או \סטירות נוספות\"" בחלקי ראשו של המתלונן. המתלונן לא פעל באופן שיצדיק כלשהו את שלושת מופעי האלימות שהוטחו בגופו, מאחר שכבר הופל ארצה ולא נודעה ממנו כל מסוכנות לביטחון הציבור או לנאשם. הנאשם פעל באלימות בגדר תפקידו כשוטר. מן הראוי היה שיפעיל את הסמכויות הרחבות שניתנו בידיו בזהירות וברגישות יתר, אך הוא בחר בהתנהלות חסרת רסן. הנאשם בא חשבון עם שלמות גופו של המתלונן, אך מאחר שחש זלזול מצדו. כך פעל כשליח ציבור באופן הפוגע באמון הציבור במערכת אכיפת החוק. חלקו של הנאשם בביצוע העבירה היה מרכזי ועיקרי ומידת השפעת מעשיו על המתלונן הנה משמעותית. הנאשם יכל להבין את פסול מעשיו, הוא שלט עליהם שליטה מלאה ובחר שלא לנצל נקודות יציאה שניקרו בדרכו האלימה""",train
"מקרה נשקל כפי נסיבותיהם הייחודיות של העושים והמעשים השונים. לא מצאתי כיצד ניתן לגזור גזירה שווה בין איזו מהן לבין עניינו של הנאשם שמלפניי. במבוקשי לאתר יחס הולם בין מעשה העבירה בנסיבותיו ומידת אשמו של הנאשם לבין סוג ומידת העונש שיושת עליו, אני קובע בעניינו את העונשים, כדלקמן – מאסר בפועל – לתקופה של חודשיים. לריצוי על דרך עבודות שירות כפי חוות דעתו של הממונה על עבודות השירות. הנאשם מוזהר כי כל הפרה בתנאי עבודות השירות תביא להפקעתן המנהלית ולריצוי העונש במתקן כליאה. בחלוף המועד שנקבע לתחילת ריצוי העבודות, יתאם הסנגור אל מול הממונה מועד חדש ויעדכן את בית המשפט ואת המאשימה בהתאם בתוך 7 ימים.",train
"של הנאשמת זכאית להגנה מפניה. כל עוד לא ניתן לשקוט כי הנאשמת היטיבה דרכיה, ראוי להרחיקה מהחברה לתקופה ממושכת. נזקי המאסר נסוגים כנגד הצורך להגן על הציבור מפני מי שנעדר כל מורא מפני הוראות מחייבות שבחוק ובצווים שיפוטיים. ראויים להדגשה בענישת הנאשמת אינטרסים של גמול ומניעה. הראשון ישקף את הסלידה שחשה החברה מחמת כיעור מעשיה והשני ישקף את ניתוק המגע שעודנו מתבקש בינה לבין החברה. בצער שהביעה הנאשמת על מעשיה ובהבטחתה שלא תחזור לסורה, אין די בכל הנוגע למגננה הנדרשת לציבור מפני התנהגותה משולחת הרסן. כעד לעונש העיד אביה של הנאשמת - מר אלי זעפרני, שהבהיר את הקשיים בהם נתקל שעה שנדרש לטפל בבתו לבדו מחמת ניתוק הקשר עם אמה, כיצד התקשתה להתאקלם בפנימיות אליהן נשלחה וכיצד הכירה בגיל 16 בן זוג שהיה \שולח אותה לגנוב\"", מאחר והיה \""משחק בקלפים\"" ומכה אותה. על אף חומרת מעשי בתו, ביקש אביה את רחמי בית המשפט על מנת שיסתייע בידה לעלות על דרך הישר והבהיר כי הוא מצוי עמה בקשר מתמיד ומבוקשה הוא \""להיות ילדה כמו כולם\"" (ר' פרו' עמ' 15 שו' 5-24). גילה הצעיר של הנאשמת אינו מהווה חוצץ מפני ענישה מכבידה. גם אם ביקשתי לייחס עיקר של ענישה שיקומית מתבקשת לכתבי האישום שצורפו מאת בתי המשפט לנוער, הנאשמת לא אפשרה זאת. גם אם ביקשתי לייחס כעת משקל מצומצם לענישת הנאשמת ביחס לכתבי האישום שצורפו, הם לא עומדים לבדם ובריבוי מעשי הנאשמת בכתב האישום העיקרי, שבוצעו על רקע אירועי כתבי האישום שצורפו ותוך \""צפצוף\"" על החלטות שיפוטיות - קיים מרכז כובד משמעותי המשמש לחובת הנאשמת. גם ברצונו הכן של אבי הנאשמת להביא לשיקומה, אין די בהעדר אפיק שיקומי""",train
"25.1.11. תחילת ריצוי העבודות ביום 7.2.12, כשהנאשם יתייצב במשרדי הממונה על עבודות השירות במפקדת מחוז מרכז ברמלה בשעה 08:00. הנאשם מוזהר כי כל הפרה בתנאי עבודות השירות כפי בקשת הממונה, תביא להפקעתן המנהלית ולריצוי עונשו במתקן כליאה. מאסר על תנאי - לתקופה של 6 חודשים. הנאשם יישא בעונש זה אם בתקופה של שלוש שנים מהיום יעבור על אלו מהעבירות בהן הורשע או כל עבירה אחרת שיש בה יסוד של גביית יתר ממבקשי עבודה זרים, לרבות סיוע או ניסיון לעברה. קנס - בסכום של 150,000 ₪ או מאסר הנאשם למשך 60 ימים תחתיו.",train
"שילובם בצווי מבחן ולפיכך, שוכנעתי כי האיזון הראוי בין האינטרסים השונים יימצא ביטויו באמצעות השתת עונש מאסר על שני הנאשמים לריצוי על דרך עבודות שירות. עונש שכזה, יאפשר לנאשמים המשך שיקומם אגב ענישתם, תוך צמצום נזקי המאסר הממשי בעניינם ותוך תרומתם הנכבדת מצו של\צ, כמתבקש בנסיבות העניין, בעבור החברה שנפגעה ממעשיהם. לא נעלמה מעיניי התרשמות שירות המבחן כי שליחת הנאשמים לריצוי עונש מאסר על דרך עבודות שירות, תפגע ביציבותם התעסוקתית, החשובה לכשעצמה לשם המשך שיקומם. עם זאת, אין עסקינן בחזות הכל, משטבעה של ענישה פגיעה מסוימת במהלך החיים התקין של העבריין. הנאשם 2 החל בעבודה חדשה כנהג טרקטור זה לא מכבר, כך שקיים קושי לייחס לו יציבות תעסוקתית כדי כך גם לנוכח פיטוריו בעבר. לא הוצגו נתונים לפיהם הנאשמים לא יוכלו להשתלב בעבודתם הנוכחית או בעבודה אחרת, עם סיום ריצוי עונשם. אף לנוכח קיומו של סיכוי ממשי לשיקום הנאשמים, טרם בשלה העת לברך על המוגמר בבחינת הליכי שיקומם. הנאשם 1 קיבל אחריות מצומצמת על מעשיו ועלה מדרגה משמעותית בבחינת התנהגותו הפלילית. עברו הפלילי של הנאשם 2 לא הניאו משיבה לסורו וטרם ניתן לקבוע כי הנאשמים שניהם פוסעים בדרך הישר בהילוכם ובמחשבתם. מכל אלו, סברתי כי קיים קושי לייחס משקל מכריע לאינטרס השיקום בענישת הנאשמים, כדי כך שיחלצו מעונש שיקומי בעיקרו, בדמות מאסר לריצוי על דרך עבודות שירות. שוכנעתי כי ראוי להשית על הנאשמים רכיבי ענישה החובקים מסר מרתיע, שלבד מנסיבותיהם האישיות, יהלמו גם את חומרת מעשיהם. הכל, על מנת שיינתן המשקל המתבקש לגמול הנדרש בענישתם, שישקף את הסלידה שחשה החברה ממעשיהם. נסיבותיהם האישיות של הנאשמים תבואנה לכדי ביטוי בעצם סוג עונש המאסר שיושת עליהם, שיתחשב בדרך""",train
"כשמעשי הנאשם אינם מצויים בראש הרשימה בבחינת חומרת הסיכון הנובעת ממעשיו, משלא הוכח כי התחמושת נועדה לביצוע מעשים המכוונים לפגוע בביטחון המדינה או בשלומו של הציבור. עם זאת, מעשי הנאשם אינם מצויים בתחתית הרשימה משאין המדובר בהחזקת נשק שפג תוקף רישיונו (ר' בש\פ 9126/04 אבדאללה נ' מדינת ישראל תק-על 2004 (4) 715). אין לכחד גם מחומרת עבירת הפרת ההוראה החוקית, כשהנאשם בחר \""לצפצף\"" על ציווי מפורש מאת בית המשפט משמע לא היה בו מעבר להמלצה. משכך נהג הנאשם, יש להבהיר לו על דרך מעשי הענישה את הפסול שבהתנהלותו. עם זאת, יש להתחשב בכך כי אין המדובר בהפרה חמורה של ההוראה החוקית משהנאשם לא יצא את כתובת מעצר הבית ולא ביצע עבירה נלווית להפרה. לזכות הנאשם יש להתחשב בעברו הנקי, בגילו הצעיר, בתיקון המהותי שהוכנס בכתב האישום בתיק העיקרי, בהודיית הנאשם המשקפת קבלת אחריות והפנמת הפסול שבמעשיו, בחרטתו הכנה, בתקופות מעצרו המשמעותיות מאחורי סורג ובריח ובגדר מעצר בית במסגרת תיק זה, בחילוט הביטחונות לאחר הפרת הנאשם את ההוראה החוקית שניתנה בעניינו ובאורח החיים הנורמטיבי אותו הוא מנהל. האינטרסים הרלוונטיים בענישת הנאשם הינם הגמול שישקף את הסלידה שמעוררים מעשיו ואת הוקעתם הנדרשת, ההרתעה המתבקשת לו ולשכמותו והשיקום על דרך שימור המסלול הנורמטיבי שבחיי הנאשם. סברתי כי אינטרס המניעה אינו רלוונטי ככזה ראה וקדש בעניינו של הנאשם, מששוכנעתי כי אין הצדק ממשי להרחקתו מן החברה שנפגעה ממעשיו בעת זו. סברתי כי האיזון הראוי בין האינטרסים השונים ובין שיקולי החובה והזכות הרלוונטיים לנאשם, ימצא ביטויו על דרך תרומה רחבה מטעמו לחברה שנפגעה ממעשיו באמצעות ריצוי עונש מאסר בעבודות שירות וקנס ממשי. מאסר מותנה משמעותי שירחף כחרב מעל ראשו של הנאשם""",train
