question,answer,split
מהו המאפיין המרכזי בהתנהגות הנאשם במצבי דחק שהוביל לתוצאה בתיק זה?,"תחילתו של הקשר חיובי ונושא פירות אך הנאשם כשל בדיוק באותו מקום בו מעד בתיק זה, כשעולה שבמצבי דחק ומצוקה פועל אימפולסיבית ואינו שולט על כעסיו ותסכוליו.",train
מהו העיקרון המנחה בענישה על פי הוראות תיקון 113 לחוק?,על ההליך שבפני חלים עקרונות הבניית שיקול הדעת השיפוטי בענישה בהתאם להוראות תיקון 113 לחוק.,train
מהו השיקול שהוביל למיקום הנאשם 8 בחלק המרכזי-עליון של המתחם?,על יסוד נתונים אלו ראוי היה למקם את הנאשם 8 בחלק המרכזי-עליון של המתחם אך מצאתי להתחשב בנסיבותיו המפורטות לעיל.,train
"מהו השיקול לחומרה במקרה שבו הנאשם אינו \בן משפחה\"" כהגדרתו בחוק?""","כפי שכבר נפסק, לביצוע עבירות בנסיבות אלו ניתן לתת משקל לחומרה גם אם הנאשם אינו \בן משפחה\"" כהגדרתו בחוק (סעיף 351(ה) לחוק), וזאת בהתחשב ברקע לביצוע העבירות ומכח הוראת סעיף 40ט(א)(11) לחוק, המנחה את בית המשפט להתחשב כנסיבה לחומרה בניצול לרעה את יחסי הנאשם עם נפגע העבירה (ע\""פ 3583/20 פלוני נ' מדינת ישראל, כב' השופט פוגלמן, פסקה 4, [פורסם בנבו] 9.11.2020) ; ע\""פ 8153/19  פלוני נ' מדינת ישראל פסקה 49 [פורסם בנבו]  20.10.2020 (להלן: \""עניין פלוני\"")""",train
מהו ההסבר לכך שאין ללמוד מההליך הטיפולי על סיכויי שיקום הנאשם?,"אין מדובר בהליך טיפולי משמעותי, ולא ניתן ללמוד ממנו דבר על סיכויי שיקומו, בוודאי לא באופן המצדיק סטייה ממתחם הענישה.",train
מהו המידע הנדרש לקביעת האם מקרה ייחשב כמקרה שיקום לפי סעיף 40ד' לחוק?,"התשובה לשאלה אילו מן המקרים ייחשבו  מקרי שיקום כמשמעותו בסעיף 40ד' לחוק ואילו לאו מורכבת ותלויה במספר פרמטרים, בין היתר חומרת העבירה, נסיבות הנאשם, טיבו של הליך השיקום והסיכון להישנות עבירות.",train
כיצד מתייחס בית המשפט העליון לשיקולי השיקום בעבירות נשק?,בית המשפט העליון התייחס בהחלטתו לשיקולי השיקום אך נתן משקל בכורה למדיניות הענישה המחמירה בעבירות נשק.,train
מהי מגמת החמרה שנקבעה בחוק בעקבות תיקון 140 לחוק העונשין?,"מגמת החמרה זו קיבלה ביטוי סטטוטורי גם בחקיקה, במסגרת תיקון 140 לחוק שנכנס לתוקף ביום 8.12.21, וחל בענייננו, בו נקבעו עונשי מינימום לעבירות נשק באשר הן, באופן שככלל, העונש שיושת בגין עבירות אלו, לא יפחת מרבע העונש המרבי שנקבע לעבירה.",train
מהו הפוטנציאל הנזק הנובע מעבירות הנשק וכיצד הוא משפיע על החברה?,"חומרתן אינה מתמצה אך בעבירות גופן, אלא בפוטנציאל הנזק הנובע מהן, עבירות הנשק מייצרות איומים וסיכונים משמעותיים לחברה, מהוות בסיס לביצוע פעילות עבריינית, פשיעה לאומנית ופעולות טרור.",train
מדוע לא המליץ שירות המבחן על המלצה שיקומית במקרה של הנאשם?,"לא בכדי לא בא שירות המבחן בהמלצה שיקומית, והמליץ להטיל על הנאשם ענישה קונקרטית ומוחשית שתחדד עבור הנאשם את השלכות מעשיו.",train
מהו השיקול שהשפיע על גובה ההקלה בעונש לנאשם?,"זכאי אמנם הנאשם להקלה משמעותית בעונש, אך לא כפי שראוי היה להקל עמו לוּ היה מודה בתחילת ההליך וחוסך את עדות נפגע העבירה.",train
כיצד יש לברור בין מקרים חריגים לבין מקרים שבהם יש סיכוי לשיקום?,"לפיכך, עלינו לברור בזהירות בין המקרים החריגים, בבחינת יוצא מן הכלל לבין אלו שבהם נקבע סיכוי לשיקום אך הוא אינו מצדיק בהכרח חריגה ממתחם הענישה משיקולי שיקום והמנעות מהטלת עונש מאסר.",train
מהו הצעד הבא לאחר קביעת מתחם הענישה?,"כעת, משנקבע מתחם הענישה, יש להמשיך ולבחון עתירת ההגנה לחרוג ממנו מטעמי שיקום ובהתאם להוראת סעיף 40ד'(א) לחוק העונשין.",train
