text,split
"המשפט להרשיע את הנאשם בעבירה הרלוואנטית. האפשרות לנקוט בדרך החריגה של הימנעות מהרשעה היא שמורה רק לאותם מקרים מיוחדים ויוצאי דופן בהם מתקיימים שני התנאים המצטברים, אשר נקבעו בע\פ 2083/96 כתב נ' מדינת ישראל, פ\""ד נב (3) 337, 342 (1997), כלהלן: ראשית, על ההרשעה לפגוע פגיעה חמורה בשיקומו של הנאשם. שנית, סוג העבירה מאפשר לוותר, בנסיבות המקרה המסוים, על ההרשעה מבלי לפגוע באופן מהותי בשיקולי הענישה האחרים (להלן – הלכת כתב והתנאי הראשון והתנאי השני, בהתאמה). יש לציין, כי במהלך השנים הרבות שחלפו מאז שניתנה הלכת כתב חזר בית המשפט העליון על ההלכה ואשרר הן את תוקפה והן את תנאיה (ר', למשל, רע\""פ 8458/18 שטרר נ' מדינת ישראל (04.04.19), רע\""פ 2403/19 פלוני נ' מדינת ישראל (07.04.19)). אשר לעניינה של הנאשמת, על פני הדברים התנאי השני אינו מתקיים לגביה. עסקינן בנאשמת שהשתמשה במסמכים מזויפים ויצרה מצגי שווא, באופן שפגע בשלושה מוסדות אקדמיים: אוניברסיטת בן גוריון, שגיליון הציונים שהעניקה לנאשמת זויף; הטכניון, שעל יסוד גיליונות הציונים המזויפים ומצג השווא העולה מהם קיבל את הנאשמת ללימודי הרפואה והעניק לה הקלות אקדמיות; ולבסוף אוניברסיטת תל אביב, שעל יסוד גיליונות הציונים המזויפים ומצג השווא העולה מהם מצאה אותה כמתאימה לתכנית מיוחדת בפקולטה לרפואה. יתר על כן, מדובר בהתנהגות עבריינית שלא רק חזרה ונשנתה, אלא גם התמשכה על פני תקופה ממושכת, ועל כן לא ניתן לראותה כמעידה חד פעמית. ואולם, בעניין זה אין כדי להעלות או להוריד לעניין הנסיבות המחמירות הנ\""ל: הביצוע הממושך מלמד על תכנון ועל תעוזה, אף אם מעשה הזיוף עצמו נעשה על ידי מאן דהוא אחר. ברור אפוא כי במקרה דנא סוג העבירה בנסיבותיה אינו מאפשר לוותר על ההרשעה""",train
"בעת גזירת עונשו של נאשם על בית המשפט לקבוע, תחילה, את מתחם העונש ההולם לאירוע שבגינו הורשע הנאשם, ולאחר מכן לגזור את עונשו של הנאשם בתוך מתחם זה. קביעת מתחם העונש ההולם תיעשה, בהתאם להוראות חוק העונשין, תשל\ז-1977 (להלן – חוק העונשין), תוך התחשבות בערכים החברתיים שנפגעו כתולדה מביצוע העבירות ובמידת הפגיעה בהם, במדיניות הענישה הנהוגה ובנסיבות הקשורות בביצוע העבירות. הפסיקה חוזרת ומטעימה את חומרתן הרבה של עבירות המס, שביצוען פוגע בערכים החברתיים של ההגנה על הקופה הציבורית שבאוצר המדינה, ההגנה על שוויון הנשיאה בנטל המס וההגנה על מהימנות הדיווחים לרשויות המס. כפי שנקבע בהלכה הפסוקה, אין לראות בעבירות מס משום עבירות רגולטוריות גרידא, שכן משמעותן המעשית היא גזל של כספי הציבור; ולפיכך ענישתן צריכה להיות מחמירה, בהתאם. זאת, בפרט כאשר מדובר בעבירות מס שבוצעו באופן חוזר ונשנה, לאורך זמן ובהיקפים כספיים ניכרים. עם זאת, כידוע, הוראות חוק העונשין שעניינן בהבניית שיקול הדעת השיפוטי בענישה אינן מתייחסות למצבים של הסדרי טיעון, שבהם נשקלים שיקולים נוספים. לפיכך, הגם שכיום כבר אין מחלוקת כי הוראות חוק העונשין הנ\""ל חלות גם במקרים של הסדרי טיעון, במקרים כאלה עיקר השאלה היא בסבירות ההסדר, שאלה שעל בית המשפט לבוחנה בהתאם ל\""מבחן האיזון\"" אשר נקבע בזמנו בע\""פ 1958/98 פלוני נ' מדינת ישראל, פ\""ד נז(1) 577 (25.12.2002). במקרה דנא ב\""כ הצדדים נימקו את ההסכמות אליהן הגיעו בנסיבותיו האישיות החריגות של הנאשם, בין השאר על רקע ההתמוטטות הכלכלית שאותה חווה. אכן, כיום ההגנה אינה חולקת על כך שהתמוטטות זו – גם על רקע נסיבותיה הנטענות – אינה מגבשת \""הצדק סביר\"" לצורכי סעיף 219 לפקודת מס הכנסה. עם זאת, עדיין יש מקום להתחשבות בה כנסיבת-קולה""",train
"בעת גזירת עונשו של נאשם על בית המשפט לקבוע, תחילה, את מתחם העונש ההולם לאירוע שבגינו הורשע הנאשם; והכל כאמור בהוראות סעיף 40ג יחד עם סעיף 40יג לחוק העונשין. קביעת מתחם העונש ההולם תיעשה בהתאם לעיקרון המנחה בענישה – הוא עקרון ההלימה – תוך התחשבות בערך החברתי שנפגע מביצוע העבירות ובמידת הפגיעה בו, במדיניות הענישה הנהוגה ובנסיבות הקשורות בביצוע העבירות המפורטות בהוראות סעיף 40ט לחוק העונשין. מקובל עליי טיעון ב\כ המאשימה בכל הקשור לערכים החברתיים שנפגעו כתולדה ממעשי הנאשם. הפסיקה חוזרת ומדגישה את חומרתן הרבה של עבירות האלימות, אשר פוגעות בערכים החברתיים של ההגנה על שלום הציבור ועל שלוותו, ההגנה על שלום הגוף, וכן פוגעות במרקם החברתי וביכולת לקיים חברה תרבותית ומתוקנת. בנסיבות אלה ישנה חשיבות רבה להיבטי ההרתעה, בפרט כאשר מדובר בעבירות אלימות הגורמות לחבלות למיניהן, ועל כן בעבירות כאלה הרף התחתון של מתחם העונש ההולם צריך לעמוד, ככלל, על עונש של מאסר בפועל ולו לנשיאה בדרך של עבודות שירות. במקרה דנא, חומרת האירוע נובעת מהתקיפה האלימה, בראש חוצות. אמנם לא מדובר בתקיפה במסגרת התופעה הפסולה והמסוכנת של \""זעם בדרכים\"", אלא בתקיפה על רקע מחלוקת כספית קודמת, אך נקיטה באלימות ברחובה של עיר היא חמורה ומסוכנת כשלעצמה ואף פוגעת בשלום הציבור. גם אם סבר הנאשם שהמתלונן קילל אותו נמרצות, וגם אם חש הנאשם תסכול עמוק על כך שהמתלונן הלין את שכרו – לא היתה כל הצדקה לנקיטה בדרך של אלימות פיזית, בפרט כאשר בסופו של דבר האירוע הסתיים רק בשל התערבות עוברי אורח, כשהנאשם ביקש להוציא מרכבו קרש. יחד עם זאת יש להתחשב בכך כי, על פי האמור בעובדות כתב האישום המתוקן, הפגיעה במתלונן היתה""",train
"האישיים של הנאשם ונסיבות חייו – הנאשם הינו רווק כבן 28 שנים, שאינו עובד ומתגורר אצל אמו. כאמור, הנאשם סובל מהפרעה נפשית משמעותית, המשפיעה על כל אורחות חייו. המסקנה המתבקשת הינה, אם כן, כי בנסיבות עניינו של הנאשם ניתן להסתפק במקרה זה, אם גם תוך פסיקה לצד קולה, בענישה צופה פני עתיד, במישור עונש המאסר, וזאת בצירוף פיצויים למתלונן. כמו כן, ובמיוחד נוכח מצבו הנפשי של הנאשם והצורך במעקב על השתלבותו בהליך טיפולי, נדרשת במקרה זה ענישה שיקומית. לפיכך – ובהתחשב בשיקולים לכף חומרה ולכף קולה, אשר פורטו לעיל – אני גוזר על הנאשם את העונשים הבאים: (א) מאסר על תנאי למשך 4 חודשים, אותו לא יישא הנאשם אלא אם כן יעבור, תוך שלוש שנים מהיום, עבירה של אלימות נגד הגוף. (ב) פיצויים למתלונן, עד התביעה מס' 2, בסך של 1,000 ₪. הפיצויים יופקדו בקופת בית המשפט בארבעה תשלומים חודשיים, שווים ורצופים, החל מיום 1.10.17 ובכל ראשון לחודש שלאחריו. באחריות ב\כ המאשימה להגיש הודעה למזכירות בית המשפט בדבר פרטי המתלונן, לצורך העברת הפיצויים. (ג) צו מבחן, לתקופה של 18 חודשים מהיום. מובהר בזה לנאשם כי אם הוא לא ימלא אחר הוראות צו המבחן ולא ישתף פעולה עם קצין המבחן, יהא בית המשפט רשאי לבטל את צו המבחן ולהטיל עליו עונש נוסף במקום צו המבחן. ניתן בזה צו כללי, לעניין מוצגים, לשיקול דעתו של קצין משטרה.""",train
"של הנאשם. זאת, תוך איזון הקלה מהותית זו בהרחבת מסגרת שעות השל\צ המומלצת, כמו גם הטלת ענישה כלכלית ממשית, שתמחיש לנאשם את חומרת העניין. אשר על כן – ובהתחשב בשיקולים לכף חומרה ולכף קולה, אשר פורטו לעיל – אני גוזר על הנאשם את העונשים הבאים: (א) מאסר על תנאי למשך 3 חודשים, אותו לא יישא הנאשם אלא אם כן יעבור, תוך שלוש שנים מהיום, עבירה לפי הוראות פקודת הסמים המסוכנים מסוג פשע. (ב) קנס בסך של 3,500 ₪, או 20 ימי מאסר תמורתו. הקנס ישולם ב-7 תשלומים חודשיים, שווים ורצופים, החל מיום 05.08.2023 ובכל חמישה בחודש שלאחריו. היה והנאשם לא ישלם את אחד התשלומים במועד תועמד כל יתרת הקנס לפירעון מידי. (ג) פסילה מלקבל או להחזיק רישיון נהיגה למשך 3 חודשים על תנאי, והתנאי הוא שבמשך שנתיים מיום שחרורו מן המאסר לא יעבור הנאשם עבירה מהעבירות המנויות בפקודת הסמים המסוכנים. (ד) שירות לתועלת הציבור בהיקף של 250 שעות. השירות יבוצע, בהתאם לתכנית שגיבש שירות המבחן, בהקדם האפשרי, החל במועד שייקבע שירות המבחן. מובהר בזה לנאשם כי אם הוא לא ימלא אחר הוראות צו השירות יהא בית המשפט רשאי לבטל את צו השירות ולהטיל עליו, במקום צו השירות, עונש נוסף. (ה) צו מבחן, לתקופה של 12 חודשים מהיום. מובהר בזה לנאשם כי אם הוא לא ימלא אחר הוראות צו המבחן ולא ישתף פעולה עם קצין המבחן, יהא בית המשפט רשאי לבטל את צו המבחן ולגזור עליו, במקום צו המבחן, עונש נוסף. ניתן בזה צו כללי, לעניין מוצגים, לשיקול דעתו של קצין משטרה. הסמים יושמדו.""",train
"על מעשיו אלא הדגיש דווקא את רצונו לסיים את ההליך המשפטי. חלוף הזמן – מאז מתן השיק לשלמה לחיאני, בחודש דצמבר 2005, חלף כמעט עשור שנים, ויש מקום להתחשב בנתון זה לקולא. יחד עם זאת, החזר ההלוואה התפרש על פני תקופה ממושכת, בה למעשה העבירה הלכה ונמשכה עוד ועוד. בנוסף, החקירה בפרשה נפתחה רק בחודש דצמבר 2009, כאשר מדובר בחקירה מורכבת ובכתב אישום הכולל 166 עדים. מדובר אפוא בשיקול לקולא בעל משקל נמוך יחסית. לאחר שקלולם של שיקולים אלה, לרקע כל שתואר עד הנה, אני גוזר את דינו הנאשם, ברכיב המאסר, לתקופה של חודשיים ימים, שניתן יהיה לרצותה בעבודות שירות. כאמור, הצדדים הסכימו על הענישה הכספית – בעניינם של שני הנאשמים – הסכמה שהינה בגדר הסביר ועל כן אני מחליט לכבדה. אשר על כן ולאור כל המקובץ אני גוזר על הנאשמים את העונשים הבאים: (א) חודשיים מאסר לריצוי בפועל. המאסר ירוצה בדרך של עבודות שירות בבית האבות \משען\"", ברחוב ביאליק 33 בחולון, כאמור בחוות דעתו של הממונה על עבודות השירות, החל ביום 1.7.15. הנאשם נדרש אפוא להתייצב, ביום 1.7.15 בשעה 08:00, במשרדי הממונה על עבודות השירות במפקדת מחוז מרכז של שירות בתי הסוהר, ברמלה, בהתאם לפרטים המופיעים בחוות הדעת האמורה. מובהר בזה לנאשם, כי בהתאם להוראות חוק העונשין עליו לציית לכללים ולהוראות הממונה על עבודות השירות, רכז עבודות השירות או המפקח, בכל הקשור לעבודות השירות. (ב) מאסר על תנאי למשך 6 חודשים, אותו לא יישא הנאשם אלא אם כן יעבור, תוך שלוש שנים מהיום, את העבירה בה הורשע. (ג) קנס בסך של 60,000 ₪ או 75 ימי מאסר תמורתו. הקנס ישולם עד ליום 1.9.15. קנס בסך""",train
"1.11.14 ובכל ראשון לחודש שלאחריו. היה והנאשם לא ישלם את אחד התשלומים במועד, תועמד כל יתרת הקנס לפירעון מידי. (ג) שירות לתועלת הציבור בהיקף של 250 שעות. השירות יבוצע, בהתאם לתכנית שגיבש שירות המבחן, בעבודות אחזקה, ניקיון וצבע במועדון הספורט בעיר טירה. השירות יבוצע ארבעה ימים בשבוע, בכל יום למשך שלוש שעות, בהתאם לתכנית האמורה. מובהר בזה לנאשם, כי אם הוא לא ימלא אחר צו השירות יהא בית המשפט רשאי לבטל את צו השירות ולהטיל עליו, במקום צו השירות, עונש נוסף. (ד) העמדת הנאשם במבחן, במסגרת צו מבחן, לתקופה של שנה וחצי מהיום. מובהר בזה לנאשם, כי אם לא ימלא אחרי הוראה מהוראותיו של צו המבחן יהא בית המשפט רשאי לבטל את צו המבחן ולהטיל עליו, במקום צו המבחן, עונש נוסף. (ה) חילוט הסך של 25,000 ₪, אשר הופקד בתשלומים בקופת בית המשפט, חלף שחרורם של כלי הרכב מושא בקשות החילוט שבכתב האישום, בהתאם להחלטה מיום 11.9.13. (ו) חילוט הכסף המזומן בסך 403 ₪ והטלפון הנייד, מושא בקשות החילוט שבכתב האישום, אשר נתפסו במהלך החקירה בתיק זה. (ז) ניתן בזה צו כללי, לעניין מוצגים, לשיקול דעתו של קצין משטרה, בכפוף להוראות החילוט הנ\ל. הסמים יושמדו.""",train
"למידת אשמו של הנאשם, כמו גם ל\תכנון שקדם לביצוע העבירה\"" (כאמור בהוראות סעיף 40ט(א)(1) לחוק העונשין), מדובר באירוע המצוי ברף חומרה נמוך. אכן, התופעה של \""תיירות פשע\"" היא תופעה חמורה, שלמרבה הצער בשנים האחרונות בתי המשפט נתקלים בה יותר ויותר. במסגרת תופעה זו קיימים מקרים, בהם מגיעים ארצה תיירים ומיד מתחילים לבצע עבירות רכוש מתוחכמות, כגון הונאות בכרטיסי חיוב לצורך משיכת סכומי כסף גבוהים ממכשירי בנק אוטומטיים (כפי שקרה בעניין נדאלקוב הנ\""ל). פשיטא, כי מקרים כאלה מחייבים ענישה מחמירה, הן נוכח חומרתם והן לצרכי הרתעה, ואין צורך להרחיב בדבר. להבדיל, אין מחלוקת כי הנאשם דנא הגיע ארצה כדי להתלוות לאביו חולה הסרטן, שנזקק בדחיפות לטיפול רפואי ולמעשה היה כבר בשלב האחרון של חייו (כאמור, האב נפטר זמן קצר יחסית לאחר שובו לאזרבייג'ן). הנאשם לא תכנן אפוא מראש כל מעשה עבירה ורק בדרך מקרה נתקל באותה \""ביצת זהב\"", בדמות המעטפה שבה היהלומים יקרי-הערך. אמנם, מאותו רגע של מציאה התגבשה בליבו של הנאשם כוונה פלילית, והכל כפי שנקבע במפורט בהכרעת הדין, ואף בהמשך הדברים לא זו בלבד שהנאשם לא פעל להשבת המציאה לבעליה אלא דווקא עסק בבירור שוויה; כאשר יש גם להזכיר שחלק מהיהלומים, ובערך משמעותי, לא נמצאו וממילא לא הושבו לבעליהם. עם זאת, עדיין עסקינן כאן באירוע נקודתי, שהרקע לו הוא מקריות גרידא, ועל כן, באופן יחסי, מדובר באירוע ברף אשמה נמוך. עוד יש לציין, בהקשר זה, כי על-פי מדיניות הענישה הנהוגה בעבירות של גניבה גרידא – דהיינו: עבירות של גניבה, שלא נלווית להן עבירה נוספת – הרף התחתון של מתחם העונש ההולם הוא נמוך יחסית. לפיכך, ותוך איזון כל השיקולים שפורטו לעיל, אני קובע את מתחם""",train
"לחובתו מעשים-נטענים שבגינם טרם הורשע. התמונה המתקבלת בעניינו של הנאשם היא אפוא מורכבת. מדובר בנאשם שנטל אחריות על מעשיו, בשלב מוקדם יחסית של ניהול ההליכים לפניי, כאשר מאז ביצוע המעשים כבר חלפה תקופה משמעותית. עם זאת, ברי כי אופציית השיקום אינה רלוואנטית לעת הזו בעניינו של הנאשם. בנוסף, הגם שעברו הפלילי והתעבורתי של הנאשם אינו מן המכבידים, לא מדובר בנאשם שעברו נקי. המסקנה המתבקשת היא, אם כן, שבנסיבות אלה יש לגזור את עונשו של הנאשם במסגרת הרבע התחתון של מתחם העונש ההולם. אני גוזר אפוא את עונשו של הנאשם, ברכיב המאסר בפועל, לתקופה של 7 חודשים. הוראות החילוט האמורות שבפקודת הסמים המסוכנים קובעות שתי חלופות שונות לחילוט רכוש בהליך פלילי, במקרים בהם נאשם הורשע בעבירה של \עסקת סמים\"" (עבירה זו אינה בהכרח עבירת סחר, שכן בסעיף 1 לפקודה היא מוגדרת ככל עבירה לפי הפקודה שעונשה מאסר עשרים שנה או יותר); וזאת כלהלן: חלופת החילוט השנייה, לפי הוראות סעיף 36א(ב) – היא החלופה הרחבה יותר, מבחינת הרכוש שאותו ניתן לחלט במסגרתה, נוכח החזקה המרחיבה הקבועה בהוראות סעיף 31(6) לפקודה. על פי תנאי חלופה זו, \""בית המשפט שהרשיע אדם בעבירה של עסקת סמים והוכח לו כי הנידון הפיק רווח מעבירה של עסקת סמים או שהיה אמור להפיק רווח מעבירה יקבע בהכרעת הדין, על פי בקשת תובע, שהנידון הוא סוחר סמים ומשעשה כן – יצווה בגזר הדין, כי בנוסף לכל עונש יחולט לאוצר המדינה...\"" רכוש הנאשם (בהתאם להוראות החזקה הנ\""ל, ובהיעדר נימוקים מיוחדים לחרוג מכך). הנה כי כן, חילוט רכושו של נאשם לפי שתי החלופות האמורות שבפקודת הסמים המסוכנים מותנה בהוכחת תשתית עובדתית מסוימת וממילא כפוף לה: בחלופה הראשונה""",train
"בעת גזירת עונשו של נאשם על בית המשפט לקבוע, תחילה, את מתחם העונש ההולם לאירוע שבגינו הורשע הנאשם, וזאת בהתאם לעקרון ההלימה. על בית המשפט להתחשב, בהקשר זה, בערכים החברתיים שנפגעו מביצוע העבירה ובמידת הפגיעה בהם, במדיניות הענישה הנהוגה ובנסיבות הקשורות בביצוע העבירה. חומרתן של עבירות האלימות ידועה היטב ובהקשר זה מקובל עליי טיעון ב\כ המאשימה. ביצוען של עבירות אלימות פוגע לא רק בערכים החברתיים של ההגנה על שלום הציבור ושלוותו וההגנה על שלום הגוף, אלא גם במרקם החברתי-כללי ובעצם היכולת לקיים חברה תרבותית ומתוקנת. עם זאת, בקביעת מתחם העונש ההולם לעבירות אלימות ניתן בפסיקה משקל גם לנסיבות הקונקרטיות של ביצוע העבירות ולתוצאותיהן, שכן בהיבטים אלה יש כדי להשליך על מידת הפגיעה בערכים החברתיים המוגנים. ואכן, כאשר מדובר – כבענייננו – בגרימת חבלה באופן ספונטאני ושלא בכוונת מכוון, מדיניות הענישה הנהוגה משקפת רף תחתון של ענישה צופה פני עתיד. כך, למשל, בת\""פ (שלום ת\""א) 41365-12-15 מדינת ישראל נ' טשפולטוב (20.11.2018) (שאוזכר בהקשר אחר בהכרעת הדין, בפסקה 41), נקבע מתחם עונש הולם שבין מאסר מותנה לבין 12 חודשי מאסר בפועל; וזאת לאחר בחינת מדיניות הענישה שננקטה במקרים רבים (ר' האסמכתאות המתוארות בפסקה 23 לגזר הדין שם). לפיכך, ובתחשב בעובדות האירוע כפי שנקבעו בהכרעת הדין, אני קובע את מתחם העונש ההולם במקרה זה בין ענישה צופה פני עתיד לבין 9 חודשי מאסר בפועל. לאחר קביעת מתחם העונש ההולם על בית המשפט לגזור את עונשו של הנאשם בתוך מתחם זה – למעט במקרים יוצאי דופן, בהם הוא רשאי לחרוג מכך, שאין עניינם לכאן – תוך התחשבות בנסיבות שאינן קשורות בביצוע העבירות. אשר לנאשם שלפניי, השיקולים הרלוואנטיים לגזירת עונשו הם""",train
