text,split
"העבירה בנסיבותיה ואשמו של הנאשם במסגרת אישום זה הורשע הנאשם 14 באחת משתי העבירות שיוחסו לו בכתב האישום: עבירה של ניסיון לייבוא סם מסוכן מסוג MDMA, בכמות של כ- 44,000 כדורים, מבלגיה לישראל, במסגרת ארגון הפשיעה. זאת, לאחר שהכרענו לזיכויו, מחמת הספק, מהעבירה הנוספת שיוחסה לו: סחר בסם מסוכן, במסגרת ארגון פשיעה. נזכיר, בתמצית, כי המדובר בסמים, אשר נרכשו על-ידי נאשם 6 (שהודה בחלקו בפרשה ודינו נגזר) ואשר נשלחו על-ידי ציון אלון מבלגיה לישראל. המהלך סוכל לאחר שמשטרת בלגיה שמה את ידה על הסמים. כמבואר בהרחבה בהכרעת הדין, חלקו של הנאשם 14 בפרשה בא לידי ביטוי בניסיונותיו לאתר את החבילה לאחר שלא הגיעה ליעדה בישראל. מעשה העבירה בנסיבותיו מצביע על הפגיעה הקשה בערכים החברתיים המתמקדים בשמירה על שלום הציבור ובריאותו, תוך צמצום נגע הסמים המסוכנים, שפגיעתם קשה. הדברים אמורים ביתר שאת כאשר מדובר בסם ה-MDMA (אקסטזי), \סם המסיבות\"", המעורר הזיות ואשר על סכנותיו עמדו בתי המשפט פעם אחר פעם, תוך הפנייה לאתר הרשות הלאומית לביטחון קהילתי (או בשמה הקודם: \""הרשות למאבק באלימות, בסמים ובאלכוהול\"") (ראו, למשל: ת\""פ (ב\""ש) 5775-02-18 מדינת ישראל נ' תורג'מן, פיסקה 4 לפרק ההכרעה [פורסם בנבו] (1.11.2018)). מנגד, קבענו, כי לא הונחה תשתית ראייתית המאפשרת לקבוע, מעבר לספק סביר, את שותפותו של נאשם 14 בשלב רכישת הסם המסוכן, שבוצע על-ידי נאשם 6. השוואת עניינו של נאשם 14 לנאשם 6 מעלה, אפוא, כדלהלן: ראשית, מקובל עלינו קו טיעון בא-כוח נאשם 14, שלפיו עניינו של נאשם 14 לא מגיע לדרגת החומרה של נאשם 6, אשר היווה דמות מפתח בפרשה. שנית, לצד מעורבותם המשותפת של נאשם 6 ונאשם 14 באישום השישי (\""הבלדרית\"") ובאישום התשיעי - הורשע""",train
"בהרתעת הרבים. מובן, שעניינם של הנאשמים 3-5, אינו זהה לנסיבות התיקים שהובאו לעיל. עם זאת, יש באסמכתאות המצוינות כדי ללמד על מדיניות הענישה בעבירה של חבלה בכוונה מחמירה, וזאת בשים לב שעונשם של הנאשמים 3-5 - שהורשעו בסיוע לחבלה בכוונה מחמירה - צריך לעמוד על מחצית, בהתאם להוראת המחוקק בסעיף 32 לחוק. במסגרת הנסיבות הקשורות בביצוע העבירה (סעיף 40ט לחוק) יש ליתן משקל לחומרה לתכנון המוקדם ולקשר שקשרו הנאשמים לפגוע במנוח. לא התעלמנו מטענות הסניגורים לאורך כל ההליך, בדבר הסכסוך המוקדם בין המנוח לבין הנאשם 1. תשובתנו לכך היא שחברה מתוקנת אינה יכולה להשלים עם פתרון סכסוכים באמצעות עשיית דין עצמית, במיוחד תוך סיכון שלום הציבור. בנוסף, בהכרה בטענה מסוג זה, יש כדי להשמיט את הבסיס מתחת לשלטון החוק ומשם, קצרה הדרך לכאוס חברתי (ראו, לאחרונה: ע\פ 2718/14 בראנץ נ' מדינת ישראל (1.1.15)). אין חולק שחלקו של הנאשם 1 הוא המשמעותי ביותר. הנאשם 1 הוא זה שנשא את הנשק וירה לעבר המנוח, בשתי הזדמנויות, בזו אחר זו, ב-10 קליעים, בכוונה תחילה לגרום למותו. חלקו של הנאשם 2 הוא השני במדרג החומרה ; הוא אמנם לא הורשע בעבירת רצח, אלא בהריגה, אך, כפי שצוין, תרומתו למות המנוח הייתה גבוהה ומשמעותית. הנאשם 2 השתתף בעיקוב אחר המנוח, עדכן את הנאשמים 1 ו-5 אודות מיקום המנוח והכווין אותם לנקודת המפגש עם הנאשמים. הוא ירד מרכב המזדה, ועלה לאופנוע ונהג בו, באופן שאיפשר לנאשם 1, שישב מאחוריו, לפגוע במנוח. חלקם היחסי של הנאשמים 3-5, פחות מחלקם של הנאשמים האחרים, ולפיכך הורשעו בעבירות חמורות פחות, של סיוע לחבלה בכוונה מחמירה וקשירת קשר לביצוע פשע. אמנם חלקם של הנאשמים 3-5 אינו זהה""",train
"העבירות, היא חלוקה עניינית הוגנת ומוצדקת. זאת, בכפוף לשתי הסתייגויות: האחת, יש מקום לאבחן בין עונשיהם של נאשמים באותה קבוצה, על פי הפרמטרים הבאים- האם עברו במרמה מבחן מעשי ועיוני או רק מבחן מעשי; האם אחזו, במועד העבירות או בעבר, ברשיון נהיגה; סוג הרישיון שקיבלו במרמה (02 או 03). השניה, בעניינם של נאשמים 16 ו-17 מתקיימות נסיבות חריגות המצדיקות סטייה מההלכה והימנעות מהטלת מאסר מאחרי סורג ובריח. נוכח עברו הנקי של הנאשם 16, וחריגות נסיבותיו האישיות, סברתי שאף בעניינו יש מקום לבחון הטלת מאסר לריצוי בדרך של עבודות שירות. כל הסניגורים ביקשו להקל בעונשם של הנאשמים בשל התמשכות ההליכים הנובעת מריבוי הנאשמים בכתב אישום אחד, והתעקשות התביעה לנהל את המשפט נגד כל הנאשם במאוחד. אכן, כתב אישום המוגש במאוחד נגד 25 נאשמים אינו חיזיון שכיח, במיוחד בערכאה זו. בנסיבותיו המיוחדות של תיק זה, ובמיוחד נוכח מהות הראיות, כפי שפורט בהחלטות בית המשפט (פרוטוקול, עמודים 79-81), ועל אף הקושי והמורכבות הכרוכים בכך, סבר בית המשפט, כי לא היה מנוס מניהול התיק במאוחד נגד כל הנאשמים. לאור כל האמור, אני גוזר על הנאשמים את העונשים הבאים: א. 6 שנות מאסר לריצוי בפועל. 24 חודשי מאסר מותנים, למשך שלוש שנים מיום שחרורו ממאסר, והתנאי הוא שהנאשם לא יעבור איזו מהעבירות בהן הורשע, לרבות נסיון או סיוע לעבור איזה מעבירות אלה. קנס בסך 100,000 ₪. הקנס ישולם ב- תשלומים שווים ורצופים, בסך ₪ כל אחד, או ימי מאסר כנגד כל תשלום ותשלום. התשלום הראשון ישולם עד ולא יאוחר מיום 1/1/2010, ובכל 1 לכל חודש שאחריו. לא ישולם תשלום במועדו, יועמד הקנס, או יתרתו, לפרעון מלא לאלתר. 6 שנות פסילה מלקבל",train
"שהוסרו המחדלים). בית המשפט העליון דחה בקשת המבקש למתן רשות ערעור על חומרת העונש מהטעם שהעונש שהוטל עליו אינו חורג ממתחם הענישה המקובל בעבירות מסוג זה. בת.פ. (ק\ש) 58/04 מ.י. נ' קניון הבנייה בע\""מ (תק-על 2006 (1), 3774), הורשע הנאשם ב-5 עבירות של אי העברה במועד של מס שנוכה. לנאשם מאסר מותנה בשל הרשעה בגין 10 עבירות דומות, מאחר שמדובר ביותר מעבירה נמשכת אחת, לא מצא בית המשפט להורות על הארכת המאסר המותנה. מאחר שהמחדלים הוסרו, הורה בית המשפט על הפעלת 4 חודשי מאסר מותנים והורה על ריצויים בדרך של עבודות שירות. בת.פ. 4998/04 מ.י. נ' הגונן בע\""מ (לא פורסם), הורשע הנאשם, ב-17 עבירות של אי הגשת דוחות מע\""מ במועד, ובכך נמנע תשלום מע\""מ בסך 600,000 ₪. למעט 3 דוחו\""ת, הוסרו המחדלים. נגד הנאשם תלוי ועומד חודש מאסר מותנה בגין עבירות דומות. לאחר הפעלת המאסר המותנה, במצטבר, נדון הנאשם ל-6 חודשי מאסר בפועל. לאחר ששקלתי את מכלול הנסיבות, את טיעוני הצדדים ואת רמת הענישה בנסיבות דומות, אני גוזר על הנאשמים את העונשים הבאים: הנאשמת 1 - שאינה פעילה עוד - קנס סימלי בסך 10 ₪. 4 חודשי מאסר. אני מורה על הפעלת 4 חודשי מאסר מותנים, שנגזרו על הנאשם בת.פ. 3285/01 (שלום רחובות). עונשי המאסר ירוצו בחופף, באופן שעל הנאשם לרצות 4 חודשי מאסר בדרך של עבודות שירות בכפוף לחוות דעת הממונה. 6 חודשי מאסר מותנים, למשך 3 שנים, והתנאי הוא שלא יעבור עבירה איזו מהעבירות בהן הורשע, או כל עבירה אחרת בניגוד לחוק המע\""מ או בניגוד לפקודה. קנס בסך 12,000 ₪. הקנס ישולם ב-6 תשלומים שווים ורצופים, בסך 2,000 ₪ כל אחד, או 20 ימי""",train
"ייראה. לאור האמור, ועל מנת להימנע מפגיעה זו, סבורני שיש ליתן לטענה זו משקל מסוים לקולה בקביעת עונשו של הנאשם, מכוח טענת ההגנה מן הצדק, הקבועה בסעיף 149(10) לחוק סדר הדין הפלילי [נוסח משולב], תשמ\ב-1982, בהתאם לפסיקת בית המשפט העליון, מפי כב' השופט נ' הנדל בפרשת גוטסדינר: \""מהו הקשר אפוא בין טענה להגנה מן הצדק ותיקון 113 לחוק העונשין? התשובה לכך כפולה – מהותית ופורמאלית. במובן המהותי, יש חפיפה מסוימת בין שתי המסגרות והעניין מעיד על אחידות בתפיסה העונשית. מכאן נסיק שכשם שהגישה העונשית בשיטה הישראלית היא אינדיבידואלית, כך גם יישום טענת הגנה מן הצדק. ואולם לצד החפיפה החלקית, יש הבדלים מהותיים בין שתי המסגרות. החלת הדוקטרינה משמעותה היא, כפי שציינתי, שעוצמת הנסיבות העוטפות את רגע האירוע היא כזו שיש בה כדי להשפיע לא רק על הנסיבות שאינן קשורות בביצוע העבירה, אלא אף על מעשה העבירה עצמו. במובן הפורמאלי, הדבר בא לידי ביטוי בכך שבעוד שההתחשבות בנסיבות העבירה שאינן קשורות בביצועה, על פי תיקון 113 לחוק העונשין, עשויה להשפיע רק על גזירת העונש בתוך המתחם שנקבע; החלת הגנה מן הצדק עשויה להשפיע אף על קביעת מתחם העונש עצמו, או ליתר דיוק, על נקודת ההתחלה ואף על נקודת הסוף של התוצאה העונשית\"" (ע\""פ 7621/14 גוטסדינר נ' מדינת ישראל [פורסם בנבו] (1.3.17), פ' 50. ראו גם ת\""פ (מרכז) 25403-11-18 מדינת ישראל נ' שמואל קליין [פורסם בנבו] (6.9.20)). לאור כל האמור לעיל, בשים לב לערכים החברתיים המוגנים ולעוצמת הפגיעה בהם, תוך מתן משקל למכלול נסיבות האירוע, ובהתאם לעקרון אחידות הענישה, אני קובע כי מתחם העונש ההולם באירוע זה נע בין 8 ל-18 חודשי מאסר בפועל. במסגרת אירוע זה הורשע""",train
"(ראו רע\פ 1001/08 שועלי נ' מדינת ישראל (לא פורסם, 11/2/2008), והאסמכתאות שם). אמנם נראה כי עבירות המס שביצעו הנאשמים מחווירות אל מול מכירת כלי הרכב בעלי העבר התאונתי, אך אין להקל ראש בעבירות אלה, שאף הן בוצעו באופן שיטתי ולאורך שנים, ומבלי שהנאשם פעל להסרת איזה מהמחדלים. נקבע כי ראוי לגזור על נאשמים בעבירות מס עונשים חמורים, שרכיביהם העיקריים מאסר מאחורי סורג ובריח וקנסות כספיים משמעותיים, שבכוחם, בין היתר, להעמיד את הנאשמים על מלוא חומרת המעשים ותוצאותיהם, להוקיע עבריינים שמעלו מעילה בוטה באמון שניתן בהם על ידי רשויות המס ולהגן על הציבור מפני פגיעתם הרעה (ראו רע\""פ 6095/06 לוי נ' מדינת ישראל (לא פורסם, 15/11/2006); רע\""פ 3137/04 חג'ג' נ' מדינת ישראל (לא פורסם, 30/3/2004). אף באי הסרת המחדלים יש משום נסיבה משמעותית לחומרה, המצדיקה החמרת ענישת הנאשם והטלת מאסר מאחורי סורג ובריח (לעניין זה ראו, למשל, ע\""פ (מחוזי ת\""א) 1726/97 גבריאל נ' מדינת ישראל (לא פורסם, 29/1/1998)). מנגד, יש לבחון אף את שיקולי הקולה בעניינו של הנאשם. ראשית, היעדר הוכחת נזק קונקרטי כתוצאה ממעשי הנאשם. שנית, בשים לב להיקף הפרשה ולחלקו המרכזי של הנאשם, יש ליתן משקל משמעותי לקולה להודאתו, לנטילת האחריות ולשלב הדיוני המוקדם יחסית, טרם תחילת שמיעת הראיות, שחסכו העדת עדים רבים. יש טעם רב בטענת התביעה כי אלמלא הסדר הטיעון, לא הייתה מהססת לעתור להטלת עונש חמור בהרבה מהעונש לו עתרו הצדדים במשותף במסגרת הסדר הטיעון. יוטעם כי אף ביחס להרתעת הציבור מהמעשים בהם הורשע הנאשם, קיימת חשיבות לענישה קרובה ככל שניתן למועד ביצוע המעשים. שלישית, עבירת מתן השוחד אינה מצויה ברף החומרה הגבוה של העבירה. בנוסף, קיים ספק ביחס לשווי טובת ההנאה""",train
"פלילי והשיקולים האלה נשקלו בגזר הדין. באשר לחומרת העבירות וביצוען ואורך תקופת המאסר אנו מתנגדים לעיכוב ביצוע, אם בית המשפט ישקול עיכוב ביצוע, הרי שכל שיש להבטחת השארות הנאשם, זה להוציא צו עיכוב יציאה, וערבויות משמעותיות.",train
"המעשה המגונה ובאף לא אחת מהן נגע הנאשם באיבר מינה של המתלוננת. לפיכך, אני מוצאת כי יחד עם שקלול הנסיבות הקשורות בביצוע העבירה מתחם העונש ההולם נע בין 6 ל- 14 חודשי מאסר. נאשם 1, הכופר באשמתו, בחר שלא להציג ולטעון בפני בית המשפט טענות שתסייענה בידו לקבוע את עונשו בתוך מתחם העונש, למעט הבקשה, בסיום דבריו, להתחשבות בית המשפט בכך שאיבד את אביו שמת בסמיכות להיוודע דבר מעצרו והבושה שאופפת אותו מאז פורסם עניינו בתקשורת. אין חולק כי פגיעתו קשה ואף תוחמר עם שליחתו למאסר, אך אין בדבריו כדי להצדיק הקלה משמעותית בעונשו. עם זאת, ניתן להתחשב בנסיבותיה האישיות של משפחתו, של אמו למודת הסבל התלויה בבנה יחידה, של אשתו הפגועה ושל ילדיו הקטנים שנקלעו למערבולת שיצר ההליך על חייהם ועל הקשיים האישיים והכלכליים שעוד נכונו להם לכשיישלח למאסר. איני יכולה לקבל את טענת עו\ד הבדלי כי עצם ניהול משפט מהווה נסיבה לפיה אין מקום להקל במידת מה בעונשו של מי מהנאשמים. לתפיסתי, טענה מסוג זה עומדת בניגוד להוראות המחוקק בתיקון 113. הכלל הוא כי ניהול משפט לא ייזקף לחובת הנאשם ולא יעלה על הדעת כי נאשם שניהל משפט ונסיבות חייו חריגות לא יזכה להקלה. בנוסף, אילולא כפר נאשם 1 ובחר לנהל משפטו הייתה עומדת כנגדו היום הרשעה בעבירה נוספת, ממנה זוכה. אין ספק שהרשעתו של נאשם 2 גרמה למשבר במשפחתו המצטיירת כמשפחה נורמטיבית, תורמת ואיכותית. אף כי בחר שלא להדגיש בטענותיו את המשבר הפוקד אותם, המחשבה על בנו, חובש קרבי מצטיין, הנאלץ לעזוב את יחידתו בשל כתב אישום שהוגש כנגד אביו יכולה לרמוז על הטלטלה שחוותה משפחת הנאשם. לאור מצבו הכלכלי של הנאשם 1""",train
"שבה הורשע. הנאשם שלפנינו היה מבכירי הארגון, אדם שבחר בדרך הפשע כדרך חיים. בהתייחס לעבירה של \מנהל בארגון פשיעה\"", עסקינן בעבירה שיש צורך להרתיע מפני ביצועה ולהביע כלפיה מסר עונשי רציני שייתן ביטוי לחובה להילחם בתופעות של פשיעה מאורגנת. הסיבות לחלוף הזמן במקרה שלנו היו סיבות אובייקטיביות, כפי שכבר נאמר, סיבות שאין ליחסן לשיהוי לא מוצדק מצד המאשימה או להימשכות של ההליך הפלילי. בנוסף, שאין לפנינו אינדיקציה שלפיה נאשם 2 שינה את אורחות חייו במהלך השנים וחדל מהדרך העבריינית. לחומרה יש לזקוף את עברו הפלילי העשיר של הנאשם בביצוע עבירות חמורות, לרבות עבירות אלימות מסוגים שונים ועבירות סמים. הנאשם לא נטל אחריות על מעשיו, וכאמור, אין אינדיקציה שהשתקם או חזר למוטב. במכלול האיזונים אפוא, תוך לקיחה בחשבון של הנסיבות לקולא שצוינו לעיל למול השיקולים לחומרה, נכון לטעמנו למקם את הנאשם בשליש העליון של מתחם הענישה שנקבע. העבירה בנסיבותיה ומידת אשמו של הנאשם בפרק הדן בעניינו של נאשם 1 עמדנו בהרחבה על חומרתה הזועקת של הפרשה, על מידת פגיעתה בערכים החברתיים ועל כי נסיבות הפרשה הן חמורות מכל זווית אפשרית ולא נחזור על הדברים. כמפורט בהכרעת הדין, כעולה מעדות טולי, שנמצאה מהימנה, בפרשה זו באה לידי ביטוי בכירותו הארגונית של נאשם 2, אשר עקב מקרוב אחר כל שלבי העסקה, מראשית ועד אחרית. .. זה טולי, הוא כמוני, הוא ידבר איתך... זה כאילו אתה מדבר אלי\"" (מובא בעמ' 469 להכרעת הדין). אחר הדברים האלה, טולי מעדכן את נאשם 2 בכל שלב מהותי, עד אשר מתגבשת ומסוכמת חלוקת רווחי העסקה ביו השותפים, ובהם נאשמים 1 ו-2, בפגישה בהרי ים המלח. לבסוף, כאשר מתגלעים סכסוכים בין המעורבים יוצא נאשם 2""",train
"לפני יום תחולתו, בטרם ניתן פסק דין חלוט, יחולו הוראות סעיף 5(א) לחוק העונשין. (א) נעברה עבירה ובטרם ניתן פסק-דין חלוט לגביה, חל שינוי בנוגע להגדרתה או לאחריות לה, או בנוגע לעונש שנקבע לה, יחול על העניין החיקוק המקל עם העושה; \אחריות לה\"" – לרבות תחולת סייגים לאחריות הפלילית למעשה. תיקון 137 הנ\""ל נכנס לתוקפו ב-1.7.2019 ובדיון שהתקיים בתאריך 15.7.19 הודיע ב\""כ המאשימה כי לשיטתו, בנסיבותינו, אין ברפורמה הנ\""ל משום \""דין מקל\"" בהינתן שעבירות הרצח שיוחסו לנאשמים בתיק זה בוצעו במסגרת ארגון פשיעה, נסיבה שבעטיה הסעיף שיש לייחס לנאשמים בהתאם לחוק החדש הוא \""רצח בנסיבות מחמירות\"" שבצדו עונש מאסר עולם חובה. לפיכך, לגישתו, אין בחוק החדש כדי להקל בדינם של הנאשמים ויש להותיר בעניינם את הוראת החוק שבכתב האישום שהייתה תקפה בעת ביצוע העבירה. איש מהנאשמים לא חלק על טענה זו לא באותו מעמד וגם לא בסיכומים, ולאחר ניתוח הסוגיה, כך גם הורינו בהכרעת הדין (עמ' 352). מטעמו של נאשם 12 לא עלתה בשום שלב בקשה להחיל עליו כ-\""דין מקל\"" את הוראות סעיף 300א(ב) לחוק החדש, שיצוטט להלן, ולהרשיעו בהתאם. גם לא נטענו ובוססו על ידו כל אותם נימוקים מיוחדים שנקבעו בחוק שרק בהתקיימם יש הצדקה לקבוע שחרף התקיימותן של הנסיבות המחמירות לפי סעיף 300א(א), קיימות נסיבות חריגות המצדיקות הרשעה בעבירה קלה יותר. בהעדר טענה כאמור, הנאשם הורשע בהכרעת הדין בהתאם לדין שחל במועד העבירה. (ב) על אף הוראות סעיף קטן (א), התקיימה נסיבה מחמירה כאמור באותו סעיף קטן, אך מצא בית המשפט, מנימוקים מיוחדים שיירשמו, כי מתקיימות נסיבות מיוחדות שבשלהן המעשה אינו מבטא דרגת אשמה חמורה במיוחד, רשאי הוא להרשיע את הנאשם בעבירה לפי סעיף""",train
