text,split
"כלפי בת-זוג טווח רחב של עונשים - מענישה מוחשית שאינה כוללת רכיב של מאסר בפועל, ועד עונשי מאסר לתקופה משמעותית מאחורי סורג ובריח. העונשים נקבעים בכל מקרה לגופו בשים לב לחומרת המעשים, מידת הישנותם, הנזק שנגרם, קבלת אחריות, קיומו של עבר פלילי רלוונטי, קיומו של אופק טיפולי-שיקומי, מהות היחסים הזוגיים לאחר ביצוע העבירות, נסיבות אישיות של העושה ועוד. בהתחשב בערכים שנפגעו ובעוצמת הפגיעה בערכים אלה; בנסיבות ביצוע העבירה; במדיניות הענישה הנוהגת; ובעקרון ההלימה; אני סבורה כי מתחם העונש ההולם בגין העבירה בה הורשע הנאשם בנסיבותיה, נע מענישה מוחשית משמעותית שאינה כוללת רכיב של מאסר בפועל, ועד 8 חודשי מאסר בפועל. בנסיבות העניין, לא מצאתי הצדקה לחריגה לקולא או לחומרה מהמתחם שנקבע. לצורך גזירת העונש, יש להתחשב בנסיבות שאינן קשורות בביצוע העבירה, כאמור בסעיף 40יא לחוק העונשין: לטובת הנאשם, שקלתי את נטילת האחריות בדבריו לפניי ואת החרטה שהביע הנאשם על מעשיו, אף אם בדיעבד. הדברים נשמעו כנים, ויוער כי גם בתסקירי שירות המבחן אין אמירה מפי הנאשם של העדר לקיחת אחריות. עוד התחשבתי בהמלצתו העונשית של שירות המבחן. כפי שצוין בתסקיר השלישי (והאחרון) שהוגש בעניינו של הנאשם, הנאשם והמתלוננת הם כיום גרושים וגרים בעיר ירושלים בשכונות סמוכות, אולם לכל אחד מהם זוגיות חדשה, ואין טענה כי בארבע השנים האחרונות נקט הנאשם באלימות. בנוסף, לקחתי בחשבון כי הנאשם הביע לפני בית-המשפט וכן לפני שירות המבחן, נכונות להשתלב בהליך טיפולי. בהתייחס לטיעוני בא-כוח המאשימה, אציין כי אינני מתעלמת מן העובדה כי עד היום לא שולב הנאשם בהליך טיפולי כאמור. עם זאת, הנאשם הביע נכונות לטיפול עוד בדיון שהתקיים לפניי ביום 11.7.2016. זאת ועוד; בשני התסקירים האחרונים שהוגשו לעיוני, אין",train
"שונות, המשקפות את היותו פיצוי בעל רכיב אזרחי דומיננטי המתקיים ב'סביבה' פלילית-עונשית (ראו: רע\פ 2976/01 אסף נ' מדינת ישראל, פ\""ד נו(3) 418 (2002) (להלן: עניין אסף)). בין התכליות האמורות ניתן לציין את הבאות: מתן סעד לנפגע העבירה בטווח זמנים קצר, מבלי שייאלץ להמתין לסיום הליכים אזרחיים בעניינו; מניעת מפגש מחודש עם העבריין שפגע בו במסגרת של הליך אזרחי נוסף; הכרה חברתית בסבלו של הנפגע; העלאת מעמדו של קורבן העבירה בהליך הפלילי, כחלק מהמגמה לשלבו בהליך הפלילי ולהכיר בזכויותיו במסגרת הליך זה; ואף יסוד של היטהרות לעבריין עצמו, שחיובו בפיצוי לטובת הנפגע עשוי לתרום לשיקומו...\"". (ע\""פ 8745/08 פלוני נ' מדינת ישראל (30.11.2011), פס' 30). במהלך ניהול המשפט לפניי, הוּכח כי למתלונן נגרם מכאוב משמעותי וכי הוא נזקק לניתוחים ולתפרים כתוצאה ממעשי האלימות של הנאשם ברחבת המכולת (עמ' 22 לפרוטוקול ההוכחות מיום 25.10.2021; ת/8). לפיכך, אני סבורה כי מוצדק לחייב את הנאשם בפיצוי כספי לטובת המתלונן במסגרת ההליך הפלילי. העובדה כי למתלונן היה חלק דומיננטי בנגיחת הרָאשִׁים בכביש אשר הובילה לפציעת הנאשם בראשו ולנפילתו ארצה בשלב המקדים של העימות בכביש, מקומה לקבל משקל במסגרת קביעת שיעור הפיצוי בהליך הפלילי, ואולם אין בה כדי להצדיק הימנעות מפסיקת פיצוי לטובת המתלונן. אשר לשיעור הפיצוי - בהתאם לסעיף 77(א) לחוק העונשין, הפיצוי משולם בגין נזק או סבל שנגרם לנפגע העבירה, וזאת עד התקרה הקבועה באותו סעיף (ראו: ע\""פ 4666/12 גורבץ נ' מדינת ישראל (8.11.2012), פס' 14). בהתאם להלכה הפסוקה, קביעת שיעור הפיצוי מסורה להערכת בית המשפט והיא מהווה \""פרי איזון בין מכלול של שיקולים וביניהם מכלול נסיבות העניין, היקף הנזק שנגרם ותוצאותיו\"" (ראו והשוו: דברי כב' השופטת ארבל בע\""פ 10632/07 מזרחי""",train
"אמצעי שיקומי כלפי הנאשם, לרבות העמדתו במבחן. המאשימה התנגדה לחריגה מהמתחם משיקולי שיקום בטענה לפיה התסקיר המסכם בעניינו של הנאשם אמנם חיובי, אולם הנאשם לא עבר תהליך שיקומי בולט המצדיק חריגה ממתחם. לשיטת המאשימה, ראוי להטיל על הנאשם עונש המצוי בתחתית המתחם (ללא חריגה לקולא ממנו), ולגזור עליו מאסר בפועל לריצוי מאחורי סורג ובריח. בהתייחס לטיעוני המאשימה אציין כי ברגיל, מעשה של הצתת רכב מצדיק הטלת מאסר לריצוי מאחורי סורג ובריח בשים לב לסיכונים הפוטנציאליים המשמעותיים הכרוכים בכך, ובשים לב לצורך להעביר מסר עונשי ברור המוקיע את המעשה ומרתיע את היחיד ואת הרבים מפני הישנותו. לצד זאת, מלאכת הענישה היא לעולם אינדיבידואלית, ולפיכך כל מקרה חייב להיבחן לגופו. בנסיבותיו הקונקרטיות של הנאשם שלפניי, אני סבורה כי קמה הצדקה להימנע מהטלת עונש של מאסר בפועל מאחורי סורג ובריח תוך חריגה ממתחם מטעמי שיקום: ראשית, הנאשם הודה, נטל אחריות על מעשיו והביע חרטה כנה עליהם הן לפני שירות המבחן והן בדבריו לפניי. הודאת הנאשם ונטילת האחריות חסכו את הצורך להעיד את המתלוננת במשפט. שנית, הנאשם נעדר עבר פלילי וזו הרשעתו הראשונה בפלילים. שלישית, הנאשם היה עצור בתיק זה במשך שבועיים. לאחר מכן שוחרר למעצר בית מלא בבית אחותו, באופן שהוא נותר מחוץ לבית בו התגוררו אשתו ושני ילדיו הקטנים. זאת, למשך תקופת זמן ניכרת של כשנה ושלושה חודשים. בהמשך, הנאשם עבר לשהות במעצר בית מלא בבית האישה והילדים, אולם לא הצליח למצוא מקום עבודה שיפקח עליו. כך נותרה המשפחה ללא מפרנס עיקרי במשך תקופת זמן משמעותית. רביעית, ולא פחות חשוב – מתסקירי שירות המבחן עולה כי הנאשם משולב מזה כשנה וחצי בהליך טיפולי. הגם שבתחילת הדרך הערכת הסיכון",train
"כידוע, בהתאם לסעיף 40ג(א) לחוק העונשין, יש לקבוע את מתחם הענישה ההולמת בהתאם לעקרון ההלימה, תוך התחשבות בערכים החברתיים שנפגעו, במידת הפגיעה בהם, בנסיבות הקשורות בביצוע העבירות ובמדיניות הענישה הנהוגה. הערכים החברתיים שנפגעו כתוצאה מביצוע עבירת הסחר בנשק בה הורשע הנאשם, הם שמירה על שלמות החיים והגוף, וכן הגנה על שלום הציבור ובטחונו וכן על הסדר הציבורי. נסיבות ביצוע העבירה פורטו בפס' 1 לדבריי לעיל. מדובר בביצוע עיקרי של עבירת סחר בנשק מסוג אקדח, כאשר חלקו היחסי של הנאשם כמבצע עיקרי של העבירה אינו דומיננטי. מסקנה זו נלמדת מכך שמי שעמד בקשר מול הסוכן לאורך כל הדרך היה עמאר בלבד: מלכתחילה, הסוכן פנה לעמאר בבקשה לרכוש אקדח. עמאר היה זה שניהל את המשא ומתן עם הסוכן, שלח לו תמונה של אקדח למכירה, הציע לו לרכוש אקדחים נוספים, וניהל עם הסוכן משא ומתן על התמורה הכספית עבור האקדח שירכוש. עמאר לבדו היה זה שנכנס לרכבו של הסוכן מספר ימים לאחר מכן, מסר לידי הסוכן אקדח עם מחסנית מתאימה לאחר ביצוע ירי כדי לבדוק את תקינותו, וקיבל לידיו מהסוכן את התמורה הכספית בסך 22,000 ₪. חלקו הישיר של הנאשם בביצוע העיקרי של עבירת הסחר בנשק, התבטא בכך שלאחר שהוסכם בין הסוכן לעמאר שהראשון ירכוש אקדח מהאחרון, עמאר פנה לנאשם ואמר לו שברצונו להשיג אקדח. בעקבות כך, הנאשם ועמאר נפגשו עם אדם אחר שזהותו אינה ידועה למאשימה, והשיגוּ אקדח. ימים בודדים לאחר מכן, הנאשם ועמאר הגיעו לקרבת מקום המפגש של עמאר עם הסוכן. הנאשם המתין שם עד שעמאר שב ממפגשוֹ עם הסוכן כמתואר לעיל, ואז עמאר שילם לנאשם 500 ₪ בגין חלקו בעסקה. אעיר כי לא ברור מעובדות כתב",train
"בהתאם לסעיף 40ג(א) לחוק העונשין, יש לקבוע את מתחם הענישה ההולמת בהתאם לעקרון ההלימה, תוך התחשבות בערך החברתי שנפגע, במידת הפגיעה בו, בנסיבות הקשורות בביצוע העבירה ובמדיניות הענישה הנהוגה. על הערכים המוגנים שנפגעו ועל נסיבות ביצוע העבירות במקרה הנדון עמדתי בהרחבה בפסקה 7 לעיל, ואיני רואה לחזור על הדברים. אשר לענישה הנוהגת - בדיקת הפסיקה בנוגע לעבירה של גידול סם מסוכן מסוג קנביס מעלה כי על דרך הכלל, בתי-המשפט נוטים להטיל בגין עבירה זו עונשי מאסר בפועל. במקרים הקלים יותר, יכול המאסר בפועל להיות מרוצה בדרך של עבודות שירות. מנגד, במקרים שנסיבותיהם חמורות, נגזרו עונשי מאסר בפועל לתקופה ממשית מאחורי סורג ובריח. חומרת הענישה משתנה ממקרה למקרה בהתאם לכמות הסם שהנאשם הורשע בגידולו, מידת התחכום שנדרשה לשם גידוּל הסם, מטרת הגידוּל ועוד (ראו והשוו: רע\פ 7657/13 סעפין נ' מדינת ישראל (26.1.2014); רע\""פ 6987/13 אברמוב נ' מדינת ישראל (21.10.2013); עוד ראו והשוו: עפ\""ג (מחוזי מרכז) 55950-07-14 קרן נ' מדינת ישראל (2.11.2014); ע\""פ (מחוזי חיפה) 41827-08-10 פרידמן הנ\""ל; עפ\""ג (מחוזי מרכז) 52810-07-10 עזריה נ' מדינת ישראל (21.12.2010); בנוסף ראו והשוו: ת\""פ (שלום פתח תקווה) 3001-08-12 מדינת ישראל נ' עמר (24.3.2014); ת\""פ (שלום באר-שבע) 11284-07-12 מדינת ישראל נ' לוי (16.9.2013)). למען שלמות התמונה, יצוין כי בפסיקתם של בתי-המשפט ניתן לאתר גם מקרים בהם הוטלה ענישה מוחשית אשר אינה כוללת רכיב של מאסר בפועל, וזאת מטעמי שיקום (ראו והשוו: ת\""פ (שלום טבריה) 13365-08-13 מדינת ישראל נ' טל (8.7.2014); ת\""פ (תל-אביב-יפו) 4563-08 מדינת ישראל נ' עוקבי (18.4.2010)). בכל הנוגע לעבירה של החזקת סם מסוג חשיש לשימוש עצמי, נוהגים בתי-המשפט להטיל עונשים הנעים ממאסר מותנה ועד מספר בודד של חודשי מאסר בפועל""",train
"ופנים, דימום מוחי בכמה מוקדים, אף שבור ונפיחות משמעותית בפניו ובמצחו של המתלונן בגינה לא יכול היה המתלונן לפתוח את עיניו, וכן כאבים עזים. פוטנציאל הנזק שהיה צפוי להיגרם כתוצאה מביצוע העבירה (סעיף 40ט(א)(3) לחוק העונשין) הוא רב – נוכח עוצמת האלימות, משכה והעובדה שהאלימות כוונה לראשו ולפניו של המתלונן, אך במזל לא הסתיים האירוע במוות או בנכות צמיתה. לקולא, יש להביא בחשבון את הנתונים הבאים: ראשית, מעשי האלימות של הנאשם החלו בעקבות סברת הנאשם כי המתלונן מנסה לקיים עמו מגע מיני (סעיף 40ט(א)(7) לחוק). אעיר כי הגם שראיתי להתחשב בנתון האמור, אני סבורה כי בנסיבות העניין ראוי להעניק לו משקל מוגבל, שכן הנאשם המשיך לתקוף ולחבול במתלונן שוב ושוב במשך דקות ארוכות, גם לאחר שזה לא היווה כל איום מבחינת הנאשם, ואף היה שרוע על הקרקע ואיבד את הכרתו. מדובר באלימות ברוטלית ומשולחת רסן, שלא לשם התגוננות. שנית, נראה כי מעשי האלימות לא היו מתוכננים, אלא היה מדובר באירוע ספונטני. כמו כן, הנאשם לא עשה שימוש בנשק חם או קר, והוא פעל לבדו (ולא בחבורה). שלישית, כפי שצוין לעיל, למרבה המזל החבלות שנגרמו למתלונן לא הובילו לנכות תמידית. למען שלמות התמונה, יוער כי סנגורו של הנאשם טען שיש להתחשב בכך שמרשו שתה יחד עם המתלונן אלכוהול משעות הצהריים, ולפיכך בעת המעשים הנאשם היה תחת השפעת אלכוהול. הסנגור אישר כי אין טענה להתקיימות סייג השכרות, ואף אין טענה לקירבה לסייג האמור. עם זאת, נטען כי האלכוהול הנו חומר מפחית עכבות ומגביר סיכון, וכי יש להתחשב בכך במסגרת קביעת המתחם. זאת, מחמת יכולתו המוגבלת של הנאשם להבין את הפסול שבמעשיו ולהימנע מהם, בשל היותו של הנאשם תחת",train
"עתרה. בנסיבות אלה, אף אני אראה למקם את עונשו של הנאשם 2 בתחתית המתחם שקבעתי לעיל. נוכח מכלול הטעמים האמורים, אני גוזרת על כל אחד מהנאשמים כדלקמן: 48 חודשי מאסר בפועל, החל מיום מעצרו. מאסר על תנאי של 12 חודשים למשך 3 שנים מיום השחרור ממאסר, לא לעבור עבירה בנשק מסוג פשע. מאסר על תנאי של 6 חודשים למשך 3 שנים מיום השחרור ממאסר, לא לעבור עבירה בנשק מסוג עוון. קנס בסך 6,000 ₪ או 60 ימי מאסר תמורתו. הקנס ישולם ב-15 תשלומים חודשיים שווים ורצופים החל מיום 4.2.2024 ובכל 4 לחודש שלאחר מכן. לא ישולם אחד התשלומים במועדו, תעמוד יתרת הקנס לפירעון מידי. 26 חודשי מאסר בפועל, החל מיום מעצרו. מאסר על תנאי של 12 חודשים למשך 3 שנים מיום השחרור ממאסר, לא לעבור עבירה בנשק מסוג פשע. מאסר על תנאי של 6 חודשים למשך 3 שנים מיום השחרור ממאסר, לא לעבור עבירה בנשק מסוג עוון. הנשק יחולט או יושמד, לפי שיקול דעת קצין משטרה. המזכירות תשלח העתר גזר הדין לשירות המבחן למבוגרים.",train
"מנחה בענישה – אני סבורה כי מתחם העונש ההולם בעניינו של הנאשם 2 נע מ-26 עד 50 חודשי מאסר בפועל. יוער כי המאשימה נמנעה מלעתור להשתת קנס על הנאשם 2, כפי הנראה מאחר שעבירות הנשק בהן הורשע הנאשם 2, לא בוצעו ממניע כספי. בהתחשב בכך, לא ראיתי לקבוע מתחם קנס הולם לגביו. (ז) גזירת העונש המתאים בגדרי המתחם שנקבע בעניין הנאשם 2 לא התבקשתי ואף לא ראיתי לחרוג ממתחם העונש ההולם לחומרה או לקולא. לטובת הנאשם 2, התחשבתי בהודאה ובנטילת האחריות וכן בהבעת החרטה. עוד התחשבתי בכך שעברו הפלילי של הנאשם 2 התיישן ואינו ממין העניין (ראו: פס' 22 לדבריי לעיל). בנוסף, נתתי את הדעת לטרגדיות שהיו מנת חלקה של משפחת הנאשם 2, ולעובדה שאחיו של הנאשם 2 נפטר בעוד הנאשם 2 עצור מאחורי סורג ובריח בתיק הנוכחי. כמו כן, התחשבתי בקושי הרב בו נתונה אמו של הנאשם 2 כפי שעלה מדבריה לפניי, וכן בעובדה שמאסרו של הנאשם 2 לא יהיה קל עבור בני משפחתו. עוד שקלתי את העובדה שהנאשם 2 סבל בעברו מבעיות נפשיות (אף שטרם מעצרו לא היה מאושפז ולא נטל תרופות, וגם הפסיכיאטר המחוזי לא מצא צורך בכך במסגרת הליך המעצר כמתואר בפס' 23 לעיל). לחובת הנאשם 2, התחשבתי בכך ששירות המבחן העריך קיומו של סיכון גבוה להישנות התנהגות עוברת חוק, באופן שמדגיש את הצורך בהרתעת היחיד כמו גם בהרתעת הרבים מפני הישנות עבירות בעתיד. כפי שציינתי לגבי נאשם 1, אומר גם לגבי נאשם 2: ברגיל, היה מקום להעמיד את עונשו של נאשם 2 בחלק התחתון של המתחם, מעל לתחתיתו. עם זאת, המאשימה עתרה למקם את עונשו של הנאשם 2 בתחתית המתחם לו",train
"הכל ירצה הנאשם 9 חודשי פסילה בפועל החל מיום א' 14.4.2024. כאמור, על הנאשם להפקיד את רישיון הנהיגה במזכירות בית המשפט עד אותו מועד. פסילה על תנאי מלקבל או מלהחזיק רישיון נהיגה של 3 חודשים למשך 3 שנים מהיום. התנאי הוא שהנאשם לא יבצע עבירה של נהיגה בחוסר זהירות. האופנוע התפוס יחולט לטובת המדינה. מאחר שגזר הדין כולל פרטים הנוגעים לצנעת הפרט, אני מורה על פרסומו ללא שם הנאשם או פרטים מזהים אחרים בעניינו. המזכירות תמציא העתק גזר דין זה לשירות המבחן למבוגרים ולממונה על עבודות השירות.",train
"בנסיבות המקרה, אני סבורה כי שתי העבירות בהן הורשעה הנאשמת מהוות אירוע אחד לצורך קביעת מתחם הענישה ההולמת בהתאם לסעיף 40יג(א) לחוק העונשין. שני הצדדים לא חלקו על כך, וזו הייתה הנחת המוצא בטיעוניהם לפניי. בהתאם לסעיף 40ג(א) לחוק העונשין, יש לקבוע את מתחם הענישה ההולמת בהתאם לעקרון ההלימה, תוך התחשבות בערך החברתי שנפגע, במידת הפגיעה בו, בנסיבות הקשורות בביצוע העבירות ובמדיניות הענישה הנהוגה. הערכים החברתיים המוגנים במסגרת העבירות של סיוע לסרסרות למעשי זנות וסיוע להחזקת מקום לשם עיסוק בזנות, הם הגנה על כבוד האדם ושמירה על שלמות נפשן, גופן וקניינן של הנשים העוסקות בזנות. יש לזכור כי המחוקק הישראלי לא הגדיר את העיסוק בזנות כעבירה פלילית. עם זאת, המחוקק אסר על סרסרות לזנות על נגזרותיה של עבירה זו, מתוך תפיסה לפיה יש להילחם בתעשיית הזנות על-ידי נקיטה באמצעים כנגד המפיקים רווחים ממנה, ולא כנגד המנוצלים באמצעותה. אשר לנסיבות ביצוע העבירות – הנאשמת הודתה בכך ששימשה במשך חודש אחד (אוגוסט 2018) כמוקדנית עבור ארבעה בתי בושת. היא קיבלה פניות של לקוחות, נהגה לתאר את הנשים באוזני הלקוחות, מסרה פרטים בדבר המקום אליו עליהם להגיע ובדבר הסכום לתשלום. הנאשמת הייתה מודיעה לאחד מבתי הבושת על הגעת הלקוחות. בתמורה לעבודתה, הנאשמת קיבלה תשלום של 20 ₪ עבור כל לקוח. בנוסף, הנאשמת הייתה חברה בקבוצת וואטסאפ בה התקבלו הודעות הנשים על סיום מעשי הזנות. יודגש כבר עתה כי בעובדות כתב-האישום המתוקן בהן הודתה הנאשמת, אין פירוט אודות מספר ימים בהם עבדה הנאשמת כמוקדנית במהלך חודש אוגוסט 2018, אין פירוט אודות מספר הלקוחות אותם הפנתה הנאשמת לנשים שעסקו בזנות, ואף אין פירוט אודות התשלום הכולל שהנאשמת קיבלה עבור עבודתה כמוקדנית",train
