question,answer,split
מהו העונש המומלץ לנאשם כדי להרתיע אותו ועבריינים אחרים מאלימות כלפי נשים?,"לפיכך, שומה על בית המשפט להגן על המתלוננת, שהרהיבה עוז והצליחה להתלונן כנגד הנאשם, זאת בדרך של הטלת עונש משמעותי על הנאשם, למען הרתעת הנאשם בפרט, וברי כי גם למען הרתעת עבריינים אחרים בכוח בכלל.",train
מדוע יש להרחיק את הנאשם מהחברה לתקופה משמעותית?,"כך גם מן הראוי להרחיק את הנאשם מהחברה לתקופה משמעותית, זאת כדי לפטור את החברה מעונשו של זה.",train
מדוע אין בעובדת היות המתלונן אחיו של הנאשם כדי להקל בעונשו?,"לא נעלמה מעיניי העובדה כי המתלונן אינו זר לנאשם, שכן הנאשם והמתלונן הינם אחים, אולם אין בעובדה זו, בנסיבותיו של תיק זה, על מנת להביא להתחשבות בדינו של הנאשם, כפי שמבקשת ההגנה.",train
מדוע נחשבות עבירות בנשק לסוגיהן לסיכון ממשי לשלום הציבור?,"\עבירות בנשק לסוגיהן מגלמות בתוכן סיכון ממשי לשלום הציבור ולבטחונו, שכן לא ניתן לדעת להיכן יתגלגלו כלי הנשק המוחזקים שלא כדין, ואיזה שימוש יעשה בהם בעתיד\"" (ע\""פ 7502/12 ‏כוויס נ' מדינת ישראל (25.6.2013)).""",train
מדוע לא יושת קנס כספי על הנאשם בהינתן מצבו הכלכלי?,"בהינתן מצבו הכלכלי הקשה של הנאשם ונוכח השתת מאסר בפועל עליו לתקופה ארוכה, לא יושת עליו קנס כספי.",train
מהו השיקול המרכזי שמצדיק ענישה מחמירה במקרה זה?,שיקולי הרתעה - יש צורך בענישה מחמירה על מנת להרתיע את הנאשם מביצוע עבירות בעתיד.,train
כיצד משפיע הנזק הקל שנגרם על קביעת מתחם העונש ההולם?,"יש ליתן את הדעת בנקודה זו, לקולא, לכך שהנזק שנגרם כתוצאה מביצוע העבירה הנ\ל על ידי הנאשם הינו קל יחסית, שכן הנאשם קיבל לידיו מכשיר פלאפון בלבד ולא רכוש נוסף או רכוש בעל ערך רב.""",train
מה היה על הנאשם לעשות במקום לנקוט בדרך האלימה בה נקט?,"כאן אדגיש, למען הסר ספק,  כי ברי שהיה על הנאשם לפעול בדרך אחרת, קרי: לעזוב את המקום ולא לנקוט בדרך האלימה בה נקט.",train
מהו העיקרון המשפטי שמבוטא ביחס זה לפי פסק הדין?,"יחס זה מבטא, למעשה, את עיקרון הגמול (ראו: ע.פ. 1523/10 פלוני נ' מדינת ישראל, 18/4/12 ).",train
אילו ערכים חברתיים נפגעים כתוצאה מביצוע עבירת ניסיון השוד במקרה זה?,"הערכים החברתיים שנפגעו כתוצאה מביצוע עבירת ניסיון השוד בענייננו הם בטחונו, כבודו ושלומו הגופני והרגשי של המתלונן כמו גם זכותו להלך מחוץ לביתו בביטחון ושלווה, וזאת לצד תחושת הביטחון הכללית הנפגעת אף היא.",train
מהו העונש המומלץ לנאשם לפי שקלול הטעמים שנדונו?,"בשקלול מכלול הטעמים הנ\ל  מצדיק , לדידי, הטלת עונש של מאסר בפועל על הנאשם ברף התחתון של מתחם העונש ההולם הנ\""ל, לריצוי בדרך של עבודות שירות ולצד  עונש של מאסר על תנאי משמעותי ומרתיע.""",train
"מדוע לא הושתו על הנאשם פיצוי כספי למרות מעשיו, בהתחשב בנסיבות המקרה?","נוכח העובדה שז.ח, אשת הנאשם, קיבלה סיוע כספי מחברת עמידר לשיפוץ הבית והיא אף שבה להתגורר בבית  ונוכח העובדה שלז.ח ולבנות לא נגרם נזק גופני כתוצאה ממעשיו של הנאשם, החלטתי  שלא להשית על הנאשם רכיב של פיצוי כספי בתיק זה.",train
מהו ההיבט הנוסף שנלקח בחשבון מעבר לפגיעה בזכות הקניין במקרה זה?,"דא עקא שמעבר למימד של הפגיעה בזכות הקניין, עסקינן גם בפגיעה בנפשה של פקידת הבנק שלא תימחה במהרה, אם בכלל.",train
מהו העונש המירבי שנקבע על ידי המחוקק עבור עבירת ההפקרה ומה משמעותו?,"לא בכדי קבע המחוקק בגין עבירת ההפקרה שבפנינו עונש מירבי של 14 שנות מאסר, אשר יש בו כדי להביע את עמדתו המחמירה של המחוקק באשר לעבירת ההפקרה אחרי פגיעה, אשר תוצאתה חבלה חמורה או מוות.",train
מהי הנסיבה שהובילה להקלת העונש בעקבות הודאת הנאשם בהזדמנות הראשונה?,"במסגרת בחינת הנסיבות אשר אינן קשורות בביצוע העבירות, כאמור בסעיף 40יא לחוק העונשין, אציין תחילה את הודאת הנאשם בהזדמנות הראשונה בעובדות כתב האישום, אשר חסכה הן את העדת עדי התביעה והן מזמנו היקר של בית המשפט.",train
מדוע יש לתת את הדעת לכך שכתב האישום תוקן באופן המקל עם הנאשם?,"עם זאת, מנגד, שומה על בית המשפט ליתן את הדעת בכובד ראש לכך שכתב האישום תוקן באופן המקל מאוד עם הנאשם.",train
כיצד יש לנהוג בעבירות חמורות כאשר נסיבות המקרה מצדיקות ענישה אינדיווידואלית?,"ואכן, כך נהגנו ונוהגים  אנו במקרים מסוימים, הראויים לכך, גם בתחום סוג העבירות הקשור לנושא דיוננו, ואף בעבירה שחמורה היתה, במהותה ובנסיבותיה, מהעבירה שלפנינו.... ואין אנו רשאים לפטור עצמנו מלנהוג כך בכל מקרה שנסיבותיו מצדיקות ומחייבות ענישה אינדיווידואלית\ (פ\""ד מג (4),  170, בעמ' 174 עד 175, ניתן ביום 3/10/89).""",train
מהו הצורך בהרתעת הציבור מפני עבירה של החזקת ונשיאת נשק?,"כמו כן,  יש ליתן את הדעת לצורך הממשי בהרתעת הרבים מפני ביצוע עבירה של החזקת ונשיאת נשק.",train
מדוע נחשבת עבירת ההצתה לאחת העבירות החמורות בספר החוקים?,"עבירת ההצתה היא מהחמורות שבספר החוקים בהינתן הפוטנציאל ההרסני הגלום בה, וזאת נוכח הסכנה הטמונה בהצתה לגופו ולרכושו של אדם.",train
באיזו זכות פגע הנאשם בהורשעו בעבירות המיוחסות לו?,"הנאשם בביצוע העבירות בהן הורשע פגע בזכותו של המתלונן – הקטין לשמירה על שלמות גופו וכבודו, ובהמשך פגע הנאשם גם באינטרס הציבור לשמירה על הסדר החברתי, כפי שטען ב\כ המאשימה בנקודה זו בת/2, ובצדק.""",train
מהי המטרה של הסתרת סימני הזיהוי של הטרקטורון וכיבוי מכשירי ההקלטה במצלמות האבטחה?,"הסתרת סימני הזיהוי של הטרקטורון וכיבוי מכשיר ההקלטה במצלמות האבטחה נועדו כדי למנוע או להכשיל הליך שיפוטי, דבר המהווה גם פגיעה בשלטון החוק והמשפט ומוסיף נופך של חומרה לנסיבות האירוע שבפנינו.",train
מהו מתחם העונש ההולם שנקבע במקרה זה בעקבות הערכים החברתיים שנפגעו?,"לאחר שבחנתי את הערכים החברתיים שנפגעו כתוצאה מביצוע עבירת השוד שבפנינו, את נסיבות ביצוע העבירה ואת מדיניות הענישה הנהוגה, לרבות הפסיקה אליה הפנה כל אחד מהצדדים, הגעתי לכלל מסקנה כי מתחם העונש ההולם בתיק זה נע בין עונש של 30 חודשי מאסר בפועל לבין עונש של 48 חודשי מאסר בפועל, זאת לצד רכיבי ענישה של מאסר על תנאי ופיצוי לטובת המתלונן.",train
מהו השיקול המרכזי שיש לקחת בחשבון בעת קביעת העונש לנאשמים במקרה זה?,"יש לקחת בחשבון את הצורך בהרתעת הציבור \t6 בכלל, ואת הנאשמים \t6 בפרט, ובהקשר זה אפנה לדוגמא לע\פ 40/10 קונסטנטין נ' מדינת ישראל (30.3.2011).""",train
מהי המסוכנות הטמונה בעבירה של החזקת סכין שלא כדין?,"בעבירה הנוספת בה הורשע הנאשם, בעבירה של החזקת סכין שלא כדין, טמונה מסוכנות פוטנציאלית לביטחון הציבור.",train
מהו הפוטנציאל ההרסני של עבירת ההצתה לפי החוק?,"\עבירת ההצתה היא מהחמורות שבספר החוקים וזאת לאור הפוטנציאל ההרסני הטמון בה נוכח הסכנה הגלומה במעשה לגופו ולרכושו של אדם.""",train
מהי המסקנה שהגעת אליה לגבי הסדר הטיעון בתיק זה לאחר בחינת הנסיבות?,"לאחר שנתתי דעתי בתיק זה לערך החברתי שנפגע כתוצאה מביצוע העבירה ע\י הנאשם, כמו גם לנסיבות ביצוע העבירה, לרבות לתמונה העובדתית המצטיירת כאמור ממקרא כתב האישום וכן למדיניות הענישה הנהוגה, הגעתי לכלל מסקנה כי הסדר הטיעון בתיק זה, לפיו עותרת המאשימה לעונש של מאסר בפועל לתקופה של 5 שנים ו- 9 חודשים ומנגד, טוענת ההגנה, כאמור, באורח חופשי,  בשאלת הענישה שתושת על הנאשם, הינו הסדר העומד במתחם הסבירות ועולה בקנה אחד עם מתחם העונש הראוי בנסיבות המקרה שבפנינו.""",train
מהי הערכת קצינת המבחן לגבי רמת הסיכון של הנאשם להישנות מעשים דומים?,"קצינת המבחן העריכה בתסקיר, כי קיימת רמת סיכון גבוהה לפריצת גבולות ולהישנות מעשים דומים ע\י הנאשם, במידה שלא ישולב הנאשם בהליך טיפולי אינטנסיבי ומשמעותי.""",train
מהי הסיבה לכך שהמחוקק רואה צורך בהשמת צו מבחן לצורך גמילה מסמים?,"המחוקק סבר כי מן הראוי להשית צו מבחן לצורך גמילה מסמים, ואף להאריך יותר מפעם אחת מאסר על תנאי בר הפעלה, זאת  על מנת להביא לשיקומו של מי שביצע את העבירות על רקע התמכרותו לסמים, שכן יש בהרחקת נאשם מעולם הפשע גם משום שירות של אינטרס הציבור.",train
כיצד משפיעות הנסיבות האישיות של הנאשם על ההליך המשפטי במקרה זה?,"עם זאת, לא ניתן להתעלם מנסיבותיו המיוחדות של הנאשם בתיק זה, שהרי שיטת המשפט במדינתנו הינה אינדיבידואלית.",train
מדוע יש להקל ראש לגבי חשיבות הסכם הסולחה במקרה זה?,"על ביהמ\ש להקל ראש לגבי חשיבותו של הסכם הסולחה בנסיבותיו של תיק זה, שכן יש בהסכם זה על מנת להמחיש את לקיחת האחריות של הנאשם, את חרטתו הכנה ואת עמדת נפגע העבירה, הסולח לנאשם ומבקש שלא להחמיר בעונשו (ראה בעניין הסכם הסולחה: ע.פ. 7126/04, 7564/04 אחמד גדיר ואח' נ' מדינת ישראל וערעור שכנגד, לא פורסם).""",train
מהם הערכים החברתיים שנפגעו כתוצאה מביצוע העבירות במקרה זה?,"הערכים החברתיים שנפגעו כתוצאה מביצוע העבירות שבפנינו הינם קדושת החיים ושלמות הגוף, וזאת לצד בטחון ושלום הציבור וכן שלטון החוק הנפגע כתוצאה מביצוע העבירה של שיבוש מהלכי משפט.",train
מהו ההבדל בין העונשים שהוטלו בעבירת הצתה בפסקי דין שונים?,"בית המשפט העליון קבע בפסק הדין הנ\ל, כי קיימים, אמנם פסקי דין, במסגרתם הושתו בגין עבירת הצתה, עונשי מאסר בעבודות שירות, אולם דובר בפסקי הדין הנ\""ל בנסיבות מיוחדות לקולא, שכללו המלצה חיובית באופן מובהק של שירות המבחן.""",train
"מהו השיקול לחומרא במקרה של הנאשם, בהתחשב בעונש המאסר על תנאי התלוי ועומד נגדו?","עוד יש לציין, במסגרת הטעמים לחומרא, כי העבירה נשוא תיק זה בוצעה ע\י הנאשם חרף היות עונש של מאסר על תנאי בן 10 חודשים תלוי ועומד כנגד הנאשם ומרחף כחרב מעל צווארו.""",train
מהו העונש המומלץ על ידי בית המשפט העליון למבצעי עבירות שוד?,"בית המשפט העליון בשורה ארוכה של פסקי דין שב וקבע, כי מן הראוי להשית על מבצעי עבירות של שוד עונשי מאסר בפועל משמעותיים.",train
"מדוע מכונה סם ההרואין \סם המוות הלבן\"" בהקשר של השפעתו על המתמכרים לו?""","יוטעם בנקודה זו, כי לא בכדי מכונה סם ההרואין \סם המוות הלבן\"", שכן סם זה זורע זרעי פורענות משחיתים ומביא לעיתים אף לקיפוד חיי המתמכרים לו.""",train
מהי חומרת עבירות הנשק והסיכון הכרוך בשימוש בלתי חוקי בנשק?,"בתי המשפט עמדו לא אחת על חומרתן הרבה של עבירות הנשק למיניהן, על פוטנציאל הסיכון הרב הטמון בשימוש בנשק ללא היתר והעברתו מיד ליד ללא פיקוח, ועל התוצאות הקשות והרות-הגורל שעלולות להיגרם מביצוע עבירות אלה.",train
