text,split
"בתסקיר שירות המבחן ודברי הנאשם שם, נראה כי התמכרותו של הנאשם לסמים והצורך בהשגת כסף לצורך מימון אותה התמכרות הן שהובילו את הנאשם לביצוע עבירות הסמים וגניבת הקטנוע. עוד עולה מתסקיר שירות המבחן ודברי הנאשם הוא שבעת ביצוע העבירות נגד השוטרים תודעתו הייתה מושפעת מהסמים אותם צרך. יכולתו של הנאשם להבין את הפסול במעשיו ויכולתו להימנע מביצוע העבירה – הנאשם בגיר, בן 22, מסוגל להבין את הפסול במעשיו. כמו כן, בתיק הנוכחי נראה כי לנאשם היו מספר הזדמנויות לסגת ולפעול באופן שונה והיה יכול, בעת שעוכב, לבחור להתלוות לשוטרים, מבלי להתנגד למעצרו ולנקוט באלימות כלפיהם. אולם הנאשם בחר לפעול אחרת. מתחם העונש ההולם לכל אחד מהאירועים (סעיף 40ג (ב) לחוק העונשין): מתחם העונש ההולם נקבע בעיקר על יסוד הנסיבות האופפות את ביצוע העבירה, ודרגת האשם שהפגין הנאשם בכל האירוע, על מנת לשקף הלימה ראויה בין חומרת המעשה, בנסיבותיו, במידת האשם שהפגין הנאשם בעת ביצוע העבירה, לבין העונש לו ראוי הנאשם בגין מעשיו אלה. בענייננו מדובר על 3 תיקים נפרדים, הן במהותם, הן בתקופת הזמן בה בוצעו, ובמקומות בהם בוצעו, ועל כן יש לקבוע מתחם ענישה נפרד לכל אירוע בפני עצמו, כאמור בפתח גזר הדין. בתיק הנוכחי - נוכח נסיבות ביצוע העבירות, כפי שתוארו לעיל, ודרגת האשם שהפגין הנאשם, מצאתי לקבוע את מתחם העונש ההולם בגין התיק הנוכחי כנע בין 4 חודשי מאסר שיכול שירוצו בעבודות שירות ועד 12 חודשי מאסר בפועל. בתיק עבירות הסמים - מיוחסים לנאשם 4 אישומים, מצאתי כי יש לקבוע מתחם כולל אחד לכל האישומים וזאת לאור מהות האישומים, העובדה כי אישומים 1-2 מתרחשים באותו זמן ומקום ואילו נסיבותיו של האישום השלישי דומות",train
"במחיר נמוך יותר, תוך שהוא משלשל לכיסו לפחות 122,000 ₪. בית המשפט המחוזי בת\א, גזר עליו 18 חודשי מאסר בפועל, 18 חודשי מאסר על תנאי, וקנס כספי בסכום של 80,000 ₪. בית המשפט העליון, דחה את ערעורו על ההרשעה ועל העונש. הודגשה העובדה, כי מדובר בנאשם, שביצע את העבירות באופן שיטתי, במשך זמן רב, תוך ניצול תפקידו. דברים אלה יפים לנדוננו, ואף ביתר שאת, שעה שכאן מדובר על מסכת עבריינית מורכבת יותר. מעשיו של הנאשם מאופיינים בתחכום, תכנון, מידת אשם גבוהה, ריבוי עבירות, כשהמעשים מבוצעים בשלושה ישובים שונים, כלפי מתלוננים שונים, בהפרש זמנים, ותוך גרימת נזק לא מבוטל למתלוננים. לפחות חלק מהמעשים בוצע כשהנאשם מרצה מאסר בעבודות שירות מהתיק נשוא המאסר המותנה. בנסיבות הכוללת ראויה החמרה בעונשו של הנאשם וראו גם: עפ\""ג 36114-07-12 יוסף עוז נ' מדינת ישראל [פורסם בנבו] (2012); עפ\""ג 26628-12-13 חטיב נ' מדינת ישראל [פורסם בנבו] (2014). אשר להפעלת המאסר המותנה, כפי שכבר צוין, בשים לב לאמור לעיל, ולכך כי מדובר בדרגת אשם גבוהה שאיפיינה את מעשיי הנאשם, העובדה שהמעשים בוצעו בתחכום ובשיטתיות, ומדובר בריבוי עבירות, ובמי שחטא בעבר בעבירות דומות בעבר, ועונש מאסר מושהה משמעותי לא הרתיעו, אין מקום להאריך את המאסר המותנה. על פי מצוות החוק (סעיף 58 לחוק העונשין), יש להפעיל את המאסר המותנה במצטבר לעונש המאסר הכולל שיוטל על הנאשם. יצוין, כי ככלל, חפיפה או הצטברות עונשים, נקבעת על פי נסיבותיו של כל עניין ועניין, אך מקום בו שיקולי הגמול וההתרעה, גוברים על שיקולים אחרים, כבמקרה דנן, יש ליתן לשיקולי גמול והרתעה את הבכורה, קל וחומר, כאשר מדובר בהפעלת עונשים מעבירות שנגרמו באירועים נפרדים לחלוטין (ע\""פ 597/88 שמעיה אנג'ל""",train
"הכפירה הנחרצת באחריות, ארוכת השנים, חרטה אשר עלתה, כאמור, רק בתסקירים, בזיקה לבקשתם לביטול ההרשעה. אני חוזר ומדגיש, לבל יתפרשו הדברים שלא כראוי. זכותו של כל נאשם לנהל את משפטו עד תום ואין לזקוף זאת לחובתו (סעיף 40יא (6) לחוק העונשין). אך כאשר החוק מחייב לשקול את נטילת האחריות מצידו של נאשם, יש לדברים שצוינו משקל בקביעת העונש בתוך המתחם. חלוף הזמן - יש לתת משקל לעובדה כי העבירות הן משנת 2011, וכתב האישום הוגש בשנת 2015. עם זאת יצוין, כי הנאשמים בחרו לנהל משפט במשך תקופה ארוכה, זו כמובן זכותם המלאה ואין לזקוף זאת לחובתם, הדבר אף הוביל לזיכוי חלקי נקודתי בעבירה על חוק המים, אך למען הדיוק, יש לומר כי חלק ניכר מחלוף הזמן עליו מלינים הנאשמים, הוא גם בשל ניהול ההליך על ידם עד תום. עבר פלילי – הנאשמת, הרשות, בעלת הרשעה אחת בעבירות דומות. יתר הנאשמים נעדרי עבר פלילי. נסיבות חיים של הנאשמים - נסיבותיהם האישיות של הנאשמים פרושות בפני בית המשפט, בעיקר בתסקירים המפורטים שניתנו אודותיהם ומדברים בעד עצמם. רובם ככולם אנשי ציבור מכובדים, בשנות החמישים והשישים שלהם, אשר תרמו ממיטב שנותיהם, לטובת הקהילה והמדינה, במישורים ציבוריים וקהילתיים שונים, וזאת יש לזקוף זאת לזכותם. משמיעת הראיות עלה, כי התנהלות הנאשמת 1 כרשות, לקתה בחסר, דבר אשר הוביל למחדלים נשוא כתב האישום מצידה. לנאשמת 1 הרשעה קודמת, עובדה התורמת להחמרה הנדרשת בעונשה. עם זאת, לא נעלמה מעיניו של בית המשפט, ההתמודדות שבכל זאת נעשתה מצד הרשות, על מנת להילחם במפגעים נשוא כתב האישום, אם כי, נקבע כי לא נעשה כל מה שצריך היה להיעשות ובזמן, כדי למגר את המפגעים. לפיכך, לאור הפגיעה",train
"האישום המתוקן בשנית, וניסתה להגיע להסדרי תשלום, אולם לא צלחה במציאת הסדר בו תוכל לעמוד. כמו כן, יש לזכור כי בסופו של יום לא הוסרו המחדלים וחלקו הארי של המס טרם שולם. לנאשמת רישום פלילי אחד, בעבירה של הפרעה לשוטר במילוי תפקידו, משנת 2009. הנאשמת לא הסירה את המחדל נשוא כתב האישום (למעט סכום זעום יחסית), ועל פי דין, יש לזקוף עובדה זו לחובתה. בהקשר זה, אציין, כי חוב המס לצרכים פליליים, עומד על סך של 241,000 ₪. לאחר ששקלתי את מכלול השיקולים שצוינו לעיל, מדיניות הענישה הנוהגת, לצד מעשיה של המאשימה, היקף הסכומים והנזק שנגרם לקופת המדינה, העובדה כי לא הוסר המחדל (למעט סכום זעום יחסית) מחד, ומאידך, נסיבותיה האישיות של הנאשמת, הודאתה, ומכלול הנסיבות, יש לגזור על הנאשמת עונש מאסר, אולם בהינתן הנסיבות שאינן קשורות לביצוע העבירה, והעדר הסתבכות קודמת בעבירות מס, העונש ימוקם באמצע המתחם. את עונש המאסר תרצה הנאשמת בעבודות שירות, ככל שתשלים את חוות הדעת החסרה, ולשם כך יעכב בית המשפט את עונש המאסר שלהלן. אשר על כן, אני גוזר על הנאשמות את העונשים הבאים: אני גוזר על הנאשמת 1, קנס סמלי של שקל אחד, הואיל ומדובר בחברה בפירוק. 3 חודשי מאסר בפועל, שירוצו בעבודות שירות, בכפוף להשלמת חוות דעת הממונה. אני מעכב את עונש המאסר עד ליום 8/12/20, לשם השלמת חוות הדעת. מובהר, כי ככל שהנאשמת לא תימצא מתאימה, היא תרצה את המאסר בכליאה ממשית. הממונה יקבל מידי הנאשמת את התעודה הרפואית החסרה, וככל שיסבור שזה נחוץ, יתאם לה ריאיון נוסף, ישלים את חוות דעתו, ויקבע מועד לתחילת ריצוי עבודות שירות, ויעביר לבית המשפט את חוות הדעת המשלימה, בהקדם האפשרי,",train
"נלווית. ערעור שהוגש לבית המשפט המחוזי נדחה. בת\פ 55756-07-22 מדינת ישראל נ' איברהים הייכל (3.4.23) הנאשם הורשע על פי הודאתו בעבירת של קשירת קשר לביצוע פשע, שתי עבירות של גניבת רכב בצוותא, סיוע לגניבת רכב, נהיגה ללא רישיון, הפרעה לשוטר במילוי תפקידו ונהיגה ברכב ללא ביטוח. הנאשם קשר קשר עם אחרים לגנוב כלי רכב משטחי מדינת ישראל, לנהוג ולהעבירם לשטחי האזור. בית משפט השלום קבע מתחם עונש כולל שנע בין 18 ל-30 חודשי מאסר בפועל והשית על הנאשם 18 חודשי מאסר וענישה נלווית. בת\""פ 55255-11-21 מדינת ישראל נ' דאוד (19.3.23) הנאשם הודה והורשע במעורבות בביצוע תשע עבירות גניבת רכב בצוותא עם אחרים ובעבירות נוספות. בית משפט השלום קבע כי מתחם העונש ההולם לעבירות גניבת רכב בצוותא וקשירת קשר לביצוע פשע נע בין 8 ל-18 חודשי מאסר בפועל לכל אישום ולגבי העבירות הנוספות (סיוע בגניבת רכב וקשירת קשר לביצוע פשע) נע בין 4 ועד 8 חודשי מאסר בפועל. על הנאשם הושת עונש כולל של 45 חודשי מאסר בפועל בצירוף ענישה נלווית. בת\""פ 21480-11-22 מדינת ישראל נ' אבו שנב (19.6.23) הנאשם הורשע לאחר הודאתו בשלוש עבירות של גניבת רכב בצוותא, הסעת תושב זר שלא כדין, ו-2 עבירות של גניבת רכב. בית משפט השלום קבע מתחם עונש כולל שנע בין 30 ל-50 חודשי מאסר, והשית על הנאשם 30 חודשי מאסר וענישה נלווית. בת\""פ 4393-07-22 מדינת ישראל נ' ולדימיר בדנוב (19.3.23) הורשע הנאשם לאחר הודאתו בעבירות של גניבת רכב בצוותא (6 עבירות) נהיגה ללא רישיון נהיגה, ונהיגה ברכב ללא ביטוח. נקבע כי מתחם העונש ההולם נע בין 33 ל-60 חודשי מאסר בפועל. על הנאשם הושתו 41 חודשי מאסר בפועל וענישה""",train
"לנאשם 2 - מאסר בפועל שנע בין 4 ל-9 חודשי מאסר בפועל, לצד מאסר מותנה מרתיע וקנס בין 20 ל-40,000 ₪, וכן התחייבות כספית הולמת. נסיבות שאינן קשורות בביצוע העבירה (סעיף 40יא לחוק העונשין): מדובר בנאשם בן 31, נשוי ואב לילד בן שנתיים, נעדר עבר פלילי. לנאשם נסיבות אישיות כמפורט בטיעוניו בכתב לעונש של הסניגור (סה/1 – סעיפים 7 עד 15). מטעמי צנעת הפרט לא אחזור עליהם. מצבו הבריאותי של הנאשם אינו תקין. בהינתן הערכים המוגנים, מידת הפגיעה בהם, טיב העבירות והיקפן, גובה המחדל שהינו משמעותי למדי, ועומד על כ-440,000 ₪ (קרן מס חוב פלילי בלבד), ונוכח הנזק שנגרם לקופת המדינה, מחייבים הלימה עונשית בדמות של מאסר בפועל. בהינתן שמדובר בנאשם נעדר עבר פלילי, שזוהי לו הסתבכותו הראשונה עם החוק, ובשים לב למצבו האישי/בריאותי, מאסר זה יוטל בצד הנמוך של מתחם העונש ההולם, וכהקלה נוספת הוא ירוצה בעבודות שירות ולא בכליאה ממשית. אשר על כן, אני גוזר על הנאשמים את העונשים הבאים: לאור העובדה כי הנאשמת 1 אינה פעילה, אני מטיל עליה קנס סמלי בסך של 1 ₪. 4 חודשי מאסר בפועל שירוצו בעבודות שירות בבית סוהר כרמל. הנאשם יתייצב לתחילת ריצוי עבודות השירות ביום 1/5/23 בשעה 08:30 אצל הממונה על עבודות השירות, שלוחת צפון, סמוך לבית סוהר מגידו. מובהר לנאשם כי מדובר בתנאי העסקה קפדניים וכי כל חריגה ו/או אי הישמעות להוראות הממונה עלול להוביל להפקעת הצו וריצוי עונש המאסר בכליאה ממשית.",train
"נאמנה ומייצגים בעלי דין שונים, במסירות ובנאמנות, מעשה שביום יום. תיקון 113 לחוק העונשין, שם לנגד עיניו את עקרון ההלימה, הוא העיקרון המנחה בענישה. הלימה בענייננו, פירושה הטלת עונש של מאסר שיכול שירוצה בעבודות שירות, על מנת לשקף הלימה ראויה בין מעשיו החמורים של הנאשם, ומידת האשם שהפגין במעשיו, לבין סוג העונש ומידתו. יצוין, כי דברים אלה משתקפים היטב בפסיקה המובאת לעיל, במסגרת מדיניות הענישה הנוהגת, וכן ראו הפסיקה המובאת בטיעוני המאשימה לעונש, אשר כללה הטלת עונשי מאסר ממושכים על עורכי דין שמעלו בכספי לקוחותיהם. אשר על כן, אני גוזר על הנאשם את העונשים הבאים: 6 חודשי מאסר בפועל שירוצו בעבודות שירות ב\בפעילי החסד\"", רח' המלאכה 18, כרמיאל. הנאשם יתייצב לתחילת ריצוי עבודות השירות ביום 2.8.18 בשעה 08:00 בפני הממונה על עבודות השירות בתחנת משטרת טבריה. מובהר לנאשם כי מדובר בתנאי העסקה קפדניים וכל חריגה מכללים אלו ו/או אי הישמעות להוראות הממונה על עבודות השירות, עלולה להוות עילה להפסקה מנהלית של עבודות השירות ולריצוי עונש המאסר בכליאה ממשית. עוד הובהר לו כי מצבו הכלכלי לא יהיה עילה להיעדרות מהעבודה. ככל שייעדר, עלול דבר זה לשמש עילה להפסקה מנהלית של עבודות השירות, ולריצוי עונש המאסר בכליאה ממשית.""",train
"הערך החברתי שנפגע ומידת הפגיעה בו (סעיף 40ג (א) לחוק העונשין): מעשיה של הנאשמת, גניבת כספים ממעבידתה, פגעו ברכושה של החברה, ביחסי אמון השוררים בין מעביד לעובדו, נוכח היקף המעילה, מידת הפגיעה בערכים אלו היא בינונית-גבוהה. מדיניות הענישה הנוהגת בעבירות מהסוג בו הורשעה הנאשמת, נעה בין מאסר בפועל בעבודות שירות, ועד למאסרים בפועל ממושכים יותר. להלן תמצית מהפסיקה. רע\פ 1524/21 מישייב נ' מדינת ישראל (2021) – הנאשמת הורשעה בעבירות גניבה ממשקי בית, ונגזרו עליה 24 חודשי מאסר בפועל, לצד ענישה נלווית; רע\""פ 5819/18 בן דוד נ' מדינת ישראל (2018) – הורשע הנאשם אשר גנב מחברה בה הוא עבד, מזומנים בהיקף של כ-45,000 ₪ ונגזרו עליו 5 חודשי מאסר בעבודות שירות; רע\""פ 1960/15 ברוקס נ' מדינת ישראל (2015) – הורשע נאשם נעדר עבר פלילי בגניבה ממעביד, סכום כולל של 75,000 ₪, נקבע מתחם בין שישה ל-18 חודשי מאסר, ונגזרו עליו 10 חודשים לצד ענישה נלווית; עפ\""ג (מחוזי חיפה) 40674-04-13 מדינת ישראל נ' קטש ואח' (2013) – הורשעו הנאשמים בגניבת גרגירי זהב ממקום עבודתם במפעל, האחד גנב זהב בשווי של 190,000 ₪ והשני גנב זהב בשווי של 27,000 ₪, התקיים בעניינם הליך צדק מאחה ולכן בית המשפט הסתפק בשל\""צ בהיקף של 400 שעות ומאסר מותנה. בית המשפט המחוזי דחה את ערעור המדינה על קולת העונש, מכיוון שנתן משקל להליך צדק מאחה שנעשה בבית משפט קמא, אך ציין כי: \""מדיניות הענישה בעבירות אלה ראוי שתכלול מאסר בפועל בשל חומרתן היתרה\""; ע\""פ 6573/15 גרשון נ' מדינת ישראל (2016) – הורשע הנאשם במעילה בהיקף של 40,000 ₪. בית המשפט המחוזי העמיד את המתחם כנע בין 12 ל-24 חודשים, וגזר עליו 12""",train
"בטרם פניה לקביעת מתחם העונש ההולם לנאשמים, יש להידרש תחילה לבקשת הנאשמים לבטל את הרשעתם. סעיף 192א לחוק סדר הדין הפלילי מקנה לבית המשפט את הסמכות לבטל הרשעה בפלילים, ולהטיל על נאשם צו מבחן, או צו שירות לתועלת הציבור, ללא הרשעה. סמכות זהה קיימת גם מכוח הוראותיו של סעיף 71א (ב) לחוק העונשין התשל\ז 1977. ההלכה הפסוקה קבעה, כי הימנעות מהרשעה הינה החריג שבחריגים, היא אפשרית בכפוף להתקיימותם של שני תנאים מצטברים. התנאי הראשון הוא, כי השלכותיה של ההרשעה הן כה חמורות, עד כדי פגיעה בשיקומו של הנאשם, וקיומו של יחס בלתי פרופורציונלי, בין אותה פגיעה לבין מעשה העבירה. התנאי השני הוא, כי סוג העבירה מאפשר בנסיבות העניין להימנע מהרשעה, מבלי לפגוע באופן מהותי בשיקולי ענישה אחרים (ע\""פ 2083/96 תמר כתב נ' מדינת ישראל, פ\""ד נב (3), 337, להלן: עניין כתב; רע\""פ 619/18 משה בזיזינסקי נ' מדינת ישראל (01.03.18); רע\""פ 8215/16 אברהם יצחק נ' מדינת ישראל (29.3.2017); רע\""פ 1949/15 תקרורי נ' מדינת ישראל (2.4.15); ע\""פ 8528/12 אלירן ציפורה נ' מדינת ישראל (3.3.13). בכל הנוגע לעבירות אסדרתיות-רגולטוריות, מסוג אחריות קפידה, כדוגמת עבירות המס בהן הורשעו הנאשמים, נפסק, כי על אף העדר יסוד נפשי במרכיבי העבירה, חלים הכללים שנקבעו בהלכת כתב, לעניין שאלת ביטול ההרשעה. הכלל הוא הרשעה, והחריג הוא אי הרשעה. בנוסף וככלל, אין רלוונטיות לשאלת שיקומו של הנאשם, אך עם זאת, בשל העדר יסוד נפשי, יש להחיל את הלכת כתב על עבירות אלה \""בגמישות רבה יותר\"" (רע\""פ 3515/12 מדינת ישראל נ' דוד שבתאי ואח' (2013)). אפנה אפוא לבחון את תחולת התנאים שנקבעו בהלכת כתב. בתסקיר מפורט של שירות המבחן מיום 1.6.22 עמד שירות המבחן על נסיבותיהם""",train
"בטרם אפנה לקביעת עונשו של הנאשם, אפנה לבחון את שאלת ביטול הרשעתו. סעיף 192א לחוק סדר הדין הפלילי מקנה לבית המשפט סמכות לבטל הרשעה בפלילים, ולהטיל על נאשם צו מבחן או צו שירות לתועלת הציבור, ללא הרשעה. סמכות זהה קיימת גם מכוח הוראותיו של סעיף 71א (ב) לחוק העונשין, התשל\ז -1977. ההלכה הפסוקה קבעה, כי הימנעות מהרשעה הינה החריג שבחריגים, היא אפשרית בכפוף להתקיימותם של שני גורמים מצטברים: התנאי הראשון הוא, כי השלכותיה של ההרשעה הן כה חמורות, עד כדי פגיעה בשיקומו של הנאשם וקיומו של יחס בלתי פרופורציונלי בין אותה פגיעה לבין מעשה העבירה, והתנאי השני הוא, כי סוג העבירה מאפשר בנסיבות העניין להימנע מהרשעה, מבלי לפגוע באופן מהותי בשיקולי ענישה אחרים (ראה: ע\""פ 2083/96 תמר כתב נ' מדינת ישראל, פ\""ד נב (3), 337, להלן: עניין כתב, וראו גם מהעת האחרונה: רע\""פ 619/18 משה בזיזינסקי נ' מדינת ישראל [פורסם בנבו] (01.03.18); רע\""פ 8215/16 אברהם יצחק נ' מדינת ישראל [פורסם בנבו] (29.3.2017); רע\""פ 1949/15 תקרורי נ' מדינת ישראל [פורסם בנבו] (2.4.15); ע\""פ 8528/12 אלירן ציפורה נ' מדינת ישראל [פורסם בנבו] (3.3.13)). אשר לתנאי הראשון, מדובר בנאשם בן 44, שוטר, המשרת מזה 20 שנה במשטרת ישראל. מאז ביצוע העבירה הועבר מתפקיד סייר לתפקיד ברישום במחלקת חקירות. טענת ההגנה באשר לקיומו של נזק קונקרטי, התבססה בעיקרה, על כך שהנאשם הינו שוטר וההרשעה עלולה להוביל לפיטוריו. היותו של הנאשם שוטר אינה כשלעצמה מספיקה לצורך מילוי התנאי הראשון שנקבע בהלכת כתב, קרי, התקיימותו של נזק קונקרטי כתוצאה מהרשעתו. נושא המשך העסקתו של הנאשם במשטרה, מסור כל כולו למשטרת ישראל, אשר חזקה עליה שתשקול את כל השיקולים הרלבנטיים הצריכים לעניין זה.""",train
