question,answer,split
"מהו העיקרון המנחה בעבירות חמורות כמו עבירות נשק, בנוגע לאינטרס הציבורי?","בעבירות החמורות, ובהן עבירות הנשק, הבכורה ניתנת לאינטרס הציבורי המתבטא בעקרון ההלימה, בעוד נסיבותיו של הנאשם מקבלות משקל קטן.",train
כיצד השפיע ריבוי העבירות בתחום הנשק על מדיניות הענישה בעבורן בשנים האחרונות?,"בשנים האחרונות, נוכח ריבוי העבירות בתחום זה והשפעתן הרחבה והקשה, מגמה זו  התחזקה ביתר שאת ומדיניות הענישה לגביהן הינה של חומרה מובהקת.",train
"מהו הקשר בין סוג הסם, כמותו והעונש המוטל עליו בעבירות סמים?","במקרים בהם מדובר באותו סוג סם או בסם מאותה משפחה, החומרה היחסית והעונש יושפעו מכמות הסם ובהתאם לכך גם העונשים השונים יקיימו ביניהם פרופורציה מתאימה הנגזרת מכמויות הסמים השונות (תוך מתן משקל למרכיבים האחרים המשפיעים על מתחם העונש ההולם ועל העונש ההולם).",train
כיצד הפרת חובת הנאשם להזעיק עזרה משפיעה על הערך החברתי המוגן בעבירה?,"הנאשם אמנם הפר את חובתו בכך שלאחר התאונה הוא עצמו לא הזעיק עזרה, אולם הפרה זו לא פגעה מהותית בערך החברתי המרכזי המוגן בעבירה.",train
מהי השאלה המרכזית הנוגעת לכימות העונש בהסדר הטיעון במקרה זה?,"בהינתן שהסדר הטיעון כאן הושפע בין היתר משיקולים ראייתיים שטיבם לא פורט בצורה ממצה, המאפשרת לשקלל במדויק את משקלו של מרכיב זה בתמונה הכוללת, ובהינתן שעונש המאסר שהתביעה דורשת, במסגרת הסדר הטיעון, איננו נופל מחוץ למתחם הענישה, הרי שהשאלה שעל הפרק מתמקדת בכימות העונש בתוך הטווח הנטען על פי הסדר הטיעון.",train
מהו ההשפעה האפשרית של ניסיון השוד על בעלי המקום והמתלונן?,"אמנם הנאשמים לא הצליחו להשלים את ביצוע השוד, כך שלא נגרם נזק ממוני ישיר, אולם, מעשה שכזה עשוי להקשות על בעלי המקום במציאת מפעילים לשעות הלילה ולהעמידם בפני הוצאות שונות בקשר לכך, ובוודאי שמעשה הנאשמים הטיל על המתלונן פחד ואימה שיש להניח שעוד ילוו אותו ויסבו לו צער וסבל ואף הפסד ממון.",train
אילו שיקולים נלקחו בחשבון בגזירת עונשו של הנאשם?,בגזירת עונשו של הנאשם אני מביא בחשבון בין היתר את גילו הצעיר; את מצבו האישי; את הפגיעה של העונש בו ובמשפחתו; את העובדה שאין לו הרשעות קודמות וזהו מאסרו הראשון; את הודאתו- על משמעויותיה; את התקופה בה שהה בתנאים מגבילים; ואת סיכויי שיקומו.,train
מהו ההבדל בין שיקול דעת שירות המבחן לשיקול דעת בית המשפט בענישה?,"בנוסף לכך, שירות המבחן רשאי להמליץ כל המלצה שנראית בעיניו, ללא כל הגבלה, ואילו שיקול דעת בית המשפט בענישה, מובנה בחוק ומושפע ממרכיבים ומעקרונות משפטיים שאינם נמצאים על סדר יומו של שירות המבחן.",train
מהי הסיבה לקיצור עונש המאסר של המערער בבית המשפט העליון?,"בית המשפט העליון קיבל את הערעור וקיצר את עונש המאסר של המערער בשלושה חודשים, בשל שיקולי שיקום משמעותיים.",train
כיצד משפיעות ההרשעות הקודמות של הנאשם על קביעת עונשו?,"ההרשעות הקודמות הרבות שלו, במיוחד בעבירות שוד; ותכיפות ביצוע העבירות, גם לאחר נשיאת עונשי מאסר משמעותיים; מלמדות על חוסר גבולות ואי מורא דין, ועל האפשרות שהוא ישוב ויבצע עבירות דומות, ומצדיקות לקבוע את עונשו ברף הגבוה של מתחם העונש ההולם.",train
מהו העיקרון המנחה לקביעת העונש ביחס לחומרת המעשה ומידת האשם?,"בסופו של דבר, העונש צריך להלום את חומרת המעשה בנסיבותיו ואת מידת אשמו של הנאשם.",train
"מהם הערכים המוגנים בעבירות הנוגעות לפעילות חיילי צה\ל ואזרחי ישראל?""","הערכים המוגנים בעבירות אלה הם שלום חיילי צה\ל ואזרחי ישראל, השמירה על הסדר הציבורי, וזכותה של המדינה לשמור על גבולותיה.""",train
כיצד השפיע שיקול השיקום על עונשו של המערער בבית המשפט העליון?,בית המשפט העליון הקל אמנם בעונשו של המערער בשל שיקולי השיקום המשמעותי שעבר אך קבע כי עמדת בית המשפט המחוזי לפיה אין להסתפק בענישה שאינה כוללת מאסר בפועל מקובלת עליו.,train
"מהו הסיכון המשפטי הכרוך במאסר, כפי שמתואר בפסק הדין?","מאסר כזה יכול להוות פעמון אזעקה המעורר את האדם ומעמיד אותו על מצבו, אך טמונות בו גם רעות ידועות, בין היתר של הפנמת דפוסים עברייניים והעמקת ההתחברות לגורמי פשיעה, שאין להתעלם מהן.",train
מהו העיקרון שהנחה את בית המשפט בהחלטתו להימנע מהטלת עונש חמור יותר מזה שהתביעה ביקשה?,ומתוך התחשבות בכלל לפיו בית המשפט נמנע מלהטיל עונש חמור מזה שהתביעה ביקשה.,train
מהי מידת האשם של הנאשם בקשר לגרימת מות המנוח בנסיבות המקרה?,"בנסיבות אלה, יש לראות בהתנהגות הנאשם שגרמה למות המנוח כביטוי חמור ביותר של עבירת ההמתה בקלות דעת, ויש לקבוע כי מידת האשם של הנאשם בקשר לגרימת מות המנוח, גבוהה מאוד.",train
מהי ההגבלה על שיקול דעתו של בית המשפט לעומת המלצות שירות המבחן?,"בנוסף לכך, שירות המבחן רשאי להמליץ כל המלצה שנראית בעיניו, ללא כל הגבלה, ואילו שיקול דעת בית המשפט בענישה, מובנה בחוק ומושפע ממרכיבים ומעקרונות משפטיים שאינם נמצאים על סדר יומו של שירות המבחן.",train
מהי עמדת התביעה לגבי מצב הנפשי של הנאשם והשפעתו על הענישה?,התביעה מקבלת את ההנחה שמצבו הנפשי של הנאשם פגע ביכולתו להבין את הפסול שבמעשהו וטוענת כי נסיבה זו מצדיקה להטיל על הנאשם עונש החורג לקולא ממתחם העונש ההולם הנטען על ידה.,train
מהי הפגיעה בערכים שנגרמת כתוצאה מהתעללות בגופו ובנפשו של אדם?,"פגיעה בגופו ובנפשו פוגעת באותם ערכים הנפגעים מפגיעה בכל אדם, לאמור, שמירת הגוף, שמירת החיים, והזכות לחיות בשלווה מבלי להיפגע על ידי אחר.",train
מדוע גילו הצעיר של הנאשם מצדיק אי מיצוי הדין במקרה זה?,"גילו הצעיר של הנאשם, העובדה שזהו מאסרו הראשון, ושיקולי שיקומו, מצדיקים אי מיצוי הדין.",train
כיצד החזקת נשק ללא רישיון משפיעה על שלום הציבור והפרט?,"החזקת נשק ללא רישיון פוגעת ביכולת של המדינה לשלוט בהיקף כלי הנשק שבתחומה, מסכנת את המחזיק בנשק ואת סביבתו הקרובה בהתרחשות תקלות ותאונות, ומסכנת את שלום הפרט והציבור, העלולים להיפגע מהשימוש הבלתי חוקי בנשק ומהגעתו לידיים שיעשו בו שימוש פוגעני.",train
כיצד השפיע חוסר תשלום הפיצוי על מרכיבי הענישה האחרים?,"בהינתן שסכום הפיצוי שבעטיו הסכימה התביעה לבקש להטיל על הנאשם עונש מאסר נמוך מזה שלדעתה היה ראוי להטיל עליו, לא שולם במלואו, יש לבחון כיצד הדבר צריך להשפיע על מרכיבי הענישה האחרים.",train
מהו הערך החברתי שנפגע ממעשי הנאשמים ומהי מידת הפגיעה בו?,"הערכים החברתיים שנפגעו ממעשי הנאשמים הם בין היתר, שמירת הקניין ותקינות חיי המסחר, ומידת הפגיעה בהם כאן הינה משמעותית.",train
מהו השיקול המרכזי בהערכת הפגיעה בערכים החברתיים בעקבות מעשי הנאשם?,"התחשב בטיב הסם המדובר, ובכמותו – 462 גרם, המספיקה להכנת כמה אלפי מנות סם, הרי שמעשי הנאשם פגעו בערכים החברתיים הנ''ל במידה משמעותית.",train
