text,split
"טיפולי, ומטעמים אלו, לא היה מקום להיעתר להמלצתם לדחייה. בניגוד לטענת ההגנה, אין מדובר בטיפול שנקטע אלא מוצה, כשהטיפול הפרטי הופסק חודשים לפני כן ביוזמת הנאשם. ההגנה אף אינה יכולה לאחוז בשניים, לעמוד על כך שהרקע למעשים כלכלי ומשולל סטייה מינית, ומנגד לבקש שילובו בטיפול לעברייני מין. אינני מתעלמת מהתרשמות גורמי הטיפול כי לנאשם עניין מוגבר במין הבא לידי ביטוי במציצנות אלא שבעיה זו אינה עמדה ברקע ביצוע העבירות, וכעולה מדברי הנאשם כלל לא צפה ברב התכנים וסרטוני הקטינים. עיסוקו של הנאשם בהפקת סרטי פורנוגרפיה בעבר ובתפעול האתר נבע מרצונו לגרוף באמצעותם ותוך ניצול אחרים, רווחים כלכליים. חיזוק למסקנה זו נמצא בחוות דעת המטפל הפרטי, כעולה ממנה הנאשם טופל, במשך כחודשיים, טיפול שבועי בן שעה, רובו באופן מקוון, והפסיקו מיוזמתו לאחר שהחל לעבוד כמנהל משמרת בתחנת מוניות. ד\ר אבקסיס, מטפל מיני בהכשרתו, מיקד הנחיצות הטיפולית בעיקר בעיבוד טראומות ילדות וחרדת נטישה ממנה סובל (דברים דומים מספרת גם אחותו, ד\""ר קופר, במכתבה), ולא המליץ על שילובו בטיפול מיני ייעודי. עוד עולה בין דבריו, קושי אמיתי של הנאשם לשיתוף פעולה מעמיק וחשיפת רגשות המתחייבת בהליך טיפולי. באשר לנאשם 2, התמונה המשתקפת מהתסקירים וחוו\""ד המטפלת מלמדת על נאשם שניצל את ההזדמנות שניתנה לו לאחר התסקיר השלילי הראשון שהתקבל, והשתלב בהליך טיפולי בשירות מבחן ובמסגרת פרטית. הנאשם הפגין מוטיבציה רבה, עזב את משפחתו לצורך כך ועבר להתגורר במרכז, והשקיע מאמץ רב לשנות את דפוסי חשיבתו ולקבל כלים ואסטרטגיה למניעת מקרים דומים. ניכר שהיה חשוב לו להתחקות אחר הפנים המכשילים באישיותו, שהובילו אותו לביצוע העבירות, וכי חל אצלו הליך של התפקחות. גם אצל נאשם זה לא התגלתה כל בעיה בתחום המיני.""",train
"להמלט משוטרים, ערעורו נדחה (ראו גם ת\פ (מח' מרכז) 4734-12-22 מדינת ישראל נ' נאסר (מיום 8.8.23); ת\""פ(מח' מרכז) 10174-01-23 מדינת ישראל נ' נאסר (מיום 19.2.24) וההפניות המפורטות שם). בפסיקה נוספת נדונו נאשמים בגין ירי בנשק חם, חלקו ירי שלא למטרה פלילית, לעונשי מאסר לתקופות שונות, בכל התיקים מדובר היה בירי בתחומי המדינה: בע\""פ 6068/21 מדינת ישראל נ' פקיה (19.12.21) נדון נאשם בגין עבירות דומות אך בנסיבות חמורות יותר, בכך שירה ביחד עם שניים אחרים שהחזיקו כלי נשק, באוויר לעבר אולם האירועים במזרח ירושלים שבו התקיימה באותה עת, חתונה. הנאשם בעל עבר פלילי הכולל מאסרים ממושכים, נדון למאסר בן 14 חודשים, נקבע מתחם ענישה הנע בין 14-36 חודשי מאסר. ערעור המדינה על קולת העונש התקבל, בית המשפט העליון עמד על החומרה היתירה שנודעה לביצוע עבירות נשק ומשקלם הנכבד של שיקולי ההרתעה. עוד נקבע שלא היה נכון למקם את העונש בתחתית המתחם, על יסוד כל אלו מצא להחמיר בעונשו של הנאשם, מבלי למצות את הדין והעמידו על 25 חודשי מאסר. בת\""פ (מח' י-ם) 44169-08-22 מדינת ישראל נ' חמאד (11.09.2023) הורשעו שלושה נאשמים בעבירות נשק, הנאשם 1 בעבירות של החזקת נשק M-16 וירי בנשק חם באזור מגורים בצוותא, בכך שהחזיק בנשק במהלך אירוע יום הולדת שהתקיים בביתו במזרח ירושלים, בשלב מסוים מסר את הנשק לאחר שביצע בו ירי. נקבע מתחם הנע בין 40-22 חודשים. הנאשם צעיר (22), ללא הרשעות קודמות (שני תיקים בבית המשפט לנוער שהסתיימו ללא הרשעה), לטענתו מדובר בנורמה שלא נאסרה בסביבתו, נדון למאסר בן 24 חודשים; בת\""פ (מח' י-ם) 24822-01-21 מדינת ישראל נ' עבאסי (09.09.21) הורשע הנאשם בשישה אישומים בעבירות נשק, רלוונטי לעניינו הוא האישום הראשון,""",train
"ובצקת. בפסק הדין נקבע כי המתחם במקרה צריך לעמוד על 6 עד 14 שנות מאסר בגין העבירה של חבלה בכוונה מחמירה, ועונשו של אותו נאשם הועמד על 11 שנות מאסר בפועל. איננו סבורים כי פסקי הדין שהגישה ההגנה יכולים לבסס את רמת הענישה הנוהגת בעבירה של חבלה בכוונה מחמירה בנסיבות דומות: כך, בתפ\ח (מחוזי נצרת) 20361-03-21 מדינת ישראל נ' חאג' [פורסם בנבו] (9.5.2022) גזר בית המשפט המחוזי 63 חודשי מאסר בפועל על נאשם שהודה בביצוע עבירה של חבלה בכוונה מחמירה, בכך שדקר את קורבנו מספר לא מועט של דקירות באמצעות סכין, ואולם זאת עשה לאחר שהקורבן הכה אותו לראשונה במקל ובעודו ממשיך לעשות כן. חשוב מכך, באותו הליך הגבילה עצמה המאשימה בהסדר הטיעון, שנרקם במהלך ניהול הוכחות, לעונש ראוי של 6.5 שנות מאסר בפועל (78 חודשי מאסר) בלבד. בתפ\""ח (מחוזי באר שבע) 54995-03-12 מדינת ישראל נ' אבו אלקיעאן [פורסם בנבו] (2.9.2013) גזר בית המשפט על שני נאשמים שהורשעו בעבירה של חבלה בכוונה מחמירה עונשים של 4 שנות מאסר בפועל, אך זאת בהסדר טיעון \""סגור\"" שנרקם בין הצדדים, וזאת בשל קיומם של קשיים ראייתיים משמעותיים. וכך, בת\""פ (מחוזי חיפה) 54787-06-21 מדינת ישראל נ' סרחאן [פורסם בנבו] (14.3.2023) גזר בית המשפט המחוזי עונש של 32 חודשי מאסר בפועל בלבד על נאשם שהורשע בעקבות הודאתו בעובדות כתב אישום מתוקן בעבירה של חבלה בכוונה מחמירה בקובעו מתחם עונש הולם שנע בין 30 ל-64 חודשי מאסר בפועל, ואולם על גזר דין זה הוגש ערעור מדינה וזה תלוי ועומד (ע\""פ 3105/23). בת\""פ (מחוזי נצרת) 39683-05-21 מדינת ישראל נ' עואודי [פורסם בנבו] (21.9.2022) גזר בית המשפט המחוזי עונש של 40 חודשי מאסר בפועל""",train
"עונשו של נאשם 1, אני קובעת מתחם עונשי הנע בין 20-42 חודשי מאסר. הנאשם 1, בן 29, בעברו שלוש הרשעות, שתיים ישנות (2014) והאחרונה, משנת 2021, בגין עבירות של התנהגות פרועה ואיומים. בין היתר הורשע הנאשם בכך שאיים על אביו כי יהרוג אותו, הנאשם נדון לתנאי בן 4 חודשים בר הפעלה בתיק שבפנינו, והתחייבות כספית בת הפעלה. מעשיו בתיק הצירוף הם המשך ישיר למעשה האיום על האב ונראה שברקע ניהול אורח חיים עברייני והתמכרותי. הנאשם מעורב מעורבות עמוקה בעולם הנשק בלתי חוקי, מעשיו מעידים על דפוסי התנהלות עברייניים ונעדרי אופק שיקומי. עם זאת ייזקפו לטובתו הודאתו בשני התיקים, מעצרו הממושך לראשונה בחייו וחרטתו על מעשיו. נאשם 2, בן 23, הורשע, בתוך תקופת מעצרו בתיק זה, בגין ביצוע עבירות אלימות ונדון למאסר בן 7 חודשים (ת\פ 45289-12-20 גז\""ד מיום 21.12.22). הנאשם הודה במעשים המיוחסים לו והביע חרטה. אף הוא עצור תקופה ממושכת לראשונה בחייו. לאחר ששקלתי את כלל השיקולים, מצאתי לגזור על נאשם 1 עונש כולל בחלק התחתון של המתחם תוך חפיפה מסויימת בין עונשי המאסר בשני התיקים, ואת עונשו של נאשם 2 למקם קרוב לתחתית המתחם. בגין תיק זה -54 חודשי מאסר בפועל, בניכוי ימי מעצרו החל מיום 17.12.22. בגין תיק הצירוף- 10 חודשי מאסר בניכוי ימי מעצרו בתיק ומפעילה תנאי בן 4 חודשים מת\""פ 53635-05-20 (שלום כ\""ס) באופן חופף ומצטבר כך שירצה עונש מאסר כולל בגין שני התיקים בן 62 חודשי מאסר בניכוי ימי מעצרו ובמצטבר לכל מאסר אחר. מאסר על תנאי בן 12 חודשים לבל יעבור הנאשם עבירת נשק, לרבות שימוש בו שלא כדין, במשך 3 שנים מיום שחרורו. מאסר על תנאי בן 8""",train
"חננאל נ' מדינת ישראל (26.10.16) שהמתחם העונשי שנקבע בו צוין בטיעוני המאשימה, נדון עניינו של נאשם שהורשע בהעלמת מס מתוחכמת ובין היתר מסירת חשבוניות פיקטיביות, ניהול ספרי חשבונות כפולים, השמדת מסמכים בעלי ערך (סעיף 216 (6) לחוק) ותכנון העלמת מס בהיקף נכבד. עוד עסקינן בנאשם שלא הסיר מחדליו. נקבע מתחם ענישה שנע בין 8-24 חודשי מאסר ונגזרו על הנאשם 10 חודשי מאסר. בית המשפט העליון דחה ערעורו אך ציין שמתחם הענישה שנקבע ראוי והולם ואין מקום להתערב בו; ע\פ(מח-מרכז) 40738-06-15 מאיר בן שבת ואח' נ' מדינת ישראל, נדון עניינו של מי שהורשע, לאחר שמיעת ראיות, בהשמטת הכנסות העולה על 4.5 מיליון ₪. המדובר היה בעבירות מס מתוחכמות, הכוללות שימוש בחברות קש ויצירת מצג שווא בכוונה להטעות את רשויות המס. הנאשם נדון ל-30 חודשי מאסר ועונשו הופחת ל-24 חודשים, בין היתר בשל נסיבות אישיות וחלוף זמן; ע\""פ(מח-ב\""ש) 7322/04 ביטון נ' מדינת ישראל- הנאשם הורשע בביצוע עבירות לפי סע' 220(1), 220(4) ו-220(5) לפקודת מס הכנסה. הנאשם הגיש בכל אחת משנות המס חשבוניות כוזבות בסכום כולל של כ-1.6 מיליון ₪. הנאשם נדון ל-9 חודשי מאסר וערעורו נדחה; לצד זאת, קיימים מקרים בהם הסתפק בית המשפט בריצוי עונשים של עבודות שירות ברף מירבי, גם בעניינם של נאשמים שהורשעו בעבירות חמורות ועל פי רב, נוכח נסיבות אישיות מורכבות: ע\""פ (מח-ת\""א) 43832-10-13 שאול נ' מדינת ישראל, הורשע נאשם באי הגשת דו\""חות למס הכנסה במשך 5 שנים והשמטת הכנסות בהיקף ניכר (5 מיליון ₪). בית משפט קמא קבע מתחם עונשי של 6-24 חודשי מאסר ודן הנאשם לשנת מאסר וקנס בסך 80,000 ₪. בית המשפט המחוזי התחשב בחלוף הזמן ומצבו הרפואי של הנאשם, מיקם""",train
"עם מעצרו, ניכר כי עשה מאמצים רבים לייצוב מצבו והפסיק להשתמש בסם. כיום, במשך כשנה ומחצה, נקי מסמים. הגם שצריכת הסמים לא עמדה לבדה ברקע מעשיו, הפסקת השימוש בהם תורמת משמעותית לשיקומו. הנאשם משולב מזה שנה בקבוצה טיפולית, שירות המבחן עמד בתסקיריו על השינויים החיוביים הניכרים בהתנהגותו ופיתוח מיומנויותיו, ביטחונו העצמי התחזק, ניכר כי ההליך הפלילי מהווה עבורו גורם מרתיע, וחל שינוי משמעותי בדפוסי חשיבתו, אף נכונותו לפצות את המתלונן, וליטול על עצמו עבודה נוספת כדי לעמוד בתשלום הפיצוי, מעידים על חרטה כנה ואמפתיה למתלונן. על יסוד כל אלו ניתן לקבוע כי סיכויי שיקומו של הנאשם ממשיים וחלה הפחתה ניכרת בסיכון הנשקף ממנו. בפסיקה ניתן למצוא מקרי הצתה לא מעטים, שבהם הסתפק בית המשפט בענישה טיפולית-שיקומית: בע\פ 6418/21 סלהוב נ' מדינת ישראל (16.1.22), נסיבות המעשה דומות לענייננו, התקבל ערעור המערער שהורשע בעבירת הצתה. המערער קנה מיכל ריק ומילא אותו בדלק, ובהמשך שפך את תכולתו על הרכב, הציתו ונמלט. בתסקיר שהתקבל הוערך קושי ממשי בויסות דחפים וסיכון גבוה להישנות המעשים. בית המשפט המחוזי קבע מתחם ענישה הנע בין 36-18 חודשי מאסר ובקביעת העונש התחשב בין היתר בעברו הנקי ובהשתתפותו בטיפול פרטי לאורך תקופה משמעותית והשית עליו מטעמי שיקום עונש מאסר בן 15 חודשים. בית המשפט העליון קבע כי נסיבות הנאשם וכברת הדרך הטיפולית שעבר, מצדיקות ענישה שיקומית שתאפשר המשך הליך טיפולי, והפחית עונשו כך שירצה תשעה חודשי עבודות שירות לצד צו מבחן וענישה נלווית; בת\""פ (מח' מרכז) 9115-10-16 מדינת ישראל נ' נוימן (3.5.18) הורשע נאשם בהצתת בית עסק בשעת לפנות בוקר, בעת שהיה בגילופין, נגרם נזק לא כבד. בית המשפט (כבוד השופט קובו) קבע מתחם ענישה הנע""",train
"נ' ירמייב (18.5.2021) ). לאחר שבחנתי את נסיבות מעשי הנאשם, והפסיקה הנוהגת, אני קובעת מתחם פסילת רישיון הנהיגה שנע בין 4-8 שנים. הנאשם יליד 1990, לא הוציא רישיון מעולם. כעולה ממסמכים שהוצגו, נפצע בכף ידו בתאונת עבודה וצפוי לעבור ניתוח (מסמך מיום 30.11.21, סומן נ/1), סובל בתקופה האחרונה מהרעה במצבו הנפשי ואף ניסה לבצע ניסיון אובדני. מעברו התעבורתי נלמד, כי חוטא בנהיגה ללא רישיון במהלך שנים רבות, הנאשם הורשע בעבירה של נהיגה ללא רישיון ,בשלושה מקרים, בין השנים 2010 ועד שנת 2020, בשתיים מהרשעותיו נגזרו עליו מאסרים בדרך של עבודות שירות וענישה נלווית מחמירה אך אלו לא הרתיעוהו מלהמשיך ולנהוג. הנאשם נטל אחריות על מעשיו, הביע חרטה, עברו הפלילי אינו מכביד. לאחר ששקלתי את כלל השיקולים, מצאתי לפסול את רשיונו לתקופה בת 5 שנים. באשר לפיצוי המתלוננת- הנאשם, כאמור, לא הואשם בגרימת התאונה. בדו\ח מד\""א שהוגש לעיוני על ידי ההגנה, הוגדרה המתלוננת כפצועה \""קל עד בינוני\"" הסובלת מכאבי ראש, צוואר וגפיים. בבדיקתה נמצאו חבלה קהה בגולגולת, שפשופים מדממים קל בידיה ורגליה ופצע עמוק ומדמם, עם חשד לשבר, בזרוע השמאלית. עיקר הנזק שנגרם לה, כפי שנלמד מהצהרתה (ע/4) הוא תוצאה ישירה מהתאונה ולא מהפקרתה. נפגעת העבירה, כבת 70 במועד התאונה, עברה שיקום ארוך, כשמעורבותה בתאונת פגע וברח הותירה בה צלקות פיזיות ונפשיות ועד היום היא נוטלת טיפול תרופתי וזקוקה לעזרה מתמדת. סעיף 64א(ג) שבו הורשע הנאשם אינו דורש קשר סיבתי בין ההפקרה עצמה לבין חומרת הנזק שנגרם לנפגע התאונה, אלא מסתפק בכך שעקב התאונה נגרמו הנזקים האמורים. לצורך קביעת גובה הפיצוי, די באלו, כדי ללמד על הנזק ועוגמת הנפש שנגרמו למתלוננת כתוצאה מהתאונה ומהפקרתה. לפיכך, מצאתי לחייב""",train
"אמנם אינו חיובי, גם תפקודו במעצרו הנוכחי אינו תקין, ושירות המבחן העריך כי הסיכון שיעבור עבירות בעתיד גבוה. עם זאת הנאשם הביע עייפות מאורח חייו העברייני ונכונות להשתלב בטיפול, ויש לקוות שיעשה מאמצים במהלך מאסרו לשנות את דרכיו. דרכו של הנאשם לשיקוםארוכה ומורכבת, ועליו לטפל בדפוסיו האלימים ובדפוסיו ההתמכרותיים ולגלות נכונות אמיתית וכנה לערוך שינוי ממשי באורח חייו. לאחר ששקלתי את כלל השיקולים, מצאתי למקם את עונשו של הנאשם בקצה של החלק התחתון של המתחם, אלך לקראתו כברת דרך כדי לדרבנו ואחפוף חלקית את התנאים בני ההפעלה ואת מאסרו בתיק הצירוף. אתחשב במצבו הכלכלי בקביעת גובה הקנס והפיצוי. בגין תיק זה -34 חודשי מאסר בניכוי ימי מעצרו החל מיום 22.5.23 בגין תיק הצירוף- 9 חודשי מאסר, 4 חודשים במצטבר למאסרו תיק זה והיתרה בחופף בניכוי ימי מעצרו בתיק זה בהתאם לרישומי שב\ס. מפעילה תנאים בני 6 חודשים מת\""פ 47197-12-19 (שלום נתניה) ו-ת\""פ 62612-03-19 (שלום נתניה) באופן חופף ומצטבר כך שירצה עונש מאסר כולל בגין שני התיקים 42 חודשי מאסר. מאסר על תנאי בן 12 חודשים לבל יעבור הנאשם עבירת נשק, לרבות שימוש בו שלא כדין, תוך 3 שנים מיום שחרורו. מאסר על תנאי בן 8 חודשים שלא יבצע עבירת אלימות או רכוש מסוג פשע במשך 3 שנים מיום שחרורו. מאסר על תנאי בן 5 חודשים בגין עבירת אלימות או רכוש מסוג עוון במשך 3 שנים מיום שחרורו. קנס בסך 4,000 ₪ או 21 ימי מאסר תמורתו שישולם ב-8 תשלומים שווים ורצופים החל מיום 10.3.25. פיצוי בסך 1,000 ₪ למתלוננת בתיק הצירוף שיופקד עד ליום 10.11.24 ויועבר אליה ע\""י המזכירות. צו כללי למוצגים - השמדה/חילוט – לשק\""ד""",train
"המשפט לא נעתר להמלצת שירות המבחן וגזר עליו מאסר בפועל ממש- \עבירה זו הפכה להיות נפוצה, ומצדנו נוסיף, גם נפיצה שהרי גלום בה פוטנציאל סיכון רב ביותר. גידול הסמים כנראה הוא קל ופשוט יחסית ושמא עובדה זו מעודדת אנשים רבים לעסוק בגידול הסם.. המבקש שבפנינו פעל כמקצוען.. בתי המשפט שבו ועמדו על חשיבות המאבק בעבירות הסמים. כמו כן הודגש הפסול שבעבירות השימוש בסמים והשלכותיו הקשות על גופו ונפשו של המשתמש, ולפיכך נקבע כי הענישה אמורה לשקף את הצורך במיגור תופעה זו. ראו ע\""פ 6029/03 מדינת ישראל נ' שמאי (9.2.2004), מפי כב' השופט מ' חשין, שם הודגש כי יש להילחם מלחמת חורמה קשה וארוכה, בעברייני הסמים המחזיקים, הסוחרים והמפיצים. הפסיקה בעבירות אלו מגוונת ורבה. אציין מספר דוגמאות המלמדות על מתחם ענישה מחמיר שקבע בית המשפט העליון וכולל ענישה של מאסר בפועל שננקטה כנגד מגדלי סם: ברע\""פ 314/16 בן צבי נ' מדינת ישראל (22.2.2016), הורשע המבקש בגידול סם בכמות של 2.5 ק\""ג במעבדה. על הנאשם נגזרו ששה חודשי עבודות שירות בשל הליך שיקומי שעבר. עונשו הוחמר במסגרת ערעור ל-10 חודשי מאסר בפועל, בית משפט העליון דחה רשות ערעור בעניינו; רע\""פ 6987/13 אברמוב נ' מדינת ישראל (21.10.13), הנאשם הורשע בעבירות של גידול שתילי קנבוס במשקל 10 ק\""ג נטו, ונהיגה בזמן פסילה. נקבע מתחם ענישה הנע בין 6 חודשי מאסר בעבודות שירות לבין 24 חודשי מאסר בפועל. בהתחשב בעבר פלילי נקי של הנאשם, ובהודאתו, נדון לשנת מאסר. רע\""פ 1787/15 אדי עמר נ' מדינת ישראל (24.3.15)- בתיק זה הורשע המערער בגידול 9 צמחי סם ועבירות נילוות. בית המשפט קבע מתחם ענישה שנע בין 8-20 חודשי מאסר. על הנאשם נגזרו 8 חודשי""",train
"(31.5.16), הורשע נאשם בייבוא סם מסוכן מסוג MDMA במשקל 1,787 גרם נטו. הצדדים הגיעו להסדר טיעון על פיו נדון הנאשם ל- 40 חודשי מאסר בפועל. בת\פ 5775-02-18 (מח' באר-שבע) מדינת ישראל נגד אלי תורג'מן (1.11.18), הורשע נאשם בעבירות של סיוע לייבוא סם מסוכן, החזקת סם מסוכן וזיוף מסמך בנסיבות מחמירות. הנאשם סייע לאחר להזמין, תחת שם מזויף ולכתובת בעיר דימונה, חבילה ובה הוטמנו 8363 כדורי סם מסוכן מסוג MDMA. כשהגיעה החבילה לסניף הדואר, ביקש הנאשם מנהג מונית כי יאסוף את החבילה מהדואר תחת ייפוי כוח מזויף, ותמורת תשלום. בית המשפט קבע כי מעשי הנאשם היו מתוכננים, וחלקו בעבירות, על אף שתרם תרומה של ממש להוצאתן לפועל, אינו העיקרי – וקבע מתחם עונש שנע בין 2.5 ל-5 שנות מאסר בפועל. הנאשם, בעל עבר פלילי, שיתף פעולה ואף הפליל את המעורב העיקרי בפרשה. על הנאשם הושת מאסר של 36 חודשים. רמת הענישה מחמירה גם במקרים שבהם הורשעו נאשמים בייבוא סמים קשים מסוגים אחרים, ואף כאשר שימשו כבלדרים בלבד. ראו: ע\""פ 2518/16 יצחקי נ' מדינת ישראל (25.12.2016)- התקבל ערעורו של נאשם אשר הורשע, לאחר ניהול הוכחות, בעבירות של ייבוא סם וקשירת קשר. אחר ארגן משלוח של חבילה המכילה 710 גר' סם קוקאין מברזיל לסניף דואר בארץ. תפקידו של הנאשם היה לאסוף את החבילה מסניף הדואר. נקבע מתחם שנע בין 3.5-5.5 שנות מאסר, הנאשם נדון למאסר בן 42 חודשים, על שותפו שעמד מאחורי המעשה נגזרו 4 שנות מאסר. בית המשפט העליון קיבל את ערעורו, נקבע כי מעמדו בביצוע העבירה שונה משמעותית מזה של שותפו ונוכח תסקיר חיובי ועברו הנקי הופחת עונשו ל-30 חודשי מאסר; רע\""פ 3569/20 אלטארוס נ' מדינת ישראל""",train
