question,answer,split
מה המסקנה לגבי עוצמת השחיתות של הנאשמת בהשוואה לעובדי ציבור אחרים?,"יש טעם בדברים אלה, ואולם, בחינה מעמיקה של שורת האירועים בהם הורשעה הנאשמת, והשוואתם לעניינם של עובדי ציבור אחרים שהורשעו בעבירות דומות, מובילה למסקנה שאין אח ורע אף לעוצמת שחיתות הנאשמת כפי שהיא עולה מהיקף, ריבוי וחומרת מעשיה.",train
מהן הנסיבות שהובילו להחמרת הענישה בעניינו של הנאשם?,"סבורני שבעניינו של הנאשם, מדובר בנסיבות חמורות יותר, באופן המציב את מעשיו ברף חומרה גבוה יותר של עבירות הנשק, וזאת בשל מכלול נסיבות החזקת הרימון, כפי שפורטו בהרחבה לעיל, ובעיקר, מיקום החזקת הרימון, בקרבת האצטדיון, ועיתוי ההחזקה, בסמיכות זמנים למשחק כדורגל, בין קבוצות יריבות, שניסיון העבר מלמד שלא נדרש מאמץ גדול במיוחד, כדי ליצור מצב נפיץ, העלול להתדרדר בקלות לסכנה ממשית לחיי אדם.",train
מהי עמדת בית המשפט העליון לגבי טענת הנאשם בנוגע לנסיבות המקלות?,"בית המשפט העליון דחה את טענתו, כי נסיבות אלה מקהות מחומרת המעשים ומצדיקות מתחם עונש מופחת.",train
כיצד משפיעה מידת הרשלנות והיקפה על העונש בעבירות רשלנות?,"יחד עם זאת, בעבירות רשלנות העונש הוא פועל יוצא, בין היתר, של מידת הרשלנות והיקפה.",train
מדוע לא נמצא הצדקה לחריגה ממתחם העונש ההולם במקרה זה?,במקרה דנן איני מוצא הצדקה לחריגה ממתחם העונש ההולם.,train
כיצד יש להבין את מהות מאסר חלף קנס בעבירות כלכליות?,"מאסר חלף קנס נושא אופי אכיפתי ועונשי כאחד, ואין לראותו כאמצעי לגביית הקנס גרידא, אלא כאחד מן העונשים המוטלים על הנאשם בגין העבירה (ראו ע\פ 5023/99 יוסף חכמי נ' מדינת ישראל נה (3) 406, (פורסם ביום 15.3.01)).""",train
מהי התקווה הנוגעת לענישה מחמירה של מאסר בפועל עבור הנאשמים?,"יש לקוות שאולי ענישה מחמירה של מאסר בפועל תרתיע את הנאשמים 1 ו-2 מלשוב ולהסתבך בפלילים, ולמצער, תגן, ולו בתקופת המאסר, על החברה מפני פגיעתם הרעה.",train
מהו המידע שחשוב לדעת לגבי השפעת האלכוהול על מעשים פליליים?,"מן הראוי שיידע כל מי שמערה – ביודעין ומתוך בחירה - אלכוהול לקירבו, כי הוא עלול להידרש ליתן את הדין בגין מעשים שיעשה תחת השפעת אלכוהול, וכי לא יהא בכך משום נסיבה לקולא.",train
מהו הכלל לגבי מצוקה כלכלית והשפעתה על הענישה?,"הכלל הוא כי מצוקה כלכלית אליה נקלע הנאשם, אינה מצדיקה, כשלעצמה, הקלה משמעותית בעונש.",train
כיצד משפיעות המחלות של הנאשם על ההחלטה האם לסטות ממתחם העונש ההולם?,"למותר לציין, כי מחלות אלה שכיחות בקבוצת הגיל של הנאשם, ולנוכח ממצאי התיק הרפואי ניכר שאין מדובר במקרה חריג המצדיק סטייה כלשהי ממתחם העונש ההולם.",train
מהו ההיבט שהופך את עניינו של הנאשם לשונה וחמור?,"עניינו של הנאשם שבפניי שונה וחמור, בשל היותו שוהה בלתי חוקי, שביצע שורת עבירות נלוות וחמורות, ועל רקע עברו הפלילי, בעבירות דומות.",train
מהו השיקול שהביא את בית המשפט להקל עם הנאשם במקרה זה?,"בית המשפט מפורשות, כי החליט להקל עם הנאשם מאחר שמדובר בהרשעה ראשונה ולאור גילו הצעיר.",train
מהו השיקול שייתן משקל לקולא בעניינו של הנאשם?,"יינתן משקל הולם לקולא להודאת הנאשם, ולכך שמדובר בהרשעה ראשונה בעבירת סמים.",train
מהו הגיל המיוחד שצוין בפסק דינו של השופט ג'ובראן בהקשר של התחשבות בעונש?,"התחשבות יכולה להיות בגיל צעיר במיוחד – ובאמת, כאמור בפסק דינו של השופט ג'ובראן, גיל 19-18 ואף מעל לזאת הוא משמעותי.",train
מהו הקריטריון שעל בית המשפט לשקול כאשר הוא בוחן את כיבוד הסדר הטיעון?,"בית המשפט איננו צד להסדר טיעון, ובבואו לבחון האם לכבדו, עליו לעמוד על היחס בין טובת ההנאה הצומחת לנאשם כתוצאה מהסדר הטיעון לעניין העונש, ובין האינטרס הציבורי.",train
מהו המשקל שיינתן להודאת הנאשם ולנסיבותיו האישיות בעת ריצוי העונש?,"להודאת הנאשם, להבעת חרטתו ולנסיבותיו האישיות, יינתן משקל לעניין אופן ריצוי עונשי המאסר.",train
"מהי הסיבה לכיבוד ההסדר הטיעון במקרה זה, למרות השיהוי ועינוי הדין שנגרם לנאשם?","עם זאת, בשים לב למשקלן המצטבר של כלל נסיבות הקולא, ובעיקר לשיהוי הממושך, ועינוי הדין שנגרם לנאשם, ולאור פסיקת בית המשפט העליון, בדבר כיבוד הסדרי טיעון (ע\פ 1958/98 פלוני נ' מדינת ישראל, נז(1), 577 (25.12.02)), סבורני שההסדר אינו חורג ממתחם הסבירות, באופן המצדיק אי-כיבודו (ראו: רע\""פ 8009/10 מיכה זכאי נ' מדינת ישראל (20.1.11), ת\""פ 27278-03-11 מדינת ישראל נ' מרדכי קבז-קשני (18.12.14)). ולפיכך החלטתי לכבדו.""",train
מהי עמדת שירות המבחן לגבי התאמת הנאשם להליך טיפולי ייעודי?,"לאור כל האמור, מעדיף אני אף את הערכת שירות המבחן, כי בשלב זה הנאשם אינו מתאים להליך טיפולי ייעודי לעברייני מין, על פני חוות דעת מומחה ההגנה.",train
מהי המסקנה לגבי סבירות הסדרי הטיעון בנסיבות המקרה?,"בנסיבות כוללות אלה, הסדרי הטיעון הינם סבירים ואין מקום לסטות מהם.",train
מהי עמדת בית המשפט לגבי ריצוי עונש מאסר במצבו הרפואי של הנאשם?,"בנסיבות אלה, איני סבור שיש במצבו הרפואי של הנאשם כדי למנוע ריצויו עונש מאסר או קבלת טיפול רפואי מתאים בין כותלי בית הסוהר.",train
מהו רף האלימות במעשי הנאשמת וכיצד הוא משפיע על המתלונן?,"רף האלימות שבמעשים אלה הינו משמעותי, והגם שלא גרם לפגיעות פיזיות למתלונן, אין ספק שגרם לנזקים למתלונן ולבני משפחתו.",train
מהו הטעם לכך שהחפיפה בין העבירות לא יכולה להכריע את הכף לטובת הסנגור?,"עם זאת, בשים לב לכך שהחפיפה אינה מתייחסת לכל התקופה, הרי שאין מדובר, בטעם שיש בו כדי להכריע את הכף לטובת עתירת הסנגור.",train
כיצד משפיע עקרון אחידות הענישה על קביעת המתחם במקרה זה?,"אדגיש, כי הגם שעקרון אחידות הענישה הוא עיקרון חשוב, שיש להתחשב בו בעת קביעת המתחם (ראו, לאחרונה: ע\פ 2580/14 אבו ליל נ' מדינת ישראל [פורסם בנבו] (23.9.14); ע\""פ 3011/13 סעאידה נ' מדינת ישראל [פורסם בנבו] (5.2.15)), אזי בענייננו לא רק שמדובר בפסיקה של ערכאה זרה, אלא שבתיק שהתברר לפנינו הורשע הנאשם בעבירות נוספות.""",train
כיצד יכול בית המשפט להתחשב בנסיבות אישיות יוצאות דופן בעת הטלת קנס?,"בהטלת הקנס יכול בית המשפט להתחשב בנסיבות אישיות יוצאות דופן של הנאשם, ובהן גם מצבו הכלכלי.",train
מהן הסיבות להקל בעונש הנאשם במקרה זה?,"לקולת הנאשם יזקפו הודאתו, וחסכון המשאבים הכרוך בכך, עברו הנקי של הנאשם על רקע גילו, היות המעשה חד פעמי, שאינו מצוי ברף החומרה העליון של עבירות המין, והערכת מסוכנותו המינית של הנאשם כנמוכה.",train
מדוע יש להדגיש את החומרה של המעשים בפרשיית השוחד בהקשר לקטל בכבישים?,"לא ניתן להפריז בחומרת מעשים אלה, במיוחד נוכח הקטל המשתולל בכבישי הארץ, שלדאבון הלב רק גובר מדי שנה וגובה מחיר כבד.",train
