text,split
"לקולא, אתחשב בהודאת הנאשם שחסכה זמן שיפוטי, היותו אב ל – 9 ילדים, רצונו להשתלב באגף גמילה מסמים בין כותלי בית הכלא, נסיבותיו האישיות והמשפחתיות כמפורט בתסקיר שירות המבחן. לאחר ששקלתי את מכלול השיקולים, הן לחומרא והן לקולא כמפורט לעיל, הנני דן את הנאשם לעונשים הבאים: הנני מורה על הפעלת המאסר המותנה בן 12 חודשים מת\פ 4254/02 בית משפט השלום באר-שבע, באופן מצטבר למאסר שהושת בסעיף א' לעיל. 12 חודשי מאסר על תנאי, למשך 3 שנים מיום שחרורו מהכלא, שלא יעבור עבירה בה הורשע.""",train
מסוג פשע.,train
"לאחר ששקלתי את טיעוני ב\כ הצדדים, ולא בלי התלבטות, החלטתי לבכר את שיקולי השיקום על פני שיקולי ההרתעה והגמול, בשים לב לאמור בתסקיר שירות המבחן, דברי רעייתו של הנאשם בפניי, בתקווה שאכן חל שינוי מהותי בדפוסי התנהגותו של הנאשם כלפי רעייתו באופן שיסייע להם להמשיך ולקיים את התא המשפחתי באופן נורמטיבי. יחד עם זאת, ראוי להטיל עונש משמעותי צופה פני עתיד שישמש תמרור אזהרה עבור הנאשם לאופן התנהגותו והתנהלותו כלפי בת זוגו. אשר על כן, הנני דן את הנאשם לעונשים הבאים: הנני מורה על הפעלת המאסר המותנה בן 5 חודשים מת\""פ 1316/05 בית משפט השלום באר-שבע, לריצוי בעבודות שירות. 12 חודשי מאסר על תנאי, למשך 3 שנים מהיום, שלא יעבור עבירת אלימות במשפחה. 6 חודשי מאסר על תנאי, למשך 3 שנים מהיום, שלא יעבור עבירות אלימות מסוג עוון. הנאשם יחתום על התחייבות כספית על סך 15,000 ₪, שלא יעבור עבירה דומה משך 3 שנים מהיום. הנאשם יתייצב בתאריך 30.01.2011 בפני הממונה לתחילת ריצוי עבודות השירות. הנאשם הוזהר, כי עליו לעמוד בתנאי הפיקוח וביקורות הפתע – כל הפרה בעבודות השירות תביא להפסקה מנהלית ולריצוי העונש במאסר של ממש.""",train
"לאחר ששקלתי את טיעוני ב\כ הצדדים, הן לחומרא והן לקולא כמפורט לעיל, וכן את דברי הנאשם, החלטתי שלא למצות את חומרת הדין עם הנאשם, בשים לב לנסיבותיו האישיות. יחד עם זאת, אינני סבור שבעבירות מהסוג נשוא הרשעת הנאשם, לרבות כמות הסם, יש להסתפק בענישה צופה פני עתיד. מה כן ניתן להתחשב, באורך התקופה של המאסר. אשר על כן, הנני גוזר על הנאשם את העונשים הבאים: 12 חודשי מאסר, מתוכם חודשיים לריצוי בעבודות שירות והיתרה על תנאי, למשך 3 שנים מהיום, שלא יעבור עבירה בניגוד לפקודת הסמים המסוכנים מסוג פשע. 6 חודשי מאסר על תנאי, למשך 3 שנים מהיום, שלא יעבור עבירות סמים מסוג עוון. קנס בסך 2,000 ₪ או 20 ימי מאסר תמורתו. הקנס ישולם עד ליום 30.12.2010. הנאשם יתייצב בתאריך 12.12.2010 בפני הממונה לתחילת ריצוי עבודות השירות. הנאשם הוזהר, כי עליו לעמוד בתנאי הפיקוח וביקורות הפתע – כל הפרה בעבודות השירות תביא להפסקה מנהלית ולריצוי העונש במאסר ממש.""",train
"לקולא כפי שהציגו הצדדים. לענייננו, אפנה לע\פ 433/89, אטיאס נ' מדינת ישראל: כפי שהתובעת המלומדת הפנתה לפסיקה מחמירה, קיימת גם פסיקה פחות מחמירה בנסיבות דומות – ע\""פ 50/07 אשר הוגש כערעור על ת\""פ 8038/06, שניתן בבית המשפט המחוזי בבאר-שבע. במקרה שם, דובר היה במי שנטל אבן גדולה ויידה אותה בפניו של המתלונן, אשר איבד הכרתו, הובהל לבית החולים, אושפז שם, וזאת לאחר שאובחנו שברים רבים בפניו, כמו גם חתכים בעפעף עין שמאל שלו. יוער, כי גם שם הרקע למעשה, היה שתיית אלכוהול, ויכוח קודם בין הנאשם שם למתלונן. חרף כל האמור, גזר עליו בית המשפט המחוזי, בין היתר, עונש של 6 חודשי מאסר שירוצו בדרך של עבודות שירות. הוא הדין גם בע\""פ 10031/05, המדובר היה בערעור של נאשם הפעם על גזר דין של בית המשפט המחוזי בנצרת ת\""פ 1026/05, שם דובר על נאשם שהתנפל על המתלונן לאחר שזה האחרון תקף את חברו ודקר אותו מספר פעמים בגופו באמצעות סכין. כתוצאה מהדקירות, נגרמו למתלונן חתכים במרפק שמאל, באגודל יד ימין, וכן פצע דקירה באורך של 2 ס\""מ בבית החזה. במקרה שם, הקל בית המשפט המחוזי בעונשו של הנאשם, והשית על הנאשם 6 חודשי מאסר שירוצו בעבודות שירות. מקרה דומה גם פסק הדין נשוא ת\""פ 423/01 בית משפט מחוזי חיפה, מדינת ישראל נ' דוד בן סימון. שם דובר היה בנאשם שדקר את המתלונן באמצעות סכין, בבית החזה, בידיו וברגליו, כאשר שם, גרמה הדקירה בבית החזה לפגיעה באיברים הפנימיים ובסוף עונשו של הנאשם נגזר ל – 6 חודשי מאסר שירוצו בעבודות שירות. גם ראה ע\""פ 10676/07, בועז אביטן נ' מדינת ישראל, שם הקל בית המשפט העליון בעונשו של מי""",train
"בענייננו, מדובר בנאשם בן 45, רווק. לחובתו 27 הרשעות קודמות בעיקר בתחום הסמים והרכוש. עוד מעיון בגיליון הרשעותיו עולה, כי ריצה בעברו במספר הזדמנויות מאסרים מאחורי סורג ובריח לתקופות לא מבוטלות. הרשעתו האחרונה היא מיום 18.11.09, על רקע סחר בסם מסוכן, ונידון במסגרתה ל-22 חודשי מאסר. הנאשם השתחרר ממאסרו האחרון בתאריך 06.02.2011. הנאשם טען בפניי, כי ממשיך לשמור על ניקיונו מהסם ובכוונת אחיו מיכאל, שהתייצב במסגרת הראיות לעונש מצד ההגנה, בתום מאסרו לשקמו ואף להעסיקו בעסק שבבעלותו מסוג פיצרייה. לאחר ששקלתי את מכלול השיקולים הרלוונטיים, הן לחומרה והן לקולא כמפורט בדברי ב\כ הצדדים, וכן עיינתי בפסיקה שהוגשה על ידי הצדדים, הנני דן את הנאשם לעונשים הבאים:""",train
"הראויה בהתאם לנסיבות המקרה. עקרון חשוב – אך לא יחיד – שעלינו לקחת בחשבון, הינו עקרון אחידות הענישה. עקרון זה נגזר מעקרון שוויון הנאשמים בפני החוק, ומורה כי על מצבים דומים מבחינת אופי העבירות והנסיבות האישיות ראוי להחיל במידת האפשר שיקולי ענישה דומים. .. עקרון אחידות הענישה אינו חזות הכול והנו אך אחד משיקולי הענישה. באשר לטענת הסנגור, כי עצם הסכמת המאשימה לדחיית הדיון לקבלת תסקיר משלים בנוגע להליך \צדק מאחה\"", כי מעידה על עמדתה שלא לעתור בעניינו של הנאשם לעונש מאסר בפועל. הנני דוחה טענה זו בשתי ידיים, הואיל והמאשימה גילתה את עמדתה בנוגע לסוג העונש שיש לדידה להשית על הנאשמים במעמד הצגת ההסדר באופן כללי כאשר ציינה כי כל צד יטען לעונש באופן חופשי, פעם נוספת כאשר טענה בעניינם של הנאשמים 1 ו-3, הן בכתובים והן בעל פה. ואף הדגישה שאין לעשות אבחנה בין מי מהנאשמים בנוגע למידת חלקו באלימות הקשה שבוצעה בגופו של המתלונן. עוד התנגדה המאשימה להמלצת שירות המבחן בעניינו של הנאשם 3, במסגרתה המליץ שירות המבחן להשית עונש מאסר שירוצה בעבודות שירות. לגופם של דברים, בישיבה מיום 7/6/12, שירות המבחן עתר לדחייה לצורך עריכת תסקיר משלים, המאשימה בהגינותה לא התנגדה לעצם הדחייה, אולם אין בכך כדי להעיד על שינוי בעמדתה בנוגע לסוג העונש שיש להשית על הנאשם. באשר לגזר הדין מתפ\""ח 975/00 מדינת ישראל נגד מאור ניזרי בית המשפט המחוזי באר שבע, שממנו מבקש הסנגור לתמוך את טיעוניו, עיינתי בגזר הדין ולא ניתן להגיע לתוצאה אליה חותר הסנגור, מדובר במקרה ובנסיבות שונות לחלוטין מהמקרה שבפניי. באשר להמלצת שירות המבחן בעניינו של הנאשם, דהיינו – ביטול הרשעת הנאשם, השתת של\""צ בהיקף של""",train
"לקולא, אתחשב בתיקון כתבי האישום, הודאת הנאשם שחסכה זמן שיפוטי, כתב הסולחה שנערך בין הצדדים בתוך השבט אליו נמנה הנאשם והמתלוננים, חלוף הזמן, נסיבותיו האישיות והמשפחתיות כמפורט בתסקיר, החרטה שהביע על התנהגותו. לאחר ששקלתי את מכלול השיקולים, הן לחומרא והן לקולא כמפורט לעיל, החלטתי שלא למצות את מלוא חומרת הדין עם הנאשם, והנני דן את הנאשם לעונשים הבאים: 12 חודשי מאסר על תנאי, למשך 3 שנים מיום שחרורו מהכלא, שלא יעבור עבירות אלימות מסוג פשע. 6 חודשי מאסר על תנאי, למשך 3 שנים מיום שחרורו מהכלא, שלא יעבור עבירות אלימות מסוג עוון. 6 חודשי מאסר על תנאי, למשך 3 שנים מיום שחרורו מהכלא, שלא יעבור עבירה של החזקת סכין שלא כדין.",train
"אין חולק בדבר חומרת העבירה בה הורשע הנאשם. בפסיקה נקבע לא אחת כי על בית המשפט מוטלת החובה לשמש מגינם של הקטינים באמצעות העברת מסר חד משמעי לפיו כל מי שיהין לפגוע בגופו של קטין לצורך סיפוק גחמותיו המיניות, צפוי לעונש חמור . עם זאת, יש לזכור כי אחד מעקרונותיה של שיטתנו המשפטית הוא עקרון הענישה האינדיבידואלית. על פי עקרון זה, בבוא בית המשפט לגזור את דינו של נאשם, שומה עליו להפעיל את שיקול דעתו ולבחון כל מקרה לגופו של עניין, תוך התחשבות בנסיבותיו האישיות של הנאשם ועברו הפלילי ולאזנם אל מול נסיבות ביצוע העבירה וחומרתה. אין להפעיל אמת מידה עונשית זהה לגבי כל נאשם ונאשם שכן נבדלים הם ביניהם בנסיבותיהם האישיות, בעברם הפלילי ובנסיבות ביצוע העבירה וחומרתה. אודה כי ההתלבטות במקרה זה איננה קלה. מחד, קיימים שיקולים לחומרא בעניינו של הנאשם בכללם גילו של הקטין, המקום בו בוצע המעשה- מקום הומה אדם, כאשר הקטין רכוב על כתפי אביו- אלו מצביעים על תעוזתו של הנאשם ועל הקושי שלו לדחות סיפוקים, דו\ח הערכת המסוכנות הקובע כי מדובר באדם בעל רמת מסוכנות מינית גבוהה לרצידיביזם מיני, תסקיר שירות המבחן אשר אינו בא בהמלצה טיפולית נוכח סירובו של הנאשם להשתלב בטיפול תרופתי. בנוסף קיים אינטרס ציבורי כבד משקל בהרתעת הנאשם והרתעת עברייני מין פוטנציאלים. מנגד, קיימים אף שיקולים לא מעטים לקולא- עברו הנקי של הנאשם, הודאתו שחסכה זמן שיפוטי יקר, הרשעתו במעשה בודד כאשר מיום ביצועו (12.08.08) לא נפתחו נגדו תיקים נוספים. כמו כן, יש להתחשב בכך כי על אף סירובו לקבל טיפול תרופתי, פנה הנאשם מיוזמתו לקבלת טיפול באופן פרטי, טיפול הכרוך באמצעים כספיים אשר התאפשר בעזרת סיוע""",train
"קשה היא מלאכת גזר הדין וכבר נאמר במקורות חז\ל \""לעולם יראה עצמו הדיין כמי שחרב נעוצה לו בין ירכותיו...\"" (תלמוד בבלי דף ז' עמ' ב'). שיקולי הענישה רבים ומגוונים הם. מחד, אינטרס הציבור, והצורך בגמול ובהרתעה, ומאידך, נסיבותיו האישיות של כל נאשם ונאשם, שכן הענישה לעולם אינדיבידואלית היא. ראה לעניין זה ע\""פ 2163/05 דג'מיל אלייב נ' מדינת ישראל; כך גם במקרה שבפנינו. תופעה בה מרשים לעצמם בעיקר בני נוער, אבל לא רק, להשתמש בסכין, או בכלי דקירה אחרים כדי ליישב סכסוכים ביניהם, היא תופעה שמן הראוי שחברה, כל חברה, תוקיע אותה מתוכה ומן הראוי שבתי המשפט, יתנו אף הם ידם במיגור תופעה זו או לצמצמה באופן ניכר, על ידי הטלת עונשי מאסר ארוכים ומרתיעים, לרבות כאשר מדובר בתקיפת אנשי חוק, וביתר שאת בעניינו של הנאשם שבפניי, שלא בחל לעשות שימוש בנשק קר כלפי איש חוק על רקע ביצוע עבירת אלמ\""ב כאשר עומד לחובתו מאסר מותנה בגין עבירות אלימות כלפי בן זוג. עם זאת, במקרה שבפניי, ומבלי שיהא בכך משום הקלת ראש במעשיו של הנאשם, או בחומרא שיש לייחס למעשיו, הרי שסבורני, שנסיבותיו של הנאשם מיוחדות וקשות. הנאשם בפניי התוודה על חטאו, בוודאי בשפתיו וניכר עליו, שמדובר בחרטה כנה. עוד יש לציין, כי לא ניתן שלא להתחשב בנסיבותיו האישיות הקשות של הנאשם. הרי מדובר בנאשם בגיל 84, שעבר את מחנות ההשמדה כמתואר במכתב שהגישה המתלוננת שגם היא חוותה מילדותה את הרוע במלואו. הגם שהקדמתי וציינתי, כי ענישה לעולם אינדיבידואלית היא, כל מקרה ונסיבותיו וכל אדם וממילא, כל נאשם, עולם מלא הוא (ראה והשווה תלמוד בבלי מסכת סנהדרין פרק ד' משנה ה'), הרי קיימת פסיקה הן לחומרא והן""",train
